"alg-geom/9501003","Martin Pikaart","Martin Pikaart and Johan de Jong","Moduli of curves with non-abelian level structure","25 pages, latex, only hand-drawn figures.",,,,"alg-geom math.AG",,"  Following Deligne and Mumford we construct a coarse moduli space of smooth
curves with non-abelian level structure, involving higher order commutators. We
prove that its Deligne-Mumford compactification is smooth over an open part of
Spec(${\msy Z}$).
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 12:02:53 GMT""}]","2015-06-30"
"astro-ph/9501019","Stephen Thorsett","S. E. Thorsett (Princeton U.)","Terrestrial Implications of Cosmological Gamma-Ray Burst Models","uuencoded, gzip-ed postscript; 6 pages; submitted to ApJ Letters","Astrophys.J. 444 (1995) L53","10.1086/187858",,"astro-ph",,"  The observation by the BATSE instrument on the Compton Gamma Ray Observatory
that gamma-ray bursts (GRBs) are distributed isotropically around the Earth but
nonuniformly in distance has led to the widespread conclusion that GRBs are
most likely to be at cosmological distances, making them the most luminous
sources known in the Universe. If bursts arise from events that occur in normal
galaxies, such as neutron star binary inspirals, then they will also occur in
our Galaxy about every hundred thousand to million years. The gamma-ray flux at
the Earth due to a Galactic GRB would far exceed that from even the largest
solar flares. The absorption of this radiation in the atmosphere would
substantially increase the stratospheric nitric oxide concentration through
photodissociation of N$_2$, greatly reducing the ozone concentration for
several years through NO$_x$ catalysis, with important biospheric effects due
to increased solar ultraviolet flux. A nearby GRB may also leave traces in
anomalous radionuclide abundances.
","[{""version"":""v1"",""created"":""Sun, 8 Jan 1995 21:24:02 GMT""}]","2016-08-30"
"astro-ph/9501020",,"K. Young (Caltech Submillimeter Observatory)","A CO(3-2) Survey of Nearby Mira Variables","27 pages postscript with embedded figures, email:
  rtm@tacos.caltech.edu",,"10.1086/175747","1995-2","astro-ph",,"  A survey of CO(3-2) emission from optically visible oxygen-rich Mira variable
stars within 500 pc of the sun was conducted. A molecular envelope was detected
surrounding 36 of the 66 stars examined. Some of these stars have lower outflow
velocities than any Miras previously detected in CO. The average terminal
velocity of the ejected material was 7.0 km/sec, about half the value found in
Miras selected by infrared criteria. None of the stars with spectral types
earlier than M 5.5 were detected. The terminal velocity increases as the
temperature of the stellar photosphere decreases, as would be expected for a
radiation driven wind. Mass loss rates for the detected objects were
calculated, and it was found that there is no correlation between the infrared
color of a Mira variable, and its mass loss rate. The mass loss rate is
correlated with the far infrared luminosity, although a few stars appear to
have extensive dust envelopes without any detectable molecular wind. A
power-law relationship is found to hold between the mass loss rate and the
terminal velocity of the ejected material. This relationship indicates that the
dust envelope should be optically thick in the near infrared and visible
regions of the spectrum when the outflow velocity is > 17 km/sec. At the low
end of the range of outflow velocities seen, the dust drift velocity may be
high enough to lead to the destruction of the grains via sputtering. Half of
the stars which were detected were re-observed in the CO(4-3) transition. A
comparison of the outflow velocities obtained from these observations with
those obtained by other investigators at lower frequencies shows no evidence
for gradual acceleration of the outer molecular envelope.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 05:25:57 GMT""}]","2009-10-28"
"astro-ph/9501021","Gian Paolo Tozzi","G.B. Field G. P. Tozzi and R. M. Stanga","Dust as the cause of spots on Jupiter","3 pages, postscript, compressed with gzip (use gunzip), uuencoded.
  Accepted for publication on Astronomy and Astrophysics letters.",,,,"astro-ph",,"  The long-lived spots caused by the impact of fragments of Comet S-L 9 on
Jupiter can be understood if clouds of dust are produced by the impact. These
clouds reside in the stratosphere, where they absorb visible light that would
ordinarily reflect from the cloud deck below, and reflect radiation at infrared
wavelengths that would ordinarily be absorbed by atmospheric methane. Here we
show that, provided that the nucleus of a fragment is composed substantially of
silicates and has a diameter greater than about 0.4 km, dust in the required
amounts will condense from the hot gas composed of cometary and Jovian material
ejected from the site where the fragment entered, and the dust will be
suspended in the stratosphere for long periods. Particles about 1$\;\mu$m in
radius can explain both the optical properties and longevities of the spots.
According to our model, a silicate band should be present in the $10 - \mu$m
spectra of the spots.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 12:16:20 GMT""}]","2016-08-30"
"astro-ph/9501025","Marc Davis","Marc Davis and Adi Nusser","INDICATIONS OF DARK MATTER DERIVED FROM LARGE SCALE FLOWS","10 pages, uuencoded compressed postscript file, including 2 figures.
  also available from ftp://magicbean.berkeley.edu/pub/marc/lsflows.ps.Z",,"10.1063/1.48359","contribution to U. Md 5th Oct. conference, ""Dark Matter""","astro-ph",,"  Recent progress in the measurement of relative distances to galaxies has been
quite substantial, and catalogs of 3000 galaxies with distances are soon to
become available. The peculiar {\it velocity} field (deviations from Hubble
flow) derivable from these catalogs, when compared to the peculiar {\it
gravity} field derived from all sky redshift surveys of galaxies such as the
1.2Jy IRAS survey, leads to a unique and extremely powerful test of the density
parameter $\beta \equiv \Omega^{0.6}/b_I$, where $b_I$ is the possible linear
bias of the IRAS selected galaxies relative to the mass fluctuations. We review
the status of these large scale flow measurements and present a new methodology
to describe the two fields by means of an expansion in a set of orthogonalized
functions describing a general potential flow to any chosen resolution. The
parameters of the flow can be estimated by minimization of the $\chi^2$
describing the scatter of observed versus predicted linewidths from an inverse
Tully-Fisher relation. By this method one can intercompare the gravity and
velocity fields coefficient by coefficient, deriving a precise fit for the
density parameter and an assessment of the degree of coherence between the
fields. The present situation is transitory-- different analyses of the same
data are not yielding consistent results. Until this embarassment is untangled,
estimates of $\beta$ should be taken with a large grain of salt.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 06:17:51 GMT""}]","2016-08-30"
"cond-mat/9501024","Leonid GLazman","Penny Clarke, L. I. Glazman, and K. A. Matveev","Theory of hopping magnetoresistance induced by Zeeman splitting","16 pages, 2 figures available on request from
  pclarke@physics.spa.umn.edu",,,,"cond-mat",,"  We present a study of hopping conductivity for a system of sites which can be
occupied by more than one electron. At a moderate on-site Coulomb repulsion,
the coexistence of sites with occupation numbers 0, 1, and 2 results in an
exponential dependence of the Mott conductivity upon Zeeman splitting $\mu_BH$.
We show that the conductivity behaves as $\ln\sigma= (T/T_0)^{1/4}F(x)$, where
$F$ is a universal scaling function of $x=\mu_BH/T(T_0/T)^{1/4}$. We find
$F(x)$ analytically at weak fields, $x \ll 1$, using a perturbative approach.
Above some threshold $x_{\rm th}$, the function $F(x)$ attains a constant
value, which is also found analytically. The full shape of the scaling function
is determined numerically, from a simulation of the corresponding ``two color''
dimensionless percolation problem. In addition, we develop an approximate
method which enables us to solve this percolation problem analytically at any
magnetic field. This method gives a satisfactory extrapolation of the function
$F(x)$ between its two limiting forms.
","[{""version"":""v1"",""created"":""Sun, 8 Jan 1995 23:33:14 GMT""}]","2016-08-31"
"cond-mat/9501025","Piet Brouwer","P.W. Brouwer (Instituut-Lorentz, Leiden, The Netherlands)","GENERALIZED CIRCULAR ENSEMBLE OF SCATTERING MATRICES FOR A CHAOTIC
  CAVITY WITH NON-IDEAL LEADS","15 pages, REVTeX-3.0, 2 figures, submitted to Physical Review B.","Phys.Rev.B 51 (1995) 16878","10.1103/PhysRevB.51.16878",,"cond-mat",,"  We consider the problem of the statistics of the scattering matrix S of a
chaotic cavity (quantum dot), which is coupled to the outside world by
non-ideal leads containing N scattering channels. The Hamiltonian H of the
quantum dot is assumed to be an M x N hermitian matrix with probability
distribution P(H) ~ det[lambda^2 + (H - epsilon)^2]^[-(beta M + 2- beta)/2],
where lambda and epsilon are arbitrary coefficients and beta = 1,2,4 depending
on the presence or absence of time-reversal and spin-rotation symmetry. We show
that this ``Lorentzian ensemble'' agrees with microscopic theory for an
ensemble of disordered metal particles in the limit M -> infinity, and that for
any M >= N it implies P(S) ~ |det(1 - \bar S^{\dagger} S)|^[-(beta M + 2 -
beta)], where \bar S is the ensemble average of S. This ``Poisson kernel''
generalizes Dyson's circular ensemble to the case \bar S \neq 0 and was
previously obtained from a maximum entropy approach. The present work gives a
microscopic justification for the case that the chaotic motion in the quantum
dot is due to impurity scattering.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 09:30:07 GMT""}]","2016-08-31"
"cond-mat/9501026","Mark Hindmarsh","Mark Hindmarsh","Where are the Hedgehogs in Nematics?","6 pages, latex, 1 figure (self-unpacking PostScript).",,"10.1103/PhysRevLett.75.2502","SUSX-TH-94/73 NI94028","cond-mat hep-ph",,"  In experiments which take a liquid crystal rapidly from the isotropic to the
nematic phase, a dense tangle of defects is formed. In nematics, there are in
principle both line and point defects (``hedgehogs''), but no point defects are
observed until the defect network has coarsened appreciably. In this letter the
expected density of point defects is shown to be extremely low, approximately
$10^{-8}$ per initially correlated domain, as result of the topology
(specifically, the homology) of the order parameter space.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 11:28:43 GMT""}]","2016-08-31"
"cond-mat/9501027",,"Paola Ranieri","Dynamic fluctuations in a Short-Range Spin Glass model","25 pages, LaTeX, 5 figures available upon request. Revised version,
  to be published on Journal de physique",,"10.1051/jp1:1996243",,"cond-mat",,"  We study the dynamic fluctuations of the soft-spin version of the
Edwards-Anderson model in the critical region for $T\rightarrow T_{c}^{+}$.
First we solve the infinite-range limit of the model using the random matrix
method. We define the static and dynamic 2-point and 4-point correlation
functions at the order $O(1/N)$ and we verify that the static limit obtained
from the dynamic expressions is correct. In a second part we use the functional
integral formalism to define an effective short-range Lagrangian $L$ for the
fields $\delta Q^{\alpha\beta}_{i}(t_{1},t_{2})$ up to the cubic order in the
series expansion around the dynamic Mean-Field value
$\overline{{Q}^{\alpha\beta}}(t_{1},t_{2})$. We find the more general
expression for the time depending non-local fluctuations, the propagators
$[\langle\delta Q^{\alpha\beta}_{i}(t_{1},t_{2}) \delta
Q^{\alpha\beta}_{j}(t_{3},t_{4})\rangle_{\xi}]_{J}$, in the quadratic
approximation. Finally we compare the long-range limit of the correlations,
derived in this formalism, with the correlations of the infinite-range model
studied with the previous approach (random matrices).
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 12:27:48 GMT""},{""version"":""v2"",""created"":""Thu, 7 Mar 1996 18:21:54 GMT""}]","2009-10-28"
"cond-mat/9501028","Juergen Koenig","J\""urgen K\""onig, Herbert Schoeller, Gerd Sch\""on and Rosario Fazio","Resonant Tunneling and Charging Effects, a Path Integral Approach","19 pages, latex, 6 figures (available on request)","NATO ASI Series E 291, 221 (1995)",,"TFP-95-1","cond-mat",,"  Electron tunneling through small metallic islands with low capacitance is
studied. The large charging energy in these systems is responsible for
nonperturbative Coulomb blockade effects. We further consider the effect of
electron interactions in the electrodes. In junctions with high resistance
compared to the quantum resistance transport can be described by sequential
tunneling. If the resistance is lower, quantum fluctuations, higher order
coherent processes, and eventually resonant tunneling become important. We
present a path integral real-time approach, which allows a systematic
diagrammatic classification of these processes. An important process is
``inelastic resonant tunneling'', where different electrons tunnel coherently
between the electrodes and the island. Physical quantities like the current and
the average charge on the island can be deduced. We find a strong
renormalization of the system parameters and, in addition, a finite lifetime
broadening. It results in a pronounced broadening and smearing of the Coulomb
oscillations of the conductance. These effects are important in an
experimentally accessible range of temperatures. The electron interaction in
the electrodes is modeled by a Luttinger liquid. It leads to non-analytic
kernels in the effective action. The diagrammatic expansions can be performed
also in this case, resulting in power-law current-voltage characteristics.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 15:29:00 GMT""}]","2016-08-31"
"cond-mat/9501029","Kazuhiro Kuboki","Kazuhiro Kuboki and Manfred Sigrist","Proximity-induced time-reversal symmetry breaking at Josephson junctions
  between unconventional superconductors","4 pages, RevTex, 3 figures upon request to kuboki@athena.mit.edu, a
  minor correction to the original version",,"10.1143/JPSJ.65.361",,"cond-mat",,"  We argue that a locally time-reversal symmetry breaking state can occur at
Josephson junctions between unconventional superconductors. Order parameters
induced by the proximity effect can combine with the bulk order parameter to
form such a state. This property is specifically due to the intrinsic phase
structure of the pairing wave function in unconventional superconductors.
Experimental consequences of this effect in high-temperature superconductors
are examined.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 15:40:11 GMT""},{""version"":""v2"",""created"":""Tue, 10 Jan 1995 16:12:14 GMT""}]","2016-08-31"
