"alg-geom/9501004","Dr. Mueller-Stach","Stefan M\""uller-Stach","${\bf C}^*$-extensions of tori, higher Chow groups and applications to
  incidence equivalence relations for algebraic cycles.","14 pages, Latex2e, no figures",,,,"alg-geom math.AG",,"  Let X be a smooth projective variety of dimension n. If $p+q=n+1$ then Bloch
has defined a ${\bf G}_m$-biextension E over the product of the Chow groups
$CH^p_0(X)$ and $CH^q_0(X)$ of homologically trivial cycles. We prove that E is
the pullback of the Poincare biextension over the product of intermediate
Jacobians in characteristic zero. This is used to study various equivalence
relations for algebraic cycles. In particular we reprove Murres result that
Griffiths conjecture holds for codimension two cycles, i.e. every codim. two
cycle algebraically and incidence equivalent to zero has torsion Abel-Jacobi
invariant.
","[{""version"":""v1"",""created"":""Tue, 10 Jan 1995 10:58:25 GMT""},{""version"":""v2"",""created"":""Fri, 13 Jan 1995 16:10:55 GMT""}]","2014-10-24"
"astro-ph/9501022","Andrzej Udalski","A. UDALSKI, M. KUBIAK, M. SZYMANSKI, J. KALUZNY, M. MATEO and W.
  KRZEMINSKI","THE OPTICAL GRAVITATIONAL LENSING EXPERIMENT. THE CATALOG OF PERIODIC
  VARIABLE STARS IN THE GALACTIC BULGE. I. PERIODIC VARIABLES IN THE CENTER OF
  THE BAADE'S WINDOW.","15 pages, 4 tables, 3 figures, 3 appendices. Uuencoded, gziped
  PostScript. Paper as appears in Acta Astronomica (1994) vol 44. p. 317.
  Appendices with the Catalog available at (148.81.8.1)
  ftp://sirius.astrouw.edu.pl/ogle/var_catalog/",,,,"astro-ph",,"  This paper is the first part of the Catalog of Periodic Variable Stars in the
Galactic bulge. The Catalog is based on observations collected during the OGLE
microlensing search. 213 periodic variable stars brighter than I=18 mag: 31
pulsating, 116 eclipsing and 66 miscellaneous type variables from the Baade's
Window BWC field are presented. Periodic variable stars from remaining 20
fields will be presented in similar form in the next parts of the Catalog. The
Catalog as well as observations of all periodic variable objects are available
to astronomical community over the Internet network.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 17:13:55 GMT""}]","2016-08-30"
"astro-ph/9501023","Denis Pollney","Stephen Leonard and Kayll Lake (Queen's University, Kingston, Ontario)","The Tinsley Diagram Revisited","8 pages, uses aasms.sty, 1 uuencoded PostScript figure appended,
  (accepted to appear in Ap.J.Letters)",,"10.1086/187788",,"astro-ph",,"  Motivated by the recent determinations of the Hubble constant $(H_0)$ from
observations of Cepheid variables in NGC4571 and M100, we plot the Tinsley
diagram with level curves of the cosmological constant $(\Lambda)$. Based on
current estimates of the absolute ages of globular clusters we conclude that
$\Lambda > 0$ and, irrespective of the background spatial curvature, the
universe will not recollapse. These conclusions hold for both relativistic and
Newtonian models and are {\it independent} of the density parameter.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 20:55:55 GMT""}]","2016-08-30"
"astro-ph/9501024","Arjun Berera","Arjun Berera (Dept of Physics, Pennsylvania State Univ) and Li-Zhi
  Fang","Thermally Induced Density Perturbations in the Inflation Era","8 pages, latex, In press Physical Review Letters 1995","Phys.Rev.Lett. 74 (1995) 1912-1915","10.1103/PhysRevLett.74.1912","AZPH-TH/94-8","astro-ph hep-ph hep-th",,"  The possibility of thermally induced initial density perturbations in
inflationary cosmology is examined. The fluctuation dynamics of a scalar field
plus thermal bath system during slow roll is described by a Langevin-like
equation. Fluctuation-dissipation arguments show that for a wide parameter
range within the standard inflation model, the thermal fluctuations of the
scalar field can dominate its quantum fluctuations. The initial amplitude of
density perturbations is found to lie in a range which is consistent with the
recent observations of cosmic temperature fluctuations.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 20:51:12 GMT""}]","2016-08-30"
"astro-ph/9501026","Andrew John Bunker","A.J. Bunker, S.J. Warren, P.C. Hewett and D.L. Clements","On Near-Infrared H-Alpha Searches for High-Redshift Galaxies","6 pages of LaTex using mn.sty (MNRAS style). Figure 1 is an image
  obtainable from the Authors by FTP. Contact a.bunker1@physics.ox.ac.uk for
  more details. Figure 2 is a Z-compressed, uuencoded postscript graph.",,"10.1093/mnras/273.2.513","University of Oxford pre-print, accepted by MNRAS","astro-ph",,"  The lack of success of Lyman-alpha searches for high-redshift (z>2) field
galaxies may be due to extinction by dust, suggesting that surveys based on
lines of longer wavelength, particularly H-alpha, may be more effective. To
test the dust hypothesis we have undertaken deep broad- (K') and narrow-band
(5000 km/s, 2.177 micron) imaging of the field towards the quasar PHL957, in an
attempt to detect H-alpha emission from a known galaxy of redshift z=2.313. We
cover an area of 4.9 square arcmin (0.28 h^{-2}Mpc^2) to a 4-sigma limiting
narrow-band flux f=2.7x10^{-16}erg/s/cm^2, a factor of several deeper than
previously published surveys. We detect the H-alpha+[N II] emission line in
this galaxy at the 3.3-sigma level, inferring a star formation rate of 18
h^{-2} solar masses per year. This is a factor only a few times larger than the
rate seen in some Sc galaxies today. The faint flux level reached in this work
demonstrates the promise of narrow-band imaging in the near-infrared as a
technique for finding normal galaxies at high redshifts.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 23:42:40 GMT""},{""version"":""v2"",""created"":""Tue, 10 Jan 1995 10:53:26 GMT""}]","2015-06-24"
"astro-ph/9501027","Keiichi Wada","Keiichi Wada, Asao Habe, and Yoshiaki Sofue","Effects of Starbursts on the Structure of Young Galaxies","10 pages, uuencoded compressed Postscript file, Hard copy figures
  will be sent upon request (wada@hipecs.hokudai.ac.jp)",,,"Paper accepted for publication in PASJ (vol.47, no.2, 1995)","astro-ph",,"  We have investigated the effects of primeval starbursts on the galactic
structure, showing that the dynamical structure of young galaxies is changed by
relaxation of a stellar system formed by a starburst-driven outflowing gas
(superwind). When a superwind interacts with halo gas, an expanding dense
supershell of shocked gas is formed. Using a similarity solution for the
expanding shell and a condition for the gravitational instability of a gaseous
shell, we show that an expanding gaseous shell with a mass of several $10^{10}
M_\odot$ and a radius of several kpc becomes gravitationally unstable to form
stars. A stellar shell is thus formed, relaxes and will evolve into a fat
stellar system. \par In order to investigate the fate of the stellar shell and
its dynamical influence on the host galaxy, we performed three dimensional
$N$-body simulations of a stellar shell plus disk system. The evolution of the
stellar shell was computed under two types of environment: an external
flattened potential and a live stellar disk. We find that the relaxation
process and resultant structure are significantly affected by the external disk
potential, and also depend on the velocity dispersion of the initial shell
stars and the mass of the shell. The final galactic structure ranges from a
thick disk and a compact bulge with a high density core to a thin disk with a
diffuse bulge. Isodensity maps of the computed disk plus bulge system resemble
isophotes of S0 galaxies. We suggest that the effects of primeval starbursts
would explain some observational properties of S0 galaxies.
","[{""version"":""v1"",""created"":""Tue, 10 Jan 1995 01:44:23 GMT""}]","2016-08-30"
"astro-ph/9501028",,"E.Branchini and M.Plionis","Reconstructing Positions and Peculiar Velocities of Galaxy Clusters
  within 20000 km/sec. I: The Cluster 3D Dipole","uuencoded-compressed-tarred PostScript file containing 17 pages +
  tables + 8 Figures.",,"10.1086/176993",,"astro-ph",,"  Starting from the observed distribution of galaxy clusters in redshift space
we use a two--step procedure to recover their distances and peculiar
velocities. After statistically correcting for the unobserved cluster
distribution in the zone of avoidance ($|b|\le 20^{\circ}$) and also for a
smooth absorption at higher $|b|$'s, we use a dynamical iterative algorithm to
recover the real--space cluster positions by minimizing the redshift space
distortions. The whole procedure assumes that clusters trace the mass, that
peculiar velocities are caused by gravity and that linear perturbation theory
applies. The amplitude of the cluster dipole measured in the 3D space turns out
to be $\sim 23\%$ less than that measured in redshift space. In both cases the
dipole direction is aligned with the Cosmic Microwave Background dipole within
$\sim 10^{\circ}$, taking into account the Virgocentric infall component of the
Local Group motion. Observational errors, limitations in the reconstruction
procedure and the intrinsic cosmological variance, which is the dominant source
of uncertainty, render a stringent determination of the $\beta$ parameter whose
central value turns out to be $\beta \approx 0.2$ while its total uncertainty
is $\pm 0.1$. This implies that for a cluster-mass bias parameter of $\sim 5$,
a flat Universe is not excluded, contrary to previous cluster-dipole $z$-space
analysis.
","[{""version"":""v1"",""created"":""Tue, 10 Jan 1995 10:28:48 GMT""},{""version"":""v2"",""created"":""Thu, 12 Jan 1995 08:23:00 GMT""}]","2016-08-30"
"astro-ph/9501029","A. A. Mahabal","Ashish Mahabal, Ajit Kembhavi (IUCAA); K. P. Singh, P. N. Bhat (TIFR);
  T. P. Prabhu (IIA)","A Dust Lane in the Radio galaxy 3C270","To appear in ApJ. Added a plate and minor elaboration of a procedure.
  17 pages in LaTeX. 6 figures and 2 plates not included. These and the paper
  are available by anonymous ftp at ftp://144.16.31.6/pub/n4261 and at
  http://iucaa.iucaa.ernet.in/~aam/www/papers/n4261","Astrophys.J. 457 (1996) 598","10.1086/176755","IUCAA-94-36","astro-ph",,"  We present broad band surface photometry of the radio galaxy 3C270
(NGC~4261). We find a distinct dust lane in the $V-R$ image of the galaxy, and
determine its orientation and size. We use the major axis profile of the galaxy
to estimate the optical depth of the dust lane, and discuss the significance of
the lane to the shape of the galaxy.
","[{""version"":""v1"",""created"":""Tue, 10 Jan 1995 14:28:31 GMT""},{""version"":""v2"",""created"":""Tue, 1 Aug 1995 16:29:00 GMT""}]","2009-10-28"
"astro-ph/9501030","Peter Biermann","Peter L. Biermann","SUPERNOVA BLASTWAVES AND PRE-SUPERNOVA WINDS: THEIR COSMIC RAY
  CONTRIBUTION","Invited review chapter for ""Cosmic Winds and the Heliosphere"", Eds.
  J.R. Jokipii, C.P. Sonett, M.S. Giampapa, Tucson, University of Arizona
  Press, 76 pages, no figures, uuencoded",,,"MPIfR 618","astro-ph",,"  Supernova explosions into predecessor stellar winds can lead to particle
acceleration, which we suggest can explain most of the observed cosmic rays of
the nuclei of Helium and heavier elements, from GeV in particle energies up to
near $3 \, 10^9$ GeV, as well as electrons above about 30 GeV. We go through
the following steps:
  1) Using a postulated underlying principle that leads to transport
coefficients in a turbulent plasma, we derive the properties of energetic
particles accelerated in spherical shocks.
  2) We suggest that a dynamo working in the inner convection zone of an upper
main sequence star can lead to high magnetic field strengths.
  3) Such magnetic fields may put additional momentum into stellar winds from
the pressure gradient of the toroidal field.
  4) We derive a lower limit for the magnetic field strengths.
  5) There appears to be a critical Alfv\'enic Machnumber for electron
injection. With this concept we propose an explanation for the observed
proton/electron ratio in galactic cosmic rays at GeV energies.
  6) We check the model prediction quantitatively on cosmic ray spectrum and
chemical composition against airshower data and further cosmic ray data.
  7) Finally, we summarize various important caveats, and outline important
next steps as well as checks.
","[{""version"":""v1"",""created"":""Tue, 10 Jan 1995 11:40:38 GMT""}]","2016-08-30"
"astro-ph/9501031",,"G. H. Chen (Massachusetts Institute of Technology), C. S. Kochanek
  (Harvard-Smithsonian Center for Astrophysics and Department of Astronomy), J.
  N. Hewitt (Massachusetts Institute of Technology)","The Mass Distribution of the Lens Galaxy in MG1131+0456","47 pages. There are 2 Postscript files in the package.",,"10.1086/175857",,"astro-ph",,"  We present the results of modeling 5, 8 and 15 GHz maps of the gravitational
lens MG1131+0456 using the LensClean algorithm. Two models for the mass
distribution in the lens were fit: a de Vaucouleurs model and a model with the
two-dimensional potential phi = b^{2-alpha}(r^2+s^2)^{alpha/2}/2alpha, both in
an external shear field. The best fit de Vaucouleurs model has an effective
radius of R_e = 0.83+-0.13 arcseconds, larger than that measured at optical
wavelengths. The best fit ``alpha model'' has alpha=0.6+-0.2 and a core radius
of s = 0.19 +- 0.07 arcseconds. An isothermal model (alpha=1) is inconsistent
with the data. The best alpha model fits the 8 GHz map significantly better
than the best de Vaucouleurs model. Although it is difficult to distinguish
visually the original image and the reconstructions, none of the models is
statistically consistent with the data. We believe the primary problem is that
an external shear is an inadequate model for the angular structure of the lens
galaxy. The finite core radius in the models is required by the structure of
the extended ring, so we confirm that the central component in the 8 GHz map is
a central, lensed image of the source rather than the lens galaxy. The model
lens positions, the position angle of the shear, and the mass interior to the
ring are determined very precisely by the lens models. The time delay between
the compact components is predicted with an uncertainty we estimate to be at
most +- 9%; the formal uncertainty is +- 4%.
","[{""version"":""v1"",""created"":""Tue, 10 Jan 1995 15:00:56 GMT""}]","2016-08-30"
"chao-dyn/9501006","Dr. Timm Plefka","Timm Plefka (TH-Darmstadt, D-64289 Darmstadt, Germany)","Formation of Dynamic Domains in Strongly Driven Ferromagnets","to be published in Phys. Rev. Letters, RevTeX, 4 pages, figures
  available via ftp@athene.fkp.physik.th-darmstadt.de in
  /pub/publications/timm/letter94 (postscript, plain or gziped)",,"10.1103/PhysRevLett.75.144",,"chao-dyn nlin.CD",,"  Based on the dissipative Landau-Lifshitz equation, the spatiotemporal
structure formation problem is investigated in the region far above the
transverse ferromagnetic resonance instability. Apart from the external fields,
the model contains an isotropic exchange field, a shape demagnetisation field
and an anisotropy field. Numerical simulations exhibit in the rotating frame a
stationary domain structure with a precessing motion in the walls regimes.
Employing analytical methods, characteristic elements of this structure are
explained. This driven dissipative system shows similarities to equilibrium
systems of coexisting phases and organises itself in such a way that the local
dynamics tends to become hamiltonian.
","[{""version"":""v1"",""created"":""Tue, 10 Jan 1995 12:03:13 GMT""},{""version"":""v2"",""created"":""Fri, 5 May 1995 10:02:50 GMT""}]","2009-10-28"
