"alg-geom/9501013","Sebastian del Bano Rollin","Sebastian del Bano Rollin","The motive of some moduli spaces of vector bundles over a curve","21 pages AMS-TEX",,,,"alg-geom math.AG",,"  We study the motive of the moduli spaces of semistable rank two vector
bundles over an algebraic curve. When the degree is odd the moduli space is a
smooth projective variety, we obtain the absolute Hodge motive of this, and in
particular the Hodge-Poincare polynomial. When the degree is even the moduli
space is a singular projective variety, we compute pure Euler characteristics
and show that only two weights can occur in each cohomology group, we also see
that its cohomology is pure up to a certain degree. As a by-product we obtain
the isogeny type of some intermediate jacobians of the moduli spaces.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 08:34:40 GMT""}]","2015-06-30"
"astro-ph/9501106","Chris Aikman","T.J. Davidge and M. Grinder","STELLAR POPULATION GRADIENTS IN BRIGHT CLUSTER GALAXIES AT z=0.2","48 pages, latex, figures available upon request to first author
  (davidge@dao.nrc.ca). To appear in the Astronomical Journal.",,"10.1086/117373","DAO-95-02","astro-ph",,"  Slit spectra, covering the rest frame near-ultraviolet and blue wavelength
regions, are combined with moderately deep g and R images to investigate radial
population gradients in the brightest components of six z=0.2 galaxy clusters
selected by x-ray brightness. We conclude that the brightest cluster galaxies
(BCGs) of the EMSS0440+02, EMSS0906+11 and EMSS1231+15 clusters have global
stellar contents resembling nearby elliptical galaxies. The BCGs in the
clusters EMSS0839+29, EMSS1455+22 and Abell2390 are complicated by ionized gas,
which is detected over large portions of all three systems. Radial color
variations are detected in the majority of galaxies and, for those systems not
showing extended [OII] emission, the weakening of D4000 (which measures the
4000 Angstrom break in magnitudes) with radius falls in the upper range of what
is seen among nearby ellipticals. However, there is no correlation between
local D4000 values and (g-r), suggesting that these quantities are sensitive to
different parameters. We estimate the metallicity sensitivity of D4000 using a
combination of observational and theoretical data, and find metallicity
gradients for BCGs which are relatively steep, and in qualitative agreement
with predictions for galaxies which experience a single monolithic dissipative
collapse. Line gradients measured with respect to g surface brightness show
excellent galaxy-to-galaxy consistency, and are in good agreement with what has
been measured in Coma cluster galaxies. The presence of significant stellar
population gradients in the BCGs suggests that the material from which they
formed experienced dissipation during the collapse phases, and it seems likely
that these galaxies could not have formed solely from the merging of gas-poor
galaxies.
","[{""version"":""v1"",""created"":""Mon, 30 Jan 1995 21:20:15 GMT""}]","2016-08-30"
"astro-ph/9501107","Andreas O. Jaunsen","A.O. Jaunsen, M. Jablonski, B.R. Pettersen and R. Stabell","The NOT GL survey for multiply imaged quasars","12 pages (including figures) uuencoded compressed Postscript file.
  Accepted for publication in Astronomy & Astrophysics.","Astron. Astrophys., 300, 323 (1995)",,"Preprint nr.22 (Institute for theoretical astrophysics, UiO, Norway)","astro-ph",,"  A gravitational lens (GL)-search program, initiated in 1990 at the Nordic
Optical Telescope (NOT), has revealed several possible GL-candidates among a
sample of 168 quasars (QSOs), chosen from three lists compiled by C. Hazard, D.
Reimers and J. Surdej, respectively. Some of these candidates, selected for
having close companions (within 5 arcseconds), were imaged in several filters
and their colours compared. Low dispersion spectra of the most promising
candidates were also obtained at the NOT and ESO New Technology Telescope
(NTT). None of these has proved to be strong candidates of gravitational
lensing effects. We present this new sample of QSOs and combine it with
previously published optical QSO samples in a statistical analysis to yield
constraints on flat cosmologies and galaxy velocity dispersions. Finally, by
simulating larger samples of quasars and gravitational lenses, we discuss how
the uncertainties affecting our present results would be changed.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 11:32:58 GMT""}]","2016-08-30"
"astro-ph/9501108",,"W.N. Brandt, K.A. Pounds, H. Fink","THE UNUSUAL X-RAY AND OPTICAL PROPERTIES OF THE ULTRASOFT AGN ZWICKY
  159.034 (RE J 1237+264)","5 pages, uuencoded compressed postscript, ps figs available by email
  from wnb@mail.ast.cam.ac.uk, MNRAS in press",,"10.1093/mnras/273.1.L47",,"astro-ph",,"  Zwicky 159.034, one of the Seyfert galaxies identified with EUV sources
detected during the ROSAT Wide Field Camera (WFC) all-sky survey, has unusual
properties. The ROSAT Position Sensitive Proportional Counter (PSPC) 0.1--2.5
keV X-ray spectrum, obtained simultaneously with the WFC survey, appears
extremely steep. Subsequent deeper pointed observations with ROSAT revealed
that its 0.1--2.5 keV count rate had decreased by an extremely large amount (a
factor of about 70). This is comparable to the variability amplitude seen in
another ultrasoft Seyfert, E1615+061. There appears to be about 10 times as
much flux in the soft component as in any expected hard tail suggesting that,
in the absence of partial covering of the hard flux, the soft flux cannot arise
via reprocessing of the hard tail. Its peculiar optical spectrum has permitted
lines with widths about 1200--1500 km s^{-1}, and forbidden lines are weak or
absent. Its optical spectrum shows evidence for variability, and might be used
to study the role reprocessed X-rays play in the formation of optical lines.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 11:00:37 GMT""}]","2016-06-08"
"astro-ph/9501109",,"Kazuhiro Yamamoto, Misao Sasaki and Takahiro Tanaka","Large Angle CMB Anisotropy in an Open Universe in the One-Bubble
  Inflationary Scenario","8 pages, 6 figures, uuencoded compressed PS file","Astrophys.J.455:412-418,1995","10.1086/176588","KUNS1309","astro-ph gr-qc",,"  We consider an alternative scenario of inflation which can account for a
spatially open universe. It is similar to the old inflation in which the bubble
nucleation occurs in the sea of false vacuum, but differs from it in that the
second slow rollover inflation occurs inside a nucleated bubble. Hence our
observable universe is entirely contained in one nucleated bubble. The
significance of the scenario is that apart from a variance due to model
parameters it gives us a definite prediction on the spectrum of the primordial
density perturbations, hence is observationally testable. Here we investigate
the spectrum of CMB anisotropies on large angular scales. We find that the
contribution from peculiar modes which never appear in the usual harmonic
analysis is significant in the case $\Omega_0\lesssim0.1$.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 11:00:17 GMT""}]","2016-08-30"
"astro-ph/9501110","Franz Schoeniger","F. Schoeniger, Y. Sofue,","The CO Tully-Fisher Relation for the Virgo Cluster,","8 pages, Plain Tex, Univ. Figures upon request (or in postscript)",,,"Univ. Tokyo Astro Preprint No. 95-03","astro-ph",,"  A comparison between the CO and HI Tully-Fisher relation for a sample of 30
Virgo ga\-la\-xies shows no significant difference concerning the intrinsic
scatter. The distance moduli from both relations after correcting for the
sample incompleteness bias agree within the errors and also show no significant
difference with previous studies of the Virgo cluster using a complete sample.
The CO total linewidth and the CO flux were found to be not well correlated.
However, if the distances to the individual galaxies were calculated by the CO
Tully-Fisher relation, the CO luminosities calculated using these distances are
correlated with the CO linewidths. This correlation does not show up when the
distances were calculated by the conventional HI Tully-Fisher relation. Finally
we give the structure of the cluster as derived from this small subsample using
the distances to the individual galaxies. The large depth of the cluster is
confirmed both by the HI and the CO Tully-Fisher relation.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 11:42:04 GMT""}]","2016-08-30"
"astro-ph/9501111","Lauro Moscardini","Claudio Gheller, Lauro Moscardini and Ornella Pantano","COLLISIONAL VERSUS COLLISIONLESS MATTER: A ONE-DIMENSIONAL ANALYSIS OF
  GRAVITATIONAL CLUSTERING","7 pages Latex (MN style) + 10 figures in postscript files, uuencoded
  submitted to MNRAS","Mon.Not.Roy.Astron.Soc. 283 (1996) 1184","10.1093/mnras/283.4.1184","SISSA-11-95-A","astro-ph",,"  We present the results of a series of one-dimensional N-body and
hydrodynamical simulations which have been used for testing the different
clustering properties of baryonic and dark matter in an expanding background.
Initial Gaussian random density perturbations with a power-law spectrum $P(k)
\propto k^n$ are assumed. We analyse the distribution of density fluctuations
and thermodynamical quantities for different spectral indices $n$ and discuss
the statistical properties of clustering in the corresponding simulations. At
large scales the final distribution of the two components is very similar while
at small scales the dark matter presents a lumpiness which is not found in the
baryonic matter. The amplitude of density fluctuations in each component
depends on the spectral index $n$ and only for $n=-1$ the amplitude of baryonic
density fluctuations is larger than that in the dark component. This result is
also confirmed by the behaviour of the bias factor, defined as the ratio
between the r.m.s of baryonic and dark matter fluctuations at different scales:
while for $n=1,\ 3$ it is always less than unity except at very large scales
where it tends to one, for $n=-1$ it is above 1.4 at all scales. All
simulations show also that there is not an exact correspondence between the
positions of largest peaks in dark and baryonic components, as confirmed by a
cross-correlation analysis. The final temperatures depend on the initial
spectral index: the highest values are obtained for $n=-1$ and are in proximity
of high density regions.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 12:42:49 GMT""}]","2015-06-24"
"astro-ph/9501112","Oleg Gnedin","Oleg Y. Gnedin, Jeremy Goodman, and Zsolt Frei (Princeton University
  Observatory)","MEASURING SPIRAL ARM TORQUES: RESULTS FOR M100","Uuencoded compressed PostScript (300k) - 26 pages, figs. 3-9;
  submitted to AJ. Full PostScript version (with all figures) is available
  through anonymous ftp at ftp://astro.princeton.edu/ognedin/Torque/paper.ps or
  ftp://astro.princeton.edu/library/preprints/pop613.ps.Z or through WWW
  http://www.astro.princeton.edu/~library/prep.html",,"10.1086/117590","Princeton Observatory Preprint POP-613","astro-ph",,"  Spiral arms, if they are massive, exert gravitational torques that transport
angular momentum radially within galactic disks. These torques depend not on
the pattern speed or permanence of the arms but only on the nonaxisymmetric
mass distribution. Hence the torques can be measured from photometry. We
demonstrate this using $gri$ CCD data for M100 (NGC 4321). Since we find
consistency among the three bands, we believe that dust and young stars in the
arms do not seriously bias our results. If the present epoch is representative,
the timescale for redistribution of angular momentum in M100 is $5-10$ Gyr, the
main uncertainty being the mass-to-light ratio of the disk.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 14:56:42 GMT""}]","2016-08-30"
"astro-ph/9501113",,"David H. Lyth","THE GRISHCHUK-ZELDOVICH EFFECT IN THE OPEN UNIVERSE","5 pages latex; Munich conference report summarizing astro-ph/9501044
  with an improved discussion of the physical significance.","Annals N.Y.Acad.Sci.759:701,1995","10.1111/j.1749-6632.1995.tb17639.x",,"astro-ph gr-qc hep-ph",,"  When considering perturbations in an open universe, cosmologists retain only
sub-curvature modes (defined as eigenfunctions of the Laplacian whose
eigenvalue is less than $-1$ in units of the curvature scale, in contrast with
the super-curvature modes whose eigenvalue is between $-1$ and $0$).
Mathematicians have known for almost half a century that all modes must be
included to generate the most general {\em homogeneous Gaussian random field},
despite the fact that any square integrable {\em function} can be generated
using only the sub-curvature modes. The former mathematical object, not the
latter, is the relevant one for physical applications. This article summarizes
recent work with A. Woszczyna. The mathematics is briefly explained in a
language accessible to physicists. Then the effect on the cmb of any
super-curvature contribution is considered, which generalizes to $\Omega_0<1$
the analysis given by Grishchuk and Zeldovich in 1978.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 14:10:31 GMT""}]","2010-04-29"
"chao-dyn/9501018",,"N. Lehmann, D.V. Savin, V.V. Sokolov, H.-J. Sommers","Time Delay Correlations in Chaotic Scattering: Random Matrix Approach","15 pages, LaTeX, 4 figures availible upon request","Physica D 86 (1995) 572-585","10.1016/0167-2789(95)00185-7","BINP 94-99","chao-dyn cond-mat nlin.CD nucl-th",,"  We study the correlations of time delays in a model of chaotic resonance
scattering based on the random matrix approach. Analytical formulae which are
valid for arbitrary number of open channels and arbitrary coupling strength
between resonances and channels are obtained by the supersymmetry method. We
demonstrate that the time delay correlation function, though being not a
Lorentzian, is characterized, similar to that of the scattering matrix, by the
gap between the cloud of complex poles of the $S$-matrix and the real energy
axis.
","[{""version"":""v1"",""created"":""Mon, 30 Jan 1995 18:24:32 GMT""}]","2015-06-24"
"chao-dyn/9501019",,"I.Guarneri (Como), K.Zyczkowski & J.Zakrzewski (Krakow), L.Molinari
  (Milano), G.Casati (Como)","Parametric Spectral Correlations of Disordered Systems in the Fourier
  Domain","18 pages, RevTex, 15 figs. available on request from
  guarneri@mvcomo.fis.unico.it","Phys. Rev. E52, 2220 (1995)","10.1103/PhysRevE.52.2220","DISCO-44","chao-dyn cond-mat nlin.CD",,"  A Fourier analysis of parametric level dynamics for random matrices
periodically depending on a phase is developed. We demonstrate both
theoretically and numerically that under very general conditions the
correlation $C(\varphi )$ of level velocities is singular at $\varphi =0$ for
any symmetry class; the singularity is revealed by algebraic tails in Fourier
transforms, and is milder, the stronger the level repulsion in the chosen
ensemble. The singularity is strictly connected with the divergence of the 2nd
moments of level derivatives of appropriate order, and its type is specified to
leading terms for Gaussian, stationary ensembles of GOE, GUE, GSE types, and
for the Gaussian ensemble of Periodic Banded Random Matrices, in which a
breaking of symmetry occurs. In the latter case, we examine the behaviour of
correlations in the diffusive regime and in the localized one as well, finding
a singularity like that of pure GUE cases. In all the considered ensembles we
study the statistics of the Fourier coefficients of eigenvalues, which are
Gaussian distributed for low harmonics, but not for high ones, and the
distribution of kinetic energies.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 14:55:21 GMT""}]","2009-10-28"
