"adap-org/9501005","Tsuyoshi Mizuguchi","Tsuyoshi Mizuguchi and Masaki Sano (Research Institute of Electrical
  Communication Tohoku University, Sendai 980-77, Japan)","Proportion Regulation in Globally Coupled Nonlinear Systems","11 pages (revtex format) and 5 figures (PostScript).",,"10.1103/PhysRevLett.75.966",,"adap-org nlin.AO",,"  As a model of proportion regulation in differentiation process of biological
system, globally coupled activator-inhibitor systems are studied. Formation and
destabilization of one and two cluster state are predicted analytically.
Numerical simulations show that the proportion of units of clusters is chosen
within a finite range and it is selected depend on the initial condition.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 10:59:00 GMT""}]","2015-06-30"
"alg-geom/9502001",,"David B. Jaffe and Daniel Ruberman","A sextic surface cannot have 66 nodes","19 pages; the body of the paper is distributed as a compressed
  postscript file at ftp://mathlab03.unl.edu/pub/faculty/jaffe/sextic.Z The
  paper will print nicely on a 600 dpi printer; on lower resolution printers,
  one picture will be blurred. Hard copy is available from the authors:
  jaffe@cpthree.unl.edu, ruberman@maths.ox.ac.uk",,,,"alg-geom math.AG",,"  Let S be a surface in complex projective 3-space, having only nodes as
singularities. Suppose that S has degree 6. We show that the maximum number of
nodes which S can have is 65.
  An abbreviated history of this is as follows. Basset showed that S can have
at most 66 nodes. Catanese and Ceresa and Stagnaro constructed sextic surfaces
having 64 nodes. Barth has recently exhibited a 65 node sextic surface. We
complete the story by showing that S cannot have 66 nodes.
  Let f: S~ --> S be a minimal resolution of singularities. A set N of nodes on
S is even if there exists a divisor Q on S~ such that 2Q ~ f^{-1}(N). We show
that a nonempty even set of nodes on S must have size 24, 32, 40, 56, or 64.
This result is key to showing the nonexistence of the 66 node sextic.
  We do not know if a sextic surface can have an even node set of size 56 or
64. The existence or nonexistence of large even node sets is related to the
following vanishing problem. Let S be a normal surface of degree s in CP^3. Let
D be a Weil divisor on S such that D is Q-rationally equivalent to rH, for some
r \in \Q. Under what circumstances do we have H^1(O_S(D)) = 0? For instance,
this holds when r < 0. For s=4 and r=0, H^1 can be nonzero. For s=6 and r=0, if
a 56 or 64 node even set exists, then H^1 can be nonzero. The vanishing of H^1
is also related to linear normality, quadric normality, etc. of set-theoretic
complete intersections in P^3.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 14:41:10 GMT""}]","2008-02-03"
"astro-ph/9501114","Konrad Kuijken","Konrad Kuijken & Michael R. Merrifield","ESTABLISHING THE CONNECTION BETWEEN PEANUT-SHAPED BULGES AND GALACTIC
  BARS","Plain TeX (8 p) + 3 postscript figures. uuencoded, gzipped tar file.
  (420MB). Accepted for ApJLett.","Astrophys.J. 443 (1995) L13","10.1086/187824",,"astro-ph",,"  It has been suggested that the peanut-shaped bulges seen in some edge-on disk
galaxies are due to the presence of a central bar. Although bars cannot be
detected photometrically in edge-on galaxies, we show that barred potentials
produce a strong kinematic signature in the form of double-peaked line-of-sight
velocity distributions with a characteristic ``figure-of-eight'' variation with
radius. We have obtained spectroscopic observations of two edge-on galaxies
with peanut-shaped bulges (NGC~5746 and NGC~5965), and they reveal exactly such
line-of-sight velocity distributions in both their gaseous (emission line) and
their stellar (absorption line) components. These observations provide strong
observational evidence that peanut-shaped bulges are a by-product of bar
formation.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 17:27:43 GMT""}]","2016-08-30"
"astro-ph/9501115","Enrique Gaztanaga","Enrique Gazta\~naga, Rupert Croft and Gavin Dalton","Variance, Skewness & Kurtosis: results from the APM Cluster Redshift
  Survey and model predictions","12 pages PostScript, 12 figures","Mon.Not.Roy.Astron.Soc. 276 (1995) 336","10.1093/mnras/276.1.336",,"astro-ph",,"  We estimate the variance $\xibar_2$, the skewness $\xibar_3$ and the kurtosis
$\xibar_4$ in the distribution of density fluctuations in a complete sample
from the APM Cluster Redshift Survey with 339 clusters and a mean depth $ \sim
250\Mpc$. We are able to measure the statistics of fluctuations in spheres of
radius $R \simeq 5-80 \Mpc$, with reasonable errorbars. The statistics in the
cluster distribution follow the hierarchical pattern
$\xibar_J=S_J~\xibar_2^{J-1}$ with $S_J$ roughly constant, $S_3 \simeq 2$ and
$S_4 \sim 8$. We analyse the distribution of clusters taken from N-body
simulations of different dark matter models. The results are compared with an
alternative method of simulating clusters which uses the truncated Zel'dovich
approximation. We argue that this alternative method is not reliable enough for
making quantitative predictions of $\xibar$. The N-body simulation results
follow similar hierarchical relations to the observations, with $S_J$ almost
unaffected by redshift distortions from peculiar motions. The standard
$\Omega=1$ Cold Dark Matter (CDM) model is inconsistent with either the second,
third or fourth order statistics at all scales. However both a hybrid Mixed
Dark Matter model and a low density CDM variant agree with the $\xibar_J$
observations.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 18:39:53 GMT""}]","2015-06-24"
"astro-ph/9501116",,"Yun Wang (Fermilab)","Simple Analytical Methods for Computing the Gravity-Wave Contribution to
  the Cosmic Background Radiation Anisotropy","The Boltzmann curve is updated, which leads to small corrections.
  LaTeX, 15 pages, 6 figures available via anonymous ftp at
  ftp://fnas08.fnal.gov/pub/Personal/ywang/","Phys.Rev. D53 (1996) 639-644","10.1103/PhysRevD.53.639","FERMILAB-Pub-95/013-A","astro-ph hep-ph",,"  We present two simple analytical methods for computing the gravity wave
contribution to the cosmic background radiation (CBR) anisotropy in
inflationary models; one method uses a time-dependent transfer function, the
other method uses an approximate gravity-wave mode function which is a simple
combination of the lowest order spherical Bessel functions. We compare the CBR
anisotropy tensor multipole spectrum computed using our methods with the
previous result of the highly accurate numerical method, the ``Boltzmann''
method. Our time-dependent transfer function is more accurate than the
time-independent transfer function found by Turner, White, and Lidsey; however,
we find that the transfer function method is only good for $l \la 120$. Using
our approximate gravity-wave mode function, we obtain much better accuracy; the
tensor multipole spectrum we find differs by less than 2\% for $l \la 50$, less
than 10\% for $l \la 120$, and less than 20\% for $l \leq 300$ from the
``Boltzmann'' result. Our approximate graviton mode function should be quite
useful in studying tensor perturbations from inflationary models.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 23:09:26 GMT""},{""version"":""v2"",""created"":""Mon, 7 Aug 1995 20:01:53 GMT""}]","2009-10-28"
"astro-ph/9502001","Tsvi Piran","Ehud Cohen and Tsvi Piran","The Distribution Of Cosmological $\gamma$-ray Bursts","9 pages, uuencoded file, 4 figures included, can also be obtained
  from ftp://shemesh.fiz.huji.ac.il or at <http://shemesh.fiz.huji.ac.il/>
  (Accepted for publication in the Astrophysical Journal Letters)","Astrophys.J. 444 (1995) L25","10.1086/187851",,"astro-ph",,"  We compare the burst distribution of the new (2B) BATSE catalogue to a
cosmological distribution. The observed distribution agrees well with a
cosmological one, however, it is insensitive to cosmological parameters such as
$\O$ and $\Lambda$. The bursts are not necessarily standard candles and their
luminosity can vary by up to a factor of ten. The maximal red shift, $\zm$, of
bursts longer than 2 sec is $2.1^{+1.}_{-.7}$ (assuming no evolution). The
present data is insufficient to determine maximal red shift, $\zm$, of bursts
shorter than 2 sec.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 14:14:07 GMT""}]","2009-10-28"
"chao-dyn/9501020","Dr. Bao-Wen Li. Camtp.","Baowen Li and Marko Robnik (Center for Applied Mathematics and
  Theoretical Physics University of Maribor, Krekova 2, SLO-62000 Maribor,
  Slovenia)","Geometry of high-lying eigenfunctions in a plane billiard system having
  mixed type classical dynamics","23 pages, file in plain LaTeX, 9 figures upon request submitted to J.
  Phys. A. Math. Gen. in October 1994","J. Phys. A: Math. Gen. 28 (1995) 2799","10.1088/0305-4470/28/10/012","CAMTP/94-8","chao-dyn nlin.CD",,"  In this work we study the geometrical properties of the high-lying
eigenfunctions (200,000 and above) which are deep in the semiclassical regime.
The system we are analyzing is the billiard system inside the region defined by
the quadratic (complex) conformal map $w = z + \lambda z^{2}$ of the unit disk
$|z| \le 1$ as introduced by Robnik (1983), with the shape parameter value
$\lambda = 0.15$, so that the billiard is still convex and has KAM-type
classical dynamics, where regular and irregular regions of classical motion
coexist in the classical phase space. By inspecting 100 and by showing 36
consecutive numerically calculated eigenfunctions we reach the following
conclusions: (1) Percival's (1973) conjectured classification in regular and
irregular states works well: the mixed type states ""living"" on regular {\em
and} irregular regions disappear in the semiclassical limit. (2) The irregular
(chaotic) states can be strongly localized due to the slow classical diffusion,
but become fully extended in the semiclassical limit when the break time
becomes sufficiently large with respect to the classical diffusion time. (3)
Almost all states can be clearly associated with some relevant classical object
like invariant torus, cantorus or periodic orbits. This paper is largely
qualitative but deep in the semiclassical limit and as such it is a prelude to
our next paper which is quantitative and numerically massive but at about ten
times lower energies.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 10:23:49 GMT""}]","2009-10-28"
"chao-dyn/9501021","Dr. Bao-Wen Li. Camtp.","Baowen Li and Marko (Robnik Center for Applied Mathematics and
  Theoretical Physics University of Maribor, Krekova 2, SLO-62000 Maribor,
  Slovenia)","Separating the regular and irregular energy levels and their statistics
  in Hamiltonian system with mixed classical dynamics","20 pages, file in plain LaTeX, 7 figures upon request submitted to J.
  Phys. A. Math. Gen. in December 1994","J. Phys. A.: Mathe. Gen. 28 (1995) 4843","10.1088/0305-4470/28/17/017","CAMTP/94-10","chao-dyn nlin.CD",,"  We look at the high-lying eigenstates (from the 10,001st to the 13,000th) in
the Robnik billiard (defined as a quadratic conformal map of the unit disk)
with the shape parameter $\lambda=0.15$. All the 3,000 eigenstates have been
numerically calculated and examined in the configuration space and in the phase
space which - in comparison with the classical phase space - enabled a clear
cut classification of energy levels into regular and irregular. This is the
first successful separation of energy levels based on purely dynamical rather
than special geometrical symmetry properties. We calculate the fractional
measure of regular levels as $\rho_1=0.365\pm 0.01$ which is in remarkable
agreement with the classical estimate $\rho_1=0.360\pm 0.001$. This finding
confirms the Percival's (1973) classification scheme, the assumption in
Berry-Robnik (1984) theory and the rigorous result by Lazutkin (1981,1991). The
regular levels obey the Poissonian statistics quite well whereas the irregular
sequence exhibits the fractional power law level repulsion and globally
Brody-like statistics with $\beta = 0.286\pm0.001$. This is due to the strong
localization of irregular eigenstates in the classically chaotic regions.
Therefore in the entire spectrum we see that the Berry-Robnik regime is not yet
fully established so that the level spacing distribution is correctly captured
by the Berry-Robnik-Brody distribution (Prosen and Robnik 1994).
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 10:25:34 GMT""}]","2009-10-28"
"chao-dyn/9501022","Dr. Bao-Wen Li. Camtp.","Baowen Li and Marko Robnik (Center for Applied Mathematics and
  Theoretical Physics University of Maribor, Krekova 2, SLO-62000 Maribor,
  Slovenia)","SUPPLEMENT TO THE PAPER: Separating the regular and irregular energy
  levels and their statistics in Hamiltonian system with mixed classical
  dynamics","4 pages, file in plain LaTeX, 17 figures upon request",,,"CAMTP/94-11","chao-dyn nlin.CD",,"  As a technical supplement to the above mentioned paper we present 192
consecutive eigenstates for the Robnik billiard with the shape parameter
$\lambda=0.15$ from 10,001st to 10,192nd, by showing the plots in the
configuration space and in the phase space. The latter is smoothed projection
of the Wigner function onto the surface of section. By comparison with the
classical SOS plots we thus examine all eigenstates and classify them in
regular and irregular: There are 70 regular states and 122 irregular states,
thus giving the estimate of the relative measure of the regular component
$\rho_1=0.365$, which is in excellent agreement with the classical value
$\rho_1=0.360$ calculated and reported by Prosen and Robnik (1993).
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 10:29:44 GMT""}]","2008-02-03"
"chao-dyn/9501023","Per Dahlqvist","Per Dahlqvist (Royal Institute of Technology, Stockholm)","On the duality between periodic orbit statistics and quantum level
  statistics","8 pages LaTeX",,"10.1088/0305-4470/28/17/009",,"chao-dyn nlin.CD",,"  We discuss consequences of a recent observation that the sequence of periodic
orbits in a chaotic billiard behaves like a poissonian stochastic process on
small scales. This enables the semiclassical form factor $K_{sc}(\tau)$ to
agree with predictions of random matrix theories for other than infinitesimal
$\tau$ in the semiclassical limit.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 15:28:26 GMT""}]","2009-10-28"
"chao-dyn/9501024","Niall Whelan","B.Lauritzen and N.D. Whelan (Niels Bohr Institute)","Weyl Expansion for Symmetric Potentials","Four of the five figures are appended as a postscript file. The fifth
  figure is available by snail mail.","Ann. Phys. 244 (1995), p.112.","10.1006/aphy.1995.1109",,"chao-dyn nlin.CD",,"  We present a semiclassical expansion of the smooth part of the density of
states in potentials with some form of symmetry. The density of states of each
irreducible representation is separately evaluated using the Wigner transforms
of the projection operators. For discrete symmetries the expansion yields a
formally exact but asymptotic series in $\hbar$, while for the rotational
$SO(n)$ symmetries the expansion requires averaging over angular momentum as
well as energy. A numerical example is given in two dimensions, in which we
calculate the leading terms of the Weyl expansion as well as the leading
periodic orbit contributions to the symmetry reduced level density.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 15:32:44 GMT""}]","2016-08-31"
