"alg-geom/9502004","Masanori Kobayashi","Masanori Kobayashi","Duality of Weights, Mirror Symmetry and Arnold's Strange Duality","22 pages, AmSTeX2.1",,,,"alg-geom math.AG",,"  A notion of duality of weight systems which corresponds to Batyrev's toric
mirror symmetry is given. Explicit duality on the (1,1)-cohomology of K3
surfaces which are minimal models of toric hypersurfaces is constructed using
monomial divisor mirror map of Aspinwall-Greene-Morrison. It is shown that
Arnold's strange duality for exceptional unimodal singularities reduces to this
duality.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 13:41:10 GMT""}]","2008-02-03"
"astro-ph/9502022","Hans J. Haubold","H.J. Haubold and A.M. Mathai","Solar Structure in terms of Gauss' Hypergeometric Function","Invited Paper (A.M.Mathai) at the Fourth UN/ESA Workshop on Basic
  Space Science, Cairo, Egypt, July 1994, 10 pages LaTeX,4 figures available on
  request","Astrophys. Space Sci. 228:77-86,1995","10.1007/BF00984968","Accepted for publication in Astrophysics and Space Science","astro-ph",,"  Hydrostatic equilibrium and energy conservation determine the conditions in
the gravitationally stabilized solar fusion reactor. We assume a matter density
distribution varying non- linearly through the central region of the Sun. The
analytic solutions of the differential equations of mass conservation,
hydrostatic equilibrium, and energy conservation, together with the equation of
state of the perfect gas and a nuclear energy generation rate
$\epsilon=\epsilon_0\rho^nT^m$, are given in terms of Gauss' hypergeometric
function. This model for the structure of the Sun gives the run of density,
mass pressure, temperature, and nuclear energy generation through the central
region of the Sun. Because of the assumption of a matter density distribution,
the conditions of hydrostatic equilibrium and energy conservation are separated
from the mode of energy transport in the Sun.
","[{""version"":""v1"",""created"":""Sun, 5 Feb 1995 21:02:02 GMT""}]","2011-03-17"
"astro-ph/9502023","Luigi Guzzo","C.A. Collins, L. Guzzo, R.C. Nichol, S.L. Lumsden","The EDSGC - VII: The Edinburgh-Milano Cluster Redshift Survey","9 ps pages of text, plus 17 ps pages of tables, all in a uuencoded-
  compressed tarfile. 7 ps figures in a separate file. Accepted for publication
  in MNRAS. Milano Preprint Series in Astrophysics, # TBD.",,,,"astro-ph",,"  We present the redshifts of the galaxies and galaxy clusters which form the
Edinburgh--Milano (EM) cluster redshift survey. A total of 777 galaxy redshifts
have been measured in 94 clusters extracted from the digitised Edinburgh Durham
Cluster Catalogue. We also present the radial velocity dispersions for 37
clusters. Observational and data reduction techniques are discussed in detail,
together with the strategy adopted to determine the mean redshift of a cluster
and to identify and discard plausible phantom clusters. Some 10% of our
clusters show heavy contamination, indicating that projection is a serious
problem for optically selected rich clusters. The median velocity dispersion
estimated for a sub--sample of richness R \geq 1 clusters is 742 \pm63 km/sec
From a simple comparison with Omega=1 Cold Dark Matter models of structure
formation, these results favour a biasing parameter b=1.6-2.0 and are
inconsistent with a bias outside of the range b=1.3-2.5.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 02:01:20 GMT""}]","2016-08-30"
"astro-ph/9502024","Paul Steinhardt","Paul J. Steinhardt (University of Pennsylvania)","Cosmology at the Crossroads","44 pages (without figures), 13 figures, 2 tables; figures available
  by ftp and announcing SOFTWARE analysis package and current table of exp't.
  bandpowers available thru Penn Cosmology Home Page:
  http://dept.physics.upenn.edu/~www/astro-cosmo/ (for more details, read
  Comment at head of LaTeX file)",,,,"astro-ph gr-qc hep-th",,"  Observational tests during the next decade may determine if the evolution of
the Universe can be understood from fundamental physical principles, or if
special initial conditions, coincidences, and new, untestable physical laws
must be invoked. The inflationary model of the Universe is an important example
of a predictive cosmological theory based on physical principles. In this talk,
we discuss the distinctive fingerprint that inflation leaves on the cosmic
microwave background anisotropy. We then suggest a series of five milestone
experimental tests of the microwave background which could determine the
validity of the inflationary hypothesis within the next decade.
  The paper is a Review based on a Plenary talk given at the Snowmass Workshop
on Particle Astrophysics and Cosmology, 1995 It will appear in the Proceedings
edited by E. Kolb and R.Peccei. Software package for computing filter functions
and band power estimates available thru world-wide-web at
http://dept.physics.upenn.edu/~www/astro-cosmo/ .
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 02:02:57 GMT""}]","2016-08-30"
"astro-ph/9502025","Helene Di Nella","Helene Di Nella and Georges Paturel (Observatoire de Lyon, France)","Possible Connexion Between Large Scale Structures","Paper presented at the ASA meeting in Canberra in July 1994,
  referreed and accepted for publication in the Proceedings of Astronomical
  Society of Australia in 1995, volume 12. 4 pages, 3 figures.",,,,"astro-ph",,"  From the Lyon-Meudon Extragalactic Database LEDA, we constructed a sample of
27,000 galaxies with radial velocities smaller than 15,000 km s$^{-1}$. From
this first sample we selected the 5,683 largest galaxies which constitute a
sample complete up to the diameter limit $D_{25}=1.6'$. This sub-sample has
been used to search for the most populated plane. The result is that the plane
defined by the pole ($l=52 \deg$; $b=16 \deg$) contains twice as many galaxies
as would be found for randomly distributed galaxies. This plane is not far from
the supergalactic plane. Then, the distribution of galaxies is studied in this
plane by using the radial velocity as an estimate of the distance. An excess of
galaxies appears at a distance of about 70 Mpc. We discuss the reality of this
density enhancement which could result from selection effects.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 07:04:38 GMT""}]","2016-08-30"
"astro-ph/9502026",,"Lars Brostrom, Sven Mannervik (Atomic Physics, Stockholm University),
  Peder Royen (Phys Dept, Stockholm University) and Anders Wannstrom (Phys
  Dept, Uppsala University)","Measurement of isotope shift in Eu II","12 pages, in press for Physica Scripta, in swetex",,"10.1088/0031-8949/51/3/008",,"astro-ph",,"  The isotope shift between singly-charged ^<151>Eu and ^<153>Eu in the
4f^7(^8S^o)6s^9S_4-4f^7(^8S^o)6p_1/2>(J=4) transition at 4129 A has been
measured using fast ion beam-laser technique. This Eu line has attracted
interest in connection with efforts of obtaining a cosmochronometer based on
observed Th/Eu abundance ratios. Knowledge of the isotope shift is of
importance in order to check that contaminations from line blends do not
contribute to the line intensity of Eu II. The measured value of the isotope
shift -0.1527(2) cm-1 (= -4578 MHz) is consistent with the old spectroscopic
value of Krebs and Winkler -0.1503(25) cm-1 using a Fabry Perot interferometer,
while the accuracy is improved substantially.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 10:21:56 GMT""}]","2009-10-28"
"astro-ph/9502027","Tal Alexander","Tal Alexander (Tel-Aviv University)","The Signature of Microlensing in QSO Variability-Redshift Correlations","Self-unpacking, uuencoded postscript file, 10 pages with 7 figures
  included. Accepted for publication by the MNRAS.",,"10.1093/mnras/274.3.909","WO-SIA 61","astro-ph",,"  A recently discovered inverse correlation between QSO redshift and long-term
continuum variability timescales was suggested to be the signature of
microlensing on cosmological scales (Hawkins 1993). A general theoretical
method for calculating such correlations is presented and applied to various
lensing scenarios in the framework of $\Lambda = 0$ Friedmann cosmologies. It
is shown that the observed timescales can be strongly influenced by the
observational limitations: the finite duration of the monitoring campaign and
the finite photometric sensitivity. In most scenarios the timescales increase
with source redshift, $z_s$, although slower than the $1+z_s$ time dilation
expected of intrinsic variability. A decrease can be obtained for an extended
source observed with moderate sensitivity. In this case, only lenses no further
away than several hundreds Mpc participate in the lensing. The resulting
optical depth is too small to explain the common long-term QSO variability
unless an extremely high local lens density is assumed. These results do not
support the idea that the reported inverse correlation can be attributed to
microlensing of a uniform QSO sample by a uniform distribution of lenses. The
possibility of using observations at various wavelengths and QSO samples at
various positions to identify microlensing in QSO variability is also
discussed.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 11:19:07 GMT""}]","2015-06-24"
"astro-ph/9502028","Fred Rasio","Frederic A. Rasio (IAS, Princeton)","THE MINIMUM MASS RATIO OF W URSAE MAJORIS BINARIES","uuencoded compressed postscript, 8 pages incl. one figure, to appear
  in ApJ Letters.","Astrophys.J. 444 (1995) L41","10.1086/187855","IASSNS AST 95/11","astro-ph",,"  The minimum mass ratio for tidal stability of a contact binary containing two
unevolved main-sequence stars is calculated to be $\qmin\simeq0.09$ in the case
of a mostly radiative primary, and is higher if an appreciable fraction of the
mass lies in a convective envelope. At least one observed system, AW UMa, has a
mass ratio just below this value ($q=0.075$), implying, if the system is
stable, that the primary must be slightly evolved and must have a very shallow
convective envelope. Contact binaries with mass ratios significantly below that
of AW UMa should not be observed, since they are tidally unstable and quickly
merge into a single, rapidly rotating object, on a timescale
$\sim10^3$--$10^4\,$yr.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 15:05:13 GMT""}]","2016-08-30"
"chao-dyn/9502004","Xavier de Hemptinne","X. de Hemptinne","The ambiguous meaning of irreversibility","Latex, 4 pages","Reprinted from J. Tech. Phys. (Poland) 38 (1997) 231-234",,,"chao-dyn nlin.CD",,"  Irreversibility of spontaneous macroscopic dynamics and its asymmetry with
respect to the sign reversal of the variable $t$ is usually interpreted as a
genuine property of complex isolated systems. Discussion of the kinetics
involved in Joule's experiment concerning spontaneous expansion of a gas shows
that the isolation hypothesis results from ambiguous definitions of a number of
keywords. Whereas Poincar\'{e}'s apparent irreversibility result from
conservative Hamiltonian dynamics, full relaxation implies interaction with the
outside world. Only the latter process leads to entropy change.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 10:14:17 GMT""},{""version"":""v2"",""created"":""Sat, 30 Jan 1999 18:34:38 GMT""}]","2008-02-03"
"chao-dyn/9502005","Kai T. Hansen","Kai T. Hansen (University of Freiburg), Predrag Cvitanovic (Niels Bohr
  Institute Copenhagen)","Symbolic Dynamics and Markov Partitions for the Stadium Billiard","31 pages PostScript uuencoded with figures",,,,"chao-dyn nlin.CD",,"  We investigate the Bunimovich stadium dynamics and find that in the limit of
infinitely long stadium the symbolic dynamics is a subshift of finite type. For
a stadium of finite length the Markov partitions are infinite, but the
inadmissible symbol sequences can be determined exactly by means of the
appropriate pruning front. We outline a construction of a sequence of finite
Markov graph approximations by means of approximate pruning fronts with finite
numbers of steps.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 14:38:24 GMT""}]","2016-08-31"
"chao-dyn/9502006","Kai T. Hansen","Kai T. Hansen (University of Freiburg)","Bifurcations and Complete Chaos for the Diamagnetic Kepler Problem","15 pages PostScript uuencoded with figures",,"10.1103/PhysRevE.51.1838",,"chao-dyn nlin.CD",,"  We describe the structure of bifurcations in the unbounded classical
Diamagnetic Kepler problem. We conjecture that this system does not have any
stable orbits and that the non-wandering set is described by a complete trinary
symbolic dynamics for scaled energies larger then $\epsilon_c=0.328782\ldots$.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 15:07:12 GMT""}]","2016-08-31"
