"alg-geom/9502006","Alexander A. Voronov","Takashi Kimura, Jim Stasheff, and Alexander A. Voronov","Homology of moduli spaces of curves and commutative homotopy algebras","Terminology corrections and minor changes made, 18 pages, AMS-LaTeX",,,,"alg-geom hep-th math.AG math.QA q-alg",,"  We propose an explicit relation between the cohomology of compactified and
noncompactified moduli spaces of algebraic curves with punctures. This
relationship generalizes one between commutative algebras and Lie algebras
proposed by Lazard, Kontsevich and Ginzburg and Kapranov. More explicitly, we
show that the cohomology of one moduli space is the graph complex decorated
with the cohomology of the other, which in its turn generalizes Getzler's
result for the genus zero moduli. We also show that a certain class of algebras
over the chain operad of compactified moduli spaces has a natural structure of
a commutative homotopy algebra. This may be regarded as a lifting of the dot
product of Lian-Zuckerman's BV algebra structure to the cochain level, thus
complementing the results of an earlier paper hep-th/9307114 of the authors
regarding the BV bracket.
","[{""version"":""v1"",""created"":""Wed, 8 Feb 1995 22:42:01 GMT""},{""version"":""v2"",""created"":""Thu, 13 Apr 1995 22:01:27 GMT""}]","2008-02-03"
"ao-sci/9502001","Stephen Griffies","Stephen M. Griffies and Kirk Bryan","North Atlantic thermohaline circulation predictability in a coupled
  ocean-atmosphere model","Submitted to Journal of Climate. Latex source file. Figures are
  included in an uuencoded file; see top of figures for uncompressing
  information. Revisions are merely due to changes in e-print submission
  format; paper's content has not changed. User may wish to obtain postscript
  version of full paper from
  http://www.gfdl.gov/~smg/pointers/geo_physics_abstracts/GB.html",,,,"ao-sci physics.ao-ph",,"  Predictability of the North Atlantic thermohaline circulation (THC)
variability as simulated in the GFDL coupled ocean-atmosphere general
circulation model is established for a set of ensemble experiments. The
ensembles consist of identical oceanic initial conditions underneath a model
atmosphere chosen randomly from the model climatology. This experimental design
is based on the separation in time scales present in the model which motivates
the assumption that the predictability deduced from these ensembles provides an
upper limit to the model's THC predictability. The climatology is taken from a
multi-century model integration whose THC variability has power concentrated at
the 40-60 year time scale. A linear stochastic perspective is shown to be
generally consistent with the ensemble statistics. The linear theory suggests a
natural measure of ensemble predictability as the time at which the ensemble
variance becomes a subjectively defined fraction (0.5 used here) of the
climatological variance. It is furthermore of interest to distinguish
predictability of the rapidly de-correlating portion of the model's THC from
the longer time correlated portion. The rapidly de-correlating portion shows
predictability for $\approx 1.5$ years. The slower portion shows predictability
for $\approx 5-7$ years. The linear stochastic framework provides for the
straightforward construction of an optimal forecast of the model's THC
variability and an understanding of why the optimal forecast is useless beyond
a particular limit.
","[{""version"":""v1"",""created"":""Wed, 8 Feb 1995 20:23:11 GMT""},{""version"":""v2"",""created"":""Wed, 8 Feb 1995 20:59:00 GMT""},{""version"":""v3"",""created"":""Thu, 9 Feb 1995 17:37:10 GMT""},{""version"":""v4"",""created"":""Fri, 10 Mar 1995 22:40:57 GMT""}]","2016-08-30"
"astro-ph/9502049","Thierry Foglizzo","Thierry Foglizzo and Michel Tagger","The Parker-Shearing instability in azimuthaly magnetized discs","A&A in press, 18 pages, LateX, 17 figures available on request.",,,,"astro-ph",,"  We describe the effects of both magnetic buoyancy and differential rotation
on a disc of isothermal gas embedded in a purely azimuthal magnetic field, in
order to study the evolution and interplay of Parker and shearing
instabilities. Both instabilities occur on the slow MHD branch of the
dispersion relation, and can affect the same waves. We put a stress on the
natural polarization properties of the slow MHD waves to get a better
understanding of the physics involved. The mechanism of the shearing
instability is described in details. Waves with a vertical wavelength shorter
than the scale height of the disc are subject to both the Parker and the
transient shearing instabilities. They occur in different ranges of radial
wavenumbers, \ie at different times in the shearing evolution ; these ranges
can overlap or, on the contrary, be separated by a phase of wave-like
oscillations, depending on the strength of differential rotation. Our results
can be applied to both galactic and accretion discs.
","[{""version"":""v1"",""created"":""Wed, 8 Feb 1995 21:05:23 GMT""}]","2016-08-30"
"astro-ph/9502050","Jimenez Raul","R. Jimenez (Nordita), U.G. Jorgensen (NBI), P. Thejll (NBI) and J.
  MacDonald (U. of Delaware).","Stellar evolution with mass loss - comparison of numerical and
  semi-analytical computations.","uuencoded Postscript, 4 pages.","Mon.Not.Roy.Astron.Soc. 275 (1995) 1245","10.1093/mnras/275.4.1245",,"astro-ph",,"  We present here results of stellar evolution calculations that include the
latest advances in radiative opacities and neutrino cooling, and discuss on the
basis of these models how the internal stellar structure responds to mass-loss
from the stellar surface. This problem has particular importance for the
development of semi-analytical algorithms for effi cient calculation of
synthetic stellar populations with realistic (and hence complex) mass-loss
scenarios. We therefore compare our numerical results with test calculations
based on a semi-analytical stellar evolution method developed by us. Although
small, but important, differences between results from the two methods are
revealed, the evolutionary tracks in the HR-diagram predicted by the two
approaches are almost identical.
","[{""version"":""v1"",""created"":""Thu, 9 Feb 1995 10:43:52 GMT""}]","2015-06-24"
"astro-ph/9502051","Konrad Kuijken","Konrad Kuijken & John Dubinski","Nearly Self-Consistent Disk-Bulge-Halo Models for Galaxies","Resubmission. latex source file (8p, using mn.sty) and uuencoded
  postscript file with 9 figures.",,,,"astro-ph",,"  We describe methods for setting up self-consistent disk-bulge-halo galaxy
models. The bulge and halo distribution functions (\df) are functions of $E$
and $L_z$ only. The halo's flattening and rotation can be specified. The disk
\df\ is a function of $E$ and $L_z$ and a third ``integral'', $E_z$, the
vertical energy, which is approximately conserved in a warm disk with vertical
extent. The models also have finite extent making them suitable for N-body
simulation. A simulation of a sample model shows that in practice the models
are very close to equilibrium making them ideal for experiments on
instabilities in galactic disks. We also present a sequence of models closely
resembling the Milky Way mass distribution with 5 exponential scale radii and
varying halo mass and radial extent.
","[{""version"":""v1"",""created"":""Thu, 9 Feb 1995 13:08:59 GMT""},{""version"":""v2"",""created"":""Fri, 10 Feb 1995 14:58:57 GMT""}]","2016-08-30"
"astro-ph/9502052","Jes Madsen","Georg B. Larsen and Jes Madsen","Mixed dark matter with neutrino chemical potentials","14 pages+1 figure, postscript. Physical Review D (in press)","Phys.Rev.D52:4282-4286,1995","10.1103/PhysRevD.52.4282","IFA-95/04, AARHUS-ASTRO-1995-03","astro-ph hep-ph",,"  Mixed dark matter models with one low-mass (e.g. 2.4eV) neutrino flavor are
shown to be in good agreement with observations if the neutrinos have non-zero
chemical potentials. This agreement holds (except for the problem with a
low-age Universe) even for high values of the Hubble-parameter. Massless
neutrinos with non-zero chemical potentials may reconcile cold dark matter with
observations. Some fine-tuning is required to avoid problems with Big Bang
nucleosynthesis.
","[{""version"":""v1"",""created"":""Thu, 9 Feb 1995 15:55:35 GMT""},{""version"":""v2"",""created"":""Mon, 24 Jul 1995 12:26:28 GMT""}]","2010-01-15"
"chao-dyn/9502007",,"Tomaz Prosen (Center for Applied Mathematics and Theoretical Physics
  University of Maribor, Krekova 2 SLO-62000 Maribor, Slovenia)","Quantum Surface of Section Method: Demonstration of semiclassical
  Berry-Robnik energy level spacing distribution in a generic 2-dim Hamiltonian
  system","8 pages, file in plain LaTeX, 3 figures upon request submitted to J.
  Phys. A. Math. Gen. in Feb 1995",,"10.1088/0305-4470/28/12/005","CAMTP/95-1","chao-dyn nlin.CD",,"  The recently developed quantum surface of section method is applied to a
search for extremely high-lying energy levels in a simple but generic
Hamiltonian system between integrability and chaos, namely the semiseparable
2-dim oscillator. Using the stretch of 13,445 consecutive levels with the
sequential number around $1.8\cdot 10^7$ (eighteen million) we have clearly
demonstrated the validity of the semiclassical Berry-Robnik level spacing
distribution while at 1000 times smaller sequential quantum numbers we find the
very persistent quasi universal phenomenon of power-law level repulsion which
is globally very well described by the Brody distribution.
","[{""version"":""v1"",""created"":""Wed, 8 Feb 1995 18:53:50 GMT""}]","2009-10-28"
"chao-dyn/9502008",,"Tomaz Prosen (Center for Applied Mathematics and Theoretical Physics
  University of Maribor, Krekova 2 SLO-62000 Maribor, Slovenia)","Quantum Surface of Section Method: Decomposition of the Resolvent (E -
  H)^(-1)","20 pages, 1 figure, file in plain LaTeX includes the figure",,,"CAMTP/94-3","chao-dyn nlin.CD",,"  The paper presents exact surface of section reduction of quantum mechanics.
The main theoretical result is a decomposition of the energy-dependent
propagator G(E) = (E - H)^(-1) in terms of the propagators which (also or
exclusively) act in Hilbert space of complex-valued functions over the
configurational surface of section, which has one dimension less than the
original configuration space. These energy-dependent quantum propagators from
and/or onto the configurational surface of section can be explicitly
constructed as the solutions of the first order nonlinear Riccati-like initial
value problems.
","[{""version"":""v1"",""created"":""Wed, 8 Feb 1995 19:07:13 GMT""}]","2008-02-03"
"chao-dyn/9502009",,"Tomaz Prosen (Center for Applied Mathematics and Theoretical Physics
  University of Maribor, Krekova 2 SLO-62000 Maribor, Slovenia)","General Quantum Surface of Section Method","27 pages, file in plain LaTeX, 2 figures upon request submitted to J.
  Phys. A. Math. Gen. in November 1994",,"10.1088/0305-4470/28/14/029","CAMTP/94-9","chao-dyn nlin.CD",,"  A new method for exact quantization of general bound Hamiltonian systems is
presented. It is the quantum analogue of the classical Poincare Surface Of
Section (SOS) reduction of classical dynamics. The quantum Poincare mapping is
shown to be the product of the two generalized (non-unitary but compact)
on-shell scattering operators of the two scattering Hamiltonians which are
obtained from the original bound one by cutting the f-dim configuration space
(CS) along (f-1)-dim configurational SOS and attaching the flat
quasi-one-dimensional waveguides instead. The quantum Poincare mapping has
fixed points at the eigenenergies of the original bound Hamiltonian. The energy
dependent quantum propagator (E - H)^(-1) can be decomposed in terms of the
four energy dependent propagators which propagate from and/or to CS to and/or
from configurational SOS (which may generally be composed of many disconnected
parts). I show that in the semiclassical limit (hbar ---> 0) the quantum
Poincare mapping converges to the Bogomolny's propagator and explain how the
higher order semiclassical corrections can be obtained systematically.
","[{""version"":""v1"",""created"":""Wed, 8 Feb 1995 20:31:18 GMT""}]","2009-10-28"
"cmp-lg/9502007","Aristidis Vagelatos","A.Vagelatos, T.Triantopoulou, C.Tsalidis, D.Christodoulakis (Computer
  Technology Institute & Computer Eng. Dept. University of Patras)","Utilization of a Lexicon for Spelling Correction in Modern Greek","5 pages, PS File, gzip compressed, uuencoded, to be presented at
  SAC95, ACM Computing Week, Nashville, USA.",,,,"cmp-lg cs.CL",,"  In this paper we present an interactive spelling correction system for Modern
Greek. The entire system is based on a morphological lexicon. Emphasis is given
to the development of the lexicon, especially as far as storage economy, speed
efficiency and dictionary coverage is concerned. Extensive research was
conducted from both the computer engineering and linguisting fields, in order
to describe inflectional morphology as economically as possible.
","[{""version"":""v1"",""created"":""Thu, 9 Feb 1995 15:05:14 GMT""}]","2016-08-31"
"cond-mat/9502033",,"G. Hackenbroich and H. A. Weidenmueller","Independent-Electron Model for the Phase of the Transmission Amplitude
  in Quantum Dots","10 pages, RevTeX, 2 figures in separate uufile",,,,"cond-mat",,"  Motivated by a recent experiment by Yacoby et al.\ [preprint, 1994], we
calculate magnitude and phase $\alpha$ of the transmission amplitude through a
quantum dot. We work in the Coulomb blockade regime, assume the electrons not
to interact, and consider tunneling through isolated resonances. Assuming a
non--resonant background, we find that $\alpha$ increases by $2 \pi$ over each
resonance, with a sharp rise by $\pi$ over an energy interval much smaller than
the thermal width. This is consistent with the experimental data. Our
assumptions can be tested by further experiments.
","[{""version"":""v1"",""created"":""Wed, 8 Feb 1995 16:12:50 GMT""}]","2016-08-31"
