"alg-geom/9502013",,"Jin-Xing Cai","Abelian automorphism groups of threefolds of general type","37 pages, amstex. Some errors corrected, a minor change of the main
  theorem",,,,"alg-geom math.AG",,"  This thesis is devoted to the study of abelian automorphism groups of
surfaces and $3$-folds of general type over complex number field $\Bbb C$. We
obtain a linear bound in $K^3$ for abelian automorphism groups of $3$-folds of
general type whose canonical divisor $K$ is numerically effective, and we
improve on Xiao's results on abelian automorphism groups of minimal smooth
projective surfaces of general type. More precisely, the main results in this
thesis are the following. {\bf Theorem 3.0.} Let $X$ be a smooth 3-fold of
general type over the complex number field, $K$ the canonical divisor of $X$.
Let $G$ be an abelian group of automorphisms of $X$. Suppose $K$ is nef. Then
there exists a universal constant coefficient $c$ such that $\# G \le c K^3$.
","[{""version"":""v1"",""created"":""Wed, 15 Feb 1995 19:34:49 GMT""},{""version"":""v2"",""created"":""Fri, 24 Mar 1995 19:14:02 GMT""}]","2008-02-03"
"alg-geom/9502014","Atsushi Moriwaki","Atsushi Moriwaki","Self-intersection of dualizing sheaves of arithmetic surfaces with
  reducible fibers","8 pages, AmS-TeX",,,,"alg-geom math.AG",,"  Let K be an algebraic number field and O_K the ring of integers of K. Let f :
X --> Spec(O_K) be a stable arithmetic surface over O_K of genus g >= 2. In
this short note, we will prove that if f has a reducible geometric fiber, then
the self intersection of dualizing sheaf of X with Arakelov metric is greater
than or equal to log(2)/6(g-1).
","[{""version"":""v1"",""created"":""Thu, 16 Feb 1995 00:05:26 GMT""}]","2008-02-03"
"alg-geom/9502015","Mina Teicher","Boris Moishezon and Mina Teicher","Fundamental groups of complements of curves as solvable groups","To be published in IMCP 9 (Proceedings of Hirzebruch 65-birthday)",,,,"alg-geom math.AG",,"  We discuss the applications of fundamental groups (of complements of curves)
computations (and possibly the computations of the second homotopy group as a
model over it) to the classification of algebraic surface. We prove that the
fundamental group of the complement of the branch curve of a generic projection
of a Veronese surface to the complex plane is an ""almost solvable"" group in the
sense that it contains a solvable group of finite index and thus we can
consider the second fundamental group as model over the first.
","[{""version"":""v1"",""created"":""Thu, 16 Feb 1995 06:35:55 GMT""}]","2008-02-03"
"alg-geom/9502016","Niels Lauritzen","Niels Lauritzen","Embeddings of homogeneous spaces in prime characteristics","10 pages, AMS-LaTeX",,,"Matematisk Institut, Aarhus Universitet, Preprint Series 3, 1995","alg-geom math.AG",,"  Let $G$ be a reductive linear algebraic group. The simplest example of a
projective homogeneous $G$-variety in characteristic $p$, not isomorphic to a
flag variety, is the divisor $x_0 y_0^p+x_1 y_1^p+x_2 y_2^p=0$ in $P^2\times
P^2$, which is $SL_3$ modulo a non-reduced stabilizer containing the upper
triangular matrices. In this paper embeddings of projective homogeneous spaces
viewed as $G/H$, where $H$ is any subgroup scheme containing a Borel subgroup,
are studied. We prove that $G/H$ can be identified with the orbit of the
highest weight line in the projective space over the simple $G$-representation
$L(\lambda)$ of a certain highest weight $\lambda$. This leads to some strange
embeddings especially in characteristic $2$, where we give an example in the
$C_4$-case lying on the boundary of Hartshorne's conjecture on complete
intersections. Finally we prove that ample line bundles on $G/H$ are very
ample. This gives a counterexample to Kodaira type vanishing with a very ample
line bundle, answering an old question of Raynaud.
","[{""version"":""v1"",""created"":""Thu, 16 Feb 1995 07:46:12 GMT""}]","2008-02-03"
"alg-geom/9502017","Thomas Bauer","W. Barth, Th. Bauer","Poncelet theorems","20 pages, LaTeX",,,,"alg-geom math.AG",,"  If there is one polygon inscribed into some smooth conic and circumscribed
about another one, then there are infinitely many such polygons. This is
Poncelet's theorem. The aim of this note is to collect some (mostly classical)
versions of this theorem, namely:
  - Weyr's Poncelet theorem in $P_3$ (1870),
  - Emch's theorem on circular series (1901),
  - Gerbaldi's formula for the number of Poncelet pairs (1919),
  - the Money-Coutts theorem on three circles (1971),
  - the zig-zag theorem (1974),
  - a (probably new) Poncelet theorem on three conics,
  - a Poncelet formula for quadrics of revolution.
","[{""version"":""v1"",""created"":""Thu, 16 Feb 1995 11:15:19 GMT""}]","2008-02-03"
"astro-ph/9502075",,"H.J. Haubold and A.M. Mathai","A HEURISTIC REMARK ON THE PERIODIC VARIATION IN THE NUMBER OF SOLAR
  NEUTRINOS DETECTED ON EARTH","Invited Paper at the Fourth UN/ESA Workshop on Basic Space Science,
  Cairo, Egypt, July 1994, 18 pages, LaTeX, 9 figures available on request
  Accepted for publication in Astrophysics and Space Science","Astrophys.Space Sci. 228 (1995) 113-134","10.1007/BF00984971",,"astro-ph",,"  Four operating neutrino observatories confirm the long standing discrepancy
between detected and predicted solar neutrino flux. Among these four
experiments the Homestake experiment is taking data for almost 25 years. The
reliability of the radiochemical method for detecting solar neutrinos has been
tested recently by the GALLEX experiment. All efforts to solve the solar
neutrino problem by improving solar, nuclear, and neutrino physics have failed
so far. This may also mean that the average solar neutrino flux extracted from
the four experiments may not be the proper quantity to explain the production
of neutrinos in the deep interior of the Sun. Occasionally it has been
emphasized that the solar neutrino flux may vary over time. In this paper we do
address relations among specific neutrino fluxes produced in the proton-proton
chain that are imposed by the coupled systems of non-linear partial
differential equations of solar structure and kinetic equations by focusing our
attention on a statistical interpretation of selected kinetic equation of
PPII/PPIII branch reactions of the proton-proton chain. A fresh look at the
statistical implications for the outcome of kinetic equations for nuclear
reactions may shed light on recent claims that the $^7$Be-neutrino flux of the
Sun is suppressed in comparison to the pp- and $^8$B neutrino fluxes and may
hint at that the solar neutrino flux is indeed varying over time as shown by
the Homestake experiment.
","[{""version"":""v1"",""created"":""Wed, 15 Feb 1995 20:16:13 GMT""}]","2016-08-30"
"astro-ph/9502076","Preprint account","Max Pettini (RGO), Richard W. Hunstead (Sydney University) David L.
  King (RGO), and Linda J. Smith (University College London)","Lyman alpha Emission from High-Redshift Galaxies","uuencoded compressed postscript. The preprint are also available at
  URL http://www.ast.cam.ac.uk/preprint/PrePrint.html",,,,"astro-ph",,"  We summarise the results of a deep search for Lyman alpha emission from
star-forming regions associated with damped Lyman alpha absorption systems and
conclude that the Lyman alpha luminosity of high redshift galaxies is generally
less than 10^(42) erg/s . We also present a newly discovered case, in the field
of the QSO Q2059-360, where the emission is unusually strong, possibly because
the damped system is close in redshift to the QSO.
","[{""version"":""v1"",""created"":""Thu, 16 Feb 1995 12:09:08 GMT""}]","2016-08-30"
"astro-ph/9502077","Preprint account","Max Pettini (RGO), Keith Lipman (IoA), and Richard W. Hunstead (Sydney
  University)","Element Abundances at High Redshifts: The N/O Ratio in a Primeval Galaxy","uuencoded compressed postscript. The preprint are also available at
  URL http://www.ast.cam.ac.uk/preprint/PrePrint.html",,"10.1086/176203",,"astro-ph",,"  The damped Lyman alpha systems seen in the spectra of high redshift QSOs
offer the means to determine element abundances in galaxies observed while
still at an early stage of evolution. Such measurements, which have only
recently come within reach, complement and extend the data provided by studies
of different stellar populations in our Galaxy and of extragalactic H~II
regions which have up to now formed the basis of galactic chemical evolution
models. In this paper we demonstrate the potential of this new approach with
high-resolution echelle observations of several elements in the z(abs) =
2.27936 absorption system in the bright z(em) = 2.940 QSO 2348-147. The
absorbing galaxy appears to be chemically unevolved, with heavy element
abundances only 1/100 of solar; if it is the progenitor of a spiral galaxy like
our own, it is unlikely to have collapsed to form a thin disk by z = 2.3
(corresponding to a look-back time of approximately 13 Gyr for H_0 = 50
km/s/Mpc and q_0 = 0.01). Our data allow us to measure the nitrogen-to-oxygen
ratio at a metallicity lower than those of the most metal-poor dwarf galaxies
known. We find that, relative to the solar scale, N is more underabundant than
O by at least a factor of 15. This result is broadly in line with current ideas
on the relative importance of primary and secondary production of N; future
measurements in several damped Lyman alpha systems will permit more stringent
tests of models for the evolution of the N/O ratio with time. Oxygen and other
alpha-elements are overabundant relative to Fe by no more than the factor of
about 3 typical of metal-poor stars in the disk and halo of the Milky Way.
","[{""version"":""v1"",""created"":""Thu, 16 Feb 1995 12:16:37 GMT""}]","2016-08-30"
"astro-ph/9502078","Abraham Naim","A. Naim, O. Lahav, R. J. Buta, H. G. Corwin Jr., G. de Vaucouleurs, A.
  Dressler, J. P. Huchra, S. van den Bergh, S. Raychaudhury, L. Sodre Jr. and
  M. C. Storrie-Lombardi","A COMPARATIVE STUDY OF MORPHOLOGICAL CLASSIFICATIONS OF APM GALAXIES","12 pages, uu-encoded, compressed postscript file. 8 figures and the
  tables in the appendices are available on request from hn@ast.cam.ac.uk. The
  postscript file with figures included is available via anonymous ftp to
  ftp://cass00.ast.cam.ac.uk/pub/hn/apm1.ps ; Mon. Not. R. Astr. Soc., in press",,"10.1093/mnras/274.4.1107","IoA-MNRAS-ANN95/1","astro-ph",,"  We investigate the consistency of visual morphological classifications of
galaxies by comparing classifications for 831 galaxies from six independent
observers. The galaxies were classified on laser print copy images or on
computer screen produced from scans with the Automated Plate Measuring (APM)
machine. Classifications are compared using the Revised Hubble numerical type
index T. We find that individual observers agree with one another with rms
combined dispersions of between 1.3 and 2.3 type units, typically about 1.8
units. The dispersions tend to decrease slightly with increasing angular
diameter and, in some cases, with increasing axial ratio $(b/a)$. The agreement
between independent observers is reasonably good but the scatter is
non-negligible. In spite of the scatter the Revised Hubble T system can be used
to train an automated galaxy classifier, e.g. an Artificial Neural Network, to
handle the large number of galaxy images that are being compiled in the APM and
other surveys.
","[{""version"":""v1"",""created"":""Thu, 16 Feb 1995 14:59:00 GMT""}]","2015-06-24"
"astro-ph/9502079","Michael Strauss","Michael A. Strauss and Jeffrey A. Willick","The density and peculiar velocity fields of nearby galaxies","In press, Physics Reports. 153 pages. gzip'ed postscript of text plus
  20 embedded figures. Also available via anonymous ftp at
  ftp://eku.ias.edu/pub/strauss/review/physrep.ps","Phys.Rept.261:271-431,1995","10.1016/0370-1573(95)00013-7",,"astro-ph",,"  We review the quantitative science that can be and has been done with
redshift and peculiar velocity surveys of galaxies in the nearby universe.
After a brief background setting the cosmological context for this work, the
first part of this review focuses on redshift surveys. The practical issues of
how redshift surveys are carried out, and how one turns a distribution of
galaxies into a smoothed density field, are discussed. Then follows a
description of major redshift surveys that have been done, and the local
cosmography out to 8,000 km/s that they have mapped. We then discuss in some
detail the various quantitative cosmological tests that can be carried out with
redshift data. The second half of this review concentrates on peculiar velocity
studies, beginning with a thorough review of existing techniques. After
discussing the various biases which plague peculiar velocity work, we survey
quantitative analyses done with peculiar velocity surveys alone, and finally
with the combination of data from both redshift and peculiar velocity surveys.
The data presented rule out the standard Cold Dark Matter model, although
several variants of Cold Dark Matter with more power on large scales fare
better. All the data are consistent with the hypothesis that the initial
density field had a Gaussian distribution, although one cannot rule out broad
classes of non-Gaussian models. Comparison of the peculiar velocity and density
fields constrains the Cosmological Density Parameter. The results here are
consistent with a flat universe with mild biasing of the galaxies relative to
dark matter, although open universe models are by no means ruled out.
","[{""version"":""v1"",""created"":""Thu, 16 Feb 1995 15:22:01 GMT""}]","2016-08-30"
