"adap-org/9503001","Hoi Fung Chau","H. F. Chau (IAS, Princeton)","Self-Organized Critical Models Without Local Particle Conservation Laws
  On Superlattices","9 pages in Revtex 3.0, no figure.",,"10.1088/0305-4470/28/9/006","IASSNS-HEP-95/17","adap-org nlin.AO",,"  We consider simple examples of self-organized critical systems on
  one-dimensional superlattices without local particle conservation laws. The
  set of all recurrence states are also found in these examples using a
  method similar to the burning algorithm.
","[{""version"":""v1"",""created"":""Tue, 7 Mar 1995 16:27:54 GMT""}]","2015-06-30"
"alg-geom/9503002","Dan Cohen","Daniel C. Cohen and Alexander I. Suciu","Homology of iterated semidirect products of free groups","31 pages. AMSTeX v 2.1 preprint style","Journal of Pure and Applied Algebra 126 (1998), no. 1-3, 87-120","10.1016/S0022-4049(96)00153-3",,"alg-geom math.AG",,"  Let $G$ be a group which admits the structure of an iterated semidirect
product of finitely generated free groups. We construct a finite, free
resolution of the integers over the group ring of $G$. This resolution is used
to define representations of groups which act compatibly on $G$, generalizing
classical constructions of Magnus, Burau, and Gassner. Our construction also
yields algorithms for computing the homology of the Milnor fiber of a
fiber-type hyperplane arrangement, and more generally, the homology of the
complement of such an arrangement with coefficients in an arbitrary local
system.
","[{""version"":""v1"",""created"":""Tue, 7 Mar 1995 22:35:51 GMT""}]","2007-07-02"
"astro-ph/9503033","Gary Hinshaw","G. Hinshaw, A. J. Banday, C. L. Bennett, K. M. Gorski, and A. Kogut","Three-Point Correlations in the COBE-DMR Two-Year Anisotropy Maps","13 pages of uuencoded Postscript, including two tables and two
  figures",,"10.1086/187932",,"astro-ph",,"  We compute the three-point temperature correlation function of the COBE
Differential Microwave Radiometer (DMR) two-year sky maps to search for
evidence of non-Gaussian temperature fluctuations. We detect three-point
correlations in our sky with a substantially higher signal-to-noise ratio than
from the first year data. However, the magnitude of the signal is consistent
with the level of cosmic variance expected from Gaussian fluctuations, even
when the low order multipole moments, up to l = 9, are filtered from the data.
These results do not strongly constrain most existing models of structure
formation, but the absence of intrinsic three-point correlations on large
angular scales is an important consistency test for such models.
","[{""version"":""v1"",""created"":""Tue, 7 Mar 1995 23:20:40 GMT""}]","2009-10-28"
"astro-ph/9503034","Dave Koerner","D. W. Koerner and A. I. Sargent","Imaging the Small-Scale Circumstellar Gas Around T~Tauri Stars","TeX file with associated macros, no figures; AJ in press. Also
  available as a compressed postscript file (including figures) by anonymous
  ftp at ftp://cougar.jpl.nasa.gov/pub/davidk/preprints/COinTTS.ps.Z",,"10.1086/117439","Owens Valley Radio Observatory Caltech Astrophysics 2","astro-ph",,"  We have detected circumstellar molecular gas around a small sample of T Tauri
stars through aperture synthesis imaging of CO(2-1) emission at ~2-3''
resolution. RY Tauri, DL Tauri, DO Tauri, and AS 209 show resolved and
elongated gaseous emission. For RY Tau, the deconvolved, half-maximum radius
along the direction of elongation, PA~48deg, is 110 AU. Corresponding radii and
orientations for the other sources are: DL Tau -- 250 AU at PA~84deg; DO Tau --
350 AU at PA~160deg; AS 209 -- 290 AU at PA~138deg. RY Tau, DL Tau, and AS 209
show velocity gradients parallel to the elongation, suggesting that the
circumstellar material is rotating. RY Tau and AS 209 also exhibit
double-peaked spectra characteristic of a rotating disk. Line emission from DO
Tau is dominated by high-velocity blue-shifted gas which complicates the
interpretation. Nevertheless, there is in each case sufficient evidence to
speculate that the circumstellar emission may arise from a protoplanetary disk
similar to that from which our solar system formed.
","[{""version"":""v1"",""created"":""Wed, 8 Mar 1995 01:08:39 GMT""}]","2016-08-30"
"astro-ph/9503035","Joachim Wambsganss","Joachim Wambsganss and Tomislav Kundic","Gravitational Microlensing by Random Motion of Stars: Analysis of Light
  Curves","20 pages of uuencoded compressed Postscript file, including 8 (out of
  10) figures; accepted for publication in ApJ, Sept.1 1995","Astrophys.J. 450 (1995) 19","10.1086/176114",,"astro-ph",,"  We present a quantitative analysis of the effect of microlensing caused by
random motion of individual stars in the galaxy which is lensing a background
quasar. We calculate a large number of magnification patterns for positions of
the stars slightly offset from one frame to the next, and in this way obtain
light curves for fixed quasar and galaxy positions, only due to the change in
the relative star positions. These light curves are analyzed to identify micro-
lensing events, which are classified according to height, duration, and slope.
We find that microlensing events produced by random motion of stars are
shorter, steeper, and more frequent than bulk motion events. This difference is
caused by the fact that in the case of random motion, caustics can move with
arbitrarily high velocity, producing very short events. An accompanying video
illustrates these results. For three different values of the surface mass
density kappa, it shows time sequences of 1000 magnification patterns for
slowly changing lens positions, together with the positions and velocity
vectors of the microlensing stars. Short sequences of the video are available
as MPEG movie by anonymous ftp at
ftp://astro.princeton.edu/jkw/microlensing/moving_stars .
","[{""version"":""v1"",""created"":""Wed, 8 Mar 1995 13:04:32 GMT""}]","2016-08-30"
"astro-ph/9503036","Joerg Rachen","Joerg P. Rachen (MPIfR Bonn)","Possible Extragalactic Sources of the Highest Energy Cosmic Rays","Contributed paper to the 17th Texas Symposium, Munich, Dec 1994; 4
  pages, uudecoded compressed PostScript file, figures included.","Annals N.Y.Acad.Sci.759:468,1995","10.1111/j.1749-6632.1995.tb17587.x","MPIfR (2020)","astro-ph",,"  We give an outline of possible extragalactic explanations of the highest
energy cosmic ray events. We give a classification of the possible particles
which could have caused the events and try to find suitable sources for each
class. In contrast to some previous investigations of other authors, we find a
possible candidate of a local FR-II radio galaxy close to the Fly's Eye event,
and less powerful active galaxies close to the AGASA event. We also note the
interesting coincidence that we have strong, distant quasars inside the arrival
direction error regimes of both the Fly's Eye and AGASA event. We briefly
discuss the consequences for the cosmic ray spectrum and composition at highest
energies, which could be investigated by future experiments.
","[{""version"":""v1"",""created"":""Wed, 8 Mar 1995 15:03:24 GMT""}]","2011-04-15"
"cmp-lg/9503007","Pierre Sablayrolles","Pierre Sablayrolles (IRIT, University Paul Sabatier, Toulouse, FRANCE)","The Semantics of Motion","3 pages, uses eaclap.sty","Proceedings of the EACL95 Dublin",,,"cmp-lg cs.CL",,"  In this paper we present a semantic study of motion complexes (ie. of a
motion verb followed by a spatial preposition). We focus on the spatial and the
temporal intrinsic semantic properties of the motion verbs, on the one hand,
and of the spatial prepositions, on the other hand. Then, we address the
problem of combining these basic semantics in order to formally and
automatically derive the spatiotemporal semantics of a motion complex from the
spatiotemporal properties of its components.
","[{""version"":""v1"",""created"":""Tue, 7 Mar 1995 16:30:01 GMT""}]","2016-08-31"
"cond-mat/9503035",,"D.N. Sheng and Z. Y. Weng","Delocalization of electrons in a Random Magnetic Field","9 pages, Revtex, 3 figures available upon request",,"10.1103/PhysRevLett.75.2388",,"cond-mat",,"  Delocalization problem for a two-dimensional non-interacting electron system
is studied under a random magnetic field. With the presence of a random
magnetic field, the Hall conductance carried by each eigenstate can become
nonzero and quantized in units of $e^2/h$. Extended states are characterized by
nonzero Hall conductance, and by studying finite-size scaling of the density of
extended states, an insulator-metal phase transition is revealed. The metallic
phase is found at the center of energy band which is separated from the
localized states at the band tails by critical energies $\pm E_c$. Both
localization exponent and the critical energy $E_c$ are shown to be dependent
on the strength of random magnetic field.
","[{""version"":""v1"",""created"":""Tue, 7 Mar 1995 16:23:09 GMT""}]","2016-08-31"
"cond-mat/9503036","Jaichul Yi","Jaichul Yi and Geoff S. Canright","Possible disordered ground states for close-packed polytypes and their
  diffraction patterns","29 pages (not including 6 figures : 6 figures are available by
  requesting via e-mail yi@sapphire.phys.utk.edu), revtex",,"10.1103/PhysRevB.53.5198",,"cond-mat",,"  It has recently been shown that one-dimensional Ising problems can have
degenerate, disordered ground states (GSs) over a finite range of coupling
onstants, ie, without `fine tuning'. The disorder is however of a special kind,
consisting of arbitrary mixtures of a short-period structure and its
symmetry-degenerate partner or partners. In this exploratory study, we assume
that the energetics of close-packed polytypes can be represented by an Ising
Hamiltonian (which includes, in principle, all terms allowed by symmetry), and
that (for simplicity) the close-packed triangular layers are unfaulted and
monatomic. We then calculate the diffraction patterns along the stacking
direction for the various possible kinds of disordered GSs. We find that some
disordered GSs give diffraction patterns which are only weakly distinguished
from their periodic counterparts, while in others the disorder is more clearly
evident beneath the delta functions. Finally, in some cases, the long-ranged
order of the layers is destroyed by the interference among the short-period
structures and their symmetry-related partners, giving a diffraction spectrum
which is purely continuous.
","[{""version"":""v1"",""created"":""Tue, 7 Mar 1995 19:57:21 GMT""}]","2016-08-31"
"cond-mat/9503037","Marcel Franz","A.J. Berlinsky, A.L. Fetter, M. Franz, C. Kallin, and P.I. Soininen","GINZBURG-LANDAU THEORY OF VORTICES IN $d$-WAVE SUPERCONDUCTORS","4 pages, REVTeX, 3 figures available upon request",,"10.1103/PhysRevLett.75.2200",,"cond-mat supr-con",,"  Ginzburg-Landau theory is used to study the properties of single vortices and
of the Abrikosov vortex lattice in a $d_{x^2-y^2}$ superconductor. For a single
vortex, the $s$-wave order parameter has the expected four-lobe structure in a
ring around the core and falls off like $1/r^2$ at large distances. The
topological structure of the $s$-wave order parameter consists of one
counter-rotating unit vortex, centered at the core, surrounded by four
symmetrically placed positive unit vortices. The Abrikosov lattice is shown to
have a triangular structure close to $T_c$ and an oblique structure at lower
temperatures. Comparison is made to recent neutron scattering data.
","[{""version"":""v1"",""created"":""Tue, 7 Mar 1995 22:18:21 GMT""}]","2016-08-31"
"cond-mat/9503039","Ryouko Sugano","R. Sugano, T. Onogi, and Y. Murayama","Screening effect of interlayer coupling on electronic transport
  properties of layered high-$T_c$ oxides","13 pages, Revtex, 8 figures available upon request",,,"JJ-95-3","cond-mat",,"  We have investigated the effect of thermal fluctuation on the interlayer
coupling of three-dimensional Josephson-junction arrays with anisotropic
interactions as a model of layered high-$T_c$ oxides, focusing on non-Ohmic
current-voltage characteristics. Langevin dynamic simulations were performed
for various Josephson-coupling anisotropies and for various temperatures in
both zero and finite magnetic fields. We find that, in the highly anisotropic
region, the interlayer coupling, which causes the non-vanishing critical
current ($I_{c}$), is suppressed by thermal fluctuations, and tends to push up
the Kosterlitz-Thouless transition temperature ($T_{KT}$) of the
two-dimensional (2D) regime. In this highly anisotropic region, $I_c$ begins to
decrease drastically near $T_{KT}$. This suggests that interlayer coupling is
screened by thermally excited 2D small vortex-antivortex pairs as well as the
intralayer logarithmic part of vortex-antivortex interactions. Moreover, weak
magnetic fields parallel to the $c$-axis affect only the
logarithmic-interaction part between the 2D pancake vortices.
","[{""version"":""v1"",""created"":""Wed, 8 Mar 1995 09:09:25 GMT""}]","2016-08-31"
"cond-mat/9503040","Neil","N. Turner, J. T. Nicholls, K. M. Brown, E. H. Linfield, M. Pepper, D.
  A. Ritchie, and G. A. C. Jones (Cavendish Laboratory, Cambridge)","Tunneling Between Two-Dimensional Electron Gases in a Weak Magnetic
  Field","REVTeX 3.0 macros required, 4 pages text, 3 postscript figures in a
  second file",,,,"cond-mat",,"  We have measured the tunneling between two two-dimensional electron gases
(2DEGs) in weak magnetic fields, when the carrier densities of the two electron
layers are matched. At zero magnetic field, B=0, the lineshape of the
equilibrium tunneling resonance is best fit by a Lorentzian, with a linewidth
which is determined by the roughness of the tunnel barrier. For $B\not=0$ with
filling factors $\nu\gg 1$, there is a suppression of the resonant tunneling
conductance about zero bias, $V_{\text{sd}}=0$. This low field signature of the
high field Coulomb gap shows the same linear $B$ dependence as previously
measured for $\nu<1$.
","[{""version"":""v1"",""created"":""Wed, 8 Mar 1995 11:43:31 GMT""}]","2007-05-23"
"cond-mat/9503041","Heiko Rieger","Heiko Rieger","Critical Behavior of the 3d Random Field Ising Model: Two-Exponent
  Scaling or First Order Phase Transition?","14 pages, RevTeX, 11 postscript figures (fig9.ps and fig11.ps should
  be printed separately)","Phys. Rev. B 52 (1995) 6659","10.1103/PhysRevB.52.6659","HLRZ-13/95, THP21-95","cond-mat hep-lat",,"  In extensive Monte Carlo simulations the phase transition of the random field
Ising model in three dimensions is investigated. The values of the critical
exponents are determined via finite size scaling. For a Gaussian distribution
of the random fields it is found that the correlation length $\xi$ diverges
with an exponent $\nu=1.1\pm0.2$ at the critical temperature and that
$\chi\sim\xi^{2-\eta}$ with $\eta=0.50\pm0.05$ for the connected susceptibility
and $\chi_{\rm dis}\sim\xi^{4-\bar{\eta}}$ with $\bar{\eta}=1.03\pm0.05$ for
the disconnected susceptibility. Together with the amplitude ratio
$A=\lim_{T\to T_c}\chi_{\rm dis}/\chi^2(h_r/T)^2$ being close to one this gives
further support for a two exponent scaling scenario implying
$\bar{\eta}=2\eta$. The magnetization behaves discontinuously at the
transition, i.e. $\beta=0$, indicating a first order transition. However, no
divergence for the specific heat and in particular no latent heat is found.
Also the probability distribution of the magnetization does not show a
multi-peak structure that is characteristic for the phase-coexistence at first
order phase transition points.
","[{""version"":""v1"",""created"":""Wed, 8 Mar 1995 14:29:55 GMT""}]","2009-10-28"
"cond-mat/9503042",,"B. Carazza (Physics Dept. Parma Italy)","On the Plasmon-like Excitations of Atomic Clusters with Application to
  Fullerene","8 pages, Latex",,,"INFNCA-TH-94-30","cond-mat",,"  We present here a modified hydrodynamical model for the collective electronic
excitations of spherical atomic clusters. The model is applied to the
giant-dipole plasmon mode of the free fullerene molecule.
","[{""version"":""v1"",""created"":""Wed, 8 Mar 1995 13:28:38 GMT""}]","2007-05-23"
"cond-mat/9503043","Nicola Wilkin","N.K. Wilkin and M.A. Moore","Plastic energies in layered superconductors","5 Pages Revtex, 4 uuencoded postscript figures",,"10.1103/PhysRevB.52.3095",,"cond-mat",,"  We estimate the energy cost associated with two pancake vortices colliding in
a layered superconductor. It is argued that this energy sets the plastics
energy scale and is the analogue of the crossing energy for vortices in the
continuum case. The starting point of the calculation is the Lawrence-Doniach
version of the Ginzburg-Landau free energy for type-II superconductors. The
magnetic fields considered are along the c-direction and assumed to be
sufficiently high that the lowest Landau level approximation is valid. For
Bi-2212, where it is know that layering is very important, the results are
radically different from what would have been obtained using a
three-dimensional anisotropic continuum model. We then use the plastic energy
for Bi-2212 to successfully explain recent results from Hellerqvist {\em et
al.}\ on its longitudinal resistance.
","[{""version"":""v1"",""created"":""Wed, 8 Mar 1995 15:28:58 GMT""}]","2016-08-31"
