"acc-phys/9503001","Peter V. Vorob'ev.","A.N.Aleshaev, I.V.Pinayev, V.M.Popik, S.S.Serednyakov, T.V.Shaftan,
  A.S.Sokolov, N.A.Vinokurov, P.V.Vorob'ev (BINP Novosibirsk)","A Study of Influence of Synchrotron Radiation Quantum Fluctuations on
  the Synchrotron Oscillations of a Single Electron Using Undulator Radiation","4 pages, LaTeX, 2 fig. incl. and 6 fig. appended as uudecoded_arj_pcx
  file",,"10.1016/0168-9002(96)88028-4",,"acc-phys physics.acc-ph",,"  A single electron circulating in a storage ring is a very peculiar object.
Synchrotron radiation quantum fluctuation causes stohastic process in the
synchrotron oscillation of an electron. The radiation from a undulator permits
one to obtain discret moments of longitudional electron motion. Experiments
with a single electron on on the VEPP-3 optical klystrons are described.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 05:13:29 GMT""},{""version"":""v2"",""created"":""Fri, 7 Apr 1995 07:16:31 GMT""}]","2009-10-28"
"alg-geom/9503022","Luca Barbieri-Viale","L. Barbieri-Viale, C. Pedrini and C. Weibel","Roitman's theorem for singular complex projective surfaces","36 pages, LaTeX","Duke Math. J. 84 (1996), 155-190",,,"alg-geom math.AG",,"  Let $X$ be a complex projective surface with arbitrary singularities. We
construct a generalized Abel--Jacobi map $A_0(X)\to J^2(X)$ and show that it is
an isomorphism on torsion subgroups. Here $A_0(X)$ is the appropriate Chow
group of smooth 0-cycles of degree 0 on $X$, and $J^2(X)$ is the intermediate
Jacobian associated with the mixed Hodge structure on $H^3(X)$. Our result
generalizes a theorem of Roitman for smooth surfaces: if $X$ is smooth then the
torsion in the usual Chow group $A_0(X)$ is isomorphic to the torsion in the
usual Albanese variety $J^2(X)\cong Alb(X)$ by the classical Abel-Jacobi map.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 10:13:35 GMT""}]","2008-02-03"
"astro-ph/9503103","Jose' Carlos N. De Araujo","J.C.N. de Araujo, J.A. de Freitas Pacheco, M. Cattani and J.E. Horvath
  (IAG/USP)","Deformation of Rapidly Rotating Compact Stars","18 pages, TEX file, 2 figures available upon request. To appear in
  ""Astronomy and Astrophysics"".",,,,"astro-ph",,"  We have developed a numerical code to study the deformation ($\varepsilon =
(I_{zz}-I_{xx})/I_{zz}$, where $I_{ii}$ are the moments of inertia) of neutron
stars in rapidly rotation in a fully general relativistic calculation. We have
found that the deformation is larger, depending on the angular velocity, than
is generally assumed for gravitational wave estimations. Calculations were
performed by employing the Bethe-Johnson I EOS (equation of state) and a new
set of models by the Frankfurt group including $\Lambda$ hyperons for several
choices of their coupling constants to ordinary nucleons. Possible implications
for gravitational wave searches are briefly discussed.
","[{""version"":""v1"",""created"":""Tue, 28 Mar 1995 19:35:15 GMT""}]","2007-05-23"
"astro-ph/9503105","Nir J. Shaviv","Nir J. Shaviv and Arnon Dar","Fireballs in Dense Stellar Regions as an explanation of Gamma Ray Bursts","6 pages, uuencoded postscript file including figures, Submitted to
  Mon. Not. R. Astron. Soc","Mon.Not.Roy.Astron.Soc. 277 (1995) 287","10.1093/mnras/277.1.287",,"astro-ph",,"  We study a cosmological scenario for gamma ray bursts (GRBs) where
relativistic flows interact with dense radiation fields. It is shown that this
scenario is plausible in very dense stellar regions which are known to exist in
collapsed cores of globular clusters or dense nuclei of galaxies. It yields a
correct quantitative description of the temporal behavior of GRBs. Several
other properties of GRBs are easily explained.
","[{""version"":""v1"",""created"":""Tue, 28 Mar 1995 20:18:47 GMT""},{""version"":""v2"",""created"":""Sun, 14 May 1995 14:51:08 GMT""}]","2015-06-24"
"astro-ph/9503106","Tim Bedding","J. Christensen-Dalsgaard, T.R. Bedding, G. Houdek, H. Kjeldsen, C.
  Rosenthal, R. Trampedach, M.J.P.F.G. Monteiro & A. Nordlund","NEAR-SURFACE EFFECTS IN MODELLING OSCILLATIONS OF ETA BOO","uuencoded and compressed Postscript (2 pages, including figure); To
  appear in Proceedings of IAU Colloquium 155, ""Astrophysical Applications of
  Stellar Pulsation"", Cape Town, South Africa",,,"USYD2903","astro-ph",,"  Following the report of solar-like oscillations in the G0 V star eta Boo
(Kjeldsen et al. 1995, AJ 109, 1313), a first attempt to model the observed
frequencies was made by Christensen-Dalsgaard et al. (1995, ApJ Letters, in
press). This attempt succeeded in reproducing the observed frequency
separations, although there remained a difference of about 10 microHz between
observed and computed frequencies. In those models, the near-surface region of
the star was treated rather crudely. Here we consider more sophisticated models
that include non-local mixing-length theory, turbulent pressure and
nonadiabatic oscillations.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 01:56:26 GMT""}]","2007-05-23"
"astro-ph/9503108","Jacek Choloniewski","Jacek Choloniewski","A NEW METHOD OF STUDYING GALAXY VELOCITY FIELD: FIRST RESULTS","MNRAS submitted, 11 pages, uuencoded compressed Postscript file,
  including 7 figures. Postscript also available at anonymous
  ftp://sirius.astrouw.edu.pl/pub/submit/jch/p1.ps.Z",,"10.1093/mnras/275.1.L79","OAUW-950328","astro-ph",,"  It is shown that the average magnitude - redshift diagram for a
magnitude-limited sample of galaxies can be effectively used for mapping galaxy
velocity field. This new approach is quantitatively introduced and applied to
the CfA, ESO/LV and ZCAT samples of galaxies. Strong arguments are presented
for infall velocities in the Virgo and Fornax superclusters and in the Great
Wall structure.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 14:07:45 GMT""}]","2016-06-08"
"cond-mat/9503148","Enrique Macia Barber","F. Dominguez-Adame, E. Macia, B. Mendez, C. L. Roy, and A. Khan","FIBONACCI SUPERLATTICES OF NARROW-GAP III-V SEMICONDUCTORS","REVTeX 3.0, 16 pages, 8 figures available upon request. To appear in
  Semiconductor Science and Technology",,"10.1088/0268-1242/10/6/009","FIMAT-4/95","cond-mat",,"  We report theoretical electronic structure of Fibonacci superlattices of
narrow-gap III-V semiconductors. Electron dynamics is accurately described
within the envelope-function approximation in a two-band model.
Quasiperiodicity is introduced by considering two different III-V semiconductor
layers and arranging them according to the Fibonacci series along the growth
direction. The resulting energy spectrum is then found by solving exactly the
corresponding effective-mass (Dirac-like) wave equation using tranfer-matrix
techniques. We find that a self-similar electronic spectrum can be seen in the
band structure. Electronic transport properties of samples are also studied and
related to the degree of spatial localization of electronic envelope-functions
via Landauer resistance and Lyapunov coefficient. As a working example, we
consider type II InAs/GaSb superlattices and discuss in detail our results in
this system.
","[{""version"":""v1"",""created"":""Tue, 28 Mar 1995 17:16:31 GMT""}]","2009-10-28"
"cond-mat/9503149","Yinlong Sun","Yinlong Sun and George Kirczenow (Simon Fraser University, Canada),
  Andrew. S. Sachrajda and Yan Feng (Institute of Microstructural Sciences,
  NRC, Canada)","An Electrostatic Model of Split-Gate Quantum Wires","RevTeX, 28 pages, 5 PostScript figures available unpacking
  instruction. To be published in the Journal of Applied Physics",,"10.1063/1.359108",,"cond-mat",,"  We present a theoretical model of split-gate quantum wires that are
fabricated from GaAs-AlGaAs heterostructures. The model is built on the
physical properties of donors and of semiconductor surfaces, and considerations
of equilibrium in such systems. Based on the features of this model, we have
studied different ionization regimes of quantum wires, provided a method to
evaluate the shallow donor density, and calculated the depletion and pinchoff
voltages of quantum wires both before and after illumination. A real split-gate
quantum wire has been taken as an example for the calculations, and the results
calculated for it agree well with experimental measurements. This paper
provides an analytic approach for obtaining much useful information about
quantum wires, as well as a general theoretical tool for other gated
nanostructure systems.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 06:02:20 GMT""}]","2009-10-28"
"cond-mat/9503151",,"G.P.Borghi, A.Girlando, A.Painelli (Parma), J.Voit (Bayreuth)","Exact numerical diagonalization of one-dimensional interacting electrons
  nonadiabatically coupled to phonons","latex manuscript (7 pages), 3 eps figures; revised version, better
  discussion, one figure replaced; to be published in Europhys. Lett",,"10.1209/epl/i1996-00427-7",,"cond-mat",,"  We study the role of non-adiabatic Holstein electron-phonon coupling on the
neutral-ionic phase transition of charge transfer crystals which can be tuned
from continuous to discontinuous, using exact numerical diagonalization. The
variation of electronic properties through the transition is smoothed by
nonadiabaticity. Lattice properties are strongly affected, and we observe both
squeezing and antisqueezing, depending on details of the adiabatic potentials,
and identify the quantum uncertainty of the phonons as the most sensitive
measure of nonadiabaticity. The adiabatic limit is regular for a continuous
transition but turns out completely inadequate near a discontinuous transition.
The relevance of coherent state approaches is assessed critically.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 09:57:39 GMT""},{""version"":""v2"",""created"":""Thu, 14 Mar 1996 08:19:00 GMT""}]","2009-10-28"
"cond-mat/9503152","T. Xiang","Tao Xiang (Research Centre in Superconductivity, University of
  Cambridge, UK)","Effect of superconducting correlation on the localization of
  quasiparticles in low dimensions","4 pages, tar-compressed uuencoded postscript file",,"10.1103/PhysRevB.52.6204","IRC950310","cond-mat",,"  Localization lengths of superconducting quasiparticles $\lambda_s$ are
evaluated and compared with the corresponding normal state values $\lambda_n$
in one and two dimensional lattices. The effect of superconducting correlation
on the localization of quasiparticles is generally stronger in an off-site
pairing state than in an on-site pairing state. The modification of
superconducting correlation to $\lambda$ is strongly correlated with the
density of states (DOS) of superconducting quasiparticles. $\lambda_s$ drops
within the energy gap but is largely enhanced around energies where DOS peaks
appear. For a gapless pairing state in 1D or a d-wave pairing state in 2D,
$\lambda_s/ \lambda_n$ at the Fermi energy $E_F$ is of order 1 and determined
purely by the value of gap parameter not by the random potential. For the
d-wave pairing state, the localization effect is largely weakened compared with
the corresponding normal state and quasiparticles with energies close to $E_F$
are more strongly localized than other low energy quasiparticles.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 11:37:58 GMT""}]","2009-10-28"
"cond-mat/9503153","Roland Combescot","R. Combescot and X. Leyronas","Coupling between planes and chains in YBa2Cu3O7 : a possible solution
  for the order parameter controversy","13 pages, revtex, 2 uucoded figures",,"10.1103/PhysRevLett.75.3732",,"cond-mat supr-con",,"  We propose to explain the contradictory experimental evidence about the
symmetry of the order parameter in $YBa_{2}Cu_{3}O_{7} $ by taking into account
the coupling between planes and chains. This leads to an anticrossing of the
plane and chain band. We include an attractive pairing interaction within the
planes and a repulsive one between planes and chains, leading to opposite signs
for the order parameter on planes and chains, and to nodes of the gap because
of the anticrossing. Our model blends s-wave and d-wave features, and provides
a natural explanation for all the contradictory experiments
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 13:24:05 GMT""},{""version"":""v2"",""created"":""Thu, 30 Mar 1995 14:00:09 GMT""},{""version"":""v3"",""created"":""Tue, 4 Apr 1995 17:00:35 GMT""}]","2009-10-28"
