"adap-org/9503003",,"Frode Torvund (University of Oslo), Jan Froyland (University of Oslo)","Strong Ordering by Non-uniformity of Thresholds in a Coupled Map Lattice","12 pages uuencoded postscript, including figures. Accepted for
  publication in Physica Scripta.",,"10.1088/0031-8949/52/6/003",,"adap-org nlin.AO",,"  The coupled map lattice by Olami {\it et al.} [Phys. Rev. Lett. {\bf 68},
1244 (1992)] is ``doped'' by letting just {\it one} site have a threshold,
$T^{*}_{\rm max}$, bigger than the others. On an $L \times L$ lattice with
periodic boundary conditions this leads to a transition from avalanche sizes of
about one to exactly $L^2$, and after each avalanche stresses distributes among
only five distinct values, $\tau_{k}$, related to the parameters $\alpha $ and
$T^{*}_{\rm max}$ by $\tau_{k}= k\alpha T^{*}_{\rm max}$ where $k=0,1,2,3,4$.
This result is independent of lattice size. The transient times are inversely
proportional to the amount of doping and increase linearly with $L$.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 17:25:19 GMT""}]","2015-06-30"
"adap-org/9503004","Chris Adami","C. Adami, C.T. Brown, and M. Haggerty (Kellogg Radiation Laboratory,
  Caltech)","Abundance Distributions in Artificial Life and Stochastic Models: ""Age
  and Area"" revisited","12 p., tar-compressed uuencoded postscript incl. figures, Proc. of
  ECAL 95 conference, to appear",,,,"adap-org nlin.AO q-bio.PE",,"  Using an artificial system of self-replicating strings, we show a correlation
between the age of a genotype and its abundance that reflects a punctuated
rather than gradual picture of evolution, as suggested long ago by Willis. In
support of this correlation, we measure genotype abundance distributions and
find universal coefficients. Finally, we propose a simple stochastic model
which describes the dynamics of equilibrium periods and which correctly
predicts most of the observed distributions.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 22:54:36 GMT""}]","2008-02-03"
"alg-geom/9503023","Richard Earl","Richard Earl","The Mumford relations and the moduli of rank three stable bundles","35 Pages, no figures LaTeX v 2.09",,,,"alg-geom math.AG",,"  We find a complete set of relations for the rational cohomology ring of the
moduli space of rank three stable bundles over a Riemann surface of genus g and
also show that the Pontryagin ring vanishes in degree 12g-8 and greater. The
results are obtained by introducing some 'dual' Mumford relations and
generalising Kirwan's proofs of the Mumford and Newstead conjectures in the
rank two case. (In this revised version of the paper the vanishing degree of
the Pontryagin ring of the moduli space has been improved from `in and above
degree 12g-4' to `in and above degree 12g-8'. This degree is now known to be
sharp.)
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 18:43:54 GMT""},{""version"":""v2"",""created"":""Thu, 14 Dec 1995 13:13:43 GMT""},{""version"":""v3"",""created"":""Tue, 13 Aug 1996 09:00:19 GMT""}]","2008-02-03"
"alg-geom/9503024","Heath Martin","Heath M. Martin and Juan C. Migliore","Degrees of generators of ideals defining subschemes of projective space","27 pages, LaTeX v 2.09",,,,"alg-geom math.AG",,"  For an arithmetically Cohen--Macaulay subscheme of projective space, there is
a well-known bound for the highest degree of a minimal generator for the
defining ideal of the subscheme, in terms of the Hilbert function. We prove a
natural extension of this bound for arbitrary locally Cohen--Macaulay
subschemes. We then specialize to curves in $\pthree$, and show that the curves
whose defining ideals have generators of maximal degree satisfy an interesting
cohomological property. The even liaison classes possessing such curves are
characterized, and we show that within an even liaison class, all curves with
the property satisfy a strong Lazarsfeld--Rao structure theorem. This allows us
to give relatively complete conditions for when a liaison class contains curves
whose ideals have maximal degree generators, and where within the liaison class
they occur.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 18:57:19 GMT""}]","2008-02-03"
"astro-ph/9503109","Roberto De Propris","R. De Propris, C. J. Pritchet, W. E. Harris, R. D. McClure","Evidence for Steep Luminosity Functions in Clusters of Galaxies","15 pages, 2 figures (attached). Uuencoded compressed Postscript
  tarfile. Accepted by the Astrophysical Journal.",,"10.1086/176163",,"astro-ph",,"  Luminosity Functions have been obtained for very faint dwarf galaxies in the
cores of four rich clusters of galaxies (Abell 2052, 2107, 2199 and 2666). It
is found that the luminosity function of dwarf galaxies rises very steeply in
these clusters, with a power-law slope of \alpha -2.2 (down to absolute
limiting magnitudes M_I = -13 and M_B = -11 for H_0 = 75 km/s/Mpc). A
steepening of the luminosity function at faint magnitudes may in fact be a
common feature of both cluster and field populations. Such a result may explain
the observed excess counts of faint, intermediate redshift galaxies in the
Universe, without resorting to more exotic phenomena. An alternate explanation
is that star formation in dwarf galaxies is less affected by gas loss in the
richest clusters, because of the dense, hot intracluster medium found in such
environments.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 19:45:24 GMT""}]","2009-10-28"
"astro-ph/9503110","Neta Bahcall","Neta A. Bahcall (Princeton University Observatory)","RATING COSMOLOGICAL MODELS","compressed PostScript file, no figures, to appear as the summary of
  the 11th Potsdam Cosmology Workshop on ""Large Scale Structrure in the
  Universe"", 1994;",,,"Princeton Observatory Preprint POP-606","astro-ph",,"  I summarize the successes and failures of the most popular current
cosmological models in accounting for the available observations. This
evaluation, presented as the summary of the 11th Potsdam Workshop on
Large-Scale Structure, was discussed by all the participants. I present the
ratings given to each model based on a confrontation with the data, and the
final vote taken.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 22:33:47 GMT""}]","2007-05-23"
"astro-ph/9503111","Neta Bahcall","Neta A. Bahcall (Princeton University Observatory)","COSMOLOGY WITH CLUSTERS OF GALAXIES","compressed PostScript, to appear in the Proceedings of 11th Potsdam
  Cosmology Workshop on ""Large Scale Structrure in the Universe"", 1994; for the
  figures contact neta@astro.princeton.edu",,,"Princeton Observatory Preprint POP-607","astro-ph",,"  Rich clusters of galaxies, the largest virialized systems known, provide a
powerful tool for the study of cosmology. Some of the fundamental questions
that can be addressed with clusters of galaxies include: how did galaxies and
large-scale structure form and evolve? What is the amount, composition and
distribution of matter in the universe? I review some of the studies utilizing
clusters of galaxies to investigare, among others:
  - The dark matter on clusters scale and the mean mass-density of the
universe;
  - The large-scale structure of the universe;
  - The peculiar velocity field on large scales;
  - The mass-function of groups and clusters of galaxies;
  - The constraints placed on specific cosmological models using the cluster
data.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 22:34:09 GMT""}]","2007-05-23"
"astro-ph/9503112","Neta Bahcall","Neta A. Bahcall (Princeton University Observatory)","CLUSTERING AND LARGE SCALE STRUCTURE WITH THE SDSS","compressed PostScript, invited talk presented at the AAS meeting,
  Minneapolis, June 1994, to appear in PASP 1995; for the figures contact
  neta@astro.princeton.edu;","Publ.Astron.Soc.Pac. 107 (1995) 790","10.1086/133625","Princeton Observatory Preprint POP-608","astro-ph",,"  The Sloan Digital Sky Survey (SDSS) will provide a complete imaging and
spectroscopic survey of the high-latitude northern sky. The 2D survey will
image the sky in five colors and will contain nearly 5 x 107 galaxies to g ~
23m. The spectroscopic survey will obtain spectra of the brightest 106
galaxies, 105 quasars, and 103.5 rich clusters of galaxies (to g~18.3-19.3m,
respectively). I summarize some of the science opportunities that will be made
possible by this survey for studying the clustering and large-scale structure
of the universe.
  The survey will identify a complete sample of several thousand rich clusters
of galaxies, both in 2D and 3D - the largest automated sample yet available.
The extensive cluster sample can be used to determine critical clustering
properties such as the luminosity-function, velocity-function, and
mass-function of clusters of galaxies (a critical test for cosmological
models), detailed cluster dynamics and W(dyn), the cluster correlation function
and its dependence on richness, cluster evolution, superclustering and voids to
the largest scales yet observed, the motions of clusters and their large-scale
peculiar velocity field, as well as detailed correlations between x-ray and
optical properties of clusters, the density-morphology relation, and
cluster-quasar associations. The large redshift survey, reaching to a depth of
600h-1 Mpc, will accurately map the largest scales yet observed, determine the
power-spectrum and correlation function on these large scales for different
type galaxies, and study the clustering of quasars to high redshifts (z 4). The
implications of the survey for cosmological models, the dark matter, and W are
also discussed.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 22:34:30 GMT""}]","2009-10-28"
"astro-ph/9503113","Eyal Maoz","Eyal Maoz","A STRINGENT CONSTRAINT ON ALTERNATIVES TO A MASSIVE BLACK HOLE AT THE
  CENTER OF NGC 4258","Submitted to ApJ (Letters) on March 15, 1995. 11 pages including 1
  figure; uuencoded, compressed postscript.","Astrophys.J. 447 (1995) L91","10.1086/309574",,"astro-ph",,"  There is now dynamical evidence for massive dark objects at the center of
several galaxies, but suggestions that these are supermassive black holes are
based only on indirect astrophysical arguments. The recent unprecedented
measurement of the rotation curve of maser emission sources at the center of
NGC 4258, and the remarkable discovery that it is Keplerian to high precision,
provides us a unique opportunity for testing alternatives to a BH (e.g., a
massive cluster of stellar remnants, brown dwarfs, low-mass stars, or halo dark
matter).
  We use a conservative upper limit on the systematic deviation from a
Keplerian rotation curve to constrain the mass distribution at the galaxy
center. Based on evaporation and physical collision time-scale arguments, we
show that a central cluster is ruled out, *unless* the cluster consists of
*extremely* dense objects with mass less than about 0.05 solar masses (e.g.,
low mass BHs or elementary particles). Since both of these dynamically-allowed
systems are very improbable for other astrophysical reasons, we conclude that a
central dense cluster at the center of NGC 4258 is *very* improbable, thus
leaving the alternative possibility of a massive BH. We also show that the mass
of the BH must be at least 98% of the mass enclosed within the inner edge of
the masering disk (3.6*10^7 solar masses). A substantial contribution to that
mass from a density cusp in the background mass distribution is excluded.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 20:47:02 GMT""}]","2009-10-28"
"astro-ph/9503114","Luigi Guzzo","L. Guzzo, K.B. Fisher, M.S. Strauss, R. Giovanelli, M.P. Haynes","What is the Small-Scale Velocity Dispersion of Galaxy Pairs?","6 pages, uu-encoded/compressed/tarred ps file with figures; to appear
  in ""Astroph. Lett. & Communications: Proceedings of 3rd Italian Cosmology
  Meeting""",,,"MIL-tbd","astro-ph",,"  We present some new results from an ongoing investigation of the anisotropy
of the two--point correlation function for optically selected galaxies. We have
estimated xi(r_p,pi) from the Perseus-Pisces redshift survey, which is now
virtually 100\% complete for all morphological types to m_B = 15.5. We detect
strong distortions of the iso-correlation contours in xi(r_p,pi). These
correspond to a global (`cluster' plus `field') pairwise velocity dispersion at
1 h^{-1} Mpc, sigma(1), which is about a factor of two higher than the
canonical value \sim 350 km s^{-1} obtained from the CfA1 survey and recently
from the 1.2 Jy IRAS redshift survey. However, the variance of this value is
still rather strong even within the relatively large volumes surveyed
(typically 90$^\circ$ $\times$ 45$^\circ$ $\times$ 100 h^{-1} Mpc). From the
largest volume explorable (126 h^{-1} Mpc depth), the best bet for the `cosmic'
value of sigma(1) seems to be between 600 and 700 km s^{-1}. However, for a
hopefully robust determination of its value we will have to wait for the
analyses of the next generation of larger {\tenbf optical} redshift surveys
(such as, e.g., the now completed ESP or the forthcoming Sloan Digital Sky
Survey).
","[{""version"":""v1"",""created"":""Thu, 30 Mar 1995 09:07:18 GMT""}]","2007-05-23"
"chao-dyn/9503012","Jens Marklof","J. Marklof (II. Institut fuer Theoretische Physik, Universitaet
  Hamburg)","On multiplicities in length spectra of arithmetic hyperbolic
  three-orbifolds","29 pages, uuencoded ps. Revised version, to appear in NONLINEARITY","Nonlinearity 9 (1996) 517-536","10.1088/0951-7715/9/2/014","DESY 95-055","chao-dyn nlin.CD",,"  Asymptotic laws for mean multiplicities of lengths of closed geodesics in
arithmetic hyperbolic three-orbifolds are derived. The sharpest results are
obtained for non-compact orbifolds associated with the Bianchi groups SL(2,o)
and some congruence subgroups. Similar results hold for cocompact arithmetic
quaternion groups, if a conjecture on the number of gaps in their length
spectra is true. The results related to the groups above give asymptotic lower
bounds for the mean multiplicities in length spectra of arbitrary arithmetic
hyperbolic three-orbifolds. The investigation of these multiplicities is
motivated by their sensitive effect on the eigenvalue spectrum of the
Laplace-Beltrami operator on a hyperbolic orbifold, which may be interpreted as
the Hamiltonian of a three-dimensional quantum system being strongly chaotic in
the classical limit.
","[{""version"":""v1"",""created"":""Thu, 30 Mar 1995 11:47:21 GMT""},{""version"":""v2"",""created"":""Mon, 11 Dec 1995 19:01:51 GMT""}]","2009-10-28"
