"alg-geom/9504002","Serge Lvovsky","S. L'vovsky","On number of hypersurfaces containing projective curves","14 pages, no figures, AMSTeX v 2.1 with amsppt",,,,"alg-geom math.AG",,"  Generalizing a classical lemma of Castelnuovo, we characterize rational
normal curves (resp. linearly normal elliptic curves) as curves $C\subset
\PP^n$ such that the number of linearly independent hypersurfaces $Z\supset C$
of given degree~$m$ is maximal (resp. next to maximal).
","[{""version"":""v1"",""created"":""Tue, 4 Apr 1995 17:25:19 GMT""}]","2008-02-03"
"astro-ph/9504004","Dongsu Ryu","Dongsu Ryu, Garry L. Brown, Jeremiah P. Ostriker, and Abraham Loeb","Stable and Unstable Accretion Flows with Angular Momentum near a Point
  Mass","ApJ accepted, 23 pages, uuencoded, compressed postscript file, 11
  figures available upon request from ryu@sirius.chungnam.ac.kr","Astrophys.J. 452 (1995) 364","10.1086/176308",,"astro-ph",,"  The properties of axisymmetric accretion flows of cold adiabatic gas with
zero total energy in the vicinity of a Newtonian point mass are characterized
by a single dimensionless parameter, the thickness of incoming flow. In the
limit of thin accretion flows with vanishing thickness, we show that the
governing equations become self-similar, involving no free parameters. We study
numerically thin accretion flows with finite thickness as well as those with
vanishing thickness. Mass elements of the incoming flow enter the computational
regime as thin rings. In the case with finite thickness, after a transient
period of initial adjustment, an almost steady-state accretion shock with a
small oscillation amplitude forms, confirming the previous work by Molteni,
Lanzafame, \& Chakrabarti (1994). The gas in the region of vorticity between
the funnel wall and the accretion shock follows closed streamlines, forming a
torus. This torus, in turn, behaves as an effective barrier to the incoming
flow and supports the accretion shock which reflects the incoming gas away from
the equatorial plane. The postshock flow, which is further accelerated by the
pressure gradient behind the shock, goes through a second shock which then
reflects the flow away from the symmetry axis to form a conical outgoing wind.
As the thickness of the inflowing layer decreases (or if the ratio of the half
thickness to the distance to the funnel wall along the equatorial plan is
smaller than $\sim0.1$), the flow becomes unstable. In the case with vanishing
thickness, the accretion shock formed to stop the incoming flow behind the
funnel wall oscillates quasi-periodically with an amplitude comparable to the
thickness. The structure between the funnel wall and the accretion shock is
destroyed as the shock moves inwards toward the central mass and re-generated
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 00:33:04 GMT""}]","2009-10-28"
"astro-ph/9504005","Luigi Guzzo","S. Ettori, L. Guzzo, M. Tarenghi","A Study of the Large--Scale Distribution of Galaxies in the South
  Galactic Pole Region: I. The Data","7 MN-style text pages + 5 reduced-size tables, all in uu-compressed-
  tarred PS format. 16 figures available in hardcopy from the authors. MNRAS,
  in press",,"10.1093/mnras/276.3.689","Milano Preprints in Astrophysics #tbd","astro-ph",,"  We present the data from an extensive, moderately deep (b_J = 19.5)
spectroscopic survey of $\sim 600$ galaxies within four regions of sky located
near the South Galactic Pole. About 75% of the measured galaxies are in a 3deg
x 1.5deg region dominated by the rich cluster Klemola 44 (Abell 4038). The
other three smaller areas cover about 1 square degree each. Here we discuss in
detail the observing and data reduction strategies, the completeness and errors
on the measured redshifts. The data collected are being used for: (1) a study
of the large--scale redshift distribution of the galaxies in each field, and
(2) a thorough dynamical investigation of Klemola 44. Results from these
analyses will be presented in forthcoming papers.
","[{""version"":""v1"",""created"":""Tue, 4 Apr 1995 17:57:19 GMT""}]","2015-06-24"
"astro-ph/9504006","Sandra Savaglio","Sandra Savaglio & John Webb","Abundances in the Lyman--alpha clouds","6 pages, ps compressed file available via anonymous
  ftp://160.97.1.3/pub/ss/eso.ps.Z, proceedings of the ESO workshop on QSO
  absorption lines, November 1994",,,,"astro-ph",,"  We have re--examined the chemical composition of \lya clouds using the
composite--cloud technique, in which each \lya line in a spectrum is shifted to
its rest frame wavelength and all rest frame spectra are co--added to form an
`averaged' \lya cloud spectrum. We illustrate how various estimates of the
spectrum and redshift evolution of the background ionizing UV flux lead to very
different predictions for the relative strengths of heavy element lines in the
forest clouds. We also show how the potential abundance limits depend on the
various observational quantities and how different procedures may be required
for OVI and CIV. Preliminary results are presented from an analysis of two high
redshift QSO echelle spectra.
","[{""version"":""v1"",""created"":""Tue, 4 Apr 1995 18:21:17 GMT""}]","2007-05-23"
"astro-ph/9504007","Adam Stanford","S.A. Stanford, P.R.M. Eisenhardt, and Mark Dickinson","EVOLUTION OF IR-SELECTED GALAXIES IN Z~0.4 CLUSTERS","uuencoded gzipped tar file containing latex files of manuscript (42
  pages) plus tables (9 pages); figures available by anonymous ftp at
  ftp://ipac.caltech.edu//pub/pickup/sed ; accepted for publication in the ApJ",,"10.1086/176162",,"astro-ph",,"  Wide-field optical and near--IR ($JHK$) imaging is presented for two rich
galaxy clusters: Abell~370 at $z=0.374$ and Abell~851 (Cl0939+47) at $z=0.407$.
Galaxy catalogs selected from the near--IR images are 90\% complete to
approximately 1.5 mag below $K^\ast$ resulting in samples with $\sim$100
probable member galaxies per cluster in the central $\sim$2 Mpc. Comparison
with $HST$ WFPC images yields subsamples of $\sim$70 galaxies in each cluster
with morphological types. Analysis of the complete samples and the $HST$
subsamples shows that the $z\sim 0.4$ E/S0s are bluer than those in the Bower
et al.\ (1992) Coma sample in the optical$-K$ color by $0.13$~mag for Abell~370
and by $0.18$~mag for Abell~851. If real, the bluing of the E/S0 populations at
moderate redshift is consistent with that calculated from the Bruzual and
Charlot (1993) models of passive elliptical galaxy evolution. In both clusters
the intrinsic scatter of the known E/S0s about their optical$-K$ color--mag
relation is small ($\sim 0.06$ mag) and not significantly different from that
of Coma E/S0s as given by Bower et al.\ (1992), indicating that the galaxies
within each cluster formed at the same time at an early epoch.
","[{""version"":""v1"",""created"":""Tue, 4 Apr 1995 18:16:43 GMT""}]","2009-10-28"
"astro-ph/9504008","Eli Waxman","Eli Waxman and Jordi Miralda-Escud\'e (Institute for Advanced Study)","The Distribution of Mass and Gas in the Center of Clusters of Galaxies
  Implied by X-Ray and Lensing Observations","30 pages, PostScript","Astrophys.J. 451 (1995) 451","10.1086/176234","IASSNS-AST 95/8","astro-ph",,"  Observations of gravitational lensing indicate that the mass distribution in
clusters of galaxies (where most of the mass is dark matter) is highly peaked
towards the center, while X-ray observations imply that the gas is more
extended. The additional fact that the gas is cooling in the center has often
led one to expect that the gas temperature should be lower near the center, and
therefore the gas should be more concentrated than the dark matter. We show
that such expectation is not correct, and that the gas temperature must remain
approximately constant within the cooling region in order to have consistency
with the observed X-ray profiles and lenses. A multiphase cooling flow
naturally produces an approximately constant temperature profile, and a more
extended distribution for the gas compared to the mass. Cool phases are
deposited at relatively large radius, while hot phases are adiabatically heated
as they flow inwards and can keep the average temperature constant. Thus,
cooling flows result in an {\it increase} of the central temperature, relative
to a case where there is no cooling and the gas follows the mass distribution.
  The increased central temperatures caused by cooling flows give a
characteristic core radius to the gas profiles, which is of order the cooling
radius. This provides a natural explanation for the typical cores observed in
X-ray clusters. It also brings into better agreement with observations the rate
of cluster evolution expected in self-similar hierarchical models. We propose
that clusters having core radii much larger than their cooling radii are in the
process of merging and are not in dynamical equilibrium.
","[{""version"":""v1"",""created"":""Tue, 4 Apr 1995 19:32:50 GMT""}]","2009-10-28"
"astro-ph/9504009","Ermanno Borra","G. Moretto, G. R. LemaitreT. Bactivelane, M. Wang, M. Ferrari, S.
  Mazzanti, B. Di Biagio and E.F. Borra","Active vase mirrors warped by Zernike polynomials for Correcting
  off-axis aberrations of fixed primary mirrors. Part 2 - Optical testing and
  performance evaluation","8 pages of uuencoded compressed postscript, including 9 figures, 7
  figure sent upon request. To appear in Astronomy & Astrophysics Suppl",,,"EFB93","astro-ph",,"  We investigate the aspherization of an active mirror for correcting third and
fifth-order aberrations. We use a stainless steel AISI 420 mirror with a
controlled pressure load, two series of 12-punctual radial positions of force
application distributed symmetrically in two concentric rings around the
mirror. We obtain the wavefronts for Cv1, Sph3, Coma3, Astm3, Comatri, Astm5
aswell as those of the added wavefronts. Although this active prototype mirror
has general uses, our goal is to compensate the aberrations of a liquid mirror
observing at large angles from the zenith.
","[{""version"":""v1"",""created"":""Tue, 4 Apr 1995 21:05:59 GMT""}]","2019-08-15"
"astro-ph/9504010","Jim Brainerd","Charles A. Meegan (NASA/MSFC), Dieter H. Hartmann (Clemson), J. J.
  Brainerd (UAH), Michael S. Briggs (UAH), William S. Paciesas (UAH), Geoffrey
  Pendleton (UAH), Chryssa Kouveliotou (USRA), Gerald Fishman (NASA/MSFC),
  George Blumenthal (UCSC), Martin Brock (NASA/MSFC)","Do Gamma-Ray Burst Sources Repeat?","ApJ Letters, in press, 13 pages, including three embedded figures.
  uuencoded Unix-compressed PostScript",,"10.1086/187919",,"astro-ph",,"  The demonstration of repeated gamma-ray bursts from an individual source
would severely constrain burst source models. Recent reports (Quashnock and
Lamb 1993; Wang and Lingenfelter 1993) of evidence for repetition in the first
BATSE burst catalog have generated renewed interest in this issue. Here, we
analyze the angular distribution of 585 bursts of the second BATSE catalog
(Meegan et al. 1994). We search for evidence of burst recurrence using the
nearest and farthest neighbor statistic and the two-point angular correlation
function. We find the data to be consistent with the hypothesis that burst
sources do not repeat; however, a repeater fraction of up to about 20% of the
observed bursts cannot be excluded.
","[{""version"":""v1"",""created"":""Tue, 4 Apr 1995 21:17:31 GMT""}]","2009-10-28"
"astro-ph/9504011","Paul Goudfrooij","Paul Goudfrooij (ESO Garching) and Teije de Jong (Laboratory for Space
  Research, Groningen)","Interstellar matter in Shapley-Ames elliptical galaxies. IV. A diffusely
  distributed component of dust and its effect on colour gradients","Astronomy and Astrophysics, in press (accepted December 6, 1994).
  Postscript file of 15 pages, figures NOT included. This document (INCLUDING
  the PostScript figures) can also be retrieved from
  http://http.hq.eso.org/eso-preprints/toc1994.html","Astron.Astrophys.298:784,1995",,"ESO preprint No. 1055","astro-ph",,"  The presence of dust in elliptical galaxies has recently been shown to be
quite common. Deep optical multi-colour CCD imaging has revealed the presence
of dust lanes and patches, and the technique of co-adding IRAS survey scans has
led to many detections of elliptical galaxies. The optical and far-infrared
surveys reported similar detection rates of dust, which may indicate that dust
in elliptical galaxies is generally distributed in the optically detected lanes
or patches. However, we show here that the amount of dust as derived from the
optical extinction values is typically an order of magnitude smaller than that
derived from the IRAS flux densities, in strong contrast with the situation in
spiral galaxies.
  To unriddle this dilemma, we postulate that the majority of the dust in
elliptical galaxies exists as a diffusely distributed component which is
undetectable using optical methods. Employing a multiple scattering model for
the dust, we show that the presence of this newly postulated dust component
implies significant radial colour gradients which were essentially thought to
arise from stellar population gradients only.
  The energetics of the diffusely distributed dust component is shown to be
consistent with the IRAS data. A comparison of the detectable amount of dust in
elliptical galaxies embedded in hot, X-ray-emitting gas with the amount
expected in case the production and destruction rates of dust are equal
indicates that most of the dust in elliptical galaxies has been accreted from
other galaxies.
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 08:39:51 GMT""}]","2008-11-26"
"astro-ph/9504012","http://www. phys. uniroma1. it/DOCS/PIL/pil. html","F. Sylos Labini and L. Pietronero","Stochastic aggregation model for the multifractal distribution of matter","4 pages, latex, figures are available at sylos@roma1.infn.it",,"10.1007/3-540-60024-8_125",,"astro-ph",,"  Two main features of the observable distribution of visible matter are the
space correlations of galaxy positions and the mass function of galaxies. As
discussed in Pietronero and Sylos Labini on this issue ([1], see also [2],[3]),
the concept of multifractal (MF) distribution (including the masses) naturally
unifies these two properties. Hence with the knowledge of the whole MF spectrum
one obtains information on the correlations in space as well as on the mass
function.
  From a theoretical point of view one would like to identify the dynamical
process that leads to such a MF distribution. In order to gain some insight
into this complex problem we have developed a simple stochastic model that
includes some of the basic properties of aggregation process and allows us to
pose a variety of interesting question concerning the possible dynamical origin
of the MF distribution. The dynamics is characterised by some parameters, that
have a direct physical meaning in term of cosmological processes. In this way
we can relate the input parameters of the dynamics to the properties of the
final configuration and produce a sort of phase diagram.
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 15:32:46 GMT""}]","2016-08-30"
"astro-ph/9504013","http://www. phys. uniroma1. it/DOCS/PIL/pil. html","L.Pietronero and F. Sylos Labini","Cosmological Principle and the debate about Large Scale Structures
  distribution","latex, 8 pages, figures ara available at sylos@roma1.infn.it",,"10.1007/3-540-60024-8_69",,"astro-ph",,"  The basic hypothesis of a post-Copernican Cosmological theory is that {\em
all the points} of the Universe have to be essentially equivalent: this
hypothesis is required in order to avoid any privileged {\em observer}. This
assumption has been implemented by Einstein in the so-called Cosmological
Principles (CP): {\em all the positions} in the Universe have to be essentially
equivalent, so that the Universe is homogeneous. This situation implies also
the condition of spherical symmetry about every point, so that the Universe in
also Isotropic. There is a hidden assumption in the formulation of the CP in
regard to the hypothesis that all the points are equivalent In fact, the
condition that all the occupied points are statistically equivalent with
respect to their environment correspond to the property of of Local Isotropy.
It is generally believed that the Universe cannot be isotropic about every
point without being also homogeneous [1]. Actually Local Isotropy does not
necessarily implies homogeneity; in fact a topology theorem states that
homogeneity is implied by the condition of local isotropy together with {\em
the assumption of the analyticity or regularity} for the distribution of
matter. Up to the seventies analyticity was an obvious implicit assumption in
any physical problem. Recently however we have learned about intrinsically
irregular structures for which analyticity should be considered as a property
to be tested with appropriate analysis of experiment.
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 15:45:01 GMT""}]","2009-10-28"
