"astro-ph/9504060","Ted Pyne","Ted Pyne and Mark Birkinshaw","Beyond the Thin Lens Approximation","37 pages plus 3 appended figures, plain TeX. Submitted to ApJ","Astrophys.J. 458 (1996) 46","10.1086/176791",,"astro-ph gr-qc",,"  We obtain analytic formulae for the null geodesics of
Friedmann-Lema\^{\i}tre-Robertson-Walker spacetimes with scalar perturbations
in the longitudinal gauge. From these we provide a rigorous derivation of the
cosmological lens equation, and obtain an expression for the magnification of a
bundle of light rays without restriction to static or thin lens scenarios. We
show how the usual magnification matrix naturally emerges in the appropriate
limits.
","[{""version"":""v1"",""created"":""Wed, 19 Apr 1995 18:50:25 GMT""}]","2009-10-28"
"astro-ph/9504061","H. G. Bi","Hongguang BI, Jian GE and Li-Zhi FANG","A Simulation of Ly-alpha Absorption Forests in Linear Approximation in
  Cold and Cold+Hot Dark Matter Models","23 pages plus 14 figures in the PostScript format, tar-ed, compressed
  and then uudecoded. All these PS files and the original .LaTeX paper can be
  ftped from ftp://universe.physics.arizona.edu/incoming The paper is accepted
  for publication in ApJ",,"10.1086/176282",,"astro-ph",,"  Our goal in this paper is to test some popular dark matter models by Ly-alpha
forest in QSO spectra. Recent observations of the size and velocity of Ly-alpha
forest clouds have indicated that the Ly-alpha absorption is probably not given
by collapsed objects, but pre-collapsed regions in the baryonic density field.
Therefore, a linear approximation description would be able to provide valuable
information. We developed a technique to simulate Ly-alpha forest as the
absorption of such pre-collapsed regions under linear approximation regime. The
simulated Ly-alpha forests in models of the standard cold dark matter (SCDM),
the cold plus hot dark matter (CHDM), and the low-density flat cold dark matter
(LCDM) have been confronted with observational features, including 1) the
number density of Ly-alpha lines and its dependencies on redshift and
equivalent width; 2) the distribution of equivalent widths and its redshift
dependence; 3) clustering; and 4) the Gunn-Peterson effect. The ""standard"" CHDM
model, i.e. 60% cold and 30% hot dark matters and 10\% baryons, is found to be
difficult to pass the Ly-alpha forest test, probably because it produces
structures too late and favors to form structures on large scales instead of
small scale objects like Ly-alpha clouds. Within a reasonable range of J_nu,
the UV background radiation at high redshift, and delta_th, the threshold of
the onset of gravitational collapse of the baryonic matter, the LCDM model is
consistent with observational data in all above-mentioned four aspects. The
model of SCDM can also fit with observation, but it requires a smaller J_nu and
a higher delta_th. This suggests that whether a significant part of the
Ly-alpha forest lines is located in the halos of collapsed objects would be
crucial to the success of SCDM.
","[{""version"":""v1"",""created"":""Thu, 20 Apr 1995 00:27:54 GMT""}]","2009-10-28"
"astro-ph/9504062","Isaac Shlosman","D.M. Christodoulou, D. Kazanas, I. Shlosman and J.E. Tohline","Phase-Transition Theory of Instabilities. II. Fourth-Harmonic
  Bifurcations and Lambda-Transitions","34 pages, postscript, compressed,uuencoded. 7 figures available in
  postscript, compressed form by anonymous ftp from asta.pa.uky.edu (cd
  /shlosman/paper2 mget *.ps.Z). To appear in ApJ",,"10.1086/175807",,"astro-ph",,"  We use a free-energy minimization approach to describe the secular and
dynamical instabilities as well as the bifurcations along equilibrium sequences
of rotating, self-gravitating fluid systems. Our approach is fully nonlinear
and stems from the Ginzburg-Landau theory of phase transitions. In this paper,
we examine fourth-harmonic axisymmetric disturbances in Maclaurin spheroids and
fourth-harmonic nonaxisymmetric disturbances in Jacobi ellipsoids. These two
cases are very similar in the framework of phase transitions. Irrespective of
whether a nonlinear first-order phase transition occurs between the critical
point and the higher turning point or an apparent second-order phase transition
occurs beyond the higher turning point, the result is fission (i.e.
``spontaneous breaking'' of the topology) of the original object on a secular
time scale: the Maclaurin spheroid becomes a uniformly rotating axisymmetric
torus and the Jacobi ellipsoid becomes a binary. The presence of viscosity is
crucial since angular momentum needs to be redistributed for uniform rotation
to be maintained. The phase transitions of the dynamical systems are briefly
discussed in relation to previous numerical simulations of the formation and
evolution of protostellar systems.
","[{""version"":""v1"",""created"":""Wed, 19 Apr 1995 23:14:11 GMT""}]","2009-10-28"
"astro-ph/9504063","Joshua S. Bloom","Ed E. Fenimore and Joshua S. Bloom","Determination of Distance from Time Dilation of Cosmological Gamma-Ray
  Bursts","41 pages including figures, uuencoded compressed Postscript. Accepted
  for publication in the Astrophysical Journal. The preprint can also be found
  in Postscript form at http://sstcx1.lanl.gov/~jsbloom/ or at
  ftp://sstcx1.lanl.gov/pub/grb/time_dilation.ps",,"10.1086/176366","LA-UR-94-3480","astro-ph",,"  The isotropic distribution of gamma-ray bursts as observed with the Burst and
Transient Experiment (BATSE) strongly suggests that the bursts are at
cosmological distances. At such distances, the expansion of the universe should
redshift the spectra and stretch the temporal structure. We relate the observed
peak intensities, spectral shapes, and time dilation to distance. We include
the uncertainties in our knowledge of the intrinsic spectrum and correct for
the coupling between the spectral shape and the temporal structure. The
reported time dilation between the dimmest BATSE bursts and the bright BATSE
bursts (a factor of 2) requires a redshift of about 6 for the BATSE dimmest
bursts rather than a redshift of 1 or 2 as previously reported. The large
luminosity and distance determined from the time dilation is inconsistent with
the observed Log N-Log P distribution. unless there is very strong evolution.
The implied distance for the dimmest bursts is beyond where galaxies are
thought to form. If true, the gamma-ray bursts would be orphans: no known
objects would have the same distance scale. We conclude that either a large
fraction (65%) of the observed time dilation between the BATSE bright and
dimmest bursts is intrinsic to the bursts or that there are strong evolutionary
effects in the Log N-Log P distribution and that it is only a coincidence that
Log N-Log P shows a -3/2 power law at high intensities.
","[{""version"":""v1"",""created"":""Thu, 20 Apr 1995 02:55:08 GMT""}]","2009-10-28"
"astro-ph/9504064","Markus Boettcher","M. B\""ottcher, C. D. Dermer","Reverberation mapping of the central regions of active galactic nuclei
  using high-energy gamma-ray observations",,,,,"astro-ph",,"  We calculate the time- and energy-dependent opacity of high-energy gamma-rays
attenuated by pair production interaction with accretion-flare photons that are
scattered by gas and dust surrounding thenuclei of active galaxies. We show
that the temporal behavior of the high-energy opacity cutoff can be used in
conjunction with the time history of the accretion flare to determine the
location of the gamma-ray emission site, as well as the column density and
scale height of the material surrounding the central engine. Reverberation
mapping using this technique is possible for nearby BL Lac objects and will be
particularly valuable when the 10 -- 100 GeV gamma-ray window is opened,
because there the attenuation of distant blazar radiation by the IIBR is
negligible.
","[{""version"":""v1"",""created"":""Thu, 20 Apr 1995 10:19:35 GMT""}]","2007-05-23"
"astro-ph/9504065","Sergei Popov","V.M.Lipunov and S.B.Popov","The Determination of the `Diffusion Coefficients' and the Stellar Wind
  Velocities for X-Ray Binaries","8 pages, Latex, no figures, accepted for publication to Astronomical
  and Astrophysical Transactions (1995). Admin note 20Feb2000: original
  (broken) version now paper.tex.orig in source; fixed version with two bad
  equations set in verbatim used for PS, paper.tex in source",,"10.1080/10556799508203308",,"astro-ph",,"  The distribution of neutron stars (NS's) is determined by stationary solution
of the Fokker-Planck equation. In this work using the observed period changes
for four systems: Vela X-1, GX 301-2, Her X-1 and Cen X-3 we determined D, the
'diffusion coefficient',-parameter from the Fokker-Planck equation. Using
strong dependence of D on the velocity for Vela X-1 and GX 301-2, systems
accreting from a stellar wind, we determined the stellar wind velocity. For
different assumptions for a turbulent velocity we obtained $V=(660-1440) km s
^{-1}$. It is in good agreement with the stellar wind velocity determined by
other methods. We also determined the specific characteristic time scales for
the 'diffusion processes' in X-ray pulsars. It is of order of 200 sec for
wind-fed pulsars and 1000-10000 sec for the disk accreting systems.
","[{""version"":""v1"",""created"":""Thu, 20 Apr 1995 12:11:43 GMT""}]","2009-10-28"
"astro-ph/9504066","Sergei Popov","S.B. Popov, V.M. Lipunov, L.M. Ozernoy, K.A. Postnov, and M.E.
  Prokhorov","Population synthesis of X-ray sources at the Galactic center","4 pages, 1 figure, uuencoded compressed postscript",,,"Contribution to the Proceedings of 1st International Conference on
  Cosmoparticle Physics ""Cosmion-94""","astro-ph",,"  X-ray binary population at the Galactic center is proposed here to form as a
result of a starburst, which is synthesized by using the ``Scenario Machine''
code of binary star evolution. For the currently assumed starburst age of 4-7
millions years, our results are consistent with the recent {\it GRANAT} X-ray
observations of the Galactic center and predict a substantial number of X-ray
binaries with black holes.
","[{""version"":""v1"",""created"":""Thu, 20 Apr 1995 12:11:49 GMT""},{""version"":""v2"",""created"":""Sun, 23 Apr 1995 10:09:48 GMT""},{""version"":""v3"",""created"":""Wed, 5 Jul 1995 12:43:18 GMT""}]","2008-02-03"
"astro-ph/9504067","Preprint account","B.J.Boyle, R.J.Smith, S.J.Maddox","The environments of z<0.3 QSOs","uuencoded compressed postscript. The preprint is also available at
  http://www.ast.cam.ac.uk/preprint/PrePrint.html",,,"CAP-9504039","astro-ph",,"  Based on a cross-correlation analysis of X-ray selected QSOs with faint
(B<20.5) galaxies, we find a 5sigma galaxy excess around low-redshift (z<0.3)
QSOs with an amplitude identical to that of the galaxy angular correlation
function. The similarity between QSO-galaxy clustering and galaxy-galaxy
clustering suggests that QSOs are unbiased with respect to galaxies and make
useful tracers of large-scale structure in the Universe.
","[{""version"":""v1"",""created"":""Thu, 20 Apr 1995 13:07:13 GMT""}]","2007-05-23"
"astro-ph/9504068","Preprint account","B.J.Boyle, R.G.McMahon, B.J.Wiles, M.Elvis","The Cambridge-Cambridge ROSAT Serendipity Survey - II. Classification of
  X-ray Luminous Galaxies","uuencoded compressed postscript. The preprint is also available at
  URL http://www.ast.cam.ac.uk/preprint/PrePrint.html",,"10.1093/mnras/276.1.315","CAP-9504041","astro-ph",,"  We present the results of an intermediate-resolution (1.5\AA) spectroscopic
study of 17 X-ray luminous narrow emission-line galaxies previously identified
in the Cambridge-Cambridge {\it ROSAT} Serendipity Survey and the {\it
Einstein} Extended Medium Sensitivity Survey. Emission-line ratios reveal that
the sample is composed of ten Seyfert and seven starburst galaxies. Measured
linewidths for the narrow H$\alpha$ emission lines lie in the range
$170-460\,$km$\,$s$^{-1}$. Five of the objects show clear evidence for
asymmetry in the [OIII]$\lambda$5007 emission-line profile. Broad H$\alpha$
emission is detected in six of the Seyfert galaxies, which range in type from
Seyfert 1.5 to 2. Broad H$\beta$ emission is only detected in one Seyfert
galaxy. The mean full width at half maximum for the broad lines in the Seyfert
galaxies is ${\rm FWHM = 3900\pm 1750\,km\,s^{-1}}$. Broad (${\rm FWHM =
2200\pm 600\,km\,s^{-1}}$) $H\alpha$ emission is also detected in three of the
starburst galaxies, which could originate from stellar winds or supernovae
remnants. The mean Balmer decrement for the sample is H$\alpha$/H$\beta=3$,
consistent with little or no reddening for the bulk of the sample. There is no
evidence for any trend with X-ray luminosity in the ratio of starburst galaxies
to Seyfert galaxies. Based on our previous observations, it is therefore likely
that both classes of object comprise $\sim 10\,$per cent of the $2\,$keV X-ray
background.
","[{""version"":""v1"",""created"":""Thu, 20 Apr 1995 14:45:46 GMT""}]","2015-06-24"
"astro-ph/9504069","Preprint account","B.J.Boyle, T.Shanks, S.M.Croom","Faint UBVRI CCD sequences for wide-field surveys - I","uuencoded compressed postscript. The preprint is also available at
  URL http://www.ast.cam.ac.uk/preprint/PrePrint.html",,"10.1093/mnras/276.1.33","CAP-9504042","astro-ph",,"  We present the first results of a campaign to secure deep UBVRI CCD
photometric calibration in all UK Schmidt equatorial fields with galactic
latitudes |b| > 50deg. In this paper we provide information on deep BVRI
sequences (B<22) in 14 UK Schmidt survey fields centred at declination=0deg.
Deep U sequences have been obtained for 11 of these fields.
","[{""version"":""v1"",""created"":""Thu, 20 Apr 1995 15:04:24 GMT""}]","2015-06-24"
"cond-mat/9504072","Brett Ellman","Benoit Lussier, Brett Ellman, and Louis Taillefer","Impurity Scattering and Gap Structure in the Anisotropic Superconductor
  UPt$_3$","12 pages revtex",,,,"cond-mat",,"  The thermal conductivity, $\kappa$, of the heavy fermion superconductor
UPt$_3$ was measured down to T$_c$/10. The absence of a linear term in the
temperature dependence as T$\rightarrow$0 strongly suggests there are no zero
energy quasiparticle excitations, in contradiction with the gapless behaviour
often inferred from specific heat. A non-vanishing anisotropy ratio
$\kappa_c$/$\kappa_b$ as T$\rightarrow$0 establishes a new property of the gap
structure: the presence of nodes along the c-axis. Furthermore, recent
calculations by Fledderjohann and Hirschfeld show these cannot be point nodes
with a linear k-dependence.
","[{""version"":""v1"",""created"":""Wed, 19 Apr 1995 22:00:47 GMT""},{""version"":""v2"",""created"":""Thu, 20 Apr 1995 19:14:25 GMT""}]","2008-02-03"
