"acc-phys/9505001","Deepak Raparia","D. Raparia","RFQ-DRL MATCHING SOLUTIONS FOR DIFFERENT REQUIREMENTS","Post Script (3 pages)","Conf.Proc.C950501:3385,1995",,"PAC95, Dallas, 1-5 May 1995 (RAR16)","acc-phys physics.acc-ph",,"  The Radio-Frequency Quadrupole (RFQ) has a FODO lattice and Drift-Tube-Linacs
(DTL) in general also have FODO lattices. Therefore the natural solution for
the matching between these is a FODO lattice. For matching in all three planes
one then needs sixteen degrees of freedom. However, different requirements,
depending on the applications, may change this solution. For example, in the
production environment (like medical and industrial applications), one needs
fixed current and fixed beam quality. On the other hand, in the research
environment one not only needs all degrees of freedom, but may also want to
chop of beam pulse. This paper discusses matching solutions for these different
requirements.
","[{""version"":""v1"",""created"":""Mon, 8 May 1995 07:29:39 GMT""}]","2008-11-26"
"alg-geom/9505009","Ron Donagi","Ron Donagi","Spectral Covers",,,,,"alg-geom math.AG",,"  This is a survey of various results about spectral covers and their
relationship to Higgs bundles. To a G-principal Higgs bundle on a variety S
corresponds a cameral cover \widetilde{S} of S (a W-Galois cover, where W is
the Weyl group of G) together with a sheaf on \widetilde{S} which in simple
cases is a line bundle, and is W-equivariant up to certain twists and shifts.
Various other types of spectral covers, depending on the choice of a
representation or weight of G, arise as associated objects of \widetilde{S}. We
focus on the decomposition of the Picards of these spectral covers into Pryms
(this includes various well-known Prym identities as special cases) and on the
interpretation, in the spirit of Hitchin's abelianization program, of a
distinguished Prym component as parameter space for higgs bundles.
","[{""version"":""v1"",""created"":""Sun, 7 May 1995 17:56:05 GMT""}]","2008-02-03"
"alg-geom/9505010",,"Lucian Badescu","Algebraic Barth-Lefschetz theorems","18 pages, to appear in Nagoya Mathematical Journal. AMSTeX v. 2.1",,,,"alg-geom math.AG",,"  Using results of Hironaka-Matsumura and Faltings, we prove a strong version
of the well known Fulton-Hansen connectivity theorem for weighted projective
spaces. As a consequence we get the following result. If $Y$ is an irreducible
subvariety of the $n$-dimensional projective space (over a field of arbitrary
characteristic), then the diagonal embedding ${\Delta}_Y$ is $G_3$ in $Y\times
Y$. This fact implies a generalized version (with a characteristic-free proof)
of a result of Ogus (in char. zero) and Speiser (in positive characteristic).
","[{""version"":""v1"",""created"":""Mon, 8 May 1995 09:28:02 GMT""}]","2008-02-03"
"astro-ph/9505034","Thomas Janka","H.-Thomas Janka (Department of Astronomy and Astrophysics, University
  of Chicago)","Neutrinos from SN 1987A: Can they tell even more ?","21 pages, uuencoded, compressed postscript, figures included. Talk
  presented at the Workshop on ""Astro-Particle Physics"", Ringberg Castle,
  Tegernsee, March 6-10, 1995",,,,"astro-ph hep-ph",,"  The neutrino signal from SN~1987A provides an excellent opportunity to
constrain physical theories for matter at extreme conditions and properties of
particles that are produced in supernova (SN) cores. Phase transitions in the
supranuclear equation of state (EOS) may change the cooling history of the
collapsed stellar core and may even lead to a collapse of the protoneutron star
to a black hole on a time scale of several seconds. The implications of such a
scenario for the characteristics of the neutrino emission are tested. Moreover,
the consequences of a reduction of the neutrino opacities by a possible
suppression of the axial-vector interaction in a dense medium (Raffelt and
Seckel 1994) are investigated. Since the strongest constraints from SN~1987A
for the considered theories rely on the signal duration marked by the last
three events in Kamiokande, we also discuss attempts to explain these events
different from the standard protoneutron star cooling scenario. In particular,
attention is focussed on the scenario of a rapid cooling of the protoneutron
star within the time interval of the first 8 Kamiokande events or the IMB
signal which is only about 2--$5\,{\rm s}$. Such a short neutrino emission
could be the consequence of low neutrino opacities or convectively enhanced
neutrino transport. Since the driving force of neutrino heating around the
protoneutron star diminishes, the pressure support of the overlying material
decreases and some matter might fall back to the neutron star. However,
analytical estimates and numerical simulations indicate that the neutrino
emission associated with the accretion of this material is hardly energetic
enough to account for the last bunch of neutrinos at Kamiokande.
","[{""version"":""v1"",""created"":""Sun, 7 May 1995 19:17:55 GMT""}]","2007-05-23"
"astro-ph/9505035","Alex Lazarian","A. Lazarian","Davis-Greenstein alignment of non-spherical grains","20 pages, uuencoded Postcript, accepted to ApJ","Astrophys.J. 453 (1995) 229","10.1086/176382","DA 319","astro-ph",,"  Paramagnetic alignment of non-spherical dust grains rotating at thermal
velocities is studied. The analytical solution is found for the alignment
measure of oblate grains. Perturbative approach is used for solving the
problem. It is shown that even the first approximation of the suggested
iteration procedure provides the accuracy well within one percent of the
expected measure of alignment. The results obtained are applicable both to
paramagnetic and to superferromagnetic grains.
","[{""version"":""v1"",""created"":""Sun, 7 May 1995 20:04:41 GMT""}]","2009-10-28"
"astro-ph/9505036","Nakamura Takahiro","T.Nakamura & Y.Suto","Probability Distribution of the Hubble Constant and the Age of the
  Universe Inferred from the Local Observation","8 pages, 3 figures (uuencoded postscript)","Astrophys.J. 447 (1995) L65","10.1086/309580","UTAP-202/95","astro-ph",,"  We present a method to compute the probability distribution function of the
(true) Hubble constant and the age of the universe, given the estimate of the
Hubble constant in our nearby galaxy samples. Our method takes into account
both the observational errors and the cosmic variance, and enables to
quantitatively compute the constraints on the cosmological models. Based on the
present local observation $H_0=80\pm17$ km/s/Mpc, the probability of $H_0<50$
km/s/Mpc is about 6\% for the Einstein -- de Sitter universe ($\Omega_0=1$) and
4\% for an open ($\Omega_0=0.2$) universe. These probabilities are reduced to
0.8\% and 0.03\%, respectively, if the accuracy of the observational
uncertainty is improved within 10\%. Similar probabilistic constraints on $t_0$
are also discussed.
","[{""version"":""v1"",""created"":""Mon, 8 May 1995 03:21:59 GMT""}]","2009-10-28"
"astro-ph/9505037","Dan Kiselman","Dan Kiselman & {\AA}ke Nordlund","3D non-LTE line formation in the solar photosphere and the solar oxygen
  abundance","10 pages, uuencoded compressed PostScript file including figures, to
  appear in Astronomy & Astrophysics. Also available at
  ftp://www.astro.su.se/pub/dan",,,"NORDITA-95/30 A","astro-ph",,"  We study the formation of O I and OH spectral lines in three-dimensional
hydrodynamic models of the solar photosphere. The line source function of the O
I 777 nm triplet is allowed to depart from local thermodynamic equilibrium
(LTE), within the two-level-atom approximation. Comparison with results from 1D
models show that the 3D models alleviate, but do not remove, the discrepancy
between the oxygen abundances reported from non-LTE work on the 777 nm triplet
and from the [O I] 630 nm and OH lines. Results for the latter two could imply
that the solar oxygen abundance is below 8.8 (lg(H) = 12). If this is
confirmed, the discrepancy between theory and observation for the 777 nm
triplet lines might fall within the range of errors in equivalent width
measurements and f-values. The line source function of the 777 nm triplet in
the 1.5D approximation is shown to differ insignificantly from the full 3D
non-LTE result.
","[{""version"":""v1"",""created"":""Mon, 8 May 1995 12:33:33 GMT""}]","2007-05-23"
"cmp-lg/9505017","Gerhard Hanrieder","Gerhard Hanrieder and Guenther Goerz (Bavarian Research Center for
  Knowledge Based Systems, Erlangen, Germany)","Robust Parsing of Spoken Dialogue Using Contextual Knowledge and
  Recognition Probabilities","4 pages, LaTex source, 3 PostScript figures, uses epsf.sty and
  ETRW.sty, to appear in Proceedings of ESCA Workshop on Spoken Dialogue
  Systems, Denmark, May 30-June 2",,,,"cmp-lg cs.CL",,"  In this paper we describe the linguistic processor of a spoken dialogue
system. The parser receives a word graph from the recognition module as its
input. Its task is to find the best path through the graph. If no complete
solution can be found, a robust mechanism for selecting multiple partial
results is applied. We show how the information content rate of the results can
be improved if the selection is based on an integrated quality score combining
word recognition scores and context-dependent semantic predictions. Results of
parsing word graphs with and without predictions are reported.
","[{""version"":""v1"",""created"":""Mon, 8 May 1995 14:37:27 GMT""}]","2008-02-03"
"cond-mat/9505026","Igor L. Aleiner","I. L. Aleiner and L. I. Glazman","Two - Dimensional Electron Liquid in a Weak Magnetic Field","Submitted in Phys. Rev. B, 30 pages, 3 figures upon request",,"10.1103/PhysRevB.52.11296",,"cond-mat",,"  We present an effective theory describing the low-energy properties of an
interacting 2D electron gas at large non-integer filling factors $\nu\gg 1$.
Assuming that the interaction is sufficiently weak, $r_s < 1$, we integrate out
all the fast degrees of freedom, and derive the effective Hamiltonian acting in
the Fock space of the partially filled Landau level only. This theory enables
us to find two energy scales controlling the electron dynamics at energies less
than $\hbar\omega_c$. The first energy scale, $(\hbar\omega_c/\nu)\ln\left(\nu
r_s\right)$, appears in the one electron spectral density as the width of a
pseudogap. The second scale, $r_s\hbar\omega_c$, is parametrically larger; it
characterizes the exchange-enhanced spin splitting and the thermodynamic
density of states.
","[{""version"":""v1"",""created"":""Mon, 8 May 1995 07:10:24 GMT""}]","2009-10-28"
"cond-mat/9505027",,"A. De Martino and R. Musto","Abelian Hall Fluids and Edge States: a Conformal Field Theory Approach","Latex, 22 pages","Int. J. Mod. Phys. B 9, 2839 (1995)","10.1142/S0217979295001063","DPS-NA-18/95; INFN-NA-18/95; DFUPG-101/95","cond-mat",,"  We show that a Coulomb gas Vertex Operator representation of 2D Conformal
Field Theory gives a complete description of abelian Hall fluids: as an
euclidean theory in two space dimensions leads to the construction of the
ground state wave function for planar and toroidal geometry and characterizes
the spectrum of low energy excitations; as a $1+1$ Minkowski theory gives the
corresponding dynamics of the edge states. The difference between a generic
Hall fluid and states of the Jain's sequences is emphasized and the presence,
in the latter case, of of an $\hat {U}(1)\otimes \hat {SU}(n)$ extended algebra
and the consequent propagation on the edges of a single charged mode and $n-1$
neutral modes is discussed.
","[{""version"":""v1"",""created"":""Mon, 8 May 1995 10:50:34 GMT""}]","2012-09-27"
"gr-qc/9505008","Jose Wadih Maluf","J. W. Maluf and A. Kneip (Universidade de Brasilia)","Gravitational energy of conical defects","16 pages, LaTex file, no figure, additional text included, to appear
  in the J. Math. Phys","J.Math.Phys. 38 (1997) 458-465","10.1063/1.531827",,"gr-qc",,"  The energy density of asymptotically flat gravitational fields can be
calculated from a simple expression involving the trace of the torsion tensor.
Integration of this energy density over the whole space yields the ADM energy.
Such expression can be justified within the framework of the teleparallel
equivalent of general relativity, which is an alternative geometrical
formulation of Einstein's general relativity. In this paper we apply this
energy density to the evaluation of the energy per unit length of a class of
conical defects of topological nature, which include disclinations and
dislocations (in the terminology of crystallography). Disclinations correspond
to cosmic strings, and for a spacetime endowed with only such a defect we
obtain precisely the well known expression of energy per unit length. However
for a pure spacetime dislocation the total gravitational energy is zero.
","[{""version"":""v1"",""created"":""Sun, 7 May 1995 18:34:24 GMT""},{""version"":""v2"",""created"":""Thu, 22 Aug 1996 19:27:27 GMT""}]","2009-10-28"
