"alg-geom/9505015",,"Victor Vassiliev","Stratified Picard--Lefschetz theory","22 pages, 8 figures, uuencoded compressed PostScript file",,,,"alg-geom dg-ga math.AG math.DG",,"  The monodromy action in the homology of level sets of Morse functions on
stratified singular analytic varieties is studied. The local variation
operators in both the standard and the intersection homology groups defined by
the loops around the critical values of such functions are reduced to similar
operators in the homology groups of the transversal slices of the corresponding
strata.
","[{""version"":""v1"",""created"":""Thu, 11 May 1995 06:36:13 GMT""}]","2015-06-30"
"astro-ph/9505049","Tsafrir Kolatt","Tsafrir Kolatt","IS THE DENSITY DISTRIBUTION OF CLUSTERS NON-GAUSSIAN ?","To appear in the proceedings of the XXXth MORIOND meeting:
  ""Clustering in the Universe"". 8 pages, compressed uuencoded file",,,,"astro-ph",,"  The one-point probability distribution function (pdf) is computed for the
$25\hmpc$-smoothed density field of rich clusters of galaxies in the
Abell/\aco\ catalogs. The observed pdf is compared to the pdf s drawn similarly
from mock catalogs of clusters in cosmological simulations of Gaussian and
several non-Gaussian initial conditions. Several statistics allow significant
rejection of the non-Gaussian models tested here, and fail to reject the
Gaussian model. A comparison with the predictions of second-order perturbation
theory and a log-normal model for cdm Gaussian initial conditions yield a
linear biasing factor $b_c/b_o \simeq 4$ and $b_c/b_o\simeq 3.7$ for $R\geq 0$
clusters.
","[{""version"":""v1"",""created"":""Wed, 10 May 1995 18:08:59 GMT""}]","2007-05-23"
"astro-ph/9505050",,"S.Borgani, M.Plionis, P.Coles, L.Moscardini","The Cluster Distribution as a Test for Dark Matter Models. I: Clustering
  Properties","14 pages + 10 figures (Fig. 5 on request to borgani@vaxpg.pg.infn.it)
  uuencoded gzipped tarred postscript file, accepted for publication in MNRAS","Mon.Not.Roy.Astron.Soc. 277 (1995) 1191","10.1093/mnras/277.4.1191",,"astro-ph",,"  We present simulations of the cluster distribution in several dark matter
models, using an optimized version of the truncated Zel'dovich approximation
(TZA). We compare them with N-body cluster simulations and find that the TZA
provides a very accurate description of the cluster distribution as long as
fluctuations on the cluster mass scale are in the mildly non-linear regime. The
simulated dark matter models are: Standard CDM (SCDM), Tilted CDM (TCDM) with
n=0.7, Cold+Hot DM (CHDM) with 30% of hot component, low Hubble constant
(h=0.3) CDM (LOWH) and a spatially flat low-density CDM model with
\Omega_0=0.2. We compare the simulations with a redshift sample of Abell/ACO
clusters, using the integral of the 2-point correlation function and the
probability density function. We find that the best models at reproducing the
data are CHDM and LCDM. All the other models are ruled out. The reduced
skewness S_3 is fairly constant with S_3=1.9, independent of the DM model and
consistent with observational data. The abundances of clusters predicted using
the Press--Schechter theory provide strong constraints: only the CHDM, LOWH and
LCDM models appear to produce the correct number-density of clusters.
","[{""version"":""v1"",""created"":""Thu, 11 May 1995 07:03:56 GMT""}]","2015-06-24"
"astro-ph/9505051","Julia Artemova","I. V. Artemova, G. S. Bisnovatiy-Kogan, G. Bjornsson, I. D. Novikov","Structure Of The Accretion Disks With Opticallt Thick-Thin Transitions","15 pages plus 2 postscript figures in a uuencoded, tarred, compressed
  file. Two additional figures available on request from julia@nordita.dk. To
  be published in The Astrophysical Journal",,,,"astro-ph",,"  We present here the solution for accretion disk structure, which describes
continuously the transition between optically thick and optically thin disk
regions. We show that the disk structure equations without advection, used
here, give two branches of solutions which do not intersect for
$L<L_{b}\lesssim 0.6 L_{\rm Edd}$ for $\alpha=1.0$ and $M_{BH}=10^8 M_\odot$.
For larger luminosities there are no global solutions of the equations without
advection. We suggest, as one of the possibilities, that advection becomes
important even before, at luminosities $\sim0.1L_{\rm Edd}$, when the inner
disk regions become unstable due to radiation pressure dominance and induce the
transition from optically thick to optically thin disk in the global solution.
","[{""version"":""v1"",""created"":""Thu, 11 May 1995 14:38:43 GMT""}]","2007-05-23"
"astro-ph/9505052","Preprint account","A.C. Fabian, C.S. Crawford (Institute of Astronomy)","ROSAT HRI observations of IRAS P09104+4109: a massive cooling flow","uuencoded, compressed postscript. Also available at
  http://www.ast.cam.ac.uk/preprint/PrePrint.html",,"10.1093/mnras/274.1.L63","CAP-9505003","astro-ph",,"  A ROSAT HRI image of the hyperluminous infrared galaxy IRAS P09104+4109 shows
extended X-ray emission peaked around the central galaxy in a profile
characteristic of a cooling flow. The inferred soft X-ray luminosity is
comparable to that detected with ASCA. The ASCA spectrum is well fit by a
cooling flow spectrum, indicating a mass cooling rate of about 1000 Msunpyr.
The cooling flow dominates the total luminosity of the surrounding cluster. Any
contribution from a hidden AGN in the host galaxy to either the total ASCA
spectrum or the HRI image is small.
","[{""version"":""v1"",""created"":""Thu, 11 May 1995 15:44:59 GMT""}]","2016-06-08"
"chao-dyn/9505006","A. Rapisarda","A. Bonasera, V. Latora and A. Rapisarda","Universal Behavior of Lyapunov Exponents in Unstable Systems","11 pages, RevTeX, 3 figures not included available upon request","Phys. Rev. Lett. 75 (1995) 3434","10.1103/PhysRevLett.75.3434","LNS-05-05-95","chao-dyn nlin.CD nucl-th",,"  We calculate the Lyapunov exponents in a classical molecular dynamics
framework. The system is composed of few hundreds particles interacting either
through Yukawa (Nuclear) or Slater-Kirkwood (Atomic) forces. The forces are
chosen to give an Equation of State that resembles the nuclear and the atomic
$^4He$ Equation Of State respectively near the critical point for liquid-gas
phase transition. We find the largest fluctuations for an initial ""critical
temperature"". The largest Lyapunov exponents $\lambda$ are always positive and
can be very well fitted near this ""critical temperature"" with a functional form
$\lambda\propto |T-T_c|^{-\omega}$, where the exponent $\omega=0.15$ is
independent of the system and mass number. At smaller temperatures we find that
$\lambda\propto T~ ^{0.4498}$, a universal behavior characteristic of an order
to chaos transition.
","[{""version"":""v1"",""created"":""Wed, 10 May 1995 16:33:12 GMT""}]","2009-10-28"
"cmp-lg/9505025","Becky Passonneau","Diane J. Litman (AT\&T Bell Laboratories) and Rebecca J. Passonneau
  (Bellcore)","Combining Multiple Knowledge Sources for Discourse Segmentation","8 pages. Self-contained latex source. To appear in Proceedings of the
  33rd ACL, 1995. (This replacement version revised so that no lines exceed 80
  characters.)",,,,"cmp-lg cs.CL",,"  We predict discourse segment boundaries from linguistic features of
utterances, using a corpus of spoken narratives as data. We present two methods
for developing segmentation algorithms from training data: hand tuning and
machine learning. When multiple types of features are used, results approach
human performance on an independent test set (both methods), and using
cross-validation (machine learning).
","[{""version"":""v1"",""created"":""Wed, 10 May 1995 22:54:45 GMT""}]","2008-02-03"
"cmp-lg/9505026","Thorsten Brants","Thorsten Brants and Christer Samuelsson (Universit""at des Saarlandes,
  Computational Linguistics, Saarbr""ucken, Germany)","Tagging the Teleman Corpus","14 pages, LaTeX, to appear in Proceedings of the 10th Nordic
  Conference of Computational Linguistics, Helsinki, Finland, 1995",,,,"cmp-lg cs.CL",,"  Experiments were carried out comparing the Swedish Teleman and the English
Susanne corpora using an HMM-based and a novel reductionistic statistical
part-of-speech tagger. They indicate that tagging the Teleman corpus is the
more difficult task, and that the performance of the two different taggers is
comparable.
","[{""version"":""v1"",""created"":""Thu, 11 May 1995 07:55:11 GMT""}]","2008-02-03"
"cond-mat/9505043","Daniel Hone","Martin Holthaus, Gerald H. Ristow and Daniel W. Hone","ac-Field-Controlled Anderson Localization in Disordered Semiconductor
  Superlattices","10 pages, Latex; figures available on request from hone@itp.ucsb.edu;",,"10.1103/PhysRevLett.75.3914","NSF-ITP-95-38","cond-mat",,"  An ac field, tuned exactly to resonance with the Stark ladder in an ideal
tight binding lattice under strong dc bias, counteracts Wannier-Stark
localization and leads to the emergence of extended Floquet states. If there is
random disorder, these states localize. The localization lengths depend
non-monotonically on the ac field amplitude and become essentially zero at
certain parameters. This effect is of possible relevance for characterizing the
quality of superlattice samples, and for performing experiments on Anderson
localization in systems with well-defined disorder.
","[{""version"":""v1"",""created"":""Thu, 11 May 1995 00:13:10 GMT""}]","2009-10-28"
"cond-mat/9505044","Sudhir Jain","S. Jain","Anomalously slow relaxation in the diluted Ising model below the
  percolation threshold","33 pages, including 10 figures, tex; hard-copy available on request
  from S.Jain@derby.ac.uk To appear in Physica A (Statistical and Theoretical
  Physics)",,"10.1016/0378-4371(95)00131-P",,"cond-mat",,"  The relaxational behaviour of the bond-diluted two-dimensional Ising model
below the percolation threshold is studied using Monte Carlo techniques. The
non-equilibrium decay of the magnetization,M(t), and the relaxation of the
equilibrium spin-spin autocorrelation function, C(t), are monitored. The
behaviour of both C(t) and M(t) is found to satisfy the Kohlrausch law of a
stretched exponential with the same temperature-dependent exponent. The
Kohlrausch exponent does not appear to depend on the bond concentration. The
results indicate that we are not yet in the asymptotic regime, even when C(t)
and M(t) are less than 10^{-4}.
","[{""version"":""v1"",""created"":""Thu, 11 May 1995 14:55:51 GMT""}]","2015-06-25"
"cond-mat/9505045","Francisco Dominguez-Adame Acosta","Francisco Dominguez-Adame","ELECTRONIC STATES IN GRADED-GAP JUNCTIONS WITH BAND INVERSION","REVTEX 3.0, 7 pages, no figures, to appear in Phys. Lett. A",,"10.1016/0375-9601(95)00363-8","FIMAT-6/95","cond-mat",,"  We theoretically study electronic states in graded-gap junctions of IV-VI
compounds with band inversion. Using a two-band model within the ${\bf
k}\cdot{\bf p}$ approximation and assuming that the gap and the gap centre
present linear profiles, we demonstrate the existence of a set of localized
states along the growth direction with a discrete energy spectrum. The envelope
functions are found to be combination of harmonic oscillator eigenfunctions,
and the corresponding energy levels are proportional to the square root of the
quantum number. The level spacing can be directly controlled by varying the
structure thickness.
","[{""version"":""v1"",""created"":""Thu, 11 May 1995 15:36:04 GMT""}]","2016-08-31"
