"alg-geom/9505017","Ichiro Shimada","Ichiro Shimada","On projective plane curves whose complements have finite non-abelian
  fundamental groups","15 pages, Plain TeX",,,,"alg-geom math.AG",,"  We construct new examples of singular projective plane curves whose
complements have finite and non-abelian fundamental groups, by generalizing the
classical three cuspidal quartic curve discovered by Zariski.
","[{""version"":""v1"",""created"":""Mon, 15 May 1995 20:18:51 GMT""}]","2008-02-03"
"astro-ph/9505065","Oleg Doroshenko","Oleg Doroshenko & Sergei Kopeikin","RELATIVISTIC EFFECT OF GRAVITATIONAL DEFLECTION OF LIGHT IN BINARY
  PULSARS","8 pages, uuencoded compressed PostScript file, 6 figures included.
  Accepted for publication in MNRAS, 5-Jan-1995",,"10.1093/mnras/274.4.1029",,"astro-ph gr-qc",,"  An improved formula for the timing of binary pulsars that accounts for the
relativistic deflection of light in the gravitational field of the pulsar's
companion is presented, and the measurability of this effect together with its
variance estimates are discussed. The deflection of the pulsar's beam
trajectory in the gravitational field of its companion leads to variation in
the pulsar's rotational phase. This variation appears as the narrow sharp
growth of the magnitude of the post-fit pulsar timing residuals in the vicinity
of the moment of the superior conjunction of the pulsar with its companion. In
contrast to the relativistic Shapiro effect the amplitude of the effect of
gravitational deflection of the pulsar radio beam has two peaks with opposite
signs, which become sharper as the inclination $i$ of the pulsar's orbit
approaches 90$^{\circ}$. The effect under consideration influences the
estimation of parameters of the relativistic Shapiro effect in the binary
pulsars with nearly edgewise orbits. Its inclusion in the fitting procedure
provide more careful measurement of sine of the orbital inclination $i$ as well
as the masses of the pulsar $m_p$ and its companion $m_c$. This permits an
improved testing of alternative theories of gravity in the strong field regime.
Moreover, the measurement of this effect permits independent geometric
constraints on the position of the pulsar rotational axis in space. The effect
of the gravitational deflection of light has been numerically investigated for
binary pulsars with nearly edgewise orbits. It is shown that the effect is
observed in general only when $\cos i\leq 0.003.$ This estimate becomes less
restrictive as the pulsar's spin axis approaches the line of the sight.
","[{""version"":""v1"",""created"":""Mon, 15 May 1995 18:37:31 GMT""}]","2015-06-24"
"astro-ph/9505066","Paul Steinhardt","J. P. Ostriker and Paul J. Steinhardt","Cosmic Concordance","8 pages, two figures and postscript file with figures included
  available by anonymous ftp at
  ftp://dept.physics.upenn.edu/pub/Steinhardt/Concordance and get concord.ps
  (postscript file of text with figures included), fig1.ps, and fig2.ps.",,,"Penn Preprint UPR-0659T","astro-ph gr-qc",,"  Observational constraints guide one forcefully to examine models in which the
matter density is substantially less than critical density. Particularly
noteworthy are those which are consistent with inflation. For these models,
microwave background anisotropy, large-scale structure measurements, direct
measurements of the Hubble constant, $H_0$, and the closure parameter,
$\Omega_{\rm Matter}$, ages of stars and a host of more minor facts are all
consistent with a spatially flat model having significant cosmological constant
$\Omega_{\Lambda} = 0.65 \pm 0.1$, $\Omega_{\rm Matter} = 1 - \Omega_{\Lambda}$
(in the form of ``cold dark matter"") and a small tilt: $0.8< n < 1.2$. (Read
comments at top of file to find out how to obtain figures.)
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 00:01:59 GMT""}]","2007-05-23"
"astro-ph/9505067","Yi-Nan Chin","Y.-N. Chin, C. Henkel, J.B. Whiteoak, N. Langer, and E.B. Churchwell","Interstellar sulfur isotopes and stellar oxygen burning","11 pages uuencoded gzip-compressed PostScript including two figures,
  an uncompressed PostScript file with all three figures is also available at
  http://aibn55.astro.uni-bonn.de:8000/~einmann/cs.html To appear in A&A","Astron.Astrophys.305:960-969,1996",,"AIUB-95-08","astro-ph",,"  A 12C32S, 13C32S, 12C34S, and 12C33S J = 2 - 1 line survey has been made to
study interstellar 32S/34S and 34S/33S ratios from the galactic disk. The four
CS isotopomers were detected in 20 star forming regions with galactocentric
distances between 3 and 9 kpc. From a comparison of line velocities, the C33S J
= 2 - 1 rest frequency is about 250 kHz below the value given in the Lovas
(1992) catalog. Taking 12C/13C ratios from Wilson & Rood (1994) and assuming
equal 12C32S and 13C32S excitation temperatures and beam filling factors,
12C32S opacities are in the range 3 to 15; average 32S/34S and 34S/33S isotope
ratios are 24.4 +/- 5.0 and 6.27 +/- 1.01, respectively. While no systematic
variation in the 34S/33S isotope ratio is found, the 32S/34S ratio increases
with galactocentric distance when accounting for the 12C/13C gradient of the
galactic disk. A fit to the unweighted data yields 32S/34S = 3.3 +/- 0.5
(dGC/kpc) + 4.1 +/- 3.1 with a correlation coefficient of 0.84. Since the
interstellar sulfur (S) isotopes are synthesized by oxygen burning in massive
stars, consequences for nucleosynthesis and models of chemical evolution are
briefly discussed.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 11:01:20 GMT""}]","2009-02-16"
"astro-ph/9505068","Matthias Bartelmann","Christopher S. Kochanek","The Mass of the Milky Way Galaxy","31 pages, uuencoded compressed postscript without figures, complete
  file including figures available at
  ftp://cfa0.harvard.edu/outgoing/kochanek/milkyway.ps.Z (0.5 MByte,
  compressed), submitted to ApJ","Astrophys.J. 457 (1996) 228","10.1086/176724",,"astro-ph",,"  We use the Jaffe model as a global mass distribution for the Galaxy and
determine the circular velocity $v_c$ and the Jaffe radius $r_j$ using the
satellites of the Galaxy, estimates of the local escape velocity of stars, the
constraints imposed by the known rotation curve of the disk, and the Local
Group timing model. The models include the systematic uncertainties in the
isotropy of the satellite orbits, the form of the stellar distribution function
near the escape velocity, and the ellipticity of the M31/Galaxy orbit. If we
include the Local Group timing constraint, then Leo I is bound,
$v_c=230\pm30\kms$, and $r_j=180$ kpc (110 kpc $\ltorder r_j \ltorder $ 300
kpc) at 90\% confidence. The satellite orbits are nearly isotropic with
$\beta=1-\sigma_\theta^2/\sigma_r^2=0.07$ ($-0.7 \ltorder \beta \ltorder 0.6$)
and the stellar distribution function near the escape velocity is
$f(\epsilon)\propto \epsilon^k$ with $k_r=3.7$ ($0.8 \ltorder k_r \ltorder
7.6$) where $k_r=k+5/2$. While not an accurate measurement of $k$, it is
consistent with models of violent relaxation ($k=3/2$). The mass inside 50 kpc
is $(5.4\pm1.3)\times 10^{11} M_\odot$. Higher mass models require that M31 is
on its second orbit and that the halo is larger than the classical tidal limit
of the binary. Such models must have a significant fraction of the Local Group
mass in an extended Local Group halo. Lower mass models require that both M31
and Leo I are unbound, but there is no plausible mechanism to produce the
observed deviations of M31 and Leo I from their expected velocities in an
unbound system. If we do not use the Local Group timing model, the median mass
of the Galaxy {\it increases} significantly, and the error bars broaden. Using
only the satellite, escape velocity, and disk rotation curve constraints, the
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 12:42:08 GMT""}]","2009-10-28"
"chao-dyn/9505009",,"Nicolas Pavloff","Trace formula for an ensemble of bumpy billiards.","12 pages, latex, 3 figures available by fax upon request.","J. Phys. A, 28 (1995) 4123","10.1088/0305-4470/28/14/028","IPNO/TH 94-69","chao-dyn cond-mat nlin.CD",,"  We study the semiclassical quantization of an ensemble of billiards with a
small random shape deformation. We derive a trace formula averaged over shape
disorder. The results are illustrated by the study of supershells in rough
metal clusters.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 11:13:30 GMT""}]","2009-10-28"
"cmp-lg/9505031","Wlodek Zadrozny","Wlodek Zadrozny (IBM Research, T. J. Watson Research Center)","The Compactness of Construction Grammars","10 pp. Latex. Correspondence to wlodz@watson.ibm.com",,,"IBM Research Report RC 20003 (88493)","cmp-lg cs.CL",,"  We present an argument for {\em construction grammars} based on the minimum
description length (MDL) principle (a formal version of the Ockham Razor). The
argument consists in using linguistic and computational evidence in setting up
a formal model, and then applying the MDL principle to prove its superiority
with respect to alternative models. We show that construction-based
representations are at least an order of magnitude more compact that the
corresponding lexicalized representations of the same linguistic data.
  The result is significant for our understanding of the relationship between
syntax and semantics, and consequently for choosing NLP architectures. For
instance, whether the processing should proceed in a pipeline from syntax to
semantics to pragmatics, and whether all linguistic information should be
combined in a set of constraints. From a broader perspective, this paper does
not only argue for a certain model of processing, but also provides a
methodology for determining advantages of different approaches to NLP.
","[{""version"":""v1"",""created"":""Mon, 15 May 1995 18:39:27 GMT""}]","2016-08-31"
"cmp-lg/9505032","Wlodek Zadrozny","Wlodek Zadrozny (IBM Research, T. J. Watson Research Center)","Context and ontology in understanding of dialogs","7 pp. Latex (documentstyle[ijcai89,named]). Proc. IJCAI'95 Workshop
  on Context in NLP. Montreal, Aug.1995. Correspondence to wlodz@watson.ibm.com",,,,"cmp-lg cs.CL",,"  We present a model of NLP in which ontology and context are directly included
in a grammar. The model is based on the concept of {\em construction},
consisting of a set of features of form, a set of semantic and pragmatic
conditions describing its application context, and a description of its
meaning. In this model ontology is embedded into the grammar; e.g. the
hierarchy of {\it np} constructions is based on the corresponding ontology.
Ontology is also used in defining contextual parameters; e.g. $\left[
current\_question \ time(\_) \right] $.
  A parser based on this model allowed us to build a set of dialog
understanding systems that include an on-line calendar, a banking machine, and
an insurance quote system. The proposed approach is an alternative to the
standard ""pipeline"" design of morphology-syntax-semantics-pragmatics; the
account of meaning conforms to our intuitions about compositionality, but there
is no homomorphism from syntax to semantics.
","[{""version"":""v1"",""created"":""Mon, 15 May 1995 18:54:56 GMT""}]","2016-08-31"
"cmp-lg/9505033","Lena Stromback","Lena Stromback (Department of Computer and Information Science
  Linkoping University, Sweden)","User-Defined Nonmonotonicity in Unification-Based Formalisms","7 pages, uses aclap.sty and acl.bst","ACL-95",,,"cmp-lg cs.CL",,"  A common feature of recent unification-based grammar formalisms is that they
give the user the ability to define his own structures. However, this
possibility is mostly limited and does not include nonmonotonic operations. In
this paper we show how nonmonotonic operations can also be user-defined by
applying default logic (Reiter 1980) and generalizing previous results on
nonmonotonic sorts (Young & Rounds 1993).
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 09:57:25 GMT""},{""version"":""v2"",""created"":""Wed, 17 May 1995 07:58:31 GMT""}]","2008-02-03"
"cond-mat/9505063","Joerg Schmalian","M. Langer, J. Schmalian, S. Grabowski, and K. H. Bennemann","Theory for the excitation spectrum of High-T$_c superconductors :
  quasiparticle dispersion and shadows of the Fermi surface","4 pages (REVTeX) with 3 figures",,"10.1103/PhysRevLett.75.4508",,"cond-mat",,"  Using a new method for the solution of the FLEX-equations, which allows the
determination of the self energy $\Sigma_{\bf k}(\omega)$ of the $2D$ Hubbard
model on the real frequency axis, we calculate the doping dependence of the
quasi-particle excitations of High-T$_c$ superconductors. We obtain new results
for the shadows of the Fermi surface, their dependence on the deformation of
the quasi particle dispersion, an anomalous $\omega$-dependence of ${\rm
Im}\Sigma_{\bf k}(\omega)$ and a related violation of the Luttinger theorem.
This sheds new light on the influence of short range magnetic order on the low
energy excitations and its significance for photoemission experiments.
","[{""version"":""v1"",""created"":""Mon, 15 May 1995 18:07:31 GMT""}]","2009-10-28"
"cond-mat/9505064","Tom Devereaux","T. P. Devereaux, R. T. Scalettar, G. T. Zimanyi, K. Moon, and E. Loh","Phase Diagram for Splay Glass Superconductivity","14 pages, uuencoded compressed tar file with 3 postscript figures",,"10.1103/PhysRevLett.75.4768","TPD-100,000","cond-mat",,"  Localization of flux lines to splayed columnar pins is studied. A sine-Gordon
type renormalization group study reveals the existence of a Splay glass phase
and yields an analytic form for the transition temperature into the glass
phase. As an independent test, the $I-V$ characteristics are determined via a
Molecular Dynamics code. The glass transition temperature supports the RG
results convincingly. The full phase diagram of the model is constructed.
","[{""version"":""v1"",""created"":""Mon, 15 May 1995 19:59:07 GMT""}]","2009-10-28"
