"alg-geom/9505021",,"Fabrizio Catanese and Klaus Hulek","Rational surfaces in P^4 containing a plane curve","25 pages, LaTeX2e",,,,"alg-geom math.AG",,"  The families of smooth rational surfaces in $\PP^4$ have been classified in
degree $\le 10$. All known rational surfaces in $\PP^4$ can be represented as
blow-ups of the plane $\PP^2$. The fine classification of these surfaces
consists of giving explicit open and closed conditions which determine the
configurations of points corresponding to all surfaces in a given family. Using
a restriction argument originally due independently to Alexander and Bauer we
achieve the fine classification in two cases, namely non-special rational
surfaces of degree 9 and special rational surfaces of degree 8. The first case
completes the fine classification of all non-special rational surfaces. In the
second case we obtain a description of the moduli space as the quotient of a
rational variety by the symmetric group $S_5$. We also discuss in how far this
method can be used to study other rational surfaces in $\PP^4$.
","[{""version"":""v1"",""created"":""Tue, 23 May 1995 10:35:13 GMT""}]","2008-02-03"
"astro-ph/9505099","Jon Loveday","J. Loveday (FNAL), G. Efstathiou (Oxford), S.J. Maddox (RGO) and B.A.
  Peterson (MSSSO)","The Stromlo-APM Redshift Survey III. Redshift Space Distortions, Omega
  and Bias","Revised to accommodate referee's comments (added MDM simulation);
  accepted by ApJ 29 Feb 96. 32 pages, uuencoded, gzipped tar archive, includes
  all figures","Astrophys.J. 468 (1996) 1","10.1086/177665","FERMILAB-Pub-95/121","astro-ph",,"  Galaxy redshift surveys provide a distorted picture of the universe due to
the non-Hubble component of galaxy motions. By measuring such distortions in
the linear regime one can constrain the quantity $\beta = \Omega^{0.6}/b$ where
$\Omega$ is the cosmological density parameter and $b$ is the (linear) bias
factor for optically-selected galaxies. In this paper we apply two techniques
for estimating $\beta$ from the Stromlo-APM redshift survey --- (1) measuring
the anisotropy of the redshift space correlation function in spherical
harmonics and (2) comparing the amplitude of the direction-averaged redshift
space correlation function to the real space correlation function. We test the
validity of these techniques, particularly whether the assumption of linear
theory is justified, using two sets of large $N$-body simulations. We find that
the first technique is affected by non-linearities on scales up to $\sim 30
\hMpc$. The second technique is less sensitive to non-linear effects and so is
more useful for existing redshift surveys. The Stromlo-APM survey data favours
a low value for $\beta$, with $\beta \simlt 0.6$. A bias parameter $b \approx
2$ is thus required if $\Omega \equiv 1$. However, higher-order correlations
measured from the APM galaxy survey (Gazta\~{n}aga and Frieman 1994) indicate a
low value for the bias parameter $b \approx 1$, requiring that $\Omega \simlt
0.5$. We also measure the relative bias for samples of galaxies of various
luminosity and morphological type and find that low-luminosity galaxies are
roughly three times less biased than $L^*$ galaxies. For the galaxy population
as a whole, we measure a real space variance of galaxy counts in $8 \hMpc$
spheres of $(\sigma^2_8)_g = 0.89 \pm 0.05$.
","[{""version"":""v1"",""created"":""Mon, 22 May 1995 17:25:36 GMT""},{""version"":""v2"",""created"":""Mon, 11 Mar 1996 19:38:08 GMT""}]","2009-10-28"
"astro-ph/9505101","Isaac Shlosman","D.M. Christodoulou, D. Kazanas, I. Shlosman and J.E. Tohline","Phase-Transition theory of Instabilities. IV. Critical Points on the
  Maclaurin Sequence and Nonlinear Fission Processes","23 pages, postscript, compressed, uuencoded. Figs. (6) available by
  anonymous ftp from ftp://asta.pa.uky.edu/shlosman/paper4/ , get *.ps.Z). To
  appear in ApJ",,"10.1086/175809",,"astro-ph",,"  We use a free-energy minimization approach to describe the secular and
dynamical instabilities as well as the bifurcations along equilibrium sequences
of rotating, self-gravitating fluid systems. Our approach is fully nonlinear
and stems from the Landau-Ginzburg theory of phase transitions. Here we examine
higher than 2nd-harmonic disturbances applied to Maclaurin spheroids, the
corresponding bifurcating sequences, and their relation to nonlinear fission
processes. The triangle and ammonite sequences bifurcate from the two
3rd-harmonic neutral points on the Maclaurin sequence while the square and
one-ring sequences bifurcate from two of the three known 4th harmonic neutral
points. In the other three cases, secular instability does not set in at the
corresponding bifurcation points because the sequences stand and terminate at
higher energies relative to the Maclaurin sequence. There is no known
bifurcating sequence at the point of 3rd-harmonic dynamical instability. Our
nonlinear approach easily identifies resonances between the Maclaurin sequence
and various multi-fluid-body sequences that cannot be detected by linear
stability analyses. Resonances appear as first-order phase transitions at
points where the energies of the two sequences are nearly equal but the lower
energy state belongs to one of the multi-fluid-body sequences.
","[{""version"":""v1"",""created"":""Mon, 22 May 1995 18:25:46 GMT""}]","2009-10-28"
"astro-ph/9505102","Martin White","Douglas Scott & Martin White","Echoes of Gravity","10 pages, self unpacking uuencoded postscript, including 2 figures,
  to appear in General Relativity and Gravitation","Gen.Rel.Grav.27:1023-1030,1995","10.1007/BF02148645","CfPA-95-TH-13","astro-ph",,"  The study of anisotropies in the Cosmic Microwave Background radiation is
progressing at a phenomenal rate, both experimentally and theoretically. These
anisotropies can teach us an enormous amount about the way that fluctuations
were generated and the way they subsequently evolved into the clustered
galaxies which are observed today. In particular, on sub-degree scales the rich
structure in the anisotropy spectrum is the consequence of gravity-driven
acoustic oscillations occurring before the matter in the universe became
neutral. The frozen-in phases of these sound waves imprint a dependence on many
cosmological parameters, that we may be on the verge of extracting.
","[{""version"":""v1"",""created"":""Mon, 22 May 1995 22:41:29 GMT""}]","2008-11-26"
"astro-ph/9505103","Saleem Zaroubi","Saleem Zaroubi","Wiener reconstruction, SVD and `Optimal' Functional bases: Appliction
  For Redshift Galaxy Catalogs","To appear in the proceedings of the XXXth MORIOND meeting:
  ""Clustering in the Universe"". 6 pages, 4 figures included; uuencoded,
  compressed PostScript file",,,,"astro-ph",,"  The formalism of Wiener filtering is applied to reconstruct, in terms of
spherical harmonics, the projected $4\pi$ galaxy distribution of a mock IRAS
1.2 Jy catalog with a `Zone of Avoidance' $|b| = 15^\circ$. The Singular Value
Decomposition al gorithm is utilized as an extra-regularizer in order to
stabilize the inversion. This case sheds light on the amount of useful
information contained in the data, and also suggests a method for obtaining an
`optimal' functional basis, based on our \prior knowledge, for the purposes of
likelihood analysis and Wiener reconstruction of cosmological data sets. The
applicability of such a functional basis for redshift galaxy catalogs is also
discussed.
","[{""version"":""v1"",""created"":""Tue, 23 May 1995 02:24:43 GMT""}]","2007-05-23"
"astro-ph/9505104",,"V. Castellani, G. Fiorentini, O. Straniero and B. Ricci","The fate of Li and Be in stars and in the laboratory","21 pages plus 11 figures, uuencoded postscript files",,"10.1007/s002180050040","INFN-FE-04-95","astro-ph hep-ph",,"  We connect the observed under-abundances of Li and Be in dwarfs, with recent
results on nuclear cross sections at low energies: for collisions of protons
with atomic or molecular targets, the measured cross sections seem too high
with respect to extrapolations for bare nuclei. Phenomenologically, these
anomalous nuclear interactions can be described in terms of an effective
screening potential $U_{lab}$ in the range of few hundred eV: in the presence
of the electron cloud, nuclei become more transparent to each other as if the
effective collision energy is aumented by $U_{lab}$. This implies that fusion
cross sections are enlarged and at the same time elastic cross sections are
lowered. If something similar occurs in stellar plasma, the nuclear burning
temperatures are lowered, whereas diffusion processes are enhanced. We find
that the observed Li and Be abundances in the Hyades and in the Sun can be
reproduced for effective screening potentials of the plasma in the range of
600-700 eV, close to that found by experiments in the lab.
","[{""version"":""v1"",""created"":""Tue, 23 May 1995 08:15:16 GMT""},{""version"":""v2"",""created"":""Wed, 24 May 1995 12:40:50 GMT""}]","2015-06-24"
"astro-ph/9505105","Krzysztof Chyzy","Krzysztof T. Chyzy and Stanislaw Zieba","Cosmological evolution and large scale structures of radio galaxies and
  quasars","7 pages, Latex style, Astronomy and Astrophysics l-aa.sty macro
  needed",,,"OAUJ preprint 03/95","astro-ph",,"  The simple unification scheme of powerful radio galaxies and quasars, based
entirely on the orientation dependent effects, has been confronted with the
observed radio structures for 152 radio galaxies and 173 steep spectrum
quasars. Contrary to the scheme's prediction, the cosmological evolution of
geometrical parameters describing the large scale structure of these two types
of radio sources are different. Linear size, arm ratio asymmetry and bending
are all together stronger evolving with epoch for radio galaxies. Moreover,
linear size and bending are more closely correlated with radio luminosity for
radio galaxies than for quasars. This supports the supposition that, even if
these two AGN classes are intrinsically identical sets of objects in deep
interior regions, their large scale structures reveal rather various host
environmental conditions which can lead to various classes of objects.
","[{""version"":""v1"",""created"":""Tue, 23 May 1995 12:43:56 GMT""},{""version"":""v2"",""created"":""Thu, 25 May 1995 15:22:06 GMT""}]","2008-02-03"
"astro-ph/9505106","http://www. phys. uniroma1. it/DOCS/PIL/pil. html","Francesco Sylos Labini","Isotropy, homogeneity and dipole saturation","Figures are available under request at sylos@vxrm64.roma1.infn.it.
  Published on Astrophys. Jour. Part 1","Astrophys.J. 433 (1994) 464","10.1086/174658",,"astro-ph",,"  A distribution of points that satisfies the property of local isotropy is not
necessarily homogeneous: homogeneity is implied by the condition of local
isotropy together with the assumption of analyticity or regularity. Here we
show that the evidence of dipole saturation in galaxies (and clusters)
catalogues, together with a monotone growth of the monopole, is an evidence of
isotropy but not of homogeneity. This is fully compatible with a fractal
structure which has the property of local isotropy, but it is non-analytic and
non-homogeneous.
","[{""version"":""v1"",""created"":""Tue, 23 May 1995 14:23:16 GMT""}]","2017-04-26"
"astro-ph/9505107","David Elbaz","D. Elbaz, M. Arnaud, E.Vangioni-Flam","Bimodal star formation in elliptical galaxies and the enrichment of the
  intra-cluster medium","18 pages for a compressed and uuencoded single postscript file
  (figures and tables included in the text). Accepted for publication in
  Astronomy and Astrophysics, March 29, 1995 Little change: the paper is now
  reduced to one single postscript file.",,,,"astro-ph",,"  A detailed model of galactic evolution is proposed to explain both the iron
content of the Intra-Cluster Medium (ICM) and of the ellipticals pertaining to
the cluster. SNII are responsible for the production of Fe in the galaxies and
of its partial ejection in the surrounding medium. A high formation rate of
massive stars only ($m>3~{\rm M_{\sun}}$) at the very early stage of evolution
of ellipticals, reminiscent of starburst galaxies, is advocated. The high rate
of SNII explosions induces a powerful galactic wind, followed by a more
quiescent evolution where stars are formed, with a normal Initial Mass Function
(IMF), from the enriched gas remaining after the wind phase and from the gas
restored by the longest living stars produced during the early phase. Most of
the iron is produced by the high-mass stars created in the early burst phase.
","[{""version"":""v1"",""created"":""Tue, 23 May 1995 14:54:44 GMT""},{""version"":""v2"",""created"":""Tue, 30 May 1995 15:17:12 GMT""}]","2008-02-03"
"cmp-lg/9505038","Katashi Nagao","Katashi Nagao and Jun Rekimoto (Sony Computer Science Laboratory Inc.)","Ubiquitous Talker: Spoken Language Interaction with Real World Objects","7 pages, LaTeX file with PostScript files, to appear in Proc.
  IJCAI-95, also available from http://www.csl.sony.co.jp/person/nagao.html",,,,"cmp-lg cs.CL",,"  Augmented reality is a research area that tries to embody an electronic
information space within the real world, through computational devices. A
crucial issue within this area, is the recognition of real world objects or
situations.
  In natural language processing, it is much easier to determine
interpretations of utterances, even if they are ill-formed, when the context or
situation is fixed. We therefore introduce robust, natural language processing
into a system of augmented reality with situation awareness. Based on this
idea, we have developed a portable system, called the Ubiquitous Talker. This
consists of an LCD display that reflects the scene at which a user is looking
as if it is a transparent glass, a CCD camera for recognizing real world
objects with color-bar ID codes, a microphone for recognizing a human voice and
a speaker which outputs a synthesized voice. The Ubiquitous Talker provides its
user with some information related to a recognized object, by using the display
and voice. It also accepts requests or questions as voice inputs. The user
feels as if he/she is talking with the object itself through the system.
","[{""version"":""v1"",""created"":""Tue, 23 May 1995 07:14:19 GMT""}]","2008-02-03"
"cmp-lg/9505039",,"Jasper Taylor (Human Communication Research Centre University of
  Edinburgh)","Generating efficient belief models for task-oriented dialogues","17 pages, 1 postscript figure. Paper presented at CLNLP workshop,
  Edinburgh, April 3-5, 1995",,,,"cmp-lg cs.CL",,"  We have shown that belief modelling for dialogue can be simplified if the
assumption is made that the participants are cooperating, i.e., they are not
committed to any goals requiring deception. In such domains, there is no need
to maintain individual representations of deeply nested beliefs; instead, three
specific types of belief can be used to summarize all the states of nested
belief that can exist about a domain entity.
  Here, we set out to design a ``compiler'' for belief models. This system will
accept as input a description of agents' interactions with a task domain
expressed in a fully-expressive belief logic with non-monotonic and temporal
extensions. It generates an operational belief model for use in that domain,
sufficient for the requirements of cooperative dialogue, including the
negotiation of complex domain plans. The compiled model incorporates the belief
simplification mentioned above, and also uses a simplified temporal logic of
belief based on the restricted circumstances under which beliefs can change.
  We shall review the motivation for creating such a system, and introduce a
general procedure for taking a logical specification for a domain and procesing
it into an operational model. We shall then discuss the specific changes that
are made during this procedure for limiting the level of abstraction at which
the concepts of belief nesting, default reasoning and time are expressed.
Finally we shall go through a worked example relating to the Map Task, a simple
cooperative problem-solving exercise.
","[{""version"":""v1"",""created"":""Tue, 23 May 1995 12:07:59 GMT""},{""version"":""v2"",""created"":""Mon, 7 Aug 1995 13:47:05 GMT""}]","2008-02-03"
