"alg-geom/9505028",,"Yasuyuki Kachi","Flips from semi-stable 4-folds whose degenerate fibers are unions of
  Cartier divisors which are terminal factorial 3-folds","15 pages, TeX dialect: amsppt",,,,"alg-geom math.AG",,"  We shall investigate flipping contractions from a semi-stable 4-fold $X$
whose degenerate fiber is a union of Cartier divisors which are terminal
factorial 3-folds. Especially we shall prove that $X$ is smooth along the
flipping locus, and that the flip exists for such contractions.
","[{""version"":""v1"",""created"":""Fri, 26 May 1995 16:48:47 GMT""}]","2008-02-03"
"astro-ph/9505120","Neil Turok","R.G. Crittenden and N.G. Turok (Princeton University)","The Doppler Peaks from Cosmic Texture","14 pages, latex, 3 figures, compressed and uuencoded, replaced
  version has minor typographical corrections","Phys. Rev. Lett. 75, 2642 (1995)","10.1103/PhysRevLett.75.2642","PUPT 95-1545","astro-ph",,"  We compute the angular power spectrum of temperature anisotropies on the
microwave sky in the cosmic texture theory, with standard recombination
assumed. The spectrum shows `Doppler' peaks analogous to those in scenarios
based on primordial adiabatic fluctuations such as `standard CDM', but at quite
different angular scales. There appear to be excellent prospects for using this
as a discriminant between inflationary and cosmic defect theories.
","[{""version"":""v1"",""created"":""Fri, 26 May 1995 22:14:22 GMT""}]","2016-08-24"
"astro-ph/9505123",,"James Robinson and Andreas Albrecht","A Statistic for identifying cosmic string wakes and other sheet-like
  structure","Latex file, 18 pages, 13 figures. One additional figure available by
  anoymous ftp to ftp://euclid.tp.ph.ic.ac.uk/Papers/94-5_36.fig . Results and
  discussion updated to take into account improvements in our computer code.
  Latex and postscript versions also available at
  http://euclid.tp.ph.ic.ac.uk/Papers/index.html","Mon.Not.Roy.Astron.Soc.283:733,1996","10.1093/mnras/283.3.733","IMPERIAL/TP/94-95/40","astro-ph",,"  We describe an implementation of the structure functions of Babul \&
Starkman, in order to quantify the ``sheet-like'' nature of a distribution of
matter. We test this statistic on a toy model describing cosmic string wakes,
and show that it does a better job than other statistics which have been
proposed for distinguishing non-Gaussianity in the form of sheets. We conclude
that the most favoured cosmic string model is unlikely to produce a significant
increase in the sheet-like nature of the matter distribution beyond that which
occurs in Gaussian models (with the same power spectrum) due to the formation
of Zeldovich pancakes. Although the statistic was developed in the context of
cosmic string wake formation, we expect it to be useful for comparing the
observed galaxy distribution with a wide range of theoretical models with
different power spectra.
","[{""version"":""v1"",""created"":""Fri, 26 May 1995 18:03:44 GMT""},{""version"":""v2"",""created"":""Mon, 26 Feb 1996 15:28:19 GMT""}]","2015-06-24"
"astro-ph/9505124","Kem Cook","K.H. Cook, C. Alcock, R.A. Allsman, T.S. Axelrod, K.C. Freeman, B.A.
  Peterson, P.J. Quinn, A.W. Rodgers, D.P. Bennett, J. Reimann, K. Griest, S.L.
  Marshall, M.R. Pratt, C.W. Stubbs, W. Sutherland, and D. Welch","Variable Stars in the MACHO Collaboration Database","10 pages with 5 bitmapped figures, uuencoded compressed PostScript.
  Text and full resolution figures at ftp://igpp.llnl.gov/pub/kcook/macho-var
  Invited review for Proceedings of IAU Colloquium 155: Astrophysical
  Applications of Stellar Pulsation (Cape Town, February 1995), ASP Conference
  Series, eds. R. Stobie and P. Whitelock",,,,"astro-ph",,"  The MACHO Collaboration's search for baryonic dark matter via its
gravitational microlensing signature has generated a massive database of time
ordered photometry of millions of stars in the LMC and the bulge of the Milky
Way. The search's experimental design and capabilities are reviewed and the
dark matter results are briefly noted. Preliminary analysis of the
approximately 39,000 variable stars discovered in the LMC database is presented
and examples of periodic variables are shown. A class of aperiodically variable
Be stars is described which is the closest background to microlensing which has
been found. Plans for future work on variable stars using the MACHO data are
described.
","[{""version"":""v1"",""created"":""Fri, 26 May 1995 23:20:18 GMT""}]","2007-05-23"
"astro-ph/9505125",,"David Polarski and Alexei A. Starobinsky","Structure of Primordial Gravitational Waves Spectrum in a Double
  Inflationary Model","Latex, 10 pages + 4 figures available on request","Phys.Lett. B356 (1995) 196-204","10.1016/0370-2693(95)00842-9","LMPM 05/95","astro-ph gr-qc hep-th",,"  The gravitational waves (GW) background generated in a double inflationary
model, with two scalar fields mutually interacting through gravity only, and
its relative contribution $T/S$ to large-angle temperature fluctuations of the
relic microwave background are investigated in detail. The relation between
$T/S$ and the slope of the GW spectrum $n_T$ is shown to be a discriminative
test between a slow-roll inflation driven by one scalar field and more
complicated models. It is found that the GW amplitude is not exactly zero in
minima of spectral oscillations, this property being an observational, in
principle, manifestation of GW being in a squeezed vacuum state during
inflation.
","[{""version"":""v1"",""created"":""Sat, 27 May 1995 00:56:43 GMT""}]","2009-10-28"
"astro-ph/9505126","B. Ramesh","B.Ramesh","A study of the Orion cometary cloud L1616","13 pages,latex,8 figures in self-unpacking, uuencoded, compressed
  postscript; accepted by MNRAS",,"10.1093/mnras/276.3.923",,"astro-ph",,"  With its cometary appearance and a reflection nebula near its edge facing
some bright Orion stars, the Lynd's cloud L1616 shows ample evidence for being
affected by one or more of these massive stars. To estimate its mass and star
formation efficiency as well as to determine if it is gravitationally bound, we
mapped this cloud in J=1${\rightarrow}$0 transitions of $^{12}$CO and
$^{13}$CO. It is found that the distribution of the emission in the line {\it
wings} show clear evidence for substantial mass motions. Also, the ``virial''
mass of the cloud is found to be five times the actual cloud mass determined
from the $^{13}$CO column density map. It is argued that this cloud has
abnormally high star formation efficiency and is possibly disintegrating. The
morphology and the location of the cloud indicate that it is being affected by
the star ${\epsilon}$ Orionis which is also possibly responsible for the
cloud's unusual star formation efficiency. Over a range of values of the
relevant parameters, the star is found to quantitatively satisfy the
requirements of being the cause of the observed characteristics of the cloud.
","[{""version"":""v1"",""created"":""Sat, 27 May 1995 13:51:37 GMT""}]","2015-06-24"
"chao-dyn/9505013","Giovanni Gallavotti","Giovanni Gallavotti","Chaotic principle: some applications to developed turbulence","17 pages, Postscript (uncompressed, not encoded)","Journal of Statistical Physics, 86, 907--934, 1997","10.1007/BF02183608","FM95-6","chao-dyn nlin.CD",,"  Some models for developed turbulence are considered; they are shown to obey a
large fluctuations theorem, and one among them also obeys a response
reciprocity relation of Onsager's type. This illustrates and extends ideas and
techniques developed in earlier works mainly for non equilibrium problems in
statistical mechanics.
","[{""version"":""v1"",""created"":""Sat, 27 May 1995 15:51:44 GMT""}]","2008-02-26"
"cond-mat/9505139","Leo Radzihovsky","Leo Radzihovsky","Resurrection of the Melting Line in the Bose Glass Superconductor","4 pages, self-unpacking uuencoded compressed postscript file with
  figures already inside text; unpacking instructions are at the top of file",,"10.1103/PhysRevLett.74.4923","University of Chicago preprint","cond-mat",,"  I argue that in contrast to $B<B_\phi$, where the Vortex Liquid (VL) freezes
into the Strongly-pinned Bose Glass phase (SBG), with flux-line vortices
localized by the columnar defects, for $B>B_\phi$, the additional vortices see
a significantly weaker random $z$-independent potential due to the caging by
the vortices strongly pinned on the columnar defects. The result is that for
$B>B_\phi$, upon cooling, the VL undergoes a sharp crossover to the
Interstitial Liquid (IL) where SBG coexists with a resistive liquid of
interstitial vortices. At lower $T$ the IL freezes into a distinct
Weakly-pinned Bose Glass phase (WBG). Therefore for $B>B_\phi$ the true linear
superconductor only forms at $T$ well below the $B<B_\phi$ irreversability
line.
","[{""version"":""v1"",""created"":""Fri, 26 May 1995 16:05:46 GMT""}]","2009-10-28"
"cond-mat/9505141","Dexin Zhong","Daniel ben-Avraham, Vladimir Privman, and Dexin Zhong","Two-Species Annihilation with Drift: A Model with Continuous
  Concentration-Decay Exponents","10 pages, tex, 3 figures, also available upon request","Phys. Rev. E 52, 6889-6891 (1995)","10.1103/PhysRevE.52.6889",,"cond-mat",,"  We propose a model for diffusion-limited annihilation of two species, $A+B\to
A$ or $B$, where the motion of the particles is subject to a drift. For equal
initial concentrations of the two species, the density follows a power-law
decay for large times. However, the decay exponent varies continuously as a
function of the probability of which particle, the hopping one or the target,
survives in the reaction. These results suggest that diffusion-limited
reactions subject to drift do not fall into a limited number of universality
classes.
","[{""version"":""v1"",""created"":""Fri, 26 May 1995 18:58:14 GMT""}]","2010-10-12"
"cond-mat/9505142","Yong Wang","Yong Wang and A. H. MacDonald","Mixed-State Quasiparticle Spectrum for d-wave Superconductors","10 pages, REVTEX3.0, 3 figures available upon request",,"10.1103/PhysRevB.52.R3876","IUCM95-015","cond-mat",,"  Controversy concerning the pairing symmetry of high-$T_c$ materials has
motivated an interest in those measurable properties of superconductors for
which qualitative differences exist between the s-wave and d-wave cases. We
report on a comparison between the microscopic electronic properties of d-wave
and s-wave superconductors in the mixed state. Our study is based on
self-consistent numerical solutions of the mean-field Bogoliubov-de Gennes
equations for phenomenological BCS models which have s-wave and d-wave
condensates in the absence of a magnetic field. We discuss differences between
the s-wave and the d-wave local density-of-states, both near and away from
vortex cores. Experimental implications for both scanning-tunneling-microscopy
measurements and specific heat measurements are discussed.
","[{""version"":""v1"",""created"":""Fri, 26 May 1995 21:26:32 GMT""}]","2009-10-28"
