"adap-org/9505005","Dan Stein","C. M. Newman (Courant Institute of Mathematical Sciences, New York
  University, New York, NY 10012, USA), D.L. Stein (Department of Physics,
  University of Arizona, Tucson, AZ 85721 USA)","Ground State Structure in a Highly Disordered Spin Glass Model","LaTex file",,"10.1007/BF02179805",,"adap-org nlin.AO",,"  We propose a new Ising spin glass model on $Z^d$ of Edwards-Anderson type,
but with highly disordered coupling magnitudes, in which a greedy algorithm for
producing ground states is exact. We find that the procedure for determining
(infinite volume) ground states for this model can be related to invasion
percolation with the number of ground states identified as $2^{\cal N}$, where
${\cal N} = {\cal N}(d)$ is the number of distinct global components in the
``invasion forest''. We prove that ${\cal N}(d) = \infty$ if the invasion
connectivity function is square summable. We argue that the critical dimension
separating ${\cal N} = 1$ and ${\cal N} = \infty$ is $d_c = 8$. When ${\cal
N}(d) = \infty$, we consider free or periodic boundary conditions on cubes of
side length $L$ and show that frustration leads to chaotic $L$ dependence with
{\it all} pairs of ground states occuring as subsequence limits. We briefly
discuss applications of our results to random walk problems on rugged
landscapes.
","[{""version"":""v1"",""created"":""Wed, 31 May 1995 17:27:19 GMT""}]","2015-06-30"
"alg-geom/9505038","Dan Abramovich","Dan Abramovich","Uniformity of stably integral points on elliptic curves","10 pages. Postscript file available at
  http://math.bu.edu/INDIVIDUAL/abrmovic/integral.ps, AMSLaTeX",,,,"alg-geom math.AG",,"  A common practice in arithmetic geometry is that of generalizing rational
points on projective varieties to integral points on quasi-projective
varieties.
  Following this practice, we demonstrate an analogue of a result of L.
Caporaso, J. Harris and B. Mazur, showing that the Lang - Vojta conjecture
implies a uniform bound on the number of stably integral points on an elliptic
curve over a number field, as well as the uniform boundedness conjecture
(Merel's theorem).
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 01:02:11 GMT""}]","2008-02-03"
"alg-geom/9506001",,"Edward Bierstone, Pierre D. Milman and Wieslaw Pawlucki","Composite Differentiable Functions","19 pages, hard copy available on request. amstex v 2",,,,"alg-geom math.AG",,"  We introduce a new point of view towards Glaeser's theorem on composite
$C^\infty$ functions [Ann. of Math. 1963], with respect to which we can
formulate a ``$C^k$ composite function property"" that is satisfied by all
semiproper real analytic mappings. As a consequence, we see that a closed
subanalytic set $X$ satisfies the $C^\infty$ composite function property if and
only if the ring $C^\infty (X)$ of $C^\infty$ functions on $X$ is the
intersection of all finite differentiability classes.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 13:50:44 GMT""}]","2008-02-03"
"alg-geom/9506002","Alan Durfee","Alan H. Durfee","The index of $grad f(x,y)$","A thoroughly revised and hopefully more readable version; the main
  results are the same. 35 pages with 7 figures",,,,"alg-geom math.AG",,"  Let $f(x,y)$ be a real polynomial of degree $d$ with isolated critical
points, and let $i$ be the index of $grad f$ around a large circle containing
the critical points. An elementary argument shows that $|i| \leq d-1$. In this
paper we show that $ i \leq max \{1, d-3 \}$. We also show that if all the
level sets of $f$ are compact, then $i = 1$, and otherwise $ |i| \leq \dr -1 $
where $\dr$ is the sum of the multiplicities of the real linear factors in the
homogeneous term of highest degree in $f$. The technique of proof involves
computing $i$ from information at infinity. The index $i$ is broken up into a
sum of components $i_{p,c}$ corresponding to points $p$ in the real line at
infinity and limiting values $c \in \realinf$ of the polynomial. The numbers
$i_{p,c}$ are computed in three ways: geometrically, from a resolution of
$f(x,y)$, and from a Morsification of $f(x,y)$. The $i_{p,c}$ also provide a
lower bound for the number of vanishing cycles of $f(x,y)$ at the point $p$ and
value $c$.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 15:52:56 GMT""},{""version"":""v2"",""created"":""Tue, 16 Sep 1997 21:05:48 GMT""}]","2008-02-03"
"astro-ph/9505143","Andrei Doroshkevich","Andrei G. Doroshkevich and Raffaella Schneider","Small scale CMB fluctuations as a probe of the mass of Dark Matter
  particles","29 pages","Astrophys.J. 469 (1996) 445-454","10.1086/177794",,"astro-ph",,"  The CMB anisotropy on arc second range is examined to test the power spectrum
of perturbations in the small scale region and, in particular, to estimate the
mass of dominant dark matter particles. It is shown that for the simplest
evolutionary history with standard recombination, three and four beam
observations could discriminate the mass of dark matter particles in the
interval $0.5 KeV\leq M_{DM}\leq 4 KeV$ with an antenna beam (0.5 - 0.25) arc
minute with amplitude $\approx 10^{-7}$.
","[{""version"":""v1"",""created"":""Wed, 31 May 1995 16:36:06 GMT""}]","2009-10-28"
"astro-ph/9505146",,"J. Greiner, M. Sommer, N. Bade, G.J. Fishman, L.O. Hanlon, K. Hurley,
  R.M. Kippen, C. Kouveliotou, R. Preece, J. Ryan, V. Sch\""onfelder, O.R.
  Williams, C. Winkler, M. Boer, M. Niel","The gamma-ray burst GB 920622","12 pages uuencoded compressed postscript with figures Accepted for
  publ. in A&A",,,,"astro-ph",,"  We have analyzed the Ulysses, BATSE, and COMPTEL spectral data from the
$\gamma$-ray burst of June 22, 1992 (GB 920622). COMPTEL data reveal a hard to
soft evolution within the first pulse of the burst, while the mean hardness
ratios of the three pulses are the same. Unlike the single instrument spectra,
the composite spectrum of GB 920622 averaged over the total burst duration
ranging from 20 keV up to 10 MeV cannot be fit by a single power law. Instead,
the spectrum shows continuous curvature across the full energy range. COMPTEL
imaging and BATSE/Ulysses triangulation constrain the source location of GB
920622 to a ring sector 1.1 arcmin wide and 2 degrees long. This area has been
searched for quiescent X-ray sources using \ros survey data collected about two
years before the burst. After the optical identification of the X-ray sources
in and near the GRB location we conclude that no quiescent X-ray counterpart
candidate for GB 920622 has been found.
","[{""version"":""v1"",""created"":""Wed, 31 May 1995 16:18:01 GMT""}]","2016-08-15"
"astro-ph/9505148","Bev Wills","Dean C. Hines and Beverley J. Wills (University of Texas at Austin)","THE POLARIZED SPECTRUM OF THE FE II-RICH BAL QSO, IRAS 07598+6508","6 pages (standard aastex latex), then 4 figures added (1 file,
  uuencoded, compressed tar-ed postscript via uufiles)",,"10.1086/309611",,"astro-ph",,"  We present IUE spectrophotometry and optical spectropolarimetry of the
ultraluminous, extreme FeII-emitting QSO IRAS 07598+6508. We find broad
absorption troughs from high- and low-ionization species, showing that this
object is a member of the class of rare low-ionization BAL QSOs. Compared with
non-BAL QSOs, the spectral energy distribution is reddened by E(B-V) sim 0.12,
and the Halpha/Hbeta ratio even more reddened with E(B - V) sim 0.45. The broad
emission lines are unpolarized. We see broad Na I lambda5892 absorption in the
unpolarized continuum, but not in the polarized continuum (at the 5-6 sigma
level). The polarized continuum rises smoothly towards shorter wavelengths with
F_lambda propto lambda{-2}. We argue that a normal QSO continuum is polarized
by scattering from a region within, or very near, the Broad Emission Line
Region (BELR). Thus there are at least three distinct light paths to the
observer: a dusty path from the BELR, a direct path traced by the unpolarized
continuum, passing through dust and low-ionization gas (NaI), and another
relatively unobscured path followed by scattered continuum. This provides
direct evidence that a BAL region and dust only partially cover the central
QSO.
  Ultraluminous AGNs, including IRAS 07598+6508, appear no more IR-luminous
than non-IRAS-selected QSOs, and have normal L(IR)/L(opt) ratios when the
optical luminosities are corrected for reddening. Reddening and BALs occur only
along some sight lines and the parent population of BALQs are `normal' QSOs.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 05:17:42 GMT""}]","2009-10-28"
"astro-ph/9506001","Marcella Marconi","G. Bono, F. Caputo, V. Castellani and M. Marconi","RR LYRAE VARIABLE STARS: PULSATIONAL CONSTRAINTS RELEVANT TO THE
  OOSTERHOFF CONTROVERSY","postscript file of 7 pages and 2 figures; one non postcript figure is
  available upon request; for any problem please write to
  marcella@astr1pi.difi.unipi.it",,"10.1086/309610","EFI-95-06","astro-ph",,"  A solution to the old Oosterhoff controversy is proposed on the basis of a
new theoretical pulsational scenario concerning RR Lyrae cluster variables
(Bono and coworkers). We show that the observed constancy of the lowest
pulsation period in both Oosterhoff type I (OoI) and Oosterhoff type II (OoII)
prototypes (M3, M15) can be easily reproduced only by assuming the canonical
evolutionary horizontal-branch luminosity levels of these Galactic globular
clusters and therefore by rejecting the Sandage period shift effect (SPSE).
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 11:06:54 GMT""}]","2009-10-28"
"astro-ph/9506002","Paolo Padoan","Paolo Padoan (Theoretical Astrophysics Center - Copenhagen - Denmark)","Supersonic Turbulence and the Fragmentation of a Cold Medium","12 pages. Figures are included. Uuencoded compressed postscript.
  Accepted for publication by MNRAS",,"10.1093/mnras/277.2.377","TAC-1995-011","astro-ph",,"  The role played by velocity fields in the fragmentation of a cold medium and
in the formation of protostars is studied.
  The velocity field is modeled with a compressible turbulent flow. A
supersonic turbulent velocity field can fragment the medium into clumps of mass
smaller than a local Jeans' mass, and therefore stabilize the medium against
the formation of protostars. Based on this idea, the protostar formation
efficiency and the protostar mass distribution are determined as functions of
the following ambient parameters: average density $n_{0}$, average temperature
$T_{0}$, r.m.s. turbulent velocity $\sigma_{v,0}$ (or its Mach number
${\cal{M}}_{t}$), postshock cooling time (e.g. chemistry).
  The main results are: i) the protostar mass distribution and its dependence
on the ambient parameters are quantified; ii) the characteristic protostar mass
is $M_{J,cl}\propto n_{0}^{-1/2}T_{0}^{2} \sigma_{v,0}^{-1}$; iii) the
protostar formation efficiency $e$ is higher for larger mean density, larger
mean temperature, lower velocity dispersion on a given scale and longer
postshock cooling time (e.g. lower metallicity): $e\propto
n_{0}^{{3/2}(\beta-1)}T_{0}^{\beta -1}
\sigma_{v,0}^{-5(\beta-1)}L_{0}^{3(\beta-1)}$, where $\beta>1$ is the exponent
of the clump mass distribution; iv) the efficiency is quite sensitive to the
ambient parameters and therefore to the dynamical evolution of the star forming
system.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 09:24:11 GMT""}]","2015-06-24"
"astro-ph/9506003","Lauro Moscardini","Stefano Borgani, Francesco Lucchin, Sabino Matarrese and Lauro
  Moscardini","The epoch of structure formation in blue mixed dark matter models","Uuencoded compressed tar file containing 6 page TeX file and 4
  postscript figures. Uses mn.sty and psfig.sty. To appear in MNRAS. Main
  change: inclusion of a discussion of the constraints coming from the cluster
  abundances","Mon.Not.Roy.Astron.Soc. 280 (1996) 749","10.1093/mnras/280.3.749","COSMO-PD/95-13","astro-ph",,"  Recent data on the high--redshift abundance of damped Ly$\alpha$ systems are
compared with theoretical predictions for `blue' (i.e. $n>1$) Mixed Dark Matter
models. The results show that decreasing the hot component fraction
$\Omega_\nu$ and/or increasing the primordial spectral index $n$ implies an
earlier epoch of cosmic structure formation. However, we also show that varying
$\Omega_\nu$ and $n$ in these directions makes the models barely consistent
with the observed abundance of galaxy clusters. Therefore, requiring at the
same time observational constraints on damped Ly$\alpha$ systems and cluster
abundance to be satisfied represents a challenge for the Mixed Dark Matter
class of models.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 12:04:39 GMT""},{""version"":""v2"",""created"":""Thu, 18 Jan 1996 06:56:46 GMT""}]","2015-06-24"
"astro-ph/9506004",,"M.Persic, P.Salucci, and F.Stel","The Universal Rotation Curve of Spiral Galaxies: I. the Dark Matter
  Connection","22 pg. in MN-style LaTex (w. 16 figs. + 3 tables); replaced with the
  published version, in an effort to satisfy the continuing considerable
  offprint request rate. (A few typos corrected.)","Mon.Not.Roy.Astron.Soc. 281 (1996) 27","10.1093/mnras/281.1.27","SISSA 60/95/A","astro-ph",,"  We use a homogeneous sample of about 1100 rotation curves (RCs) and relative
surface photometry to investigate (out to 2 optical radii and over 6 mag) the
main mass structure properties of spirals. We confirm the strong dependence on
luminosity for both the profile and the amplitude of RCs. Spiral RCs show the
striking feature that a single parameter, the luminosity, dictates the rotation
velocity at any radius for all objects, so revealing the existence of a
universal RC. At high luminosity, there is a slight discrepancy between the
profiles of RCs and those predicted from the luminous matter (LM)
distributions: this implies a small, yet detectable, amount of dark matter
(DM). At low luminosities the failure of the LM prediction is most severe, and
DM is the only relevant mass component. Some of the derived scaling properties
between dark and luminous galactic structure parameters are: (a) the DM/LM mass
ratio at the optical radius scales inversely with luminosity; (b) the halo core
radius is comparable to the optical radius, but shrinks for lower luminosities;
(c) the central halo density scales as L^{-0.7}; (d) the halo virial mass
scales as L^{0.5}. Such scaling properties can be represented as a curve in the
luminosity-(DM/LM ratio)-(DM core radius)-(central DM density) space, which
acts as the spirals' counterpart to the FP of ellipticals.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 13:54:06 GMT""},{""version"":""v2"",""created"":""Wed, 10 Nov 1999 22:51:36 GMT""},{""version"":""v3"",""created"":""Thu, 25 Nov 1999 09:25:46 GMT""}]","2015-06-24"
