"acc-phys/9506001","George Parzen","G. Parzen (Brookhaven National Laboratory)","Normal Mode Tunes for Linear Coupled Motion in Six Dimensional Phase
  Space","3 pages, gzipped postscript paper (77k)",,,"BNL-61168","acc-phys physics.acc-ph",,"  The motion of a particle in 6-dimensional phase space in the presence of
linear coupling can be written as the sum of 3 normal modes. A cubic equation
is found for the tune of the normal modes, which allows the normal mode tunes
to be computed from the 6x6 one turn transfer matrix. This result is similar to
the quadratic equation found for the normal mode tunes for the motion of a
particle in 4-dimensional phase space. These results are useful in tracking
programs where the one turn transfer matrix can be computed by multiplying the
transfer matrices of each element of the lattice. The tunes of the 3 normal
modes, for motion in 6-dimensional phase space, can then be found by solving
the cubic equation. Explicit solutions of the cubic equation for the tune are
given in terms of the elements of the 6x6 one turn transfer matrix.
","[{""version"":""v1"",""created"":""Wed, 7 Jun 1995 13:43:40 GMT""}]","2008-02-03"
"astro-ph/9506040","Francesc Ferrer","L. Cucurull, J.A. Grifols and R. Toldr\`a","Spin-Statistics Connexion, Neutrinos, and Big Bang Nucleosynthesis","9 pages in plain LaTeX, 3 postscript figures in a separate tarred
  compressed uuencoded file. Revised version with minor quantitative changes.
  Figure 1 includes now a study of all light elements. Conclusions unchanged.
  To be published in Astroparticle Physics","Astropart.Phys.4:391-396,1996","10.1016/0927-6505(95)00053-4","UAB-FT-368","astro-ph hep-ph",,"  We show how the $^4$He-abundance in the early Universe can be used to
demonstrate that macroscopic samples of neutrinos in thermal equilibrium are
indeed distributed according to Fermi-Dirac statistics.
","[{""version"":""v1"",""created"":""Tue, 6 Jun 1995 17:03:24 GMT""},{""version"":""v2"",""created"":""Mon, 11 Dec 1995 16:16:36 GMT""}]","2011-05-23"
"astro-ph/9506041","Lori Lubin","Neta A. Bahcall, Lori M. Lubin & Victoria Dorman (Princeton University
  Observatory)","Where is the Dark Matter?","PostScript, to appear in July 10 ApJ Letters; same as previous text
  minus an extraneous page, 3 figures available on anonymous ftp at
  ftp://astro.princeton.edu/lml/","Astrophys.J. 447 (1995) L81","10.1086/309577",,"astro-ph",,"  How much dark matter is there in the universe and where is it located? These
are two of the most fundamental questions in cosmology. We use in this paper
optical and x-ray mass determinations of galaxies, groups, and clusters of
galaxies to suggest that most of the dark matter may reside in very large halos
around galaxies, typically extending to ~200 kpc for bright galaxies. We show
that the mass-to-light ratio of galaxy systems does not increase significantly
with linear scale beyond the very large halos suggested for individual
galaxies. Rather, the total mass of large scale systems such as groups and rich
clusters of galaxies, even superclusters, can on average be accounted for by
the total mass of their member galaxies, including their large halos (which may
be stripped-off in the dense cluster environment but still remain in the
clusters) plus the mass of the hot intracluster gas. This conclusion also
suggests that we may live in a low-density universe with Omega ~ 0.2 - 0.3.
","[{""version"":""v1"",""created"":""Tue, 6 Jun 1995 19:44:23 GMT""},{""version"":""v2"",""created"":""Wed, 7 Jun 1995 16:01:23 GMT""}]","2009-10-28"
"astro-ph/9506042","Chris Aikman","Patrick Cote, Douglas L. Welch, Philippe Fischer and K. Gebhardt","DYNAMICS OF THE GALACTIC GLOBULAR CLUSTER NGC 3201","uuencoded compressed Postscript, 59 pages including 10 figures. Also
  available at http://www.dao.nrc.ca/DAO/SCIENCE/science.html","Astrophys.J. 454 (1995) 788","10.1086/176532","DAO-9515","astro-ph",,"  B,V CCD frames have been used to derive surface brightness profiles for NGC
3201 out to ~18 arcmin. A total of 857 radial velocities with median precision
~1 km/s for 399 member giants have been used to trace the velocity dispersion
profile out to 32' (the approximate tidal radius from fits of single-mass,
isotropic King-Michie models to the cluster surface brightness profiles). The
median difference in radial velocity for stars on either side of an imaginary
axis moved through the cluster in 1 degree steps shows a significant maximum
amplitude of 1.22+/-0.25 km/s. We discuss possible explanations of this result,
including: (1) cluster rotation; (2) preferential stripping of stars on
prograde orbits near the limiting radius; (3) the projection of the cluster
space velocity onto the plane of the sky and (4) a slight drift in the velocity
zero point. It is difficult to identify the primary cause of the observed
velocity field structure unambiguously, and we suspect that all of the above
processes may play a role. The B,V surface brightness profiles and radial
velocities have been modeled with single- & multi-mass King-Michie models and
nonparametric techniques. The density and M/L profiles show good agreement over
1.5<R<10 pc, and both approaches suggest a steady rise in M/L with distance
from the cluster center. Due to the low cluster luminosity, we are unable to
place useful constraints on the anisotropy of the velocity dispersion profile,
though the global mass-to-light ratio is well-constrained by the models as ~2.0
+/-0.2 for the multi-mass and nonparametric models, compared to ~ 1.65 +/-0.15
for models having equal-mass stars. Our best-fit, multi-mass models have mass
function slopes of x~0.75 +/-0.25, consistent with findings that mass function
depends on the position relative to the potential of the Galaxy.
","[{""version"":""v1"",""created"":""Tue, 6 Jun 1995 21:51:19 GMT""}]","2009-10-28"
"astro-ph/9506043","Michael Pahre","M. A. Pahre and S. G. Djorgovski (Palomar Observatory, Caltech)","A Near-Infrared Search for Line Emission from Protogalaxies Using the W.
  M. Keck Telescope","9 pages (text) plus 4 figures, uuencoded compressed postscript
  format, to appear in The Astrophysical Journal (Letters); also available in
  same format from http://astro.caltech.edu/~map/papers/pgapjl/pgpreprint.uu",,"10.1086/309632",,"astro-ph",,"  We present the first results from a near-infrared narrow-band search for
primeval galaxies (PGs) using the Keck 10~m telescope. We have targeted our
fields for three QSOs and one radio galaxy at redshifts $z = 2.28$ to $4.70$.
We selected narrow-band filters in the $K$-band centered on strong emision
lines at the redshift of the targets. We reach limiting fluxes between
$1.6\times 10^{-17}$~erg~s$^{-1}$~cm$^{-2}$ and $1.0\times
10^{-16}$~erg~s$^{-1}$~cm$^{-2}$, and cover a total area of $\sim
4$~arcmin$^2$. At the redshifts of interest, these flux limits correspond to
typical restframe line luminosities of $\sim 10^{42} - 10^{43}$~erg~s$^{-1}$,
unobscured star formation rates of $\sim 1 - 100$ $M_\odot$~yr$^{-1}$, and a
sampled comoving volume of several tens of Mpc$^3$. We have found no candidate
PGs at a $2\sigma$ confidence level. We demonstrate that for moderate dust
absorption ($A_V \gsim 2^m$) in a simple dust-screen model, our preliminary
survey puts a strong constraint on intrinsic PG luminosities during an intial
burst of star formation. In the case of the QSOs, we have used PSF-subtraction
to search for the presence of faint, extended line emission surrounding these
radio-quiet AGNs. We find no evidence for extended emission down to $3.7 \times
10^{-17}$~erg~s$^{-1}$~cm$^{-2}$. This imposes limits on the reprocessed
fraction of the QSO continuum emission ranging between $0.02$\% and $0.29$\%;
if beaming effects are not important, then this implies similarly small
covering factors for clouds optically thick to the QSO continuum emission.
","[{""version"":""v1"",""created"":""Tue, 6 Jun 1995 22:55:03 GMT""}]","2009-10-28"
"astro-ph/9506044","Rosemary Wyse","J. Bryn Jones, Rosemary F.G. Wyse and Gerard Gilmore","Good Abundances from Bad Spectra :II. Application and a New Stellar
  Color--Temperature Relation","Plain tex file. Tables not included, they -- and figures -- can be
  obtained by e-mail request to R. Wyse. Paper is in press, PASP",,,,"astro-ph",,"  Stellar spectra derived from current multiple-object fiber-fed spectroscopic
radial-velocity surveys, of the type feasible with, among other examples,
AUTOFIB, 2dF, HYDRA, NESSIE, and the Sloan survey, differ significantly from
those traditionally used for determination of stellar abundances. The spectra
tend to be of moderate resolution (around $1\,${\AA}) and signal-to-noise ratio
(around 10-20 per resolution element), and cannot usually have reliable
continuum shapes determined over wavelength ranges in excess of a few tens of
Angstroms. Nonetheless, we have developed techniques to extract true iron
abundances and surface gravities from such spectra of G-type stars in the
4000--$5000\,${\AA} wavelength region. The theoretical basis and calibration
using synthetic spectra are described in detail in another paper. The practical
application of these techniques to observational data is given in the present
paper. We show that this method can provide true iron abundances, with an
uncertainty of less than $ 0.2$ dex over the range of metallicity found in the
Galactic thick and thin disks, from spectra obtained with fiber-fed
spectrographs.
","[{""version"":""v1"",""created"":""Wed, 7 Jun 1995 00:11:51 GMT""}]","2007-05-23"
"astro-ph/9506045","Stuart Lumsden","S.L. Lumsden (AAO), P.J. Puxley (ROE)","Forbidden Fe+ Emission from Supernovae Remnants in M33","12 pages, uuencoded compressed postscript. Also available as
  postscript file from ftp://aaoepp.aao.gov.au/local/sll/snr.ps Accepted for
  publication in Monthly Notices of the Royal Astronomical Society",,"10.1093/mnras/276.3.723","AAO PP 285-95","astro-ph",,"  Supernovae remnants are known to be luminous sources of infrared [FeII]
emission. By studying how the luminosity scales with age, environment and other
relevant factors, we can construct an [FeII] luminosity function for supernovae
remnants. This will enable us to predict supernovae rates in starburst galaxies
that are too distant for individual remnants to be resolved. First, however, we
require accurate luminosities for a sample of remnants of varying ages, and in
varying physical environments. As part of this project we have carried out an
initial study of a small sample of evolved (ages greater than a few thousand
years) remnants in M33. From these data we tentatively conclude that there is
evidence for the peak luminosity in the [FeII] lines of these sources to arise
in a narrow range of ages. In other respects, the M33 remnants are similar to
their galactic and Magellanic Cloud counterparts in the observed peak
luminosity. From this, and internal evidence as to the environment present in
these regions, we conclude that the luminosity of evolved remnants is only
marginally dependent on density and metallicity.
","[{""version"":""v1"",""created"":""Wed, 7 Jun 1995 04:45:00 GMT""}]","2015-06-24"
"astro-ph/9506046","Roberto Silvotti","R. Silvotti, C. Bartolini and L. Stanghellini","Search for new pulsating O VI central stars of planetary nebulae","6 pages, uuencoded file (figures included), accepted by Astronomy and
  Astrophysics, May 1995",,,,"astro-ph",,"  A photoelectric monitoring program has been applied, during the last four
years, to five central stars of planetary nebulae (PNNs) with strong O\,VI
$\lambda$ 3811--34 \AA \hspace{0.1mm} emission. NGC\,6905 and, marginally,
NGC\,2452, show intrinsic luminosity variations, while NGC\,7026, IC\,2003 and
NGC\,1501 have constant luminosity within a few mmag. Photometric data have
been analyzed with the best available packages for power--spectra reductions.
Both pulsators have periods and physical characteristics well encompassed by
the theoretical pulsational models relative to these stars.
","[{""version"":""v1"",""created"":""Wed, 7 Jun 1995 15:27:44 GMT""}]","2007-05-23"
"astro-ph/9506047","Andy Read","A.M. Read, T.J. Ponman (University of Birmingham, U.K), R.D.
  Wolstencroft (ROE, Edinburgh, U.K.)","The X-ray properties of the merging galaxy pair NGC 4038/9 - the
  Antennae","15 pages plus 9 figures, uuencoded encapsulated postscript file.
  Accepted for publication in MNRAS",,"10.1093/mnras/277.2.397",,"astro-ph",,"  We report the results of an X-ray spectral imaging observation of the
Antennae with the ROSAT PSPC. 55% of the soft X-ray flux from the system is
resolved into discrete sources, including components identified with the
galactic nuclei and large HII regions, whilst the remainder appears to be
predominantly genuinely diffuse emission from gas at a temperature ~4x10^6 K.
The morphology of the emission is unusual, combining a halo which envelopes the
galactic discs, with what appears to be a distorted, but well-collimated
bipolar outflow. We derive physical parameters for the hot gas in both diffuse
components, which are of some interest, given that the Antennae probably
represents an elliptical galaxy in the making.
","[{""version"":""v1"",""created"":""Wed, 7 Jun 1995 15:39:30 GMT""}]","2015-06-24"
"cmp-lg/9506004","Seth Kulick","Seth Kulick (University of Pennsylvania)","Using Higher-Order Logic Programming for Semantic Interpretation of
  Coordinate Constructs","7 pages, ACL-95, uses aclap.sty",,,,"cmp-lg cs.CL",,"  Many theories of semantic interpretation use lambda-term manipulation to
compositionally compute the meaning of a sentence. These theories are usually
implemented in a language such as Prolog that can simulate lambda-term
operations with first-order unification. However, for some interesting cases,
such as a Combinatory Categorial Grammar account of coordination constructs,
this can only be done by obscuring the underlying linguistic theory with the
``tricks'' needed for implementation. This paper shows how the use of abstract
syntax permitted by higher-order logic programming allows an elegant
implementation of the semantics of Combinatory Categorial Grammar, including
its handling of coordination constructs.
","[{""version"":""v1"",""created"":""Tue, 6 Jun 1995 16:35:52 GMT""}]","2008-02-03"
"cond-mat/9506026","David Senechal","D. Senechal","Semiclassical description of spin ladders","8 pages, RevTeX 3.0, 4 PostScript figures","Phys. Rev. B52 (1995) 15319.","10.1103/PhysRevB.52.15319","CRPS-95-11","cond-mat",,"  The Heisenberg spin ladder is studied in the semiclassical limit, via a
mapping to the nonlinear $\sigma$ model. Different treatments are needed if the
inter-chain coupling $K$ is small, intermediate or large. For intermediate
coupling a single nonlinear $\sigma$ model is used for the ladder. Its predicts
a spin gap for all nonzero values of $K$ if the sum $s+\tilde s$ of the spins
of the two chains is an integer, and no gap otherwise. For small $K$, a better
treatment proceeds by coupling two nonlinear sigma models, one for each chain.
For integer $s=\tilde s$, the saddle-point approximation predicts a sharp drop
in the gap as $K$ increases from zero. A Monte-Carlo simulation of a spin 1
ladder is presented which supports the analytical results.
","[{""version"":""v1"",""created"":""Tue, 6 Jun 1995 19:56:10 GMT""}]","2009-10-28"
