"adap-org/9506002","Alexey Chekhlov","Alexei Chekhlov and Victor Yakhot (Program in Applied and
  Computational Mathematics, Princeton University, Princeton, New Jersey)","Kolmogorov turbulence in a random-force-driven Burgers equation","13 LaTeX pages, psfig.sty macros, Phys. Rev. E 51, R2739 (1995).",,"10.1103/PhysRevE.51.R2739",,"adap-org nlin.AO",,"  The dynamics of velocity fluctuations, governed by the one-dimensional
Burgers equation, driven by a white-in-time random force with the spatial
spectrum $\overline{|f(k)|^2}\proptok^{-1}$, is considered. High-resolution
numerical experiments conducted in this work give the energy spectrum
$E(k)\propto k^{-\beta}$ with $\beta =5/3\pm 0.02$. The observed two-point
correlation function $C(k,\omega)$ reveals $\omega\propto k^z$ with the
""dynamical exponent"" $z\approx 2/3$. High-order moments of velocity differences
show strong intermittency and are dominated by powerful large-scale shocks. The
results are compared with predictions of the one-loop renormalized perturbation
expansion.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 07:58:38 GMT""}]","2015-06-30"
"alg-geom/9506017",,"Valeri Gritsenko and Klaus Hulek","Minimal Siegel modular threefolds","We have included a theorem explaining the connection of the minimal
  Siegel modular threefold with the space of Kummer surfaces of abelian
  surfaces with non-principal polarization. AMSTeX",,,,"alg-geom math.AG",,"  In this paper we study the maximal extension $\Gamma_t^*$ of the subgroup
$\Gamma_t$ of $\operatorname{Sp}_4 (\bq)$ which is conjugate to the paramodular
group. The index of this extension is $2^{\nu(t)}$ where $\nu(t)$ is the number
of prime divisors of $t$. The group $\Gamma_t^*$ defines the minimal modular
threefold ${\Cal A}_t^*$ which is a finite quotient of the moduli space ${\Cal
A}_t$ of $(1,t)$-polarized abelian surfaces. A certain degree 2 quotient of
${\Cal A}_t$ is a moduli space of lattice polarized $K3$ surfaces. The space
${\Cal A}_t^*$ can be interpreted as the space of Kummer surfaces associated to
$(1,t)$-polarized abelian surfaces. Using the action of $\Gamma_t^*$ on the
space of Jacobi forms we show that many spaces between ${\Cal A}_t$ and ${\Cal
A}_t^*$ posess a non-trivial 3-form, i.e. the Kodaira dimension of these spaces
is non-negative. Finally we determine the divisorial part of the ramification
locus of the finite map ${\Cal A}_t\rightarrow {\Cal A}_t^*$ which is a union
of Humbert surfaces. We interprete the corresponding Humbert surfaces as
Hilbert modular surfaces.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 12:25:59 GMT""},{""version"":""v2"",""created"":""Wed, 10 Jan 1996 17:32:48 GMT""}]","2008-02-03"
"alg-geom/9506018","Lothar Goettsche","Lothar G\""ottsche","Modular forms and Donaldson invariants for 4-manifolds with $b_+=1$","I correct a number of missing attributions and citations. In
  particular this applies to the cited paper of Kotschick and Lisca ""Instanton
  invariants via topology"", which contains some ideas which have been important
  for this work. AMSLaTeX",,,,"alg-geom math.AG",,"  We study the Donaldson invariants of simply connected $4$-manifolds with
$b_+=1$, and in particular the change of the invariants under wall-crossing. We
assume the conjecture of Kotschick and Morgan about the shape of the
wall-crossing terms (which Oszva\'th and Morgan are now able to prove), and are
determine a generating function for the wall-crossing terms in terms of modular
forms. As an application we determine all the Donaldson invariants of the
projective plane in terms of modular forms. The main tool are the blowup
formulas, which are used to obtain recursive relations.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 12:26:25 GMT""},{""version"":""v2"",""created"":""Sat, 15 Jul 1995 12:21:16 GMT""}]","2008-02-03"
"alg-geom/9506019","Lothar Goettsche","Geir Ellingsrud and Lothar G\""ottsche","Wall-crossing formulas, Bott residue formula and the Donaldson
  invariants of rational surfaces","We correct some missing attributions and citations. In particular
  this applies to the cited paper of Kotschick and Lisca ""Instanton invariants
  via topology"", which contains some ideas which have been important for this
  work. AMSLaTeX",,,,"alg-geom math.AG",,"  We study the Donaldson invariants of rational surfaces and their dependence
on the chambers in the ample cone. We build on a previous joint paper in which
we have expressed the change of the Donaldson invariants on an algebraic
surface $S$ under crossing a so-called good wall in terms of certain
intersection numbers on Hilbert schemes of points on $S$. In the current paper
we assume that $S$ is rational. Thish enables us to apply the Bott residue
theorem to evaluate these intersection numbers with the help of a computer.
Combining this with the blowup formulas we obtain an algorithm for computing
the Donaldson invariants of all rational surfaces in almost all chambers. In
particular we compute all the $SU(2)$- and $SO(3)$-Donaldson invariants of the
projective plane of degree at most 50.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 14:16:50 GMT""},{""version"":""v2"",""created"":""Sat, 15 Jul 1995 12:32:40 GMT""}]","2008-02-03"
"astro-ph/9506117","Preprint account","J. Hjorth, M. Vestergaard, A. N. Sorensen, F. Grundahl","Discovery of a faint optical jet in 3C 120",,"Astrophys.J. 452 (1995) L17-L20","10.1086/309701","CAP-9505002","astro-ph",,"  We report the detection of an optical jet in the nearby Seyfert 1 radio
galaxy 3C 120. The optical jet coincides with the well-known radio jet and
emits continuum radiation (B,V',I) with a radio-to-optical spectral index of
0.65. There are no clear optical counterparts to the radio knots, although the
optical condensation A of the galaxy, which includes the bright 4"" radio knot,
is found to be 12 % polarized with the electric field vectors perpendicular to
the jet. These findings indicate that 3C 120 contains the 6th known
extragalactic optical synchrotron jet, quite similar in its properties to the
jet of PKS 0521-36. The outer parts of the jet is the faintest known optical
jet and was discovered as the result of a dedicated effort to detect it. It is
therefore possible that more optical jets can be discovered in systematic
searches by combining deep imaging in the optical or near-IR with careful
galaxy subtraction methods.
","[{""version"":""v1"",""created"":""Thu, 22 Jun 1995 16:34:08 GMT""},{""version"":""v2"",""created"":""Sun, 1 Oct 1995 17:55:27 GMT""}]","2008-02-03"
"astro-ph/9506118","Gunter Sigl","G.Sigl, S.Lee, D.N.Schramm, and P.Bhattacharjee","A Break in the Highest Energy Cosmic Ray Spectrum: A Signature of New
  Physics?","12 latex pages, 2 figures added via figures command","Science 270 (1995) 1977-1980","10.1126/science.270.5244.1977","FERMILAB-Pub-95/148-A","astro-ph",,"  Recent experimental data from the Fly's Eye and the Akeno array seem to
indicate significant structure in the ultrahigh energy cosmic ray spectrum
above $10^{18}\eV$. A statistically significant dip has been established at
about $5\times10^{18}\eV$. In addition, each experiment observed a different
superhigh energy event above $10^{20}\eV$ separated from the rest of the data
by about half a decade in energy. In this article we discuss what this implies
for the existence or non-existence of the ``Greisen-Zatsepin-Kuz'min cutoff'',
a long lasting and still open question in cosmic ray physics. This cutoff,
caused by energy losses in the cosmic microwave background, is predicted to
occur at a few times $10^{19}\eV$ if cosmic rays are produced by shock
acceleration of lower energy particles at extragalactic distances. We show that
from the spectral point of view, sources nearer than a few $\Mpc$ are still
consistent with the data at the $1\sigma$ level, provided these sources
accelerate particles beyond $3\times10^{20}\eV$. However, persistence of the
apparent gap in the existing data at the level of a 4 times higher total
exposure would rule out a wide range of acceleration models at $98\%$ C.L.,
whether they rely on nearby or extragalactic sources. This might hint to the
existence of a ``top down'' mechanism which produces an additional hard
component of ultrahigh energy particles directly, say, by decay from some
higher energy scale in contrast to bottom up acceleration of charged particles.
In this scenario a cutoff followed by a pronounced spectral flattening and
possibly even a gap could naturally be formed.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 01:48:34 GMT""}]","2009-10-28"
"astro-ph/9506119","Dr. Ray Protheroe","R. J. Protheroe and P. A. Johnson","Propagation of Ultra High Energy Protons over Cosmological Distances and
  Implications for Topological Defect Models","32 pages, uuencoded postscript, also available from
  http://www.physics.adelaide.edu.au/astrophysics/","Astropart.Phys. 4 (1996) 253","10.1016/0927-6505(95)00039-9","ADP-AT-95-5","astro-ph",,"  We describe the results of a hybrid matrix--Monte Carlo calculation of
cascading of UHE cosmic rays and $\gamma$-rays through the cosmic background
radiation fields over cosmological distances. We calculate the $\gamma$-ray and
neutrino emission that results from the cascade, as well as the effect of
cascading on the primary spectrum. We discuss the results for various cosmic
ray injection spectra and primary species. Certain models for the production of
the highest energy cosmic rays are ruled out.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 07:06:05 GMT""}]","2009-10-28"
"bayes-an/9506004","Radford Neal","R. M. Neal (Department of Statistics, University of Toronto)","Suppressing Random Walks in Markov Chain Monte Carlo Using Ordered
  Overrelaxation","uuencoded compressed postscript (with instructions on decoding)",,,"Technical Report 9508","bayes-an hep-lat physics.data-an",,"  Markov chain Monte Carlo methods such as Gibbs sampling and simple forms of
the Metropolis algorithm typically move about the distribution being sampled
via a random walk. For the complex, high-dimensional distributions commonly
encountered in Bayesian inference and statistical physics, the distance moved
in each iteration of these algorithms will usually be small, because it is
difficult or impossible to transform the problem to eliminate dependencies
between variables. The inefficiency inherent in taking such small steps is
greatly exacerbated when the algorithm operates via a random walk, as in such a
case moving to a point n steps away will typically take around n^2 iterations.
Such random walks can sometimes be suppressed using ``overrelaxed'' variants of
Gibbs sampling (a.k.a. the heatbath algorithm), but such methods have hitherto
been largely restricted to problems where all the full conditional
distributions are Gaussian. I present an overrelaxed Markov chain Monte Carlo
algorithm based on order statistics that is more widely applicable. In
particular, the algorithm can be applied whenever the full conditional
distributions are such that their cumulative distribution functions and inverse
cumulative distribution functions can be efficiently computed. The method is
demonstrated on an inference problem for a simple hierarchical Bayesian model.
","[{""version"":""v1"",""created"":""Thu, 22 Jun 1995 20:48:22 GMT""}]","2008-02-03"
"cmp-lg/9506021","Michael John Collins","Michael Collins, James Brooks (University of Pennsylvania)","Prepositional Phrase Attachment through a Backed-Off Model","To appear in Proceedings of the Third Workshop on Very Large Corpora,
  12 pages, LaTeX",,,,"cmp-lg cs.CL",,"  Recent work has considered corpus-based or statistical approaches to the
problem of prepositional phrase attachment ambiguity. Typically, ambiguous verb
phrases of the form {v np1 p np2} are resolved through a model which considers
values of the four head words (v, n1, p and n2). This paper shows that the
problem is analogous to n-gram language models in speech recognition, and that
one of the most common methods for language modeling, the backed-off estimate,
is applicable. Results on Wall Street Journal data of 84.5% accuracy are
obtained using this method. A surprising result is the importance of low-count
events - ignoring events which occur less than 5 times in training data reduces
performance to 81.6%.
","[{""version"":""v1"",""created"":""Thu, 22 Jun 1995 20:51:27 GMT""}]","2008-02-03"
"cond-mat/9506101","Wiseman Shai","S. Wiseman, and E. Domany","Lack of Self-Averaging in Critical Disordered Systems","33 pages, RevTex, 16 figures in tar compressed form included,
  Submitted to Phys. Rev. E The figures which were missing are now included, in
  a uuencoded tar compressed form",,"10.1103/PhysRevE.52.3469",,"cond-mat",,"  We consider the sample to sample fluctuations that occur in the value of a
thermodynamic quantity $P$ in an ensemble of finite systems with quenched
disorder, at equilibrium. The variance of $P$, $V_{P}$, which characterizes
these fluctuations is calculated as a function of the systems' linear size $l$,
focusing on the behavior at the critical point. The specific model considered
is the bond-disordered Ashkin-Teller model on a square lattice. Using Monte
Carlo simulations, several bond-disordered Ashkin-Teller
  models were examined, including the bond-disordered Ising model and the
bond-disordered four-state Potts model. It was found that far from criticality
  the energy, magnetization, specific heat and susceptibility are strongly self
averaging, that is $V_{P}\sim l^{-d}$ (where $d=2$ is the dimension). At
criticality though, the results indicate that the magnetization $M$ and the
susceptibility $\chi$ are non self averaging, i.e. $\frac{V_{\chi}}{\chi^{2}},
  \frac{V_{M}}{M^{2}}\not \rightarrow 0$. The energy $E$ at criticality is
weakly self averaging, that is $V_{E}\sim l^{-y_{v}}$ with $0<y_{v}<d$. Less
conclusively, and possibly only as a transient behavior, the specific heat too
is found to be weakly self averaging. A phenomenological theory of finite size
scaling for disordered systems is developed. Its main prediction is that when
the specific heat exponent $\alpha<0$ ($\alpha$ of the disordered model) then,
for a quantity $P$ which scales as $l^{\rho}$ at criticality, its variance
$V_{P}$ will scale asymptotically as $l^{2\rho+\frac{\alpha}{\nu}}$. we found
very good agreement between the theory and the data for $V_{\chi}$ and $V_{E}$.
","[{""version"":""v1"",""created"":""Thu, 22 Jun 1995 17:39:11 GMT""},{""version"":""v2"",""created"":""Fri, 23 Jun 1995 12:17:57 GMT""}]","2016-08-31"
"cond-mat/9506104","Paul Fendley","P. Fendley and H. Saleur","Exact perturbative solution of the Kondo problem","4 pages in revtex two-column","Phys. Rev. Lett. 75 (1995) 4492","10.1103/PhysRevLett.75.4492","USC-95/017","cond-mat hep-th math.QA q-alg",,"  We explicitly evaluate the infinite series of integrals that appears in the
""Anderson-Yuval"" reformulation of the anisotropic Kondo problem in terms of a
one-dimensional Coulomb gas. We do this by developing a general approach
relating the anisotropic Kondo problem of arbitrary spin with the boundary
sine-Gordon model, which describes impurity tunneling in a Luttinger liquid and
in the fractional quantum Hall effect. The Kondo solution then follows from the
exact perturbative solution of the latter model in terms of Jack polynomials.
","[{""version"":""v1"",""created"":""Thu, 22 Jun 1995 23:07:40 GMT""}]","2009-10-28"
