"alg-geom/9506024","David Cox","Eduardo Cattani, David Cox, and Alicia Dickenstein","Residues in Toric Varieties","35 pages, manuscript dated June 22, 1995, TeX, C Version 3.14t3",,,,"alg-geom math.AG",,"  We study residues on a complete toric variety X, which are defined in terms
of the homogeneous coordinate ring of X. We first prove a global transformation
law for toric residues. When the fan of the toric variety has a simplicial cone
of maximal dimension, we can produce an element with toric residue equal to 1.
We also show that in certain situations, the toric residue is an isomorphism on
an appropriate graded piece of the quotient ring. When X is simplicial, we
prove that the toric residue is a sum of local residues. In the case of equal
degrees, we also show how to represent X as a quotient (Y-{0})/C* such that the
toric residue becomes the local residue at 0 in Y.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 18:02:59 GMT""}]","2008-02-03"
"astro-ph/9506129","Ed Turner","M. Fukugita and E. L. Turner","QSO's from Galaxy Collisions with Naked Black Holes","plain TeX file, no figures, submitted to Nature","Astrophys.J. 460 (1996) L81","10.1086/309987",,"astro-ph",,"  In the now well established conventional view (see Rees [1] and references
therein), quasi-stellar objects (QSOs) and related active galactic nuclei (AGN)
phenomena are explained as the result of accretion of plasma onto giant black
holes which are postulated to form via gravitational collapse of the high
density regions in the centers of massive host galaxies. This model is
supported by a wide variety of indirect evidence and seems quite likely to
apply at least to some observed AGN phenomena. However, one surprising set of
new Hubble Space Telescope (HST) observations [2-4] directly challenges the
conventional model, and the well known evolution of the QSO population raises
some additional, though not widely recognized, difficulties. We propose here an
alternative possibility: the Universe contains a substantial independent
population of super-massive black holes, and QSO's are a phenomenon that occurs
due to their collisions with galaxies or gas clouds in the intergalactic medium
(IGM). This hypothesis would naturally explain why the QSO population declines
very rapidly towards low redshift, as well as the new HST data.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 16:52:09 GMT""}]","2009-10-28"
"astro-ph/9506130",,"M. G. Baring and A. K. Harding","Photon Splitting in Magnetar Models of Soft Gamma Repeaters","5 pages including 3 encapsulated figures, as a compressed, uuencoded,
  Postscript file. To appear in Proc. of the 1995 La Jolla workshop ``High
  Velocity Neutron Stars and Gamma-Ray Bursts'' eds. Rothschild, R. et al.,
  AIP, New York",,"10.1063/1.50239",,"astro-ph",,"  The recent association of soft gamma repeaters (SGRs) with counterparts in
other wavebands has sparked much interest in these sources. One of the recent
models for these objects is that they originate in the environs of neutron
stars with fields much stronger than the quantum critical field
\teq{B_{cr}=4.413\times 10^{13}} Gauss. Near such neutron stars, dubbed
magnetars, the exotic quantum process of magnetic photon splitting becomes
prolific. Its principal effect is to degrade photon energies and thereby soften
gamma-ray spectra from neutron stars; it has recently been suggested that
splitting may be responsible for limiting the hardness of emission in SGRs, if
these sources originate in neutron stars with supercritical surface fields.
Seed photons in supercritical fields efficiently generate soft gamma-ray
spectra, typical of repeaters. In this paper, the influence of the curved
dipole field geometry of a neutron star magnetosphere on the photon splitting
rate is investigated. The dependence of the attenuation length on the location
and angular direction of the seed photons is explored.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 18:25:50 GMT""}]","2009-10-28"
"astro-ph/9506131",,"Keith A. Olive and Sean T. Scully","Big Bang Nucleosynthesis: An Update","21 pages, latex, 9 uuencoded, tarred, compressed, ps figures minor
  error in eq. 5 corrected","Int.J.Mod.Phys.A11:409-428,1996","10.1142/S0217751X96000213","UMN-TH-1341/95","astro-ph hep-ph",,"  WThe current status of big bang nucleosynthesis is reviewed with an emphasis
on the comparison between the observational determination of the light element
abundances of \D, \he3, \he4 and \li7 and the predictions from theory. In
particular, we present new analyses for \he4 and \li7. Implications for physics
beyond the standard model are also discussed. Limits on the effective number of
neutrino flavors are also updated.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 21:04:51 GMT""},{""version"":""v2"",""created"":""Wed, 16 Aug 1995 20:47:13 GMT""}]","2009-09-15"
"astro-ph/9506132","Konstantinos Dimopoulos","A. C. Davis and K. Dimopoulos","Primordial Magnetic Fields in False Vacuum Inflation","31 pages, standard LaTeX file, 1 figure. Replaced. Important changes
  in the content and the results","Phys.Rev.D55:7398-7414,1997","10.1103/PhysRevD.55.7398","CERN-TH/95-175, DAMTP-95-31","astro-ph hep-ph",,"  We show that, during false vacuum inflation, a primordial magnetic field can
be created, sufficiently strong to seed the galactic dynamo and generate the
observed galactic magnetic fields. Considering the inflaton dominated regime,
our field is produced by the Higgs-field gradients, resulting from a grand
unified phase transition. The evolution of the field is followed from its
creation through to the epoch of structure formation, subject to the relevant
constraints. We find that it is possible to create a magnetic field of
sufficient magnitude, provided the phase transition occurs during the final 5
e-foldings of the inflationary period.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 14:11:19 GMT""},{""version"":""v2"",""created"":""Fri, 25 Oct 1996 13:39:56 GMT""}]","2010-11-30"
"astro-ph/9506134","Yipeng Jing","Y.P. Jing (MPA), G. Boerner (MPA), R. Valdarnini (SISSA)","Three-point correlation function of galaxy clusters in cosmological
  models: a strong dependence on triangle shape","11 pages, uuencoded compressed tar ps-file. 2 tables and 8 figures
  included. The ps file (without uuencoding compressing) can also be obtained
  by anonymous ftp at ftp://ibm-3.mpa-garching.mpg.de/pub/jing/9506134.ps","Mon.Not.Roy.Astron.Soc. 277 (1995) 630","10.1093/mnras/277.2.630","Accepted for publication in MNRAS","astro-ph",,"  In this paper, we use large $\pppm$ N-body simulations to study the
three-point correlation function $\zeta$ of clusters in two theoretical models.
The first model (LCDM) is a low-density flat model of $\Omega_0=0.3$,
$\Lambda_0=0.7$ and $h=0.75$, and the second model (PIM) is an
Einstein-de-Sitter model with its linear power spectrum obtained from
observations. We found that the scaled function $Q(r,u,v)$, which is defined as
the ratio of $\zeta (r, ru, ru+rv)$ to the hierarchical sum $\xi (r)\xi (ru)+
\xi (ru) \xi (ru+rv) +\xi (ru+rv)\xi (r)$ (where $\xi$ is the two-point
correlation function of clusters), depends weakly on $r$ and $u$, but very
strongly on $v$. $Q(r,u,v)$ is about 0.2 at $v=0.1$ and 1.8 at $v=0.9$. A model
of $Q(r,u,v)=\Theta 10^{1.3v^2}$ can fit the data of $\zeta$ very nicely with
$\Theta\approx 0.14$. This model is found to be universal for the LCDM clusters
and for the PIM clusters. Furthermore, $Q(r,u,v)$ is found to be insensitive to
the cluster richness. We have compared our N-body results with simple
analytical theories of cluster formation, like the peak theories or the local
maxima theories. We found that these theories do not provide an adequate
description for the three-point function of clusters. We have also examined the
observational data of $\zeta$ presently available, and have not found any
contradiction between the observations and our model predictions. The
$v$-dependence of $q$ in a projected catalogue of clusters is shown to be much
weaker than the $v$-dependence of $Q$ found in the three-dimensional case. It
would be important to search for the $v$-dependence of $Q$ in redshift samples
of rich clusters.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 15:31:06 GMT""}]","2015-06-24"
"astro-ph/9506135","Alice Harding","Alice K. Harding (NASA GSFC)","The Nature of Plerions Surrounding Soft Gamma-Ray Repeaters","5 pages, compressed, uuencoded postscript file. To appear in Proc. of
  1995 La Jolla Workshop ""High Velocity Neutron Stars and Gamma-Ray Bursts"" ed.
  R. Rothschild et al. (AIP: New York)",,"10.1063/1.50236",,"astro-ph",,"  Compact steady sources of X-ray emission have been detected at the positions
of at least two soft gamma-ray repeaters (SGRs). These sources have been
interpreted as synchrotron nebulae powered by the neutron star that is causing
the bursts. We explore a plerion model for the sources surrounding SGRs where
the steady observed emission is powered by the SGR bursts rather than by the
spin-down of a pulsar. In this case there is no limit on the neutron star
magnetic field. We find that the synchrotron lifetime of the particles injected
into the plerion around SGR1806-20 is long enough to smear out nebular emission
from individual bursts. Transient nebular emission would therefore not be
detected following an SGR burst. The combined radio emission from multiple
burst injections is expected to have a steeper spectrum than that of a typical
plerion.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 14:50:38 GMT""}]","2009-10-28"
"astro-ph/9506148","Brian McLeod","B. A. McLeod and M. J. Rieke","The Effects of Starbursts and Low-Surface-Brightness Galaxies on Faint
  Galaxy Models","uuencoded compressed tar file, AAS LaTeXv3.0 includes 14 EPS figures
  (32 pages), separate Latex file for tables (4 pages), to appear in ApJ",,"10.1086/176515",,"astro-ph",,"  We present models predicting the magnitude, redshift, and color distributions
of field galaxies. We explore whether a fading starburst scenario can account
for the observations of faint blue galaxies. We marginally rule out a starburst
scenario with a local IMF because the models predict too many nearby faint
galaxies that are not observed. A burst model with a truncated IMF reproduces
the counts and redshift distributions well but produces too blue a population.
We show that surface brightness selection has a significant effect on the
distributions. In particular, adding a population of low-surface brightness
galaxies, known to exist locally, can explain the counts for $B_J<23$. They do
not, however, account for the steepness of the counts at fainter magnitudes.
Finally we show that the colors of galaxies in a $K$-band selected sample are
too blue to be consistent with a constant star-formation rate,
passive-evolution model.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 15:40:25 GMT""}]","2009-10-28"
"chao-dyn/9506008","Ruediger Schack","R. Schack and C. M. Caves (University of New Mexico)","Information-theoretic characterization of quantum chaos","23 pages in REVTEX, 7 uuencoded postscript figures, submitted to
  Phys. Rev. E",,"10.1103/PhysRevE.53.3257",,"chao-dyn nlin.CD quant-ph",,"  Hypersensitivity to perturbation is a criterion for chaos based on the
question of how much information about a perturbing environment is needed to
keep the entropy of a Hamiltonian system from increasing. We demonstrate
numerically that hypersensitivity to perturbation is present in the following
quantum maps: the quantum kicked top, the quantum baker's map, the quantum lazy
baker's map, and the quantum sawtooth and cat maps.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 14:33:00 GMT""}]","2016-08-31"
"cmp-lg/9506024","Christine Thielen","Christine Thielen (SfS, University of T""ubingen)","An Approach to Proper Name Tagging for German","6 pages, LaTeX, 2 uuencoded tar-compressed eps-figures added,
  EACL-SIGDAT 95",,,,"cmp-lg cs.CL",,"  This paper presents an incremental method for the tagging of proper names in
German newspaper texts. The tagging is performed by the analysis of the
syntactic and textual contexts of proper names together with a morphological
analysis. The proper names selected by this process supply new contexts which
can be used for finding new proper names, and so on. This procedure was applied
to a small German corpus (50,000 words) and correctly disambiguated 65% of the
capitalized words, which should improve when it is applied to a very large
corpus.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 11:52:18 GMT""},{""version"":""v2"",""created"":""Thu, 29 Jun 1995 12:22:08 GMT""}]","2008-02-03"
"cond-mat/9506123","Jack","Ph. Jacquod and D.L.Shepelyansky","Hidden Breit-Wigner distribution and other properties of random matrices
  with preferential basis","4 pages, 4 postscript figures appended, new version with minor
  changes",,"10.1103/PhysRevLett.75.3501","NEIP-95-010","cond-mat",,"  We study statistical properties of a class of band random matrices which
naturally appears in systems of interacting particles. The local spectral
density is shown to follow the Breit-Wigner distribution in both localized and
delocalized regimes with width independent on the band/system size. We analyse
the implications of this distribution to the inverse participation ratio, level
spacing statistics and the problem of two interacting particles in a random
potential.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 18:44:19 GMT""},{""version"":""v2"",""created"":""Fri, 15 Sep 1995 07:24:10 GMT""},{""version"":""v3"",""created"":""Mon, 18 Sep 1995 11:08:28 GMT""}]","2009-10-28"
