"alg-geom/9507001","Iwamoto Masayuki","Masayuki Iwamoto","General n-canonical divisors on two-dimensional smoothable
  semi-log-terminal singularities","AMSLaTeX v 1.1",,,,"alg-geom math.AG",,"  In this paper we calculate genaral n-canonical divisors on smoothable
semi-log-terminal singularities in dimension 2, in other words, the full
sheaves associated to the double dual of the nth tensor power of the dualizing
sheaves of these singularities. And as its application we give the inequality
which bound the Gorenstein index by the local self intersection number of the
n-canonical divisor of these singularities.
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 07:46:34 GMT""}]","2008-02-03"
"astro-ph/9507002","Erick J. Guerra","Lin Wan & Ruth A. Daly","FRII Radio Sources in Rich Clusters of Galaxies","8 pages, 3 figures in text, uuencoded compressed postscript file. To
  appear in the proceedings of the Cygnus A Workshop, May 1-4, Green Bank, WV",,,,"astro-ph",,"  A sample of FRII radio sources in rich clusters of galaxies, both at high
(z$\sim$0.5) and low (z$\sim$0) redshift, has been constructed to study the
effect of environment on radio sources. Comparisons are made between the
properties of FRII sources in cluster and non-cluster environments, and between
X-ray clusters with and without FRII sources. The principal results are the
following:
  1. Most low-redshift FRII sources in clusters appear to be similar to FRII
sources in group or field environments in terms of radio power, optical
properties of the host galaxy, and nonthermal pressure of the radio bridge.
Most low-redshift clusters with FRII sources tend to lie at the lower end of
cluster X-ray luminosity distribution, some having $L_x$ comparable to FRII
sources in non-cluster environments.
  2. High-redshift FRII sources are all quite similar to each other
irrespective of their environments. The nonthermal pressures of their radio
bridges appear to be similar to those of low-redshift FRII's.
  3. The nonthermal pressures of the bridges of FRII sources appear to be
similar to the thermal pressures of the ICM around them. This result would
allow FRII sources to be used as probes of their gaseous environments. The
current data imply that the evolution in the clustering strength around FRII
sources toward high-redshift is likely to be closely linked to an evolution of
the state of the intracluster medium.
","[{""version"":""v1"",""created"":""Mon, 3 Jul 1995 16:47:57 GMT""}]","2007-05-23"
"astro-ph/9507003","Big Bad Bob","Robert K. Schaefer and Andrew A. de Laix","Gauge Invariant Density and Temperature Perturbations in the
  Quasi-Newtonian Formulation","1 LaTEX text file (29 pages), and a uuencoded gzip'ed tar file
  containing 7 Postscript figures","Astrophys.J.Suppl.105:1,1996","10.1086/192304","OSU-TA-13/95; BA-95-25","astro-ph hep-ph",,"  We give an improved formalism for calculating the evolution of density
fluctuations and temperature perturbations in flat universes. Our equations are
general enough to treat the perturbations in collisionless relics like massive
neutrinos. We find this formulation to be simpler to use than gauge dependent
and other gauge-invariant formalisms. We show how to calculate temperature
fluctuations (including multipole moments) and transfer functions, including
the case of collisionless relics like massive neutrinos. We call this formalism
""quasi-Newtonian"" because the equations for the potential and cold matter
fluctuation evolution have the same form as the Newtonian gravitational
equations in an expanding space. The density fluctuation variable also has the
same form inside and outside of the horizon which allows the initial conditions
to be specified in a simple intuitive way. Our sample calculations demonstrate
how to use these equations in cosmological models which have hot, cold, and
mixed dark matter and adiabatic (isentropic) or isocurvature modes. We also
give an approximation which may be used to get transfer functions quickly.
","[{""version"":""v1"",""created"":""Mon, 3 Jul 1995 19:20:28 GMT""}]","2011-05-12"
"astro-ph/9507004","Werner Becker","W.Becker, K.T.S.Barzier and J.Tr\""umper","ROSAT observations of PSR 2334+61 in the supernova remnant G114.3+0.3","4 pages in uuencoded and compressed ps-format, accepted for
  publication in Astonomy \& Astrophysics",,,"MPE-Preprint E2","astro-ph",,"  We report on the observation of PSR 2334+61 in the soft X-ray domain with
ROSAT. Assuming a power-law spectrum $dN/dE\propto E^{-\alpha}$ with
photon-index $\alpha=2$ we derive an X-ray flux of $f_x=(7.1 \pm 0.2) \times
10^{-14} \hbox{erg s}^{-1}\hbox{cm}^{-2}$ within the $0.1$--$2.4$ keV energy
range. An upper limit for the neutron star's surface temperature is put at
$T_s^\infty \sim 1.2\times 10^6$ K for a neutron star with a medium stiff
equation of state (FP-model with $M=1.4$ \Mo, $R=10.85$ km). Slightly different
values for $T_s^\infty$ are computed for the various neutron star models
available in the literature, reflecting differences in the equation of state.
No soft X-ray emission is detected from the supernova remnant G114.3+0.3
associated with PSR 2334+61.
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 09:07:23 GMT""}]","2007-05-23"
"astro-ph/9507005","Vincenzo Antonuccio","V. Antonuccio-delogu and S. Colafrancesco","Velocity correlation tensor and substructure's statistics around density
  peaks","7 pages, uuencoded, gzip-compressed postscript. Submitted to
  Astronomy and Astrophysics",,,,"astro-ph",,"  We derive the conditional probability distribution of the peculiar velocity
around a peak of given overdensity in a Gaussian density field. This
distribution characterizes the shear field around local, isolated density
peaks. We use the moments of the velocity distribution to study the spatial
distribution of the escape velocity from protostructures forming in a standard,
flat, scale--invariant CDM model. In the case of high ($\nu \sim 2$) peaks with
filtering scales $R_f \sim 2 h^{-1}~\mbox{Mpc}$, we find that at distances
between $2 \div 4~{\rm \mbox{Mpc}~h^{-1}}$ (or equivalently $\approx 1 \div 2
~R_f$) a sensitive fraction of the matter enclosed within an extrapolated (up
to the present epoch) volume containing a total gravitating mass $M \approx
2.725\times10^{15} h^{-1} M_{\odot}$ (of the same order as that derived from
gravitational lensing observations, see Tyson and Fisher~\cite{tf95}) is {\em
gravitationally unbound} to the peak. The fraction of unbound matter varies
between approximately between $0.05-0.2$ depending on the central height $\nu$
of the density peak, on the filtering radius and on the adopted normalization
for the fluctuation spectrum. We show how these results support our previous
conclusions regarding the delay of the collapse induced by the presence of
small-scale substructure in clusters of galaxies formed in standard CDM
cosmological models.
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 11:31:00 GMT""}]","2007-05-23"
"astro-ph/9507006","Big Bad Bob","K.S. Babu, R.K. Schaefer, and Q. Shafi","Cold Plus Hot Dark Matter Cosmology in the Light of Solar and
  Atmospheric Neutrino Oscillations","1 LaTEX file plus 1 uuencoded Z-compressed tar file with 3 postscript
  figures","Phys.Rev.D53:606-617,1996","10.1103/PhysRevD.53.606","BA-95-19","astro-ph hep-ph",,"  We explore the implications of possible neutrino oscillations, as indicated
by the solar and atmospheric neutrino experiments, for the cold plus hot dark
matter scenario of large scale structure formation. We find that there are
essentially three distinct schemes that can accommodate the oscillation data
and which also allow for dark matter neutrinos. These include (i) three nearly
degenerate (in mass) neutrinos, (ii) non-degenerate masses with $\nu_\tau$ in
the eV range, and (iii) nearly degenerate $\nu_\mu-\nu_\tau$ pair (in the eV
range), with the additional possibility that the electron neutrino is
cosmologically significant. The last two schemes invoke a `sterile' neutrino
which is light (< or ~ eV). We discuss the implications of these schemes for
$\bar{\nu}_\mu - \bar{\nu}_e$ and $\nu_\mu - \nu_\tau$ oscillation, and find
that scheme (ii) in particular, predicts them to be in the observable range. As
far as structure formation is concerned, we compare the one neutrino flavor
case with a variety of other possibilities, including two and three degenerate
neutrino flavors. We show, both analytically and numerically, the effects of
these neutrino mass scenarios on the amplitude of cosmological density
fluctuations. With a Hubble constant of 50 km s$^{-1}$ Mpc$^{-1}$, a spectral
index of unity, and $\Omega_{baryon} = 0.05$, the two and three flavor
scenarios fit the observational data marginally better than the single flavor
scheme. However, taking account of the uncertainties in these parameters, we
show that it is premature to pick a clear winner.
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 14:26:13 GMT""}]","2008-11-26"
"astro-ph/9507007","Jens Villumsen","Jens Verner Villumsen (Max Planck Institute fur Astrophysik, Garching,
  Germany)","Observational Evidence for Weak Gravitational Lensing by Large Scale
  Structure","5 pages, uuencoded compressed Postscript",,,"MPA 880","astro-ph",,"  A single very deep $10'$ field has been imaged to $r \sim 26$. There are 2682
galaxies with $23 \le r \le 26$ with a size significantly larger than the
seeing disk in the field. After correcting for telescope aberrations, possible
guiding errors, and signal degradation due to seeing, I find a polarization
signal of amplitude $|p|=2.7\%$, with an uncertainty of 1.2\% (95\% confidence
limit). For the 1773 galaxies with $23 \le r \le 25$, the measured amplitude is
2.4\% $\pm$ 1.2\% (95\% confidence limit). If this observed polarization is due
to gravitational lensing by large scale structure, cosmological inferences can
be made. The polarization amplitude would indicate that $\Omega_0 \times
\sigma_8 \approx 1$. The amplitude probability distribution is a Rayleigh
distribution with variance $\sigma_p^2$ so the probability $P(1/2 <
|p|/\sigma_p <2) = 75\%$, and $P(1/3 < |p|/\sigma_p < 3) = 93.5\%$. The
measurement of the polarization amplitude in a single field can be used to
constrain cosmological models since $\sigma_p \propto \Omega_0 \times
\sigma_8$.
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 15:36:04 GMT""}]","2007-05-23"
"chao-dyn/9506015","Leonid V. Krasichkov","A.A.Kipchatov and L.V.Krasichkov (College of Applied Science, Saratov
  State University, 83 Astrakhanskaya, Saratov 410071, Russia)","The creation of high-dimensional oscillations from low-dimensional
  systems","4 pages uudecoded compressed PostScript file (158K), this paper will
  appear in the Proceedings of the International Conference on Dynamical
  Systems and Chaos (ICDC'94) Tokyo, May 23-27, 1994 (World Scientific)",,,,"chao-dyn comp-gas nlin.CD nlin.CG",,"  The complication of chaotic oscillation under its transformation by linear
inertial process is discussed. It is shown that such complication is begun from
large scales of attractor and is pure dynamical process.
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 12:11:16 GMT""}]","2008-02-03"
"cmp-lg/9507001","Nelma Moreira","Luis Damas, Nelma Moreira","Constraint Categorial Grammars","12 pages, 5 Postscript figures, uses llncs.sty and epsfig.sty. To
  appear in Proceedings of EPIA'95, 7th Portuguese Conference on Artificial
  Intelligence, Funchal- Madeira Island, Portugal 3-6 October , 1995",,,,"cmp-lg cs.CL",,"  Although unification can be used to implement a weak form of
$\beta$-reduction, several linguistic phenomena are better handled by using
some form of $\lambda$-calculus. In this paper we present a higher order
feature description calculus based on a typed $\lambda$-calculus. We show how
the techniques used in \CLG for resolving complex feature constraints can be
efficiently extended. \CCLG is a simple formalism, based on categorial
grammars, designed to test the practical feasibility of such a calculus.
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 10:33:38 GMT""}]","2008-02-03"
"cond-mat/9507002","Marcelo Rozenberg","M. J. Rozenberg, G. Kotliar, H. Kajueter, G. A. Thomas, D. H. Rapkine,
  J. M. Honig, P. Metcalf","Optical Conductivity in Mott-Hubbard Systems","12 pages and 4 figures, to appear in Phys. Rev. Lett., v 75, p 105
  (1995)",,"10.1103/PhysRevLett.75.105",,"cond-mat",,"  We study the transfer of spectral weight in the optical spectra of a strongly
correlated electron system as a function of temperature and interaction
strength. Within a dynamical mean field theory of the Hubbard model that
becomes exact in the limit of large lattice coordination, we predict an
anomalous enhancement of spectral weight as a function of temperature in the
correlated metallic state and report on experimental measurements which agree
with this prediction in $V_2O_3$. We argue that the optical conductivity
anomalies in the metal are connected to the proximity to a crossover region in
the phase diagram of the model.
","[{""version"":""v1"",""created"":""Mon, 3 Jul 1995 16:50:37 GMT""}]","2009-10-28"
"cond-mat/9507003","Dietrich Belitz","D. Belitz and T.R. Kirkpatrick","Anderson-Mott transition as a quantum glass problem","25pp, REVTeX, 5 ps figs, final version as published","Phys. Rev. B vol. 52, pp. 13922-13935 (1995)","10.1103/PhysRevB.52.13922",,"cond-mat.stat-mech cond-mat.str-el",,"  We combine a recent mapping of the Anderson-Mott metal-insulator transition
on a random-field problem with scaling concepts for random-field magnets to
argue that disordered electrons near an Anderson-Mott transition show
glass-like behavior. We first discuss attempts to interpret experimental
results in terms of a conventional scaling picture, and argue that some of the
difficulties encountered point towards a glassy nature of the electrons. We
then develop a general scaling theory for a quantum glass, and discuss critical
properties of both thermodynamic and transport variables in terms of it. Our
most important conclusions are that for a correct interpretation of experiments
one must distinguish between self-averaging and non-self averaging observables,
and that dynamical or temperature scaling is not of power-law type but rather
activated, i.e. given by a generalized Vogel-Fulcher law. Recent mutually
contradicting experimental results on Si:P are discussed in the light of this,
and new experiments are proposed to test the predictions of our quantum glass
scaling theory.
","[{""version"":""v1"",""created"":""Mon, 3 Jul 1995 22:00:05 GMT""},{""version"":""v2"",""created"":""Wed, 15 Jan 1997 18:47:36 GMT""}]","2009-10-28"
