"adap-org/9507006","Alexey Chekhlov","Alexei Chekhlov and Victor Yakhot (Program in Applied and
  Computational Mathematics, Princeton University, Princeton, New Jersey 08544,
  USA)","Kolmogorov turbulence in a random-force-driven Burgers equation:
  anomalous scaling and probability density functions","12 pages, psfig macro, 4 figs in Postscript, accepted to Phys. Rev. E
  as a Brief Communication",,"10.1103/PhysRevE.52.5681",,"adap-org nlin.AO",,"  High-resolution numerical experiments, described in this work, show that
velocity fluctuations governed by the one-dimensional Burgers equation driven
by a white-in-time random noise with the spectrum $\overline{|f(k)|^2}\propto
k^{-1}$ exhibit a biscaling behavior: All moments of velocity differences
$S_{n\le 3}(r)=\overline{|u(x+r)-u(x)|^n}\equiv\overline{|\Delta u|^n}\propto
r^{n/3}$, while $S_{n>3}\propto r^{\zeta_n}$ with $\zeta_n\approx 1$ for real
$n>0$ (Chekhlov and Yakhot, Phys. Rev. E {\bf 51}, R2739, 1995). The
probability density function, which is dominated by coherent shocks in the
interval $\Delta u<0$, is ${\cal P}(\Delta u,r)\propto (\Delta u)^{-q}$ with
$q\approx 4$.
","[{""version"":""v1"",""created"":""Tue, 25 Jul 1995 19:21:57 GMT""}]","2009-10-28"
"alg-geom/9507014","Leonid Positselski","Leonid Positselski","All strictly exceptional collections in $D^b_{coh}(P^m)$ consist of
  vector bundles","LaTeX 2e, 6 pages, no figures; replaced to correct formatting
  (amslatex to latex2e transition) and several misprints, no other changes",,,,"alg-geom math.AG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  It is proved that any strictly exceptional collection generating the derived
category of coherent sheaves on a smooth projective variety X with \rk K_0(X) =
\dim X + 1 constists of locally free sheaves up to a common shift.
","[{""version"":""v1"",""created"":""Wed, 26 Jul 1995 01:38:39 GMT""},{""version"":""v2"",""created"":""Sat, 26 Oct 2013 18:12:41 GMT""}]","2013-10-29"
"astro-ph/9507103","Andrew P. Gould","Thomas Boutreux and Andrew Gould","Monte Carlo Simulations of Macho Parallaxes From a Satellite","23 pages, uuencoded postscript, includes 5 embedded figures",,"10.1086/177183","OSU-TA-15/95","astro-ph",,"  Three ongoing microlensing experiments have found more candidate events than
expected from the known stars. These experiments measure only one parameter of
the massive compact halo objects (machos), the magnification time scale of the
events. More information is required to understand the nature of the machos. A
satellite experiment has been proposed to measure their projected transverse
speed $\tilde{v} = v/(1-z)$, where $v$ is the macho transverse speed and $z$
its distance divided by the distance of the source. Measurement of $\tilde{v}$
would determine whether the machos were in the Galactic disk, Galactic halo, or
in the Large Magellanic Cloud (LMC). We simulate events observed toward the LMC
by the Earth and by a satellite in an Earth like heliocentric orbit. To leading
order, such an experiment determines $\tilde{v}$ up to a two fold degeneracy.
More precise measurements break the degeneracy. We show that with photometric
precisions of 3\% to 4\% and approximately 1 observation per day, $\tilde{v}$
can be measured with a maximum error of 20\% for 70\% to 90\% of events similar
to the ones reported by the EROS and MACHO collaborations. The projected
transverse velocity is known with the same maximum error for 60\% to 75\% of
these events. This 20\% maximum error is not a 1 $\sigma$ error but is mostly
due to degeneracy between two possible solutions, each one being localized to
much better than 20\%. These results are obtained with an Earth-satellite
separation of 1 AU, and are improved by a larger separation.
","[{""version"":""v1"",""created"":""Tue, 25 Jul 1995 16:14:43 GMT""}]","2009-10-28"
"astro-ph/9507104","Greg Wellman","Greg F. Wellman & Ruth A. Daly","Lateral Expansion of the Bridges of Cygnus A and other Powerful Radio
  Sources","7 pages, uuencoded compressed postscript. To appear in the Proceding
  of the Cygnus A workshop, May 1-4, Green Bank, WV",,,,"astro-ph",,"  Measurements of the width of the radio bridge at several locations along the
bridge for each of four powerful extended radio sources are presented. Adopting
a few simple assumptions, these measurements may be used to predict the radio
surface brightness as a function of position across the radio bridge. The
predicted and observed surface brightnesses across the bridges are compared and
found to agree fairly well. The results are consistent with a simple picture in
which the radio power and size of the radio lobe at the forward edge of the
radio bridge are roughly time-independent for a given source, and the expansion
of the bridge in the lateral direction is adiabatic. There is no indication
that reacceleration or energy transport is important in the bridges of these
sources. The rate of lateral expansion of the bridge just behind the radio lobe
and hotspot in terms of the rate of forward propagation is compared with that
predicted, and found to be in good agreement with the predicted value.
","[{""version"":""v1"",""created"":""Tue, 25 Jul 1995 19:12:00 GMT""}]","2007-05-23"
"astro-ph/9507105","Greg Wellman","Greg. F. Wellman & Ruth. A. Daly","The Use of Radio Observations to Probe Ambient Gas Densities","8 pages, uuencoded compressed postscript. To appear in the Procedings
  of the Cygnus A Workshop, May 1-4, Green Bank, WV",,,,"astro-ph",,"  The radio properties of powerful extended radio sources may be used to
estimate the ambient gas density in the vicinity of radio lobes. A sample of 27
radio lobes from 14 radio galaxies and of 14 radio lobes from 8 radio loud
quasars was constructed using sources from the published literature with
sufficient radio information to allow an estimate of the ambient gas density.
The ambient gas density as a function of separation of the lobe from the center
of the parent galaxy indicates a composite density profile, where Cygnus A
plays the key role of determining the normalization for the ambient gas
density. The composite density profile of the galaxies and quasars studied here
is similar to the density profile of gas in low-redshift clusters of galaxies,
which confirms the result obtained by Daly [1] using a somewhat smaller sample
of radio sources. The data presented here allow an estimate of the core gas
density, core radius, and slope of the density profile assuming that the gas
density can be fit by a King model. The data suggest that the core gas density
decreases as the redshift of the source increases, and is consistent with
either a roughly constant core radius, or a core radius that increases with
increasing source redshift. Thus, our results are completely consistent with
observations indicating negative evolution of the cluster X-ray luminosity
function. (truncated to <24 lines)
","[{""version"":""v1"",""created"":""Tue, 25 Jul 1995 20:06:33 GMT""}]","2007-05-23"
"astro-ph/9507106","Roberto Maoli","R. Maoli (Paris), V. Ferrucci (Rome), F. Melchiorri (Rome), M. Signore
  (Paris), and D. Tosti (Rome)","Molecular signals from primordial clouds at high redshift","26 pages, uuencoded compressed postscript, 7 figures included.
  Accepted for publication in Ap. J","Astrophys.J.457:1,1996","10.1086/176707","OBS PARIS 95/018","astro-ph",,"  The possibility to detect cosmological signals from the post-recombination
Universe is one of the main aims of modern cosmology. In a previous paper we
emphasized the role that elastic resonant scattering through LiH molecules can
have in dumping primary CBR anisotropies and raising secondary signals. Here we
extend our analysis to all the evolutionary stages of a primordial cloud,
starting with the linear phase, through the turn-around and to the non linear
collapse. We have done calculations for proto-clouds in a CDM scenario and,
more generally, for a set of clouds with various masses and various turn-around
redshifts, in this case without referring to any particular structure formation
scenario. We found that the first phase of collapse, for
$t/t_{free-fall}=0.05\div 0.2$ is the best one for simultaneous detection of
the first two LiH rotational lines. The observational frequency falls between
30 and 250 GHz and the line width ${\Delta \nu\over \nu}$ is between $10^{-5}$
and $10^{-4}$. As far as we know this is the most favourable process to detect
primordial clouds before they start star formation processes.
","[{""version"":""v1"",""created"":""Wed, 26 Jul 1995 10:00:46 GMT""}]","2008-11-26"
"astro-ph/9508002","Alfred Gautschy","Alfred Gautschy (Max-Planck Inst. f\""ur Astrophysik, Garching, Germany
  and Universit\""at Basel, Switzerland), Hans-G\""unter Ludwig (Max-Planck Inst.
  f\""ur Astrophysik, Garching, Germany), Bernd Freytag (Universit\""at Kiel,
  Germany)","Overtures to the pulsational instability of ZZ Ceti variables","13 pages, postscript figures included in text, uuencoded gzipped
  ps-file. Submitted for publication in Astron.&Astrophys",,,,"astro-ph",,"  Results of nonradial, nonadiabatic pulsation calculations on hydrogen-rich
white dwarf models are presented. In contrast to earlier attempts, the modeling
builds on hydrodynamically simulated convective surface layers supplemented
with standard interior models. Based on our stellar models and despite of
various simple attempts to couple convection and pulsation we could not
reproduce theoretically the presently adopted location of the observed blue
edge of the ZZ Ceti variables. When the convective efficiency is high enough we
found a sensitive dependence of the stability properties of the g-modes on the
pulsational treatment of shear within the convection zone.
","[{""version"":""v1"",""created"":""Wed, 26 Jul 1995 00:50:27 GMT""}]","2007-05-23"
"chem-ph/9507005","Igor N. Kozin","I.N. Kozin and I.M. Pavlichenkov","Bifurcation in Rotational Spectra of Nonlinear AB$_2$ Molecules","latex, 19 pages including 2 figures provided as *.uu file",,"10.1063/1.471223",,"chem-ph physics.chem-ph",,"  A classical microscopic theory of rovibrational motion at high angular
momenta in symmetrical non-linear molecules AB$_2$ is derived within the
framework of small oscillations near the stationary states of a rotating
molecule. The full-dimensional analysis including stretching vibrations has
confirmed the existence of the bifurcation predicted previously by means of the
rigid-bender model. The formation of fourfold energy clusters has already been
experimentally verified for H$_2$Se and it has been demonstrated in
fully-dimensional quantum mechanical calculations using the MORBID computer
program. We show in the present work that apart from the level clustering, the
bifurcation produces physically important effects including molecular
symmetry-breaking and a transition from the normal mode to the local mode limit
for the stretching vibrations due to rovibrational interaction. The application
of the present theory with realistic molecular potentials to the H$_2$Te,
H$_2$Se and H$_2$S hydrides results in predictions of the bifurcation points
very close to those calculated previously. However for the lighter H$_2$O
molecule we find that the bifurcation occurs at higher values of the total
angular momentum than obtained in previous estimations. The present work shows
it to be very unlikely that the bifurcation in H$_2$O will lead to clustering
of energy levels. This result is in agreement with recent variational
calculations.
","[{""version"":""v1"",""created"":""Wed, 26 Jul 1995 08:23:45 GMT""}]","2009-10-28"
"cond-mat/9507111",,"Anton Bovier (WIAS-Berlin), V\'eronique Gayrard (CPT-Marseille)","The Retrieval Phase of the Hopfield Model: A Rigorous Analysis of the
  Overlap Distribution","43 pages, uuencoded, Z-compressed Postscript",,,,"cond-mat",,"  Standard large deviation estimates or the use of the Hubbard-Stratonovich
transformation reduce the analysis of the distribution of the overlap
parameters essentially to that of an explicitly known random function
$\Phi_{N,\b}$ on $\R^M$. In this article we present a rather careful study of
the structure of the minima of this random function related to the retrieval of
the stored patterns. We denote by $m^*(\b)$ the modulus of the spontaneous
magnetization in the Curie-Weiss model and by $\a$ the ratio between the number
of the stored patterns and the system size. We show that there exist strictly
positive numbers $0<\g_a<\g_c$ such that 1) If $\sqrt\a\leq \g_a (m^*(\b))^2$,
then the absolute minima of $\Phi$ are located within small balls around the
points $\pm m^*e^\mu$, where $e^\mu$ denotes the $\mu$-th unit vector while 2)
if $\sqrt\a\leq \g_c (m^*(\b))^2$ at least a local minimum surrounded by
extensive energy barriers exists near these points. The random location of
these minima is given within precise bounds. These are used to prove sharp
estimates on the support of the Gibbs measures.
  KEYWORDS: Hopfield model, neural networks, storage capacity, Gibbs measures,
self-averaging, random matrices
","[{""version"":""v1"",""created"":""Tue, 25 Jul 1995 16:28:32 GMT""}]","2007-05-23"
"cond-mat/9507112","Daniel Mason","M. Kardar, A. Zee","Matrix generalizations of some dynamic field theories","9 pages, Hard copy figures available from: mason@itp.ucsb.edu","Nucl.Phys. B464 (1996) 449-462","10.1016/0550-3213(95)00660-5","NSF-ITP-95-68","cond-mat hep-th",,"  We introduce matrix generalizations of the Navier--Stokes (NS) equation for
fluid flow, and the Kardar--Parisi--Zhang (KPZ) equation for interface growth.
The underlying field, velocity for the NS equation, or the height in the case
of KPZ, is promoted to a matrix that transforms as the adjoint representation
of $SU(N)$. Perturbative expansions simplify in the $N\to\infty$ limit,
dominated by planar graphs. We provide the results of a one--loop analysis, but
have not succeeded in finding the full solution of the theory in this limit.
","[{""version"":""v1"",""created"":""Tue, 25 Jul 1995 23:28:20 GMT""}]","2009-10-28"
"cond-mat/9507113","Carlos Wexler","K. Tsemekhman, V. Tsemekhman, C. Wexler, D. J. Thouless (University of
  Washington)","Quantum Hall Effect: Current Distribution and the Role of Measurement","4 pages, Postscript file compressed and uuencoded (~90k). Save to a
  file, `uudecode' and `uncompress' or `gunzip' it",,,,"cond-mat",,"  Based on very general arguments we show that for any geometry of the
experiment, in the regime when the measurement leads to a quantized Hall
conductivity, almost the entire current injected into the sample is carried by
the bulk states. The crucial role of the contacts equilibrating different edge
channels is emphasized.
","[{""version"":""v1"",""created"":""Tue, 25 Jul 1995 23:44:28 GMT""}]","2007-05-23"
