"acc-phys/9507001",,"A.R.Tumanyan, Kh.A.Simonyan, R.L.Mkrtchyan, A.Ts.Amatuni, R.O.Avakyan,
  A.G.Khudaverdyan","Coaxial Ring Cyclotron as a Perspective Nuclear Power Engineering
  Machine","Latex,5 pages, 1 fig",,,"YERPHI-1995(6)-95","acc-phys physics.acc-ph",,"  The circuit arrangement of the proposed coaxial ring cyclotron (CRC) is
described, and its main advantages, such as simple injection technique, several
injected beams summation option, high efficiency, are considered. The proposed
proton accelerator is a perspective machine for the solution of the main
problems of the present day nuclear power engineering as well as for the
next-generation nuclear power plants, representing a combination of subcritical
reactors and particle accelerators. The possibility of installation of CRCs
into ring accelerators with an average diameter from 60 to $100m$, e.g., the
Yerevan electron synchrotron, is considered.
","[{""version"":""v1"",""created"":""Thu, 27 Jul 1995 06:49:49 GMT""},{""version"":""v2"",""created"":""Wed, 9 Aug 1995 07:19:55 GMT""}]","2009-09-25"
"alg-geom/9507015","Brendan Hassett","Brendan Hassett","Correlation for Surfaces of General Type","AMSLaTeX. This version contains some minor corrections, and additions
  to the references",,,,"alg-geom math.AG",,"  The main geometric result of this paper is that given any family of surfaces
of general type f:X-->B, for sufficiently large n the fiber product X^n_B
dominates a variety of general type. This result is especially interesting when
it is combined with Lang's Conjecture. This states that for a variety V of
general type over a number field K, the K rational points V(K) are not Zariski
dense in V. Assuming Lang's Conjecture, we prove the existence of a uniform
bound on the degree of the Zariski closure of the K-rational points of a
surface of general type.
","[{""version"":""v1"",""created"":""Wed, 26 Jul 1995 23:27:19 GMT""},{""version"":""v2"",""created"":""Sun, 30 Jul 1995 16:50:12 GMT""}]","2008-02-03"
"astro-ph/9507107","Michael West","Michael J. West, Christine Jones and William Forman","Substructure: Clues to the Formation of Clusters of Galaxies","7 pages, uuencoded compressed postscript. To appear in ApJ Letters
  (September 20, 1995 issue)","Astrophys.J. 451 (1995) L5","10.1086/309673",,"astro-ph",,"  We have examined the spatial distribution of substructure in clusters of
galaxies using Einstein X-ray observations. Subclusters are found to have a
markedly anisotropic distribution that reflects the surrounding matter
distribution on supercluster scales. Our results suggest a picture in which
cluster formation proceeds by mergers of subclusters along large-scale
filaments. The implications of such an anisotropic formation process for the
shapes, orientations and kinematics of clusters are discussed briefly.
","[{""version"":""v1"",""created"":""Wed, 26 Jul 1995 18:44:09 GMT""}]","2009-10-28"
"astro-ph/9507108",,"David I. Kaiser","Post-Inflation Reheating in an Expanding Universe","18pp. Plain LaTeX; no figures. Final revised version. To appear in
  Physical Review D, 15 February 1996","Phys.Rev. D53 (1996) 1776-1783","10.1103/PhysRevD.53.1776","HUTP-95/A027 , DART-HEP-95/04","astro-ph gr-qc hep-ph",,"  An analytic means of studying the resonant decay of the inflaton field is
developed for the case of background expansion, $H \neq 0$. It is shown that
the parametric resonance in the inflaton's decay need not disappear when the
expansion of the universe is taken into account, although the total number of
particles produced is fewer than in the $H \simeq 0$ case.
","[{""version"":""v1"",""created"":""Wed, 26 Jul 1995 21:00:48 GMT""},{""version"":""v2"",""created"":""Wed, 2 Aug 1995 23:17:30 GMT""},{""version"":""v3"",""created"":""Tue, 28 Nov 1995 03:50:32 GMT""}]","2009-10-28"
"astro-ph/9507109","Harvey Richer","Harvey B. Richer, Gregory G. Fahlman, Rodrigo A. Ibata, Peter B.
  Stetson, Roger A. Bell, Michael Bolte, Howard E. Bond, William E. Harris,
  James E. Hesser, Georgi Mandushev, Carlton Pryor and Don A. VandenBerg","Hubble Space Telescope Observations of White Dwarfs in the Globular
  Cluster M4","To appear in the Astrophysical Journal Letters, 451, September 20,
  1995. The text is also available as a postscript file from
  http://www.astro.ubc.ca/people/richer/m4wd/m4wd.ps with postscript files of
  the figures available in http://www.astro.ubc.ca/people/richer/m4wd/fig1.ps
  http://www.astro.ubc.ca/people/richer/m4wd/fig2.ps
  http://www.astro.ubc.ca/people/richer/m4wd/fig3.ps",,"10.1086/309674",,"astro-ph",,"  With the Wide Field Planetary Camera 2 (WFPC2) on the Hubble Space Telescope,
we have discovered in M4 (NGC 6121, C 1620-264) the first extensive sequence of
cooling white dwarfs seen in a globular cluster. Adopting a distance modulus of
(m-M)_V = 12.65 and a reddening of E(B-V) = 0.37, we show that the sequence,
which extends over 9 < M_U < 13, is comprised of white dwarfs of mass \sim 0.5
M_{\odot}. The total mass loss from the present turnoff to the white dwarf
sequence is 0.31 M_{\odot} and the intrinsic dispersion in the mean mass
appears to be < 0.05 M_{\odot}. Both the location of the white dwarf cooling
sequence in the cluster color-magnitude diagram and the cumulative luminosity
function attest to the basic correctness and completeness of the physics in
theoretical models for the upper three magnitudes of the observed white dwarf
cooling sequence. To test the theory in globular clusters at cooling ages
beyond \sim 3 \times 10^8 years will require deeper and more complete data.
","[{""version"":""v1"",""created"":""Wed, 26 Jul 1995 23:37:05 GMT""}]","2009-10-28"
"astro-ph/9507110","Brian Rush","Brian Rush and Matthew A. Malkan (UCLA)","The Soft-X-Ray Spectral Shape of X-Ray-Weak Seyferts","AASTeX, 13 pages. Text only. PostScript tables and figures available
  at ftp://eggneb.astro.ucla.edu/pub/rush/papers/, named rm-tables.ps (all 3),
  rm-figure6.ps (#6 only), and rm-figures.ps (#1-5,7-10). Scheduled for the
  1996 January 10 issue of ApJ","Astrophys.J. 456 (1996) 466","10.1086/176672",,"astro-ph",,"  (I) We observed eight Seyfert~2s and two X--ray--weak Seyfert~1/QSOs with the
ROSAT PSPC, and one Seyfert~2 with the ROSAT HRI. These targets were selected
from the Extended 12\um\ Galaxy Sample. (II) Both Seyfert~1/QSOs vary by
factors of 1.5---2. The photon indices steepen in the more luminous state,
consistent with the variability being mainly due to the softest X--rays, which
are confined to a size of less than a parsec. (III) Both the Seyfert~2s and
Seyfert~1/QSOs are best fit with a photon index of $\Gamma\sim3$, which is
steeper than the canonical value of $\Gamma\sim1.7$ measured for X--ray--strong
Seyferts by ROSAT and at higher energies. Several physical explanations are
suggested for the steeper slopes of X--ray--weak objects. (IV) We observed one
Seyfert~2, NGC~5005, with the ROSAT HRI, finding about 13\% of the soft X--rays
to come from an extended component. This and other observations suggest that
different components to the soft X--ray spectrum of some, if not all,
X--ray--weak Seyferts may come from spatially distinct regions.
","[{""version"":""v1"",""created"":""Thu, 27 Jul 1995 03:32:17 GMT""}]","2009-10-28"
"chao-dyn/9507005","prof. Victor Lvov","Victor L'vov (Departments of Physics of Complex Systems, The Weizmann
  Institute of Science, Rehovot, Israel) and Itamar Procaccia (Department of
  Chemical Physics)","Exact Resummations in the Theory of Hydrodynamic Turbulence: I The Ball
  of Locality and Normal Scaling","PRE in press, 18 pages + 6 figures, REVTeX. The Eps files of figures
  will be FTPed by request to fnlvov@wis.weizmann.ac.il","Phys. Rev. E. v.52 3840 (1995)","10.1103/PhysRevE.52.3840",,"chao-dyn nlin.CD",,"  This paper is the first in a series of three papers that aim at understanding
the scaling behaviour of hydrodynamic turbulence. We present in this paper a
perturbative theory for the structure functions and the response functions of
the hydrodynamic velocity field in real space and time. Starting from the
Navier-Stokes equations (at high Reynolds number Re) we show that the standard
perturbative expansions that suffer from infra-red divergences can be exactly
resummed using the Belinicher-L'vov transformation. After this exact (partial)
resummation it is proven that the resulting perturbation theory is free of
divergences, both in large and in small spatial separations. The hydrodynamic
response and the correlations have contributions that arise from mediated
interactions which take place at some space- time coordinates. It is shown that
the main contribution arises when these coordinates lie within a shell of a
""ball of locality"" that is defined and discussed. We argue that the real
space-time formalism developed here offers a clear and intuitive understanding
of every diagram in the theory, and of every element in the diagrams. One major
consequence of this theory is that none of the familiar perturbative mechanisms
may ruin the classical Kolmogorov (K41) scaling solution for the structure
functions. Accordingly, corrections to the K41 solutions should be sought in
nonperturbative effects. These effects are the subjects of papers II and III in
this series, that will propose a mechanism for anomalous scaling in turbulence,
which in particular allows multiscaling of the structure functions.
","[{""version"":""v1"",""created"":""Wed, 26 Jul 1995 17:21:37 GMT""}]","2009-10-28"
"chao-dyn/9507006","prof. Victor Lvov","Victor L'vov (Departments of Physics of Complex Systems, The Weizmann
  Institute of Science, Rehovot, Israel) and Itamar Procaccia (Department of
  Chemical Physics)","Exact Resummations in the Theory of Hydrodynamic Turbulence: II A Ladder
  to Anomalous Scaling","PRE in press, 15 pages + 21 figures, REVTeX, The Eps files of figures
  will be FTPed by request to fnlvov@wis.weizmann.ac.il","Phys. Rev. E. v.52 3858 (1995)","10.1103/PhysRevE.52.3858",,"chao-dyn nlin.CD",,"  In paper I of this series on fluid turbulence we showed that exact
resummations of the perturbative theory of the structure functions of velocity
differences result in a finite (order by order) theory. These findings exclude
any known perturbative mechanism for anomalous scaling of the velocity
structure functions. In this paper we continue to build the theory of
turbulence and commence the analysis of nonperturbative effects that form the
analytic basis of anomalous scaling. Starting from the Navier-Stokes equations
(at high Reynolds number Re) we discuss the simplest examples of the appearance
of anomalous exponents in fluid mechanics. These examples are the nonlinear
(four-point) Green's function and related quantities. We show that the
renormalized perturbation theory for these functions contains ``ladder``
diagrams with (convergent!) logarithmic terms that sum up to anomalous
exponents. Using a new sum rule which is derived here we calculate the leading
anomalous exponent and show that it is critical in a sense made precise below.
This result opens up the possibility of multiscaling of the structure functions
with the outer scale of turbulence as the renormalization length. This
possibility will be discussed in detail in the concluding paper III of this
series.
","[{""version"":""v1"",""created"":""Wed, 26 Jul 1995 17:23:01 GMT""},{""version"":""v2"",""created"":""Sun, 30 Jul 1995 17:17:34 GMT""}]","2009-10-28"
"chao-dyn/9507007","prof. Victor Lvov","Victor L'vov (Departments of Physics of Complex Systems, The Weizmann
  Institute of Science, Rehovot, Israel) and Itamar Procaccia (Department of
  Chemical Physics)","Exact Resummations in the Theory of Hydrodynamic Turbulence: III.
  Scenarios for Anomalous Scaling and Intermittency","PRE submitted, 22 pages + 11 figures, REVTeX. The Eps files of
  figures will be FTPed by request to fnlvov@wis.weizmann.ac.il","Phys. Rev. E v.53 3518 (1996)","10.1103/PhysRevE.53.3468",,"chao-dyn nlin.CD",,"  Elements of the analytic structure of anomalous scaling and intermittency in
fully developed hydrodynamic turbulence are described. We focus here on the
structure functions of velocity differences that satisfy inertial range scaling
laws $S_n(R)\sim R^{\zeta_n}$, and the correlation of energy dissipation
$K_{\epsilon\epsilon}(R) \sim R^{-\mu}$. The goal is to understand the
exponents $\zeta_n$ and $\mu$ from first principles. In paper II of this series
it was shown that the existence of an ultraviolet scale (the dissipation scale
$\eta$) is associated with a spectrum of anomalous exponents that characterize
the ultraviolet divergences of correlations of gradient fields. The leading
scaling exponent in this family was denoted $\Delta$. The exact resummation of
ladder diagrams resulted in the calculation of $\Delta$ which satisfies the
scaling relation $\Delta=2-\zeta_2$. In this paper we continue our analysis and
show that nonperturbative effects may introduce multiscaling (i.e. $\zeta_n$
not being linear in $n$) with the renormalization scale being the infrared
outer scale of turbulence $L$. It is shown that deviations from K41 scaling of
$S_n(R)$ ($\zeta_n\neq n/3$) must appear if the correlation of dissipation is
mixing (i.e. $\mu>0$). We derive an exact scaling relation $\mu =
2\zeta_2-\zeta_4$. We present analytic expressions for $\zeta_n$ for all $n$
and discuss their relation to experimental data. One surprising prediction is
that the time decay constant $\tau_n(R)\propto R^{z_n}$ of $S_n(R)$ scales
independently of $n$: the dynamic scaling exponent $z_n$ is the same for all
$n$-order quantities, $z_n=\zeta_2$.
","[{""version"":""v1"",""created"":""Wed, 26 Jul 1995 17:24:22 GMT""},{""version"":""v2"",""created"":""Wed, 2 Aug 1995 08:52:53 GMT""}]","2009-10-28"
"chao-dyn/9507008","prof. Victor Lvov","Victor L'vov (Departments of Physics of Complex Systems, Weizmann
  Institute of Science, Rehovot, Israel) and Itamar Procaccia (Department of
  Chemical Physics)","Fusion Rules in Turbulent Systems with Flux Equilibrium","Submitted to PRL on July 95, 4 pages, REVTeX","Phys. Rev. Lett. v.76 2896 (1996)","10.1103/PhysRevLett.76.2898",,"chao-dyn nlin.CD",,"  Fusion rules in turbulence specify the analytic structure of many-point
correlation functions of the turbulent field when a group of coordinates
coalesce. We show that the existence of flux equilibrium in fully developed
turbulent systems combined with a direct cascade induces universal fusion
rules. In certain examples these fusion rules suffice to compute the
multiscaling exponents exactly, and in other examples they give rise to an
infinite number of scaling relations that constrain enormously the structure of
the allowed theory.
","[{""version"":""v1"",""created"":""Thu, 27 Jul 1995 07:46:35 GMT""}]","2009-10-28"
"cond-mat/9507116","John D. Crawford","D.W. Snoke and J.D. Crawford (Department of Physics and Astronomy,
  University of Pittsburgh, Pittsburgh, PA)","Hysteresis in the Mott Transition between Plasma and Insulating Gas","9 pages (Latex/RevTex), 6 postscript figures which are in compressed
  and uuencoded file, prepared using the utility ""uufiles"" and separately
  submitted. They should be automatically included with the text when it is
  downloaded. Figures also available in hard copy from the authors
  (snoke@vms.cis.pitt.edu; jdc@minerva.phyast.pitt.edu); paper submitted to
  Phys. Rev. E","Phys. Rev. E 52, 5796 (1995)","10.1103/PhysRevE.52.5796",,"cond-mat nlin.PS patt-sol",,"  We show that hysteresis can occur in the transition between a neutral plasma
and the insulating gas consisting of neutral pairs bound by Coulomb attraction.
Since the transition depends sensitively on the screening length in the plasma,
regions of bistability occur in density--temperature phase space. We present
numerical results which indicate where these regions occur for systems such as
spin-polarized hydrogen, positronium gas, and excitons in a semiconductor.
","[{""version"":""v1"",""created"":""Wed, 26 Jul 1995 16:03:09 GMT""}]","2009-10-28"
