"alg-geom/9507017","Ron Donagi","Ron Donagi and Eyal Markman","Spectral curves, algebraically completely integrable Hamiltonian
  systems, and moduli of bundles","Latex, We restore the page numbers which were inadvertently omitted.
  The content stayed the same",,,,"alg-geom math.AG",,"  This is the expanded text of a series of CIME lectures. We present an
algebro-geometric approach to integrable systems, starting with those which can
be described in terms of spectral curves. The prototype is Hitchin's system on
the cotangent bundle of the moduli space of stable bundles on a curve. A
variant involving meromorphic Higgs bundles specializes to many familiar
systems of mathematics and mechanics, such as the geodesic flow on an ellipsoid
and the elliptic solitons. We then describe some systems in which the spectral
curve is replaced by various higher dimensional analogues: a spectral cover of
an arbitrary variety, a Lagrangian subvariety in an algebraically symplectic
manifold, or a Calabi-Yau manifold. One peculiar feature of the CY system is
that it is integrable analytically, but not algebraically: the Liouville tori
(on which the system is linearized) are the intermediate Jacobians of a family
of Calabi-Yau manifolds. Most of the results concerning these three types of
non-curve-based systems are quite recent. Some of them, as well as the
compatibility between spectral systems and the KP hierarchy, are new, while
other parts of the story are scattered through several recent preprints. As
best we could, we tried to maintain the survey style of this article, starting
with some basic notions in the field and building gradually to the recent
developments.
","[{""version"":""v1"",""created"":""Mon, 31 Jul 1995 23:00:47 GMT""},{""version"":""v2"",""created"":""Tue, 8 Aug 1995 15:35:29 GMT""}]","2008-02-03"
"astro-ph/9508001","Preprint account","Kim A. Venn, David L. Lambert, Michael Lemke","The Abundance of Boron in Evolved A- and B-Type Stars","uuencoded compressed postscript. The preprint is also available at
  http://www.ast.cam.ac.uk/preprint/PrePrint.html",,,"CAP-9508001","astro-ph",,"  Boron abundances in A- and B-type stars may be a successful way to track
evolutionary effects in these hot stars. The light elements -- Li, Be, and B --
are tracers of exposure to temperatures more moderate than those in which the
H-burning CN-cycle operates. Thus, any exposure of surface stellar layers to
deeper layers will affect these light element abundances. Li and Be are used in
this role in investigations of evolutionary processes in cool stars, but are
not observable in hotter stars. An investigation of boron, however, is possible
through the B II 1362=C5 resonance line.
  We have gathered high resolution spectra from the IUE database of A- and
B-type stars near 10~M$_\odot$ for which nitrogen abundances have been
determined (by Gies & Lambert, 1992, and Venn 1995). The B II 1362=C5 line is
blended throughout the temperature range of this program, requiring spectrum
syntheses to recover the boron abundances. For no star could we synthesize the
1362=C5 region using the meteoritic/solar boron abundance of log(B) =3D 2.88
(Anders & Grevesse 1989); a lower boron abundance was necessary which may
reflect evolutionary effects (e.g., mass loss or mixing near the
main-sequence), the natal composition of the star forming regions, or a
systematic error in the analyses (e.g., non-LTE effects). Regardless of the
initial boron abundance, and despite the possibility of non-LTE effects, it
seems clear that boron is severely depleted in some stars. It may be that the
nitrogen and boron abundances are anticorrelated, as would be expected from
mixing between the H-burning and outer stellar layers. If, as we suspect, a
residue of boron is present in the A-type supergiants, we may exclude a
scenario in which mixing occurs continuously between the surface and the deep
","[{""version"":""v1"",""created"":""Tue, 1 Aug 1995 10:59:19 GMT""}]","2007-05-23"
"astro-ph/9508003","Andrew Liddle","Juan Garcia-Bellido, Andrew R Liddle, David H Lyth and David Wands","The Open Universe Grishchuk-Zel'dovich Effect","10 pages LaTeX file (using RevTeX), plus 4 postscript figures to be
  printed separately. Final version, to appear in Physical Review D: main
  change is a new appendix on the dipole anisotropy","Phys.Rev.D52:6750-6759,1995","10.1103/PhysRevD.52.6750","SUSSEX-AST 95/8-1","astro-ph gr-qc",,"  The Grishchuk--Zel'dovich effect is the contribution to the microwave
background anisotropy from an extremely large scale adiabatic density
perturbation, on the standard hypothesis that this perturbation is a typical
realization of a homogeneous Gaussian random field. We analyze this effect in
open universes, corresponding to density parameter $\Omega_0<1$ with no
cosmological constant, and concentrate on the recently discussed
super-curvature modes. The effect is present in all of the low multipoles of
the anisotropy, in contrast with the $\Omega_0=1$ case where only the
quadrupole receives a contribution. However, for no value of $\Omega_0$ can a
very large scale perturbation generate a spectrum capable of matching
observations across a wide range of multipoles. We evaluate the magnitude of
the effect coming from a given wavenumber as a function of the magnitude of the
density perturbation, conveniently specified by the mean-square curvature
perturbation. From the absence of the effect at the observed level, we find
that for $0.25\leq\Omega_0\leq 0.8$, a curvature perturbation of order unity is
permitted only for inverse wavenumbers more than one thousand times the size of
the observable universe. As $\Omega_0$ tends to one, the constraint weakens to
the flat space result that the inverse wavenumber be more than a hundred times
the size of the observable universe, whereas for $\Omega_0 < 0.25$ it becomes
stronger. We explain the physical meaning of these results, by relating them to
the correlation length of the perturbation. Finally, in an Appendix we consider
the dipole anisotropy and show that it always leads to weaker constraints.
","[{""version"":""v1"",""created"":""Tue, 1 Aug 1995 14:25:07 GMT""},{""version"":""v2"",""created"":""Fri, 15 Sep 1995 15:41:05 GMT""}]","2008-11-26"
"astro-ph/9508004",,"S. R. Cranmer and S. P. Owocki (Bartol Research Institute)","Hydrodynamical Simulations of Corotating Interaction Regions and
  Discrete Absorption Components in Rotating O-Star Winds","Submitted to Ap. J., 8-1-95. 20 pages of LaTeX text, using AASTeX 4.0
  macros. Postscript figures available on WWW, along with postscript version of
  paper, at http://www.bartol.udel.edu/~cranmer/hot_pre.html",,"10.1086/177166",,"astro-ph",,"  We present two-dimensional hydrodynamical simulations of corotating stream
structure in the wind from a rotating O star, together with resulting synthetic
line profiles showing discrete absorption components (DACs). An azimuthal
variation is induced by a local increase or decrease in the radiative driving
force, as would arise from a bright or dark ``star spot'' in the equatorial
plane. Since much of the emergent wind structure seems independent of the exact
method of perturbation, we expect similar morphology in winds perturbed by
localized magnetic fields or nonradial pulsations, as well as by either
rotationally-modulated structure or transient mass ejections. We find that
bright spots with enhanced driving generate high-density, low-speed streams,
while dark spots generate low-density, high-speed streams. Corotating
interaction regions (CIRs) form where fast material collides with slow material
-- e.g. at the leading (trailing) edge of a stream from a dark (bright) spot,
often steepening into shocks. The unperturbed supersonic wind obliquely impacts
the high-density CIR and sends back a nonlinear signal which takes the form of
a sharp propagating discontinuity (``kink'' or ``plateau'') in the radial
velocity gradient. These features travel inward in the co-moving frame at the
radiative-acoustic characteristic speed, and thus slowly outward in the star's
frame. We find that these slow kinks, rather than the CIRs themselves, are more
likely to result in high-opacity DACs in the absorption troughs of unsaturated
P Cygni line profiles.
","[{""version"":""v1"",""created"":""Tue, 1 Aug 1995 15:09:53 GMT""}]","2009-10-28"
"astro-ph/9508005","David A. Buote","David A. Buote and Claude R. Canizares","X-ray Constraints on the Intrinsic Shape of the Lenticular Galaxy NGC
  1332","45 pages (figures missing), PostScript, to appear in ApJ on January
  20, 1996","Astrophys.J. 457 (1996) 177","10.1086/176721","CSR-95-11 (abstract modified for xxx)","astro-ph",,"  We have analyzed ROSAT PSPC X-ray data of the optically elongated S0 galaxy
NGC 1332 with the purposes of constraining the intrinsic shape of its
underlying mass and presenting a detailed investigation of the uncertainties
resulting from the assumptions underlying this type of analysis. The X-ray
isophotes are elongated with ellipticity $0.10 - 0.27$ (90% confidence) for
semi-major axes $75\arcsec -90\arcsec$ and have orientations consistent with
the optical isophotes (ellipticity $\sim 0.43$). The spectrum is poorly
constrained by the PSPC data and cannot rule out sizeable radial temperature
gradients or an emission component due to discrete sources equal in magnitude
to the hot gas. Using (and clarifying) the ""geometric test"" for dark matter, we
determined that the hypothesis that mass-traces-light is not consistent with
the X-ray data at 68% confidence and marginally consistent at 90% confidence
independent of the gas temperature profile. Detailed modeling gives constraints
on the ellipticity of the underlying mass of \epsilon_{mass} = 0.47 - 0.72
(0.31 - 0.83) at 68% (90%) confidence for isothermal and polytropic models. The
total mass of the isothermal models within a=43.6$ kpc (D = 20h^{-1}_{80} Mpc)
is M_{tot} = (0.38 - 1.7) \times 10^{12}M_{\sun} (90% confidence) corresponding
to total blue mass-to-light ratio \Upsilon_B = (31.9 - 143) \Upsilon_{\sun}.
Similar results are obtained when the dark matter is fit directly using the
known distributions of the stars and gas. When possible rotation of the gas and
emission from discrete sources are included flattened mass distributions are
still required, although the constraints on $\epsilon_{mass}$, but not the
total mass, are substantially weakened.
","[{""version"":""v1"",""created"":""Tue, 1 Aug 1995 15:20:57 GMT""}]","2009-10-28"
"cond-mat/9507135","Nigel Cooper","I. M. Ruzin, N. R. Cooper, and B. I. Halperin","Non-Universal Behavior of Finite Quantum Hall Systems as a Result of
  Weak Macroscopic Inhomogeneities","REVTEX 3.0 file (38 pages) + 5 postscript figures in uuencoded
  format. Revised version includes an additional figure showing unpublished
  experimental data","Phys. Rev. B 53, 1558 (1996)","10.1103/PhysRevB.53.1558",,"cond-mat",,"  We show that, at low temperatures, macroscopic inhomogeneities of the
electron density in the interior of a finite sample cause a reduction in the
measured conductivity peak heights $\sigma_{xx}^{\rm max}$ compared to the
universal values previously predicted for infinite homogeneous samples. This
effect is expected to occur for the conductivity peaks measured in standard
experimental geometries such as the Hall bar and the Corbino disc. At the
lowest temperatures, the decrease in $\sigma_{xx}^{\rm max}(T)$ is found to
saturate at values proportional to the difference between the adjacent plateaus
in $\sigma_{xy}$, with a prefactor which depends on the particular realization
of disorder in the sample. We argue that this provides a possible explanation
of the ``non-universal scaling'' of $\sigma_{xx}^{\rm max}$ observed in a
number of experiments. We also predict an enhancement of the ``non-local''
resistance due to the macroscopic inhomogeneities. We argue that, in the Hall
bar with a sharp edge, the enhanced ``non-local'' resistance and the size
corrections to the ``local'' resistance $R_{xx}$ are directly related. Using
this relation, we suggest a method by which the finite-size corrections may be
eliminated from $R_{xx}$ and $R_{xy}$ in this case.
","[{""version"":""v1"",""created"":""Mon, 31 Jul 1995 22:01:54 GMT""},{""version"":""v2"",""created"":""Fri, 15 Sep 1995 00:48:03 GMT""}]","2009-10-28"
"cond-mat/9507139","R. A. Guimaraes-Dias","R. G. Dias and J. M. Wheatley","Superconducting Upper Critical Field Near a 2D Van Hove Singularity","4 pages, Latex 2.09 (revtex), 3 postscript figures appended
  (tar-compressed and uuencoded using `uufiles')",,"10.1016/0038-1098(96)00183-4","RDJW-95-07","cond-mat",,"  The superconducting upper critical field $H_{c2}(T)$ of a two dimensional BCS
superconductor is calculated in the vicinity of a van-Hove singularity. The
zero temperature upper critical field is strongly enhanced at weak coupling
when the Fermi contour coincides with van-Hove points, scaling as $H_{c2}(0)
\propto T_c^{\sqrt{2}}$ compared to the usual result $H_{c2}(0) \propto
T_c^{2}$. The result can be interpreted in terms of the non-Fermi liquid decay
of normal state pair correlations in the vicinity of a van-Hove point.
","[{""version"":""v1"",""created"":""Mon, 31 Jul 1995 19:07:37 GMT""}]","2009-10-28"
"cond-mat/9507140","Nguyen Hong Quang","Nguyen Hong Quang (N.H.Quang)","Density-Dependent Squeezing of Excitons in Highly Excited Semiconductors","6 pages, Two figures (ps) available from author upon request",,,"IC/95/204 , ICTP, Trieste, Italy","cond-mat",,"  The time evolution from coherent states to squeezed states of high density
excitons is studied theoretically based on the boson formalism and within the
Random Phase Approximation. Both the mutual interaction between excitons and
the anharmonic exciton-photon interaction due to phase-space filling of
excitons are included in consideration. It is shown that the exciton squeezing
depends strongly on the exciton density in semiconductors and becomes smaller
with increasing the latter.
","[{""version"":""v1"",""created"":""Mon, 31 Jul 1995 16:49:16 GMT""}]","2007-05-23"
"cond-mat/9507141",,"Haye Hinrichsen, Klaus Krebs and Ingo Peschel","Solution of a One-Dimensional Reaction-Diffusion Model with Spatial
  Asymmetry","18 pages, latex, 1 PostScript figure, uuencoded","Z. Phys. B 100 (1996) 105","10.1007/s002570050100",,"cond-mat",,"  We study classical particles on the sites of an open chain which diffuse,
coagulate and decoagulate preferentially in one direction. The master equation
is expressed in terms of a spin one-half Hamiltonian $H$ and the model is shown
to be completely solvable if all processes have the same asymmetry. The
relaxational spectrum is obtained directly from $H$ and via the equations of
motion for strings of empty sites. The structure and the solvability of these
equations are investigated in the general case. Two phases are shown to exist
for small and large asymmetry, respectively, which differ in their stationary
properties.
","[{""version"":""v1"",""created"":""Mon, 31 Jul 1995 17:43:39 GMT""}]","2015-06-25"
"cond-mat/9507142","Vladimir Kostur","Vladimir N. Kostur (University of Maryland)","Phonon `notches' in a-b -plane optical conductivity of high-Tc
  superconductors","5 pages, REVTeX, 4 uuencoded figures",,"10.1103/PhysRevB.53.2273",,"cond-mat",,"  It is shown that a correlation between the positions of the $c$-axis
longitudinal optic ($LO_c$) phonons and ``notch''-like structures in the
$a$-$b$ plane conductivity of high-$T_c$ superconductors results from
phonon-mediated interaction between electrons in different layers. It is found
that the relative size of the notches depends on
$\lambda_{ph}(\Omega_{ph}/\gamma_{ph})$, where $\lambda_{ph}$, $\Omega_{ph}$
and $\gamma_{ph}$ are the effective coupling strength, the frequency and the
width of the optical phonon which is responsible for the notch. Even for
$\lambda_{ph}\approx 0.01$ the effect can be large if the phonon is very sharp.
","[{""version"":""v1"",""created"":""Tue, 1 Aug 1995 00:03:22 GMT""}]","2009-10-28"
"cond-mat/9507143","Takahiro Fukui","T. Fukui, N. Kawakami and S.-K. Yang","Spin-$S$ generalization of fractional exclusion statistics","11pages, REVTEX",,"10.1143/JPSJ.65.1617","YITP/K-1116","cond-mat",,"  We study fractional exclusion statistics for quantum systems with SU(2)
symmetry (arbitrary spin $S$), by generalizing the thermodynamic equations with
squeezed strings proposed by Ha and Haldane. The bare hole distributions as
well as the statistical interaction defined by an infinite-dimensional matrix
specify the universality class. It is shown that the system is described by the
level-$2S$ WZW model and has a close relationship to non-abelian fractional
quantum Hall states. As a low-energy effective theory, the sector of {\it
massless} Z$_{2S}$ parafermions is extracted, whose statistical interaction is
given by a finite-dimensional matrix.
","[{""version"":""v1"",""created"":""Mon, 31 Jul 1995 21:44:40 GMT""}]","2009-10-28"
