"adap-org/9507008","Shigetaka Fujita","Sh. Fujita (Kobe University) and H. Nishimura (Hyogo University of
  Education)","Evolving Neural Networks with Iterative Learning Scheme for Associative
  Memory","9 pages, compressed and uuencoded postscript file",,,"KOBE-TH-95-03, HUIS-95-01 (to be published in Neural Processing
  Letters)","adap-org nlin.AO q-bio",,"  A locally iterative learning (LIL) rule is adapted to a model of the
associative memory based on the evolving recurrent-type neural networks
composed of growing neurons. There exist extremely different scale parameters
of time, the individual learning time and the generation in evolution. This
model allows us definite investigation on the interaction between learning and
evolution. And the reinforcement of the robustness against the noise is also
achieved in the evolutional scheme.
","[{""version"":""v1"",""created"":""Wed, 2 Aug 1995 07:43:53 GMT""}]","2008-02-03"
"adap-org/9507009",,"D. Gabrielli, G. Jona-Lasinio, C. Landim","Onsager reciprocity relations without microscopic reversibility","revtex, no figures",,"10.1103/PhysRevLett.77.1202",,"adap-org nlin.AO",,"  In this paper we show that Onsager--Machlup time reversal properties of
thermodynamic fluctuations and Onsager reciprocity relations for transport
coefficients can hold also if the microscopic dynamics is not reversible. This
result is based on the explicit construction of a class of conservative models
which can be analysed rigorously.
","[{""version"":""v1"",""created"":""Wed, 2 Aug 1995 12:57:40 GMT""}]","2012-08-29"
"alg-geom/9508001","Dan Edidin","Dan Edidin and William Graham","Localization in equivariant intersection theory and the Bott residue
  formula","This paper is a substantially revised version of our preprint
  ""Equivariant Chow groups and the Bott residue formula"". Current email address
  for Dan Edidin is ""edidin@math.missouri.edu"" and current email for William
  Graham is ""wag@math.ias.edu"" Amslatex",,,,"alg-geom math.AG",,"  The purpose of this paper is to prove the localization theorem for torus
actions in equivariant intersection theory. Using the theorem we give another
proof of the Bott residue formula for Chern numbers of bundles on smooth
complete varieties. In addition, our techniques allow us to obtain residue
formulas for bundles on a certain class of singular schemes which admit torus
actions. This class is rather special, but it includes some interesting
examples such as complete intersections and Schubert varieties.
","[{""version"":""v1"",""created"":""Tue, 1 Aug 1995 20:59:02 GMT""},{""version"":""v2"",""created"":""Tue, 3 Dec 1996 01:43:24 GMT""}]","2008-02-03"
"alg-geom/9508002","Ulrich P. Klein","Bruce Hunt","Modular subvarieties of arithmetic quotients of bounded symmetric
  domains","48 pages, also available at http://www.mathematik.uni-kl.de/~wwwagag/
  LaTeX (e-mail: hunt@mathematik.uni-kl.de)",,,,"alg-geom math.AG",,"  Arithmetic quotients are quotients of bounded symmetric domains by arithmetic
groups, and modular subvarieties of arithmetic quotients are themselves
arithmetic quotients of lower dimension which live on arithmetic quotients, by
an embedding induced from an inclusion of groups of hermitian type. We show the
existence of such modular subvarieties, drawing on earlier work of the author.
If $\Gamma$ is a fixed arithmetic subgroup, maximal in some sense, then we
introduce the notion of ``$\Gamma$-integral symmetric'' subgroups, which in
turn defines a notion of ``integral modular subvarieties'', and we show that
there are finitely many such on an (isotropic, i.e, non-compact) arithmetic
variety.
","[{""version"":""v1"",""created"":""Wed, 2 Aug 1995 09:48:08 GMT""}]","2008-02-03"
"astro-ph/9508006","Bohdan Paczynski","Bohdan Paczynski","Gravitational Microlensing, The Distance Scale, And The Ages","10 pages, uuencoded compressed postscript, to appear in the
  Proceedings of the IAU Symposium 173: ``Astrophysical Applications of
  Gravitational Lensing'', Kluwer Academic Publishers, Eds.: C. S. Kochanek and
  J. N. Hewitt , also available as POPe 631 at
  http://astro.princeton.edu/~library/prep.html",,,,"astro-ph",,"  A high optical depth to gravitational microlensing towards the galactic bulge
is consistent with current models of the galactic bar. The low optical depth
towards the LMC can probably be accounted for by the ordinary stars in our
galaxy and in the LMC itself. No conclusive evidence is available yet for the
presence or absence of a large number of brown dwarfs or other non-stellar
compact objects which might account for the dark matter. There is little doubt
that the amount of mass in objects in the range 10^{-8} < M/M_sun < 10^6 will
be determined within the next few years with the continuing and expanding
searches.
  Billions of photometric measurements generated by the microlensing searches
have lead to the discovery of about 10^5 variable stars. In particular, a
number of detached eclipsing binaries were discovered in the galactic bulge, in
the LMC, and in the globular cluster Omega Centauri. The follow-up observations
of these binaries will allow the determination of accurate distances to all
these objects, as well as robust age determination of globular clusters.
","[{""version"":""v1"",""created"":""Tue, 1 Aug 1995 17:45:45 GMT""}]","2016-08-30"
"astro-ph/9508007","Moshe Elitzur","Moshe Elitzur (University of Kentucky)","Polarization of Astronomical Maser Radiation. III. Arbitrary Zeeman
  Splitting and Anisotropic Pumping","31 pages Latex file, uses AASTeX v4.0. Postscript figures available
  upon request",,"10.1086/176741",,"astro-ph",,"  General solutions of the maser polarization problem are presented for
arbitrary absorption coefficients. The results are used to calculate
polarization for masers permeated by magnetic fields with arbitrary values of
\xB, the ratio of Zeeman splitting to Doppler linewidth, and for anisotropic
pumping. The $\xb \to 0$ limit of the magnetic solution reproduces the linear
polarization derived in previous studies, which were always conducted at this
unphysical limit. While terms of higher order in \xb\ have a negligible effect
on the magnitude of $q$, they produce some major new results. In particular,
the linear polarization is accompanied by circular polarization, proportional
to \xb. Because \xb\ is proportional to the transition wavelength, the circular
polarization of SiO masers should decrease with rotation quantum number, as
observed. In the absence of theory for $\xb < 1$, previous estimates of
magnetic fields from detected maser circular polarization had to rely on
conjectures in this case and generally need to be revised downward. The fields
in SiO masers are \about\ 2--10 G and were overestimated by a factor of 8. The
OH maser regions around supergiants have fields of \about\ 0.1--0.5 mG, which
were overestimated by factors of 10--100. The fields were properly estimated
for OH/IR masers ($\la$ 0.1 mG) and \H2O masers in star-forming regions
(\about\ 15--50 mG). Spurious solutions that required stability analysis for
their removal in all previous studies are never reproduced here; in particular,
there are no stationary physical solutions for propagation at $\sin^2\theta <
\third$, where $\theta$ is the angle from the direction of the magnetic field,
so such radiation is unpolarized. These spurious solutions can be identified as
the \xb\ = 0 limits of non-physical solutions and they never arise at finite
","[{""version"":""v1"",""created"":""Tue, 1 Aug 1995 18:06:57 GMT""}]","2009-10-28"
"astro-ph/9508008","Krzysztof Stanek","K. Z. Stanek, M. Mateo, A. Udalski, M. Szymanski, J. Kaluzny, M.
  Kubiak, W. Krzeminski (OGLE collaboration)","Modelling the Galactic Bar Using Red Clump Stars","4 pages, uuencoded compressed PostScript, talk presented at the IAU
  Colloquium 157 ""Barred Galaxies""; also available through WWW at
  http://www.astro.princeton.edu/~library/prep.html",,,"Princeton Observatory Preprint POPe-632 (electronic only)","astro-ph",,"  The color-magnitude diagrams of $\sim 1 \times 10^6$ stars obtained for 19
fields towards the Galactic bulge with the OGLE project reveal a well-defined
population of bulge red clump stars. We found that the distributions of the
extinction-adjusted apparent magnitudes of red clump stars in fields lying at
$l=\pm5\deg$ in galactic longitude differ by $\sim 0.4\; mag$. A plausible
explanation of this observed difference in the luminosity distribution is that
the Galactic bulge is a triaxial structure, or a bar, which is inclined to the
line of sight by no more than $45\deg$. The part of the bar at the positive
galactic longitude is closer to us. Work is now under way to model the Galactic
bar by fitting the observed luminosity functions in the red clump region for
various fields. Preliminary results indicate that the angle of the inclination
of the bar to the line of sight can be as small as $\sim20\deg$. Gravitational
microlensing can provide us with additional constrains on the structure of the
Galactic bar.
","[{""version"":""v1"",""created"":""Tue, 1 Aug 1995 19:17:06 GMT""}]","2007-05-23"
"cmp-lg/9508001","Anne-Marie Mineur","Johan Bos (University of the Saarland, Germany), Paul Buitelaar
  (Brandeis University, USA) and Anne-Marie Mineur (University of the Saarland,
  Germany)","Bridging as Coercive Accommodation","LaTeX file, 16 pages, uses named.sty. Paper presented at CLNLP
  workshop, Edinburgh, April 3-5, 1995",,,"CLAUS 52 Technical Report","cmp-lg cs.CL",,"  In this paper we discuss the notion of ""bridging"" in Discourse Representation
Theory as a tool to account for discourse referents that have only been
established implicitly, through the lexical semantics of other referents. In
doing so, we use ideas from Generative Lexicon theory, to introduce antecedents
for anaphoric expressions that cannot be ""linked"" to a proper antecedent, but
that do not need to be ""accommodated"" because they have some connection to the
network of discourse referents that is already established.
","[{""version"":""v1"",""created"":""Wed, 2 Aug 1995 14:41:58 GMT""}]","2008-02-03"
"cmp-lg/9508002","Anne-Marie Mineur","Anne-Marie Mineur (University of the Saarland, Germany) and Paul
  Buitelaar (Brandeis University, USA)","A Compositional Treatment of Polysemous Arguments in Categorial Grammar","LaTeX file, 19 pages, uses pubsmacs, pubsbib, pubsarticle, leqno",,,"CLAUS 49 Technical Report","cmp-lg cs.CL",,"  We discuss an extension of the standard logical rules (functional application
and abstraction) in Categorial Grammar (CG), in order to deal with some
specific cases of polysemy. We borrow from Generative Lexicon theory which
proposes the mechanism of {\em coercion}, next to a rich nominal lexical
semantic structure called {\em qualia structure}.
  In a previous paper we introduced coercion into the framework of {\em
sign-based} Categorial Grammar and investigated its impact on traditional
Fregean compositionality. In this paper we will elaborate on this idea, mostly
working towards the introduction of a new semantic dimension. Where in current
versions of sign-based Categorial Grammar only two representations are derived:
a prosodic one (form) and a logical one (modelling), here we introduce also a
more detaled representation of the lexical semantics. This extra knowledge will
serve to account for linguistic phenomena like {\em metonymy\/}.
","[{""version"":""v1"",""created"":""Wed, 2 Aug 1995 15:09:04 GMT""},{""version"":""v2"",""created"":""Sun, 10 Sep 1995 16:33:42 GMT""}]","2016-08-31"
"cond-mat/9508004","Felix Ritort","L. L. Bonilla, F. G. Padilla, G. Parisi and F. Ritort","Analytical solution of the Monte Carlo dynamics of a simple spin-glass
  model","11 Pages + 2 Figures, Revtex",,"10.1209/epl/i1996-00432-x","MA/UC3M/10/95 (Universidad Carlos III de Madrid, Spain)","cond-mat",,"  In this note we present an exact solution of the Monte Carlo dynamics of the
spherical Sherrington-Kirkpatrick spin-glass model. We obtain the dynamical
equations for a generalized set of moments which can be exactly closed. Only in
a certain particular limit the dynamical equation of the energy coincides with
that of the Langevin dynamics.
","[{""version"":""v1"",""created"":""Tue, 1 Aug 1995 17:10:38 GMT""}]","2009-10-28"
"cond-mat/9508005","Shi ZhuPei","Zhu-Pei Shi and Rajiv R. P. Singh","The Spin Stiffness and the Transverse Susceptibility of the Half-filled
  Hubbard Model","9 Revtex pages, 3 Postscript figures, Europhys. Lett. in press",,"10.1209/0295-5075/31/4/006",,"cond-mat",,"  The $T=0$ spin stiffness $\rho _{s}$ and the transverse susceptibility $\chi
_{\perp }$ of the square lattice half-filled Hubbard model are calculated as a
function of the Hubbard parameter ratio $U/t$ by series expansions around the
Ising limit. We find that the calculated spin-stiffness, transverse
susceptibility, and sublattice magnetization for the Hubbard model smoothly
approach the Heisenberg values for large $U/t$. The results are compared for
different $U/t$ with RPA and other numerical studies.
","[{""version"":""v1"",""created"":""Tue, 1 Aug 1995 16:32:01 GMT""}]","2009-10-28"
