"adap-org/9507010","Thorsten Poeschel","Thorsten Poeschel and Volkhard Buchholtz","Molecular dynamics of arbitrarily shaped granular particles}","uuencoded compressed PostScript, 40 pages, 19 figures (included)",,"10.1051/jp1:1995208","ITP-389/95","adap-org nlin.AO",,"  We propose a new model for the description of complex granular particles and
their interaction in molecular dynamics simulations of granular material in two
dimensions. The grains are composed of triangles which are connected by
deformable beams. Particles are allowed to be convex or concave. We present
first results of simulations using this particle model.
","[{""version"":""v1"",""created"":""Wed, 2 Aug 1995 21:48:32 GMT""}]","2012-08-29"
"astro-ph/9508009","Martin White","Martin White, Douglas Scott, Joe Silk, Marc Davis","Cold Dark Matter Resuscitated?","6 pages, self-unpacking uuencoded compressed postscript, with 4
  included figures, to appear in MNRAS. References added and Fig.3 corrected.
  Also available at http://physics7.berkeley.edu/cmbserve/gen.html","Mon.Not.Roy.Astron.Soc.276:L69-L75,1995","10.1093/mnras/276.1.L69","CfPA-95-TH-14","astro-ph",,"  The Cold Dark Matter (CDM) model has an elegant simplicitly which makes it
very predictive, but when its parameters are fixed at their `canonical' values
its predictions are in conflict with observational data. There is, however,
much leeway in the initial conditions within the CDM framework. We advocate a
re-examination of the CDM model, taking into account modest variation of
parameters from their canonical values. We find that CDM models with
$n=0.8$--0.9 and $h=0.45$--0.50 can fit the available data. Our ``best fit''
CDM model has $n=0.9$, $h=0.45$ and $C_2^{T}/C_2^{S}=0.7$. We discuss the
current state of observations which could definitely rule out this model.
","[{""version"":""v1"",""created"":""Wed, 2 Aug 1995 22:09:33 GMT""},{""version"":""v2"",""created"":""Mon, 21 Aug 1995 20:41:10 GMT""}]","2016-06-08"
"astro-ph/9508010","David Crampton","David Schade, David Crampton, F. Hammer, O. Le Fevre, S.J. Lilly","The Canada-France Redshift Survey X: The Quasar Sample","uuencoded compressed Tex file requiring mn.sty (first part), plus
  uuencoded compressed postscript copies of Table 1, Figures 1, 3 and 4. A
  hardcopy of Figure 2 is available from the authors. Also available at
  http://www.astro.utoronto.ca/~lilly/CFRS/papers.html . Accepted Aug 1 by
  MNRAS",,"10.1093/mnras/278.1.95",,"astro-ph",,"  Six objects with broad emission lines and redshifts from 0.48 to 2.07 were
discovered among 736 extragalactic objects in the Canada-France Redshift Survey
(CFRS). Although the luminosities of half of the objects are such that they are
in the Seyfert regime (M_B > -23), all would be designated as quasars in
traditional surveys. Since the only selection criterion was that 17.5 < I_{AB}
< 22.5, or approximately B < 23 (assuming a continuum power-law slope of alpha
= -0.5), these quasars represent an unbiased, flux-limited sample. Although
uncertain, the implied surface density, 200^{+120}_{-80} deg^{-2} is the
highest yet measured, and is in good agreement with extrapolations from other
faint surveys and the evolving luminosity function models of Boyle (1991). The
distributions of the continuum properties, emission-line strengths, etc., of
the quasars do not differ significantly from those of quasars selected by other
means, and therefore they would have been detected in most traditional surveys.
Three of the quasars may be associated with clusters or large structures of
galaxies at z > 1.
","[{""version"":""v1"",""created"":""Wed, 2 Aug 1995 23:45:06 GMT""}]","2015-06-24"
"astro-ph/9508011","Joseph L. Hora","William B. Latter (NRAO/Tucson), Douglas M. Kelly (Univ. of Texas at
  Austin), Joseph L. Hora (Institute for Astronomy), Lynne K. Deutsch (Univ. of
  Massachusetts)","Investigating the Near-Infrared Properties of Planetary Nebulae. I.
  Narrowband Images","21 pages text+tables and 38 figures, full preprint available at
  http://www.cv.nrao.edu/html/library/nrao_preprints.html, report #9571 (4.4MB
  gzipped file), or email latter@dusty.arc.nasa.gov. Accepted ApJS, scheduled
  Sept. 1995",,"10.1086/192213","9571","astro-ph",,"  We present the results of a near-infrared narrowband imaging survey of
planetary nebulae. Objects were selected in a way that complements similar
surveys done at visible and near-infrared wavelengths. No new detections of
molecular hydrogen emission were made. The H2 is frequently found to be
extended, except in young, visibly compact objects. Our results are consistent
with the already determined correlation of H2 emission with planetary nebula
morphological type. Filamentary and other kinds of structures are clearly
resolved in many nebulae.
","[{""version"":""v1"",""created"":""Thu, 3 Aug 1995 00:42:26 GMT""}]","2009-10-28"
"astro-ph/9508012","Preprint account","O. Lahav, A. Naim, L. Sodre, M.C. Storrie-Lombardi","Neural computation as a tool for galaxy classification : methods and
  examples","uuencoded compressed postscript. The preprint is also available at
  http://www.ast.cam.ac.uk/preprint/PrePrint.html",,"10.1093/mnras/283.1.207","CAP-9508002","astro-ph",,"  We apply and compare various Artificial Neural Network (ANN) and other
algorithms for automatic morphological classification of galaxies. The ANNs are
presented here mathematically, as non-linear extensions of conventional
statistical methods in Astronomy. The methods are illustrated using different
subsets Artificial Neural Network (ANN) and other algorithms for automatic
morphological classification of galaxies. The ANNs are presented here
mathematically, as non-linear extensions of conventional statistical methods in
Astronomy. The methods are illustrated using different subsets from the ESO-LV
catalogue, for which both machine parameters and human classification are
available. The main methods we explore are: (i) Principal Component Analysis
(PCA) which tells how independent and informative the input parameters are.
(ii) Encoder Neural Network which allows us to find both linear (PCA-like) and
non-linear combinations of the input, illustrating an example of unsupervised
ANN. (iii) Supervised ANN (using the Backpropagation or Quasi-Newton
algorithms) based on a training set for which the human classification is
known. Here the output for previously unclassified galaxies can be interpreted
as either a continuous (analog) output (e.g. $T$-type) or a Bayesian {\it a
posteriori} probability for each class. Although the ESO-LV parameters are
sub-optimal, the success of the ANN in reproducing the human classification is
2 $T$-type units, similar to the degree of agreement between two human experts
who classify the same galaxy images on plate material. We also examine the
aspects of ANN configurations, reproducibility, scaling of input parameters and
redshift information.
","[{""version"":""v1"",""created"":""Thu, 3 Aug 1995 09:57:45 GMT""}]","2015-06-24"
"chao-dyn/9507011","John Bowman","John C. Bowman (Institute for Fusion Studies, The University of Texas
  at Austin, Austin, TX 78712, USA)","On inertial-range scaling laws","16 pages, postscript (uncompressed, not encoded)",,"10.1017/S0022112096001279","(IFSR \#685)","chao-dyn nlin.CD",,"  Inertial-range scaling laws for two- and three-dimensional turbulence are
re-examined within a unified framework. A new correction to Kolmogorov's
$k^{-5/3}$ scaling is derived for the energy inertial range. A related
modification is found to Kraichnan's logarithmically corrected two-dimensional
enstrophy-range law that removes its unexpected divergence at the injection
wavenumber. The significance of these corrections is illustrated with
steady-state energy spectra from recent high-resolution closure computations.
Implications for conventional numerical simulations are discussed. These
results underscore the asymptotic nature of inertial-range scaling laws.
","[{""version"":""v1"",""created"":""Thu, 3 Aug 1995 00:04:16 GMT""}]","2016-08-31"
"chao-dyn/9507012","John Bowman","B. A. Shadwick, John C. Bowman, and P. J. Morrison (Institute for
  Fusion Studies, The University of Texas at Austin, Austin, TX 78712, USA)","Exactly Conservative Integrators","30 pages, postscript (1.3MB). Submitted to SIAM J. Sci. Comput.",,,"(IFSR #689)","chao-dyn nlin.CD",,"  Traditional numerical discretizations of conservative systems generically
yield an artificial secular drift of any nonlinear invariants. In this work we
present an explicit nontraditional algorithm that exactly conserves these
invariants. We illustrate the general method by applying it to the three-wave
truncation of the Euler equations, the Lotka--Volterra predator--prey model,
and the Kepler problem. This method is discussed in the context of symplectic
(phase space conserving) integration methods as well as nonsymplectic
conservative methods. We comment on the application of our method to general
conservative systems.
","[{""version"":""v1"",""created"":""Thu, 3 Aug 1995 00:53:55 GMT""}]","2016-08-31"
"chem-ph/9508001","Caio H. Lewenkopf","Aurel Bulgac, Caio Lewenkopf and Vadim Mickrjukov","A generalized local approximation to the exchange potential","LaTeX file, 16 pages, 4 appended uuencoded figures",,"10.1103/PhysRevB.52.16476",,"chem-ph mtrl-th physics.chem-ph",,"  A new method to obtain a local parameterization for the exchange term in the
many--body electronic problem is presented. The approach amounts to the
introduction of a coordinate dependent electron effective mass. Numerical
results for metallic clusters in the jellium model are compared with other
standard methods.
","[{""version"":""v1"",""created"":""Wed, 2 Aug 1995 18:02:38 GMT""}]","2009-10-28"
"cmp-lg/9508003","Dennis Grinberg","Dennis Grinberg, John Lafferty, Daniel Sleator (Carnegie Mellon)","A Robust Parsing Algorithm For Link Grammars","17 pages, compressed postscript",,,"CMU-CS-TR-95-125","cmp-lg cs.CL",,"  In this paper we present a robust parsing algorithm based on the link grammar
formalism for parsing natural languages. Our algorithm is a natural extension
of the original dynamic programming recognition algorithm which recursively
counts the number of linkages between two words in the input sentence. The
modified algorithm uses the notion of a null link in order to allow a
connection between any pair of adjacent words, regardless of their dictionary
definitions. The algorithm proceeds by making three dynamic programming passes.
In the first pass, the input is parsed using the original algorithm which
enforces the constraints on links to ensure grammaticality. In the second pass,
the total cost of each substring of words is computed, where cost is determined
by the number of null links necessary to parse the substring. The final pass
counts the total number of parses with minimal cost. All of the original
pruning techniques have natural counterparts in the robust algorithm. When used
together with memoization, these techniques enable the algorithm to run
efficiently with cubic worst-case complexity. We have implemented these ideas
and tested them by parsing the Switchboard corpus of conversational English.
This corpus is comprised of approximately three million words of text,
corresponding to more than 150 hours of transcribed speech collected from
telephone conversations restricted to 70 different topics. Although only a
small fraction of the sentences in this corpus are ""grammatical"" by standard
criteria, the robust link grammar parser is able to extract relevant structure
for a large portion of the sentences. We present the results of our experiments
using this system, including the analyses of selected and random sentences from
the corpus.
","[{""version"":""v1"",""created"":""Wed, 2 Aug 1995 19:34:13 GMT""}]","2008-02-03"
"cmp-lg/9508004","Dennis Grinberg","Daniel D. K.Sleator (Carnegie Mellon) and Davy Temperley (Columbia
  University)","Parsing English with a Link Grammar","91 pages, compressed postscript",,,"CMU-CS-TR-91-126","cmp-lg cs.CL",,"  We develop a formal grammatical system called a link grammar, show how
English grammar can be encoded in such a system, and give algorithms for
efficiently parsing with a link grammar. Although the expressive power of link
grammars is equivalent to that of context free grammars, encoding natural
language grammars appears to be much easier with the new system. We have
written a program for general link parsing and written a link grammar for the
English language. The performance of this preliminary system -- both in the
breadth of English phenomena that it captures and in the computational
resources used -- indicates that the approach may have practical uses as well
as linguistic significance. Our program is written in C and may be obtained
through the internet.
","[{""version"":""v1"",""created"":""Wed, 2 Aug 1995 19:52:31 GMT""}]","2008-02-03"
"cond-mat/9508010","Johannes Kellendonk","Johannes Kellendonk","The Local Structure of Tilings and their Integer Group of Coinvariants","45 pages including 9 figures, LaTex","Commun.Math.Phys. 187 (1997) 115-158","10.1007/s002200050131","KCL-TH-95-6","cond-mat hep-th",,"  The local structure of a tiling is described in terms of a multiplicative
structure on its pattern classes. The groupoid associated to the tiling is
derived from this structure and its integer group of coinvariants is defined.
This group furnishes part of the $K_0$-group of the groupoid $C^*$-algebra for
tilings which reduce to decorations of $\Z^d$. The group itself as well as the
image of its state is computed for substitution tilings in case the
substitution is locally invertible and primitive. This yields in particular the
set of possible gap labels predicted by $K$-theory for Schr\""odinger operators
describing the particle motion in such a tiling.
","[{""version"":""v1"",""created"":""Wed, 2 Aug 1995 23:33:42 GMT""}]","2009-10-28"
