"alg-geom/9508003","Joerg Jahnel","Joerg Jahnel","Heights for line bundles on arithmetic surfaces","Mathematica Gottingensis, Heft 16, 1995, revised version, LaTeX2.09",,,,"alg-geom math.AG",,"  For line bundles on arithmetic varieties we construct height functions using
arithmetic intersection theory. In the case of an arithmetic surface,
generically of genus g, for line bundles of degree g equivalence is shown to
the height on the Jacobian defined by the Theta divisor.
","[{""version"":""v1"",""created"":""Sun, 6 Aug 1995 17:55:55 GMT""}]","2008-02-03"
"astro-ph/9508024","Emilio Molinari","Emilio Molinari","Elliptical Galaxies in Cluster Cores: Luminosity Functions and Selection
  Procedures","uuencoded compressed postscript file, 4 pages with 2 figures,
  published in 'Fresh View of Ellipticals', Puebla congress proceedings, March
  1995",,,,"astro-ph",,"  We present here the results about the determination of the Luminosity
Function (LF) for elliptical galaxies in the core of fairly rich clusters as a
function of redshift and try to compare with the known LF of close, better
studied clusters of galaxies. We then outline the first use of a new method of
selecting member elliptical galaxies using an unsupervised Artificial Neural
Network (ANN) working on a purely photometric set of data.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 08:44:56 GMT""}]","2007-05-23"
"astro-ph/9508025","J. Navarro","Julio F. Navarro (Steward Observatory, University of Arizona), Carlos
  S. Frenk (Physics Department, University of Durham), and Simon D.M. White
  (MPI fur Astrophysik, Garching)","The Structure of Cold Dark Matter Halos","compressed and uuencoded PS file. 22 pages including 14 figures.
  447875 bytes. Submitted to ApJ on August 1, 1995","Astrophys.J.462:563-575,1996","10.1086/177173",,"astro-ph",,"  We use N-body simulations to investigate the structure of dark halos in the
standard Cold Dark Matter cosmogony. Halos are excised from simulations of
cosmologically representative regions and are resimulated individually at high
resolution. We study objects with masses ranging from those of dwarf galaxy
halos to those of rich galaxy clusters. The spherically averaged density
profiles of all our halos can be fit over two decades in radius by scaling a
simple ``universal'' profile. The characteristic overdensity of a halo, or
equivalently its concentration, correlates strongly with halo mass in a way
which reflects the mass dependence of the epoch of halo formation. Halo
profiles are approximately isothermal over a large range in radii, but are
significantly shallower than $r^{-2}$ near the center and steeper than $r^{-2}$
near the virial radius. Matching the observed rotation curves of disk galaxies
requires disk mass-to-light ratios to increase systematically with luminosity.
Further, it suggests that the halos of bright galaxies depend only weakly on
galaxy luminosity and have circular velocities significantly lower than the
disk rotation speed. This may explain why luminosity and dynamics are
uncorrelated in observed samples of binary galaxies and of satellite/spiral
systems. For galaxy clusters, our halo models are consistent both with the
presence of giant arcs and with the observed structure of the intracluster
medium, and they suggest a simple explanation for the disparate estimates of
cluster core radii found by previous authors. Our results also highlight two
shortcomings of the CDM model. CDM halos are too concentrated to be consistent
with the halo parameters inferred for dwarf irregulars, and the predicted
abundance of galaxy halos is larger than the observed abundance of galaxies.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 09:36:00 GMT""}]","2008-11-26"
"astro-ph/9508026","Van Waerbeke Ludovic","L. Van Waerbeke, G. Mathez, Y. Mellier, H. Bonnet and M. Lachieze-Rey","V/Vmax statistic and Neo-Classic Cosmological Tests","uuencode compressed tar file of Latex and macros files. Tar
  compressed poscript files of the paper and figures are also available by
  anonymous ftp at ftp://summer.obs-mip.fr/pub/OUTGOING/paper1 or upon request
  at waerbeke@obs-mip.fr",,,,"astro-ph",,"  A new cosmological test is derived, based on the distribution of individual
V/Vmax in a complete redshift-limited sample of distant objects. The
fundamental assumption is that, in any bin of absolute luminosity, individual
V/Vmax are required to be uniformly spread over the [0,1] range. This condition
of uniformity allows a likelihood function to be computed from the Kolmogorov-
Smirnov probabilities of each bin. Monte-Carlo simulations show that the test
is mostly sensitive to the density parameter, but under certain conditions, it
also sets constraints on the space curvature and, to a lower extent, on the
cosmological constant. The test is then applied to the UVX sample of Boyle et
al. (1990). A low matter density, and a flat Universe without cosmological
constant, are rejected: 0.2<Omega<0.8 within the 95% confidence level.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 13:27:39 GMT""}]","2007-05-23"
"astro-ph/9508027","Van Waerbeke Ludovic","G. Mathez, L. Van Waerbeke, Y. Mellier, H. Bonnet and M. Lachieze-Rey","Pure Luminosity Evolution Hypothesis for QSOs: From Luminosity Functions
  to Synthetic Catalogues","uuencode compressed tar file of Latex and macros files. Tar
  compressed poscript files of the papers and figures are also available by
  anonymous ftp at ftp://summer.obs-mip.fr/pub/OUTGOING/paper2 or upon request
  at waerbeke@obs-mip.fr",,,,"astro-ph",,"  This paper describes the simulation of realistic Monte-Carlo extragalactic
catalogues, aimed at comparing the behaviour of cosmological tests versus input
parameters. QSO catalogues are built on a Luminosity Function derived from data
through suitable computation of individual maximum volumes in complete (but
magnitude- and redshift-limited) samples requiring neither of redshift nor of
apparent magnitude histogram. The values of the evolution parameter are derived
for various cosmologies, corresponding to <V/Vmax>=1/2 in the sample of 400
Ultra-Violet Excess (UVX) QSOs (Boyle et al 1990). The various luminosity
functions are compared, both for the whole sample and in redshift bins. An
evolution characteristic time is defined and computed, depending strongly on
the cosmology, but practically constant when expressed in terms of the age of
the Universe. Algorithms are given for producing unbiased or biased catalogues
based on the null hypothesis that the objects are uniformly distributed in
volume but suffer Pure Luminosity Evolution.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 13:28:17 GMT""}]","2007-05-23"
"astro-ph/9508031","Ramesh Narayan","Ramesh Narayan","Accretion Flows Around Black Holes","20 pages, 3 figures included, compressed uuencoded Postscript, Review
  talk at the conference on ""Some Unsolved Problems in Astrophysics,""
  Princeton, April 27-29, 1995. To appear in the Proceedings to be published by
  Princeton Univ. Press (editors, J. N. Bahcall & J. P. Ostriker)",,,,"astro-ph",,"  Most accreting black holes emit a substantial fraction of their luminosity in
hard X-rays/soft $\gamma$-rays of up to $\sim{\rm few}\times100$ keV. The
observations suggest that the radiating gas is very hot, $T>10^9$ K, and
optically thin. Theoretical attempts to explain the observations are reviewed
and unresolved issues are highlighted.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 09:08:09 GMT""}]","2007-05-23"
"cond-mat/9508019","Virosztek Attila","A. Virosztek and K. Maki","Sound propagation in density wave conductors and the effect of
  long-range Coulomb interaction","revtex, 14 pages (in preprint form), submitted to PRB",,"10.1103/PhysRevB.53.3741","KFKI-87/95","cond-mat",,"  We study theoretically the sound propagation in charge- and spin-density
waves in the hydrodynamic regime. First, making use of the method of comoving
frame, we construct the stress tensor appropriate for quasi-one dimensional
systems within tight-binding approximation. Taking into account the screening
effect of the long-range Coulomb interaction, we find that the increase of the
sound velocity below the critical temperature is about two orders of magnitude
less for longitudinal sound than for transverse one. It is shown that only the
transverse sound wave with displacement vector parallel to the chain direction
couples to the phason of the density wave, therefore we expect significant
electromechanical effect only in this case.
","[{""version"":""v1"",""created"":""Sun, 6 Aug 1995 17:00:20 GMT""}]","2009-10-28"
"cond-mat/9508020","Dmitrii Maslov","Dmitrii L. Maslov, Michael Stone, Paul M. Goldbart, and Daniel Loss","Josephson Current and Proximity Effect in Luttinger Liquids","ReVTeX 3.0, 11 two-column pages, 1 figure enclosed as a uudecoded
  file",,"10.1103/PhysRevB.53.1548",,"cond-mat",,"  A theory describing a one-dimensional Luttinger liquid in contact with
superconductor is developed. Boundary conditions for the fermion fields
describing Andreev reflection at the contacts are derived and used to construct
a bosonic representation of the fermions. The Josephson current through a
superconductor/Luttinger liquid/superconductor junction is considered for both
perfectly and poorly transmitting interfaces. In the former case, the Josephson
current at low temperatures is found to be essentially unaffected by
electron-electron interactions. In the latter case, significant renormalization
of the Josephson current occurs. The profile of the (induced) condensate
wavefunction in a semi-infinite Luttinger liquid in contact with a
superconductor is shown to decay as a power-law, the exponent depending on the
sign and strength of the interactions. In the case of repulsive (attractive)
interactions the decay is faster (slower) than in their absence. An equivalent
method of calculating the Josephson current through a Luttinger liquid, which
employs the bosonization of the system as a whole (i.e., superconductor, as
well as Luttinger liquid) is developed and shown to give the results equivalent
to those obtained via boundary conditions describing Andreev reflection.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 06:37:01 GMT""}]","2016-08-31"
"cond-mat/9508021","Peter Kopietz","Peter Kopietz","Bosonization of coupled electron-phonon systems","I have added a few lines to show how the Bohm-Staver relation can be
  derived within my approach. To appear in Z. Phys. B","Z. Phys. B 100, 561 (1996)","10.1007/s002570050162",,"cond-mat",,"  We calculate the single-particle Green's function of electrons that are
coupled to acoustic phonons by means of higher dimensional bosonization. This
non-perturbative method is {\it{not}} based on the assumption that the
electronic system is a Fermi liquid. For isotropic three-dimensional phonons we
find that the long-range part of the Coulomb interaction cannot destabilize the
Fermi liquid state, although for strong electron-phonon coupling the
quasi-particle residue is small. We also show that Luttinger liquid behavior in
three dimensions can be due to quasi-one-dimensional anisotropy in the
electronic band structure {\it{or in the phonon frequencies}}.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 07:03:30 GMT""},{""version"":""v2"",""created"":""Tue, 31 Oct 1995 12:14:35 GMT""}]","2009-10-28"
"cond-mat/9508022","Dr. Christian Muenkel","Christian M\""unkel and Dieter W. Heermann","Folding Transitions of Self-Avoiding Membranes","13 pages, 5 Postscript figures, uses PRL macros and epsf, accepted
  for publication by Physical Review Letters",,"10.1103/PhysRevLett.75.1666",,"cond-mat",,"  The phase structure of self-avoiding polymerized membranes is studied by
extensive Hybrid Monte Carlo simulations. Several folding transitions from the
flat to a collapsed state are found. Using a suitable order parameter and
finite size scaling theory, these transitions are shown to be of {\em first
order}. The phase diagram in the temperature-field plane is given.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 09:01:01 GMT""}]","2009-10-28"
"gr-qc/9508014","Jonathan Thornburg","Jonathan Thornburg","Finding Apparent Horizons in Numerical Relativity","38 pages text + postscript rotated-table (1 page) + postscript
  figures (10 pages), REVTeX macros, slightly revised from previous versions to
  clarify presentation, files also available from
  ftp://black_hole.physics.ubc.ca/outgoing/thornburg/horizon.tex.gz
  ftp://black_hole.physics.ubc.ca/outgoing/thornburg/horizon.ps.gz
  ftp://black_hole.physics.ubc.ca/outgoing/thornburg/horizon_tabsr.ps.gz
  ftp://black_hole.physics.ubc.ca/outgoing/thornburg/horizon_figs.ps.gz","Phys.Rev.D54:4899-4918,1996","10.1103/PhysRevD.54.4899",,"gr-qc astro-ph",,"  This paper presents a detailed discussion of the ``Newton's method''
algorithm for finding apparent horizons in 3+1 numerical relativity.
  We describe a method for computing the Jacobian matrix of the finite
differenced $H(h)$ function by symbolically differentiating the finite
difference equations, giving the Jacobian elements directly in terms of the
finite difference molecule coefficients used in computing $H(h)$. Assuming the
finite differencing scheme commutes with linearization, we show how the
Jacobian elements may be computed by first linearizing the continuum $H(h)$
equations, then finite differencing the linearized (continuum) equations.
  We find this symbolic differentiation method of computing the $H(h)$ Jacobian
to be {\em much} more efficient than the usual numerical perturbation method,
and also much easier to implement than is commonly thought.
  When solving the discrete $H(h) = 0$ equations, we find that Newton's method
generally converges very rapidly. However, if the initial guess for the horizon
position contains significant high-spatial-frequency error components, Newton's
method has a small (poor) radius of convergence. This is {\em not} an artifact
of insufficient resolution in the finite difference grid; rather, it appears to
be caused by a strong nonlinearity in the continuum $H(h)$ function for
high-spatial-frequency error components in $h$. Robust variants of Newton's
method can boost the radius of convergence by O(1) factors, but the underlying
nonlinearity remains, and appears to worsen rapidly with increasing
initial-guess-error spatial frequency.
  Using 4th~order finite differencing, we find typical accuracies for computed
horizon positions in the $10^{-5}$ range for $\Delta\theta = \frac{\pi/2}{50}$.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 09:47:50 GMT""},{""version"":""v2"",""created"":""Tue, 12 Dec 1995 06:55:01 GMT""},{""version"":""v3"",""created"":""Wed, 13 Dec 1995 08:49:59 GMT""},{""version"":""v4"",""created"":""Thu, 16 May 1996 22:48:49 GMT""}]","2009-07-10"
