"adap-org/9508001",,"Bruce W. Roberts and M. E. J. Newman (Cornell University)","A model for evolution and extinction","Postscript (compressed etc. using uufiles), 16 pages, with 15
  embedded figures","J. Theor. Biol. 180, 39 (1996)",,"CU-MSC-8-95-4","adap-org nlin.AO q-bio",,"  We present a model for evolution and extinction in large ecosystems. The
model incorporates the effects of interactions between species and the
influences of abiotic environmental factors. We study the properties of the
model by approximate analytic solution and also by numerical simulation, and
use it to make predictions about the distribution of extinctions and species
lifetimes that we would expect to see in real ecosystems. It should be possible
to test these predictions against the fossil record. The model indicates that a
possible mechanism for mass extinction is the coincidence of a large
coevolutionary avalanche in the ecosystem with a severe environmental
disturbance.
","[{""version"":""v1"",""created"":""Tue, 8 Aug 1995 12:25:32 GMT""}]","2008-02-03"
"alg-geom/9508004","Gaitsgory Denis","Dennis Gaitsgory","Grothendieck topologies and deformation theory II","AMSTEX",,,,"alg-geom math.AG",,"  This paper is a continuation of ``Operads, Grothendieck topologies and
deformation theory'' (alg-geom/9502010). We show how to develop a cohomology
theory that would control deformations of a sheaf of associative algebras over
a scheme by means of introducing an appropriate site and considering sheaves on
it.
","[{""version"":""v1"",""created"":""Tue, 8 Aug 1995 14:55:43 GMT""}]","2008-02-03"
"astro-ph/9508028","Thomas Kutter","G. Hermann, C. K\""ohler, T. Kutter, W. Hofmann (Max-Planck-Institut
  f\""ur Kernphysik,Heidelberg,Germany)","Triggering of Imaging Air Cherenkov Telescopes: PMT trigger rates due to
  night-sky photons","19 pages, latex,epsf, 7 figures appended as uuencoded file, submitted
  to Journal of Physics G",,,,"astro-ph hep-ex nucl-ex",,"  Imaging air Cherenkov telescopes are usually triggered on a coincidence of
two or sometimes more pixels, with discriminator thresholds in excess of 20
photoelectrons applied for each pixel. These thresholds required to suppress
night-sky background are significantly higher than expected on the basis of a
Poisson distribution in the number of night-sky photoelectrons generated during
the characteristic signal integration time.
  We studied noise trigger rates under controlled conditions using an
artificial background light source. Large tails in the PMT amplitude response
to single photoelectrons are identified as a dominant contribution to noise
triggers. The rate of such events is very sensitive to PMT operating
parameters.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 16:30:29 GMT""},{""version"":""v2"",""created"":""Tue, 8 Aug 1995 08:34:47 GMT""}]","2008-02-03"
"astro-ph/9508029","Craig J. Copi","Craig J. Copi, David N. Schramm, and Michael S. Turner","Assessing Big-Bang Nucleosynthesis","7 pages, LaTeX(2.09), 6 postscript figures (attached). A postscript
  version with figures can be found at
  ftp://astro.uchicago.edu/pub/astro/copi/assessing_BBN . (See the README file
  for details)","Phys.Rev.Lett. 75 (1995) 3981-3984","10.1103/PhysRevLett.75.3981","FERMILAB-Pub-95/257-A","astro-ph",,"  Systematic uncertainties in the light-element abundances and their evolution
make a rigorous statistical assessment difficult. However, using Bayesian
methods we show that the following statement is robust: the predicted and
measured abundances are consistent with 95\% credibility only if the
baryon-to-photon ratio is between $2\times 10^{-10}$ and $6.5\times 10^{-10}$
and the number of light neutrino species is less than 3.9. Our analysis
suggests that the $^4$He abundance may have been systematically underestimated.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 17:00:11 GMT""}]","2009-10-28"
"astro-ph/9508030","Prada","F. Prada, A. Manchado, B. Canzian, R. F. Peletier, C. D. McKeith and
  J. E. Beckman","The Kinematics of the Ionized and Molecular Hydrogen in the Starburst
  Galaxy NGC 253","Uuencoded postscript file, 10 pages (4 tables included), 8 figures
  available on request to fprada@ibm-3.mpa-garching.mpg.de, Ap.J. (in press)",,"10.1086/176837",,"astro-ph",,"  Near-infrared H_2 1-0 S(1) and Br_gamma velocity curves along the major axis
of NGC 253 have revealed a central velocity gradient that is seven times
steeper than that shown by the optical velocity curve. This is interpreted as
an optical depth effect due to dust. Approximately 35 mag of visual extinction
in the center is required to match the SW side of the optical velocity curve.
The spatial variation of the ratio of these lines to the CO (J=1-0) line is
compared among starburst galaxies NGC 253, M82, and NGC 4945 to investigate the
excitation mechanism responsible for the H_2 1-0 S(1) line.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 17:58:20 GMT""}]","2009-10-28"
"astro-ph/9508032",,"Ewa L. Lokas, Roman Juszkiewicz, Francois R. Bouchet and Eric Hivon","Previrialization: Perturbative and N-Body Results","Significantly revised, 25 pages, uuencoded compressed postscript,
  figures included, to appear in ApJ",,"10.1086/177580",,"astro-ph",,"  We present a series of N-body experiments which confirm the reality of the
previrialization effect. We also use weakly nonlinear perturbative approach to
study the phenomenon. These two approaches agree when the rms density contrast,
$\sigma$, is small; more surprisingly, they remain in agreement when $\sigma
\approx 1$. When the slope of the initial power spectrum is $n>-1$, nonlinear
tidal interactions slow down the growth of density fluctuations and the
magnitude of the suppression increases when $n$ (i.e. the relative amount of
small scale power) is increased. For $n<-1$ we see an opposite effect: the
fluctuations grow more rapidly than in linear theory. The transition occurs at
$n=-1$ when the weakly nonlinear correction to $\sigma$ is close to zero and
the growth rate is close to linear. Our results resolve recent controversy
between two N-body studies of previrialization. Peebles (1990) assumed $n=0$
and found strong evidence in support of previrialization, while Evrard \& Crone
(1992), who assumed $n=-1$, reached opposite conclusions. As we show here, the
initial conditions with $n=-1$ are rather special because the nonlinear effects
nearly cancel out for that particular spectrum. In addition to our calculations
for scale-free initial spectra, we show results for a more realistic spectrum
of Peacock \& Dodds (1994). Its slope near the scale usually adopted for
normalization is close to $-1$, so $\sigma$ is close to linear. Our results
retroactively justify linear normalization at 8$h^{-1}$ Mpc, while also
demonstrating the danger and limitations of this practice.
","[{""version"":""v1"",""created"":""Tue, 8 Aug 1995 08:00:42 GMT""},{""version"":""v2"",""created"":""Mon, 12 Feb 1996 15:42:10 GMT""}]","2009-10-28"
"astro-ph/9508033","Michael Merrifield","Michael R. Merrifield (Southampton University)","Buckling Bars and Boxy Bulges","uuencoded compressed postcript, 9 pages. Invited talk at IAU
  Colloquium #157: Barred Galaxies. The figures (some of which are rather
  large) are available over the WWW from our preprint server at
  http://www.astro.soton.ac.uk/pubs/Publications.html",,,,"astro-ph",,"  It has been suggested that the peanut-shaped bulges seen in some edge-on disk
galaxies are produced when bars in these galaxies buckle. This paper reviews
the modelling which seeks to show how bars buckle, and I present a very simple
new model which captures the essential physics of this process. I then discuss
the problems in establishing observationally the connection between
peanut-shaped bulges and bars: confirmation of the link has proved difficult
because boxy bulges are only apparent in edge-on galaxies whereas bars are only
easily detectable in more face-on systems. Finally, I present a new technique
which avoids this difficulty by searching for the distinctive kinematic
signature of an edge-on bar; application of this method to spectra of
peanut-shaped bulges reveals that they are, indeed, associated with hidden
bars.
","[{""version"":""v1"",""created"":""Tue, 8 Aug 1995 12:08:20 GMT""}]","2007-05-23"
"astro-ph/9508034","Marcos Duarte Maia","Vanda Silveira and Claudio M. G. de Sousa (Universidade de Brasilia)","Boson Star Rotation: A Newtonian Approximation","17 pages, Latex, 3 figures available upon request","Phys.Rev. D52 (1995) 5724-5728","10.1103/PhysRevD.52.5724",,"astro-ph gr-qc",,"  Using the Newtonian approximation, we study rotating compact bosonic objects.
The equations which describe stationary states with non-zero angular momentum
are constructed and some numerical results are presented as examples. Limits on
the applicability of the Newtonian approximation are discussed.
","[{""version"":""v1"",""created"":""Tue, 8 Aug 1995 11:47:36 GMT""}]","2009-10-28"
"astro-ph/9508035","Alain Lecavelier","A. Lecavelier des Etangs, A. Vidal-Madjar, R. Ferlet","Dust distribution in disks supplied by small bodies: Is the Beta
  Pictoris disk a gigantic multi-cometary tail?","10 pages, l-aa LaTeX file + 7 appended figures in uuencoded .ps; To
  appear in Astronomy & Astrophysics. Postscript version of paper also
  available at ftp://ftp.iap.fr/pub/from_users/lecaveli/aaiii",,,,"astro-ph",,"  We have evaluated the spatial distribution of dust in disks supplied by
colliding or evaporating bodies spread in a small belt. The gradient of the
distribution of dust expelled by radiation pressure is generally steeper than
the one observed around \bp. It follows that, to generate the \bp\ disk
distribution in such a way, one should extract relatively more small particles
in the production process: thanks to radiation forces, these smaller particles
have large eccentricities and thus could be seen at very large distances from
their injection place. The evaporation process of comet-like bodies moving
slowly inwards may yield the necessary particle size distribution.
  It is interesting to note that this dynamical description is able to account
for the main observational properties of the \bp\ disk, such as the power law
distribution with possibly a change in slope, the asymmetry at large distances,
and the total mass, all of which have remained unexplained up to now. If
confirmed, this scenario may indicate that the \bp\ disk could be looked on as
a gigantic multi-cometary tail with its natural constituents: gas and dust.
","[{""version"":""v1"",""created"":""Tue, 8 Aug 1995 11:52:14 GMT""}]","2016-08-30"
"astro-ph/9508036","Mark Neeser","Mark J. Neeser, Stephen A. Eales, J. Duncan Law-Green, Patrick Leahy,
  and Steve Rawlings","The Linear-Size Evolution of Classical Double Radio Sources","compressed and uuencoded postscript file. 33 pages including 5
  figures (441951 bytes). Accepted for publication in September ApJ",,"10.1086/176201",,"astro-ph",,"  Recent investigations of how the median size of extragalactic radio sources
change with redshift have produced inconsistent results. Eales compared the
radio and optical properties of a bright 3C and faint 6C sample and concluded
that $D\propto(1+z)^{-1.1\pm0.5}$ ($\Omega_0 = 0$), with $D$ being the median
size of the radio sources at a given epoch and z the redshift. Oort, Katgert,
and Windhorst, on the other hand, from a comparison of the properties of a
number of radio samples, found much stronger evolution, with
$D\propto(1+z)^{-3.3 \pm0.5}$. In this paper we attempt to resolve the
difference. We have repeated the analysis of Eales using the virtually complete
redshift information that now exists for the 6C sample. Confining our analysis
to FR2 sources, which we argue is the best-understood class of radio sources
and the least likely to be affected by selection effects, we find
$D\propto(1+z)^{-1.2\pm0.5}$ ($\Omega_0 = 0$) and $D\propto(1+z)^{-1.7\pm0.4}$
($\Omega_0 = 1$). Our complete redshift information allows us to gain insight
into our result by plotting a radio luminosity-size (P-D) diagram for the 6C
sample. The most obvious difference between the 3C and 6C P-D diagrams is the
clump of sources in the 6C diagram at $D\sim 100 kpc, P_{151}\sim 5x10^{27}
WHz^{-1}sr^{-1}$. These clump sources have similar sizes to the emission-line
regions found around high-redshift radio galaxies, suggesting that the presence
of dense line-emitting gas around high-redshift radio galaxies is responsible
for the size evolution. We show that this explanation can quantitatively
explain the observed size evolution, as long as there is either little X-ray
emitting gas around these objects or, if there is, it is distributed in a
similar way to the emission-line gas: highly anisotropic and inhomogeneous.
","[{""version"":""v1"",""created"":""Tue, 8 Aug 1995 15:00:43 GMT""}]","2009-10-28"
"astro-ph/9508037","Eli Waxman","Eli Waxman (Institute for Advanced Study, Princeton)","Cosmological Origin for Cosmic Rays Above $10^{19}$ eV","uuencoded gz-compressed postscript file, including 2 figures; To
  appear in the October 10 (1995) issue of the Ap. J. Letters","Astrophys.J. 452 (1995) L1-L4","10.1086/309715","IASSNS-AST 95/32","astro-ph",,"  The cosmic ray spectrum at $10^{19}{\rm eV}-10^{20}{\rm eV}$, reported by the
Fly's Eye and the AGASA experiments, is shown to be consistent with a
cosmological distribution of sources of protons, with a power law generation
spectrum ${\rm d}\ln N/{\rm d}\ln E=-2.3\pm0.5$ and energy production rate of
$4.5\pm1.5\times10^{44}{\rm erg}\ {\rm Mpc}^{-3}\ {\rm yr}^{-1}$. The two
events measured above $10^{20}{\rm eV}$ are not inconsistent with this model.
Verifying the existence of a ``black-body cutoff'', currently observed with low
significance, would require $\sim30$ observation-years with existing
experiments, but only $\sim1$ year with the proposed $\sim5000\ {\rm km}^2$
detectors. For a cosmological source distribution, no anisotropy is expected in
the angular distribution of events with energies up to $\sim5\times10^{19}{\rm
eV}$.
","[{""version"":""v1"",""created"":""Tue, 8 Aug 1995 15:09:13 GMT""}]","2009-10-28"
