"adap-org/9508002","Torsten Asselmeyer","Torsten Asselmeyer, Werner Ebeling, and Helge Rose","Smoothing representation of fitness landscapes - the genotype-phenotype
  map of evolution","uudecoded postscript-file, 74kB, submitted to BioSystems",,,"ITP - 392","adap-org nlin.AO q-bio",,"  We investigate an simple evolutionary game of sequences and demonstrate on
this example the structure of fitness landscapes in discrete problems. We show
the smoothing action of the genotype-phenotype mapping which still makes it
feasible for evolution to work. Further we propose the density of sequence
states as a classifying measure of fitness landscapes.
","[{""version"":""v1"",""created"":""Thu, 10 Aug 1995 13:09:12 GMT""}]","2008-02-03"
"adap-org/9508003","Torsten Asselmeyer","Torsten Asselmeyer, and Werner Ebeling","Analytic Investigations of Random Search Strategies for Parameter
  Optimization","ReVTeX 3.0, psfig1.9, tar-archive, uudecoded, 9 pages, submitted to
  Phys. Rev. E",,,"ITP - 393","adap-org nlin.AO",,"  Several standard processes for searching minima of potential functions, such
as thermodynamical strategies (simulated annealing) and biologically motivated
selfreproduction strategies, are reduced to Schr\""odinger problems. The
properties of the landscape are encoded in the spectrum of the Hamiltonian. We
investigate this relation between landscape and spectrum by means of
topological methods which lead to a possible classification of landscapes in
the framework of the operator theory. The influence of the dimension $d$ of the
search space is discussed. The connection between thermodynamical strategies
and biologically motivated selfreproduction strategies is analyzed and
interpreted in the above context. Mixing of both strategies is introduced as a
new powerful tool of optimization.
","[{""version"":""v1"",""created"":""Thu, 10 Aug 1995 13:11:26 GMT""}]","2008-02-03"
"astro-ph/9508046","Gunter Sigl","Guenter Sigl","Weak Interactions in Supernova Cores and Saturation of Nucleon Spin
  Fluctuations","9 latex pages, 1 uuencoded postscript figure added via figures
  command","Phys.Rev.Lett.76:2625-2628,1996","10.1103/PhysRevLett.76.2625","FERMILAB-Pub-95/274-A","astro-ph",,"  Extrapolation of perturbative nucleon spin fluctuation rates seems to suggest
a strong suppression of weak interactions in supernova cores. We derive a new
sum rule for the dynamical spin-density structure function which relates the
spin fluctuation rate to the average nuclear interaction energy. For a
bremsstrahlung like structure function profile we show that instead of strongly
decreasing, the neutrino scattering cross section is roughly density
independent and axion emission rates increase somewhat slower than the lowest
order emissivities towards the center of a hot supernova core.
","[{""version"":""v1"",""created"":""Wed, 9 Aug 1995 16:38:24 GMT""}]","2008-11-26"
"astro-ph/9508047",,"Charles D. Dermer (Naval Research Laboratory) and Thomas J. Weiler
  (Vanderbilt University)","Cosmological Models of Gamma-Ray Bursts","12 pages, no figures, uuencoded compressed postscript file. Invited
  review to appear in the proceedings of the 29th ESLAB Symposium ""Towards the
  Source of Gamma-Ray Bursts,"" Noordwijk, Netherlands, 25-27 April, 1995","Astrophys.Space Sci. 231 (1995) 377","10.1007/BF00658654",,"astro-ph",,"  We review models of cosmological gamma-ray bursts (GRBs). The statistical and
$\gamma$-ray transparency issues are summarized. Neutron-star and black-hole
merger scenarios are described and estimates of merger rates are summarized. We
review the simple fireball models for GRBs and the recent work on non-simple
fireballs. Alternative cosmological models, including models where GRBs are
analogs of active galactic nuclei and where they are produced by high-field,
short period pulsars, are also mentioned. The value of neutrino astronomy to
solve the GRB puzzle is briefly reviewed.
","[{""version"":""v1"",""created"":""Wed, 9 Aug 1995 17:54:38 GMT""}]","2009-10-28"
"astro-ph/9508048","Curtis Gehman","Curtis S. Gehman, Fred C. Adams, Marco Fatuzzo, Richard Watkins (Univ.
  of Michigan)","Wave Motions In Molecular Clouds: Results in Two Dimensions","24 pages + 10 figures; self-extracting, uuencoded, compressed tarfile","Astrophys.J. 457 (1996) 718","10.1086/176766","UM AC 95-06","astro-ph",,"  We study the linear evolution of small perturbations in self-gravitating
fluid systems in two spatial dimensions; we consider both cylindrical and
cartesian (i.e., slab) geometries. The treatment is general, but the
application is to molecular clouds. We consider a class of equations of state
which heuristically take into account the presence of turbulence; in
particular, we consider equations of state which are {\it softer} than
isothermal. We take the unperturbed cloud configuration to be in hydrostatic
equilibrium. We find a class of wave solutions which propagate along a pressure
supported cylinder (or slab) and have finite (trapped) spatial distributions in
the direction perpendicular to the direction of propagation. Our results
indicate that the dispersion relations for these two dimensional waves have
similar forms for the two geometries considered here. Both cases possess a
regime of instability and a fastest growing mode. We also find the
(perpendicular) form of the perturbations for a wide range of wavelengths.
Finally, we discuss the implications of our results for star formation and
molecular clouds. The mass scales set by instabilities in both molecular cloud
filaments and sheets are generally much larger than the masses of stars.
However, these instabilities can determine the length scales for the initial
conditions for protostellar collapse.
","[{""version"":""v1"",""created"":""Wed, 9 Aug 1995 19:07:20 GMT""}]","2009-10-28"
"astro-ph/9508049","Mark Trodden","J.A.S. Lima and M. Trodden (Brown University)","Decaying Vacuum Energy and Deflationary Cosmology in Open and Closed
  Universes","20 pages, 2 figures (available from the authors), uses LaTeX","Phys.Rev. D53 (1996) 4280-4286","10.1103/PhysRevD.53.4280","BROWN-HET-994","astro-ph gr-qc hep-ph",,"  We consider a nonsingular deflationary cosmological model with decaying
vacuum energy density in universes of arbitrary spatial curvature. Irrespective
of the value of $k$, the models are characterized by an arbitrary time scale
$H_I^{-1}$ which determines the initial temperature of the universe and the
largest value of the vacuum energy density, the slow decay of which generates
all the presently observed matter-energy of the universe. If $H_I^{-1}$ is of
the order of the Planck time, the models begin with the Planck temperature and
the present day value of the cosmological constant satisfies
$\Lambda_I/\Lambda_0 \simeq 10^{118}$ as theoretically suggested. It is also
shown that all models allow a density parameter $\Omega_0 <2/3$ and that the
age of the universe is large enough to agree with observations even with the
high value of $H_0$ suggested by recent measurements.
","[{""version"":""v1"",""created"":""Wed, 9 Aug 1995 19:19:31 GMT""}]","2009-10-28"
"astro-ph/9508050","Istvan Szapudi","Istv\'an Szapudi and Alexander S. Szalay","Effects of Sampling on Measuring Galaxy Count Probabilities","Accepted for publication in ApJ. postscript of 16 pages and three
  figures uuencoded, gzipped, tarred","Astrophys.J. 459 (1996) 504","10.1086/176913","FERMILAB-Pub-95/266-A","astro-ph",,"  We investigate in detail the effects of sampling on our ability to accurately
reconstruct the distribution of galaxies from galaxy surveys. We use a simple
probability theory approach, Bayesian classifier theory and Bayesian transition
probabilities. We find the best Bayesian estimator for the case of low sampling
rates, and show that even in the optimal case certain higher order
characteristics of the distribution are irretrievably washed out by sparse
sampling: we illustrate this by a simple model for cluster selection. We show
that even choosing an optimal threshold, there are nonzero numbers for both
misidentified clusters and true clusters missed. The introduction of sampling
has an effect on the distribution function that is similar to convolution.
Deconvolution is possible and given in the paper, although it might become
unstable as sampling rates become low. These findings have important
consequences on planning and strategies of future galaxy surveys.
","[{""version"":""v1"",""created"":""Wed, 9 Aug 1995 19:36:21 GMT""}]","2009-10-28"
"astro-ph/9508051","Richhild Moessner","R. Moessner (Brown University)","Statistics of Peculiar Velocities from Cosmic Strings","17 pages, uses Latex, to appear in MNRAS, 1 Postscript figure
  available on request","Mon.Not.Roy.Astron.Soc. 277 (1995) 927","10.1093/mnras/277.3.927","BROWN-HET-961","astro-ph",,"  We calculate the probability distribution of a single component of peculiar
velocities due to cosmic strings, smoothed over regions with a radius of
several $h^{-1}$ Mpc. The probability distribution is shown to be Gaussian to
good accuracy, in agreement with the distribution of peculiar velocities
deduced from the 1.9 Jy IRAS redshift survey. Using the normalization of
parameters of the cosmic string model from CMB measurements, we show that the
rms values for peculiar velocities inferred from IRAS are consistent with the
cosmic string model provided that long strings have some small-scale structure.
","[{""version"":""v1"",""created"":""Wed, 9 Aug 1995 20:30:25 GMT""},{""version"":""v2"",""created"":""Fri, 11 Aug 1995 01:00:14 GMT""}]","2015-06-24"
"cmp-lg/9508005","Xarhs Papageorgiou","Lambros Cranias, Harris Papageorgiou, Stelios Piperidis (Institute for
  Language and Speech Processing, Greece)","A Matching Technique in Example-Based Machine Translation","5 pages,LaTeX uses aclap.sty",,,,"cmp-lg cs.CL",,"  This paper addresses an important problem in Example-Based Machine
Translation (EBMT), namely how to measure similarity between a sentence
fragment and a set of stored examples. A new method is proposed that measures
similarity according to both surface structure and content. A second
contribution is the use of clustering to make retrieval of the best matching
example from the database more efficient. Results on a large number of test
cases from the CELEX database are presented.
","[{""version"":""v1"",""created"":""Thu, 10 Aug 1995 14:05:16 GMT""}]","2008-02-03"
"cond-mat/9508029",,"Takashi Tonegawa, Makoto Kaburagi","Numerical Study of the Spin-1 Antiferromagnetic Heisenberg Chain with a
  Spin-1/2 Impurity","18 pages, plain TeX with 4 tables(gzipped and uuencoded), 9 figures
  available upon request from tonegawa@icluna.kobe-u.ac.jp, to be published in
  J. Phys. Soc. Jpn., Vol.64, No.10 (Oct. 1995)",,"10.1143/JPSJ.64.3956","SST-KU-95-01","cond-mat",,"  Low-lying excited states as well as the ground state of the spin-1
antiferromagnetic Heisenberg chain with a spin-1/2 impurity are studied by
means of a method of numerical diagonalization. The isotropic nearest-neighbor
exchange coupling plus the uniaxial single-ion-type anisotropy energy is
assumed for the host-system Hamiltonian. The energy differences between the
ground state and the low-lying excited states, which appear in the Haldane gap,
are estimated in the thermodynamic limit. The results are used to analyze the
electron-spin-resonance experimental data on
Ni(C$_2$H$_8$N$_2$)$_2$NO$_2$(ClO$_4$), abbreviated NENP, containing a small
amount of spin-1/2 Cu$^{2+}$ impurities. It is found that in this system, the
impurity-host $\bigl($Cu$^{2+}$-Ni$^{2+}$$\bigr)$ coupling is ferromagnetic and
its magnitude is about 5$\,$\% of the magnitude of the host-host
$\bigl($Ni$^{2+}$-Ni$^{2+}$$\bigr)$ coupling.
","[{""version"":""v1"",""created"":""Wed, 9 Aug 1995 17:30:10 GMT""}]","2009-10-28"
"cond-mat/9508030","Erik S. Sorensen","Erik Sorensen (IU Bloomington), Ian Affleck (UBC)","Is there an exponentially large Kondo screening cloud ?","RevTeX 3.0, 13 pages including 3 EPS figures using epsf macros",,,"IUCM95-023","cond-mat",,"  We make a precise scaling conjecture, based on renormalization group ideas,
regarding the screening cloud around an impurity spin in the Kondo effect and
test it numerically using the Density Matrix Renormalization Group method.
","[{""version"":""v1"",""created"":""Wed, 9 Aug 1995 18:25:13 GMT""}]","2007-05-23"
"cond-mat/9508031","Per Arne Rikvold","Howard L. Richards, Scott W. Sides, Mark A. Novotny, and Per Arne
  Rikvold","Kinetic Ising Systems as Models of Magnetization Switching in Submicron
  Ferromagnets","3 pages, REVTeX, 3 figures. Submitted to Proceedings of the 40th
  Annual Magnetism and Magnetic Materials Conference","J. Appl. Phys., 79 (1996) 5749-5751","10.1063/1.362175","FSU-SCRI-95C-75","cond-mat",,"  Recently experimental techniques, such as magnetic force microscopy (MFM),
have enabled the magnetic state of individual sub-micron particles to be
resolved. Motivated by these experimental developments, we use Monte Carlo
simulations of two-dimensional kinetic Ising ferromagnets to study the magnetic
relaxation in a negative applied field of a grain with an initial magnetization
$m_0 = +1$. The magnetostatic dipole-dipole interactions are treated to lowest
order by adding to the Hamiltonian a term proportional to the square of the
magnetization. We use droplet theory to predict the functional forms for some
quantities observed by MFM, such as the probability that the magnetization is
positive. Our simulations are in excellent agreement with droplet-theoretical
predictions. The qualitative agreement between experiments and our simulations
of switching in individual single-domain ferromagnets indicates that the
switching mechanism in such particles may involve local nucleation and
subsequent growth of droplets of the stable phase.
","[{""version"":""v1"",""created"":""Wed, 9 Aug 1995 20:36:33 GMT""}]","2009-10-28"
"cond-mat/9508032","Alison Chaiken","A. Chaiken, R.P. Michel, and M.A. Wall","Structure and Magnetism of Fe/Si Multilayers Grown by Ion-Beam
  Sputtering","29 pages, RevTex, 15 figures available by fax. Send email to
  chaiken@llnl.gov for more info",,"10.1103/PhysRevB.53.5518",,"cond-mat mtrl-th",,"  Ion-beam sputtering has been used to prepare Fe/Si multilayers on a variety
of substrates and over a wide range of temperatures. Small-angle x-ray
diffraction and transmission electron microscopy experiments show that the
layers are heavily intermixed although a composition gradient is maintained.
When the spacer layer is an amorphous iron silicide, the magnetic properties of
the multilayers are similar to those of bulk Fe. When the spacer layer is a
crystalline silicide with the B2 or DO$_3$ structure, the multilayers show
antiferromagnetic interlayer coupling like that observed in
ferromagnet/paramagnet multilayers such as Fe/Cr and Co/Cu. Depending on the
substrate type and the growth temperature, the multilayers grow in either the
(011) or (001) texture. The occurrence of the antiferromagnetic interlayer
coupling is dependent on the crystallinity of the iron and iron silicide
layers, but does not seem to be strongly affected by the perfection of the
layering or the orientation of the film. Since the B2- and DO$_3$-structure
Fe$\rm _x$Si$\rm _{1-x}$ compounds are known to be metallic, antiferromagnetic
interlayer coupling in Fe/Si multilayers probably originates from the same
quantum-well and Fermi surface effects as in Fe/Cr and Co/Cu multilayers.
","[{""version"":""v1"",""created"":""Thu, 10 Aug 1995 00:22:33 GMT""}]","2009-10-28"
"cond-mat/9508033","Didier Poilblanc","Frederic Mila and Didier Poilblanc","Integrability and coherence of hopping between 1D correlated electrons
  systems","9 pages, LateX, 4 figures in uuencoded format, submitted to Phys.
  Rev. Lett",,"10.1103/PhysRevLett.76.287",,"cond-mat",,"  We present numerical evidence that the hopping of electrons between chains
described by the $t-J$ model is coherent in the integrable cases ($J=0$ and
$J=2$) and essentially incoherent otherwise. This effect is {\it not} related
to the value of the exponent $\alpha$, (which is restricted to the interval
[0,1/8] when $0\le J\le 2$), and we propose that enhanced coherence is
characteristic of integrable systems.
","[{""version"":""v1"",""created"":""Thu, 10 Aug 1995 03:09:14 GMT""}]","2009-10-28"
