"alg-geom/9508010","Dmitri Zaitser","Alan Huckleberry, Dmitri Zaitsev","Actions of groups of birationally extendible automorphisms","30 pages, AmS-TeX- Version 2.1 (amstex.tex)",,,,"alg-geom math.AG math.CV",,"  We study the actions of a Lie group $G$ by birationally extendible
automorphisms on a domain $D\subset C^n$. For a large class of such domains
defined by polynomial inequalities, all automorphisms are of this type. In the
cases 1) $G$ has finitely many components or 2) the degree of the automorphisms
is bounded, we prove that the action of $G$ is projectively linearizable, i.e.
there exist a linear representation of $G$ on some $ C^{N+1}$ and a holomorphic
$G$-equivariant embedding $i: D\to P^N$, which is a restriction of a rational
mapping. As a corollary we obtain as many rational invariant functions as the
dimension of generic orbits allows. A hard copy is available from
Dmitri.Zaitsev@rz.ruhr-uni-bochum.de
","[{""version"":""v1"",""created"":""Tue, 22 Aug 1995 14:00:28 GMT""},{""version"":""v2"",""created"":""Wed, 30 Aug 1995 15:25:26 GMT""}]","2008-02-03"
"astro-ph/9508097","Patrick Petitjean","Patrick Petitjean, Ruediger Riediger, Michael Rauch","The metal line systems in HS1700+6416: Evidence for inhomogeneities","7 pages, 1 figure, encoded compressed ps-file : q1700.ps",,,,"astro-ph",,"  We present a high S/N ratio optical spectrum of the bright quasar
HS1700+6416. These data usefully complement the UV HST data from Vogel and
Reimers (1995). We analyse the metal line systems using photo-ionization models
allowing for inhomogeneities in the gas. The models are able to reproduce
within a factor of two the large N(HeI)/N(HI) ratio together with the mean
column densities of the heavy element species observed in the z=2 systems. The
density contrast between low and high density regions is of the order of 30.
Although the [O/C] abundance ratio seems slighly larger than solar, firm
conclusion should await higher spectral resolution data. A break at the HeII
ionization limit of a factor of ten is acceptable in the ionizing spectrum.
Abundances are found to be about 0.08 solar. This together with other
determinations from the literature indicates that there is evolution in the
metal content of metal line systems with redshift: [Mg/H] is slighly below
solar at z=0.7 and [C/H]=0.1-0.01 at z=2. We detect an associated CIV system at
z=2.7126 in which there is some evidence for the presence of NeVIII, probably
NeVI, NeVII, and possibly SiXII.
","[{""version"":""v1"",""created"":""Tue, 22 Aug 1995 12:45:10 GMT""}]","2007-05-23"
"chem-ph/9508003","Eric Charron","Eric Charron, Annick Giusti-Suzor and Frederick Mies","Coherent Control of Isotope Separation in HD+ Photodissociation by
  Strong Fields","Physical Review Letters, 1995 (in press). 4 pages in revtex format, 3
  uuencoded figures. Full postcript version available at:
  http://chemphys.weizmann.ac.il/~charron/prl.ps or
  ftp://scipion.ppm.u-psud.fr/coherent.control/prl.ps","Physical Review Letters 75, 2815 (1995)","10.1103/PhysRevLett.75.2815",,"chem-ph physics.chem-ph",,"  The photodissociation of the HD+ molecular ion in intense short- pulsed
linearly polarized laser fields is studied using a time- dependent wave-packet
approach where molecular rotation is fully included. We show that applying a
coherent superposition of the fundamental radiation with its second harmonic
can lead to asymmetries in the fragment angular distributions, with significant
differences between the hydrogen and deuterium distributions in the long
wavelength domain where the permanent dipole is most efficient. This effect is
used to induce an appreciable isotope separation.
","[{""version"":""v1"",""created"":""Tue, 22 Aug 1995 14:41:39 GMT""},{""version"":""v2"",""created"":""Wed, 23 Aug 1995 08:12:04 GMT""}]","2019-04-04"
"cond-mat/9508087","Michael C. Martin","Michael C. Martin, G. Shirane (BNL), Y. Endoh, K. Hirota (Tohoku
  Univ.), Y. Moritomo, and Y. Tokura (Univ. Tokyo)","Magnetism and Structural Distortion in the La0.7Sr0.3MnO3 Metallic
  Ferromagnet","Submitted to Phys. Rev. B. (03Aug95) Uuencoded gz-compressed .tar
  file of Postscript text (12 pages) and 6 figures. Also available by WWW from
  http://insti.physics.sunysb.edu/~mmartin/ under my list of publications or by
  e-mail request","Phys. Rev. B 53, 14285 (1996).","10.1103/PhysRevB.53.14285","BNL-62091","cond-mat",,"  Neutron scattering studies on a single crystal of the highly-correlated
electron system, La1-xSrxMnO3 with x~0.3, have been carried out elucidating
both the spin and lattice dynamics of this metallic ferromagnet. We report a
large measured value of the spin wave stiffness constant, which directly shows
that the electron transfer energy of the d band is large. The spin dynamics,
including magnetic critical scattering, demonstrate that this material behaves
similar to other typical metallic ferromagnets such as Fe or Ni. The crystal
structure is rhombohedral, as previously reported, for all temperatures studied
(below ~425K). We have observed new superlattice peaks which show that the
primary rhombohedral lattice distortion arises from oxygen octahedra rotations
resulting in an R-3c structure. The superlattice reflection intensities which
are very sensitive to structural changes are independent of temperature
demonstrating that there is no primary lattice distortion anomaly at the
magnetic transition temperature, Tc = 378.1 K, however there is a lattice
contraction.
","[{""version"":""v1"",""created"":""Mon, 21 Aug 1995 16:11:56 GMT""}]","2009-10-28"
"cond-mat/9508088","Sb27","S. E. Lofland, S. M. Bhagat, C. Kwon, M. C. Robson, R. Ramesh and R.
  P. Sharma","Standing Spin Wave Resonances in Manganite Films","5 pages LATEX, 3 figures available on request. Submitted to Nature.
  Please send all queries to sb27@umail.umd.edu",,"10.1016/0375-9601(95)00804-8",,"cond-mat",,"  We report the first observation of spin wave resonances in 110 nm thick films
of LBMO. The spin wave stiffness follows $D$ = 47 (1 - 3 \times 10$_{-7}$
$T^{5/2}$) meV${\AA_2}$.
","[{""version"":""v1"",""created"":""Mon, 21 Aug 1995 18:43:00 GMT""}]","2009-10-28"
"cond-mat/9508089","Matt Reilly","Matthew J. Reilly and A. G. Rojo","Two--magnon scattering and the spin--phonon interaction beyond the
  adiabatic approximation","14 pages (revtex format), 8 postscript figures",,"10.1103/PhysRevB.53.6429",,"cond-mat",,"  We consider a model of Raman scattering for a two--dimensional $S=1/2$
Heisenberg Anti-Ferromagnet which includes a {\it dynamical} spin--phonon
interaction. We observe a broadening of the line shape due to increased
coupling with excited high--energy spin states. Our results are close to a
model of random static exchange interactions, first introduced in this context
by Haas {\it et al.} [J. Appl. Phys. {\bf 75}, 6340, (1994)], which, when
extended to large numbers of spins, explains experiments in the parent
insulating compounds of high-$T_c$ superconductors.
","[{""version"":""v1"",""created"":""Mon, 21 Aug 1995 22:24:59 GMT""}]","2009-10-28"
"cond-mat/9508091","Klaus Ziegler","K. Ziegler (Max-Planck-Institut f\""ur Physik Komplexer Systeme)","Dirac Fermions with Disorder in Two Dimensions: Exact Result","extended introduction and additional chapter on 'species
  multiplication' including two figures",,"10.1103/PhysRevB.53.9653",,"cond-mat",,"  Dirac fermions on a two-dimensional lattice with disorder are considered. The
Dirac mass, which controls the gap between the two bands of the fermions, is
subject to random fluctuations. Another type of disorder is discussed presented
by a random vector potential. It is shown that the imaginary part of the
one-particle Green's function can be written as the imaginary part of another
Green's function which has only poles on the lower half-plane. Therefore, it is
possible to perform a Cauchy integration for a Lorentzian distribution in
analogy with the Lloyd model. The results are compared with calculations
performed in the continuum limit based on renormalization group and
bosonization methods.
","[{""version"":""v1"",""created"":""Tue, 22 Aug 1995 09:52:59 GMT""},{""version"":""v2"",""created"":""Wed, 10 Jan 1996 12:31:03 GMT""}]","2009-10-28"
"dg-ga/9508010","Clint McCrory","Joseph H. G. Fu and Clint McCrory","Stiefel-Whitney Classes and the Conormal Cycle of a Singular Variety","28 pages, AMSTeX Version 2.1, format AMSppt. The only change is that
  \input amstex \documentstyle{amsppt} has been added to the file",,,"UGA Math Preprints, volume 3, no. 7","dg-ga math.DG",,"  A geometric construction of Sullivan's Stiefel-Whitney homology classes of a
real analytic variety $X$ is given by means of the conormal cycle of an
embedding of $X$ in a smooth variety. We prove that the Stiefel-Whitney classes
define additive natural transformations from certain constructible functions to
homology. We also show that, for a complex analytic variety, these classes are
the mod 2 reductions of the Chern-MacPherson classes.
","[{""version"":""v1"",""created"":""Mon, 21 Aug 1995 19:42:29 GMT""},{""version"":""v2"",""created"":""Tue, 22 Aug 1995 19:46:14 GMT""}]","2008-02-03"
"gr-qc/9508047","Animals have rights","Kamilla Piotrkowska","Averaging, renormalization group and criticality in cosmology","12 pages. Latex. Talk given at the South African Relativity Workshop,
  Cape Town, June 1995",,,,"gr-qc",,"  Several problems in physics, in particular the averaging problem in gravity,
can be described in a formalism derived from the real-space Renormalization
Group (RG) methods. It is shown that the RG flow is provided by the
Ricci-Hamilton equations which are thereby provided with a {\it physical}
interpretation. The connection between a manifold deformation according to
these equations and Thurston's conjecture is exhibited. The significance of
criticality which naturally appears in this framework is briefly discussed.
This article summarizes also recent work with M. Carfora. Moreover, a report on
some work in progress is given and some open issues in the averaging problem
pointed out.
","[{""version"":""v1"",""created"":""Tue, 22 Aug 1995 11:37:21 GMT""}]","2007-05-23"
"gr-qc/9508048",,"R.D. Daniels and G.M. Shore","`Faster than light' photons and rotating black holes","Plain TeX, 12 pages, 1 figure","Phys.Lett. B367 (1996) 75-83","10.1016/0370-2693(95)01468-3","SWAT 95/71 CERN-TH/95-229","gr-qc hep-th",,"  The effective action for QED in curved spacetime includes equivalence
principle violating interactions between the electromagnetic field and the
spacetime curvature. These interactions admit the possibility of superluminal
yet causal photon propagation in gravitational fields. In this paper, we extend
our analysis of photon propagation in gravitational backgrounds to the Kerr
spacetime describing a rotating black hole. The results support two general
theorems -- a polarisation sum rule and a `horizon theorem'. The implications
for the stationary limit surface bounding the ergosphere are also discussed.
","[{""version"":""v1"",""created"":""Tue, 22 Aug 1995 14:36:46 GMT""}]","2009-10-28"
"hep-ex/9508014","Michael Kuhlen","M. Kuhlen","Hadronic Final States in Deeply Inelastic Scattering","8 pages,latex,epsfig,qcdparis.sty, 12 figues+kuhlen.sty uuencoded",,,"MPI-PhE/95-19","hep-ex",,"  Results on hadronic final states in deeply inelastic scattering are reviewed.
They comprise jet production and its interpretation in perturbative QCD,
signatures to distinguish conventional QCD dynamics from possible new features
of QCD at small $x$, and measurements of inclusive charged particle production.
Theoretical developments such as color dipole emission and instanton induced
final states are reported on.
","[{""version"":""v1"",""created"":""Tue, 22 Aug 1995 12:47:35 GMT""}]","2007-05-23"
