"alg-geom/9508011","Ziv Ran","Ziv Ran","On the quantum cohomology of the plane, old and new","AMSTeX2.1",,,,"alg-geom math.AG",,"  We describe a method for counting maps of curves of given genus (and variable
moduli) to $\Bbb P^2$, essentially by splitting the $\Bbb P^2$ in two; then
specialising to the case of genus 0 we show that the method of quantum
cohomology may be viewed as the 'mirror' of the former method where one splits
the $\Bbb P^1$ rather than the $\Bbb P^2$, and we indicate a proof of the
associativity of quantum multiplication based on this idea.
","[{""version"":""v1"",""created"":""Wed, 23 Aug 1995 23:14:02 GMT""},{""version"":""v2"",""created"":""Mon, 23 Oct 1995 09:43:17 GMT""}]","2008-02-03"
"astro-ph/9508103",,"S. V. H. Haugan (Institute of Theoretical Astrophysics, University of
  Oslo)","The microlensing events in Q2237+0305A: No case against small
  masses/large sources","2 pages, 1 figure. Uses crckapb.sty. To appear in the Proceedings of
  the IAU Symposium 173: ``Astrophysical Applications of Gravitational
  Lensing'', Kluwer Academic Publishers, Eds.: C. S. Kochanek and J. N. Hewitt.
  Also available through http://www.uio.no/~steinhh/index.html","IAU Symp. 173 (1996) 255",,,"astro-ph",,"  It is demonstrated that the 1988-90 microlensing events in image A of
Q2237+0305 reported by Racine (1992) do not exclude microlensing models with
very low average mass, making the source radius larger than the projected
Einstein radius $\eta_0$ (Refsdal and Stabell 1991, 1993). This is contrary to
what has been claimed by Witt and Mao (1994). Since these events are the best
resolved microlensing events recorded in Q2237+0305, further work should not
exclude the possibility of a large source when interpreting lightcurve data.
","[{""version"":""v1"",""created"":""Wed, 23 Aug 1995 20:27:11 GMT""}]","2007-05-23"
"astro-ph/9508104","Yipeng Jing","Y.P. Jing and G. Boerner (MPA)","The velocity dispersion profiles of clusters of galaxies: a cosmological
  test and the sampling effect","6 pages, uuencoded compressed tar ps-file. 2 tables and 3 figures
  included. The ps file (without uuencoding compressing) can also be obtained
  by anonymous ftp at: ftp://ibm-3.mpa-garching.mpg.de/pub/jing/vdispf.ps","Mon.Not.Roy.Astron.Soc. 278 (1996) 321","10.1093/mnras/278.2.321","Accepted for publication in MNRAS","astro-ph",,"  In this paper we investigate the velocity dispersion profiles of clusters of
galaxies for seven cosmological models. One model is the SCDM model, and the
others are six low-density models with the density parameter $\Omega=0.1$, 0.2
or 0.3 and with or without a cosmological constant $\Lambda=1-\Omega$. We find
that the velocity dispersion profiles depend both on $\Omega$ and on $\Lambda$.
For $\Lambda=0$, the profiles are steeper in a lower-$\Omega$ model than in a
higher-$\Omega$ one. The cosmological constant significantly weakens the
dependence on $\Omega$: the difference in the profile distributions between two
flat models is much smaller than that between the two corresponding open models
with the same $\Omega$. These results in principle can be used to constrain the
cosmological parameters when a large sample of the velocity dispersion profiles
is available. Motivated by the practical situation that a sample of $\sim 100$
clusters with $\sim 100$ measured redshifts per cluster is still the best
sample available in the foreseen future, we examine carefully to what degree
the cosmological parameters can be constrained with the velocity dispersion
profiles of such a sample of clusters. The limited sampling around clusters and
the limited number of clusters seriously degrade the discriminative power of
the velocity dispersion profiles among cosmological models. We find that the
five models of $\Omega\ge 0.2$ cannot be distinguished by this type of
observation. Due to the limited sampling, one should be very cautious in
extracting information about the density profile and/or the dynamics around
single clusters from the diluted velocity dispersion profiles
","[{""version"":""v1"",""created"":""Wed, 23 Aug 1995 17:12:33 GMT""}]","2015-06-24"
"astro-ph/9508105","Don Terndrup","D. M. Terndrup (Ohio State), E. M. Sadler (University of Sydney), and
  R. M. Rich (Columbia University)","K Giants in Baade's Window. I. Velocity and Line-strength Measurements","Accepted by the Astronomical Journal. 58 pages, uuencoded compressed
  PostScript. A complete (text+figs) compressed PostScript preprint is also
  available at ftp://bessel.mps.ohio-state.edu/pub/terndrup/kgiants1.ps.Z and
  (uncompressed) at
  http://www-astronomy.mps.ohio-state.edu/~terndrup/inpress/kgiants_fulltext.ps",,"10.1086/117649",,"astro-ph",,"  This is the first in a series of papers in which we analyze
medium--resolution spectra of over 400 K and M giants in Baade's Window. Our
sample was selected from the proper motion study of Spaenhauer et al. [AJ, 103,
297 (1992)]. We have measured radial velocities for most of the sample, as well
as line--strength indices on the system of Faber et al. [ApJS, 57, 711 (1985)].
We analyze the random and systematic errors in velocities and line strengths,
and show that the bright (V < 16.0) stars in our sample are predominantly
foreground disk stars along the line--of--sight toward Baade's Window. We find
that most of the bulge K giants have stronger Mg absorption at a given color
than do stars in the solar neighborhood. If the K giants in our sample are
moderately old, we suggest that on average they may have [Mg/Fe] ~ +0.3,
consistent with the results of recent high--resolution spectroscopy in Baade's
Window.
","[{""version"":""v1"",""created"":""Wed, 23 Aug 1995 18:47:35 GMT""}]","2009-10-28"
"astro-ph/9508106","A. Baha Balantekin","F. N. Loreti, Y.-Z. Qian, G. M. Fuller, and A. B. Balantekin","Effects of Random Density Fluctuations on Matter-Enhanced Neutrino
  Flavor Transitions in Supernovae and Implications for Supernova Dynamics and
  Nucleosynthesis","19 pages, latex, 3 postscript figures (using epsf macro). Full
  postscript version available at via the WWW at
  http://nucth.physics.wisc.edu/preprints/ or by via from
  ftp://nucth.physics.wisc.edu/preprints/mad-nt-95-03.ps","Phys.Rev.D52:6664-6670,1995","10.1103/PhysRevD.52.6664","MAD-NT-95-03","astro-ph hep-ph nucl-th",,"  We calculate the effects of random density fluctuations on two-neutrino
flavor transformations (${\nu}_{\tau(\mu)} \rightleftharpoons {\nu}_e$) in the
post-core-bounce supernova environment. In particular, we follow numerically
the flavor evolution of neutrino states propagating through a stochastic field
of density fluctuations. We examine the approach to neutrino flavor
depolarization, and study the effects of this phenomenon in both the early
shock reheating epoch and the later r-process nucleosynthesis epoch. Our
results suggest that significant fluctuation-induced neutrino flavor
depolarization effects occur in these environments only when the zero-order
(without density fluctautions) evolution of the neutrino states includes
adiabatic propagation through resonances (mass level crossings). In the shock
reheating epoch, depolarization effects from fluctuations with amplitudes
larger than 0.05% of the local matter density can cause an increase in the
heating rate of the material behind the shock compared to the case with no
neutrino flavor transformation - but this corresponds to a significant decrease
in this quantity relative to the case with adiabatic neutrino transformation.
If r-process nucleosynthesis is to occur during the late stages of supernova
evolution, then the requirement of neutron-rich conditions excludes a region of
neutrino mass-squared difference and vacuum mixing angle ($\delta m^2,\
\sin^22\theta$) parameter space for neutrino flavor transformation. We find
that in the presence of stochastic fluctuations, this excluded region is not
significantly altered even for random fluctuations with an amplitude of 1% of
the local matter density.
","[{""version"":""v1"",""created"":""Wed, 23 Aug 1995 20:30:54 GMT""}]","2010-01-15"
"astro-ph/9508107","Tim Axelrod","T. S. Axelrod (MSSSO and LLNL), R. A. Allsman (ANUSF), P. J. Quinn
  (ESO), D. P. Bennett (CfPA), K. C. Freeman, B.A. Peterson, A. W. Rodgers
  (MSSSO), C. Alcock, K. H. Cook (LLNL), K. Griest (UCSD), S. L. Marshall, M.
  R. Pratt, C. W. Stubbs (UW), and W. Sutherland (Oxford)","The MACHO Data Pipeline","36 pages, 6 Postscript figures, uuencoded compressed tar. Submitted
  to PASP",,,,"astro-ph",,"  The MACHO experiment is searching for dark matter in the halo of the Galaxy
by monitoring more than 20 million stars in the LMC and Galactic bulge for
gravitational microlensing events. The hardware consists of a 50 inch
telescope, a two-color 32 megapixel ccd camera, and a network of computers. On
clear nights the system generates up to 8 GB of raw data and 1 GB of reduced
data. The computer system is responsible for all realtime control tasks, for
data reduction, and for storing all data associated with each observation in a
data base. The subject of this paper is the software system that handles these
functions. It is an integrated system controlled by Petri nets that consists of
multiple processes communicating via mailboxes and a bulletin board. The system
is highly automated, readily extensible, and incorporates flexible error
recovery capabilities. It is implemented with C++ in a Unix environment.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 05:59:08 GMT""}]","2007-05-23"
"astro-ph/9508108","Jai-chan Hwang","J. Hwang","A Rigorous Proof of the Inflationary Spectrum","12 pages, latex, no figures, To appear in the Proceedings of ""The
  First Seoul Workshop on Gravity and Cosmology""","J.KoreanPhys.Soc.28:S502-S511,1995",,,"astro-ph gr-qc",,"  Fundamental formulae representing the density perturbation spectrums
generated in inflationary scenarios are rigorously proved. Quantum fluctuations
as initial conditions for structure generation in some inflationary era can be
calculated in general scale. Thus, we could avoid the matching of the large and
the small scale results at the horizon crossing epoch. This is possible because
the perturbed scalar field equation in a special gauge has some remarkable nice
properties. In the uniform-curvature gauge the contributions from the metric
fluctuations effectively disappear in certain expansion stages, and also we can
derive a simple general solution in the large scale limit.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 05:40:31 GMT""}]","2008-11-26"
"astro-ph/9508109",,"S. V. H. Haugan (Institute of Theoretical Astrophysics, University of
  Oslo)","Simulation of microlensing lightcurves by combining contouring and
  rayshooting","2 pages, no figures. Uses crckapb.sty. To appear in the Proceedings
  of the IAU Symposium 173: ``Astrophysical Applications of Gravitational
  Lensing'', Kluwer Academic Publishers, Eds.: C. S. Kochanek and J. N. Hewitt.
  Also available, with addditional information, through
  http://www.uio.no/~steinhh/index.html",,,"ITA-27","astro-ph",,"  The contouring methods described by Lewis et al. (1993) and Witt (1993) are
very efficient and elegant for obtaining the magnification of a point source
moving along a straight track in the source plane. The method is, however, not
very efficient for extended sources, because the amplification needs to be
computed for numerous parallel tracks and then convolved with the source
profile. Rayshooting is an efficient algorithm for relatively large sources,
but the computing time increases with the inverse of the source area for a
given noise level. This poster presents a hybrid method, using the contouring
method in order to find only those parts of the lens area that contribute to
the light curve through the rayshooting. Calculations show that this method has
the potential to be $10$--$10^5$ times more efficient than crude rayshooting
techniques.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 14:54:14 GMT""}]","2007-05-23"
"astro-ph/9508110","Yoshiaki Sofue","Yoshiaki SOFUE","Galactic Center Molecular Arms, Ring and Expanding Shells.I. Kinematical
  Structures in Longitude-Velocity Diagrams","Plain Tex, 19pages, Figures upon request","Publ.Astron.Soc.Jap. 47 (1995) 527",,"University of Tokyo Astro Preprint No. 95-27","astro-ph",,"  Analyzing the (l, b, Vlsr) data cube of 13CO(J=1-0) line emission obtained by
Bally et al, we have investigated the molecular gas distribution and kinematics
in the central +/-1 deg (150 pc) region of the Galaxy. We have applied the
pressing method to remove the local- and foreground-gas components at low
velocities in order to estimate the intensity more quantitatively. Two major
dense molecular arms have been identified in longitude-radial velocity diagrams
as apparently rigidly-rotating ridges. The ridges are spatially identified as
two arms, which we call the Galactic Center molecular Arms (GCA). The arms
compose a rotating ring of radius 120 pc (the 120-pc Molecular Ring), whose
inclination is about 85 deg. The Sgr B molecular complex is associated with GCA
I, and Sgr C complex is located on GCA II. These arms are as thin as 13 to 15
pc, except for vertically extended massive complexes around Sgr B and C. The LV
behavior of the arms can be qualitatively reproduced by a model which assumes
spiral arms of gas. Assuming a small pitch angle for the arms, we tried to
deconvolve the LV diagram to a projection on the galactic plane, and present a
possible face-on CO map as seen from the galactic pole, which also reveals a
molecular ring and arms. We have estimated masses of these molecular features,
using the most recent value of the CO-to-H2 conversion factor taking into
account its metallicity dependency and radial gradient in the Galaxy. The
estimated molecular masses and kinetic energy are about a factor of three
smaller than those reported in the literature using the conventional conversion
factor.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 09:18:20 GMT""},{""version"":""v2"",""created"":""Wed, 25 Oct 1995 05:00:57 GMT""}]","2008-02-03"
"astro-ph/9508111","Yoshiaki Sofue","Yoshiaki Sofue","Galactic Center Molecular Arms, Ring and Expanding Shells. II -
  Expanding Molecular Shell -","To appear in PASJ vol.47, No.5, 1995, Plain TeX, Figures on request","Publ.Astron.Soc.Jap. 47 (1995) 551",,"U.Tokyo Astro.Preprint No.95-28","astro-ph",,"  We investigate the three-dimensional structure of the so-called ``200-pc
expanding molecular ring"" in the Galactic Center by analyzing (b, Vlsr)
diagrams of the 13CO(J=1-0) line emission from the Bell-Telephone Laboratory
survey. We show that the b-v features can be fitted by a spheroidal shell
pinched at the equator (dumbbell-shaped shell), which we call the expanding
molecular shell (EMS). The radius is about 180 pc and the vertical extent is
more than +/-50 pc. The shell is expanding at 160 km/s, and is rotating at 70
km/s. The association of the radio continuum emission indicates that the EMS is
a mixture of molecular and ionized hydrogen gases. An extended hot (X-ray)
plasma appears to fill the interior of the shell. The estimated molecular mass
of the shell is approximately 1.E7 Msun and its kinetic energy 2.E54 ergs.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 09:18:48 GMT""}]","2007-05-23"
"astro-ph/9508113","System PRIVILEGED Account","K. Bernl\""ohr (Max-Planck-Institut f\""ur Kernphysik, Heidelberg)","Low threshold particle arrays","Space Science Reviews (in press). 13 pages, uuencoded gzipped
  PostScript, 6 figures included (107 kB). Also available at
  http://eu6.mpi-hd.mpg.de/~crt/papers/MPIK-V29-1995.ps.gz","Space Sci.Rev. 75 (1996) 185-197","10.1007/BF00195034","MPIK-V29-1995","astro-ph",,"  While atmospheric Cherenkov telescopes have a small field of view and a small
duty fraction, arrays of particle detectors on ground have a 1\,sr field of
view and a 100% duty fraction. On the other hand, particle detector arrays have
a much higher energy threshold and an inferior hadron rejection as compared to
Cherenkov telescopes. Low threshold particle detector arrays would have
potential advantages over Cherenkov telescopes in the search for episodic or
unexpected sources of gamma rays in the multi-TeV energy range. Ways to improve
the threshold and hadron rejection of arrays are shown, based on existing
technology for the timing method (with scintillator or water Cherenkov
counters) and the tracking method (with tracking detectors). The performance
that could be achieved is shown by examples for both methods. At mountain
altitude (about 4000 m or above) an energy threshold close to 1\,TeV could be
achieved. For any significant reduction of the hadronic background by selecting
muon-poor showers a muon detection area of at least 1000 m$^2$ is required,
even for a compact array.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 10:22:12 GMT""}]","2009-10-28"
