"acc-phys/9508001","George Parzen","G. Parzen (Brookhaven National Laboratory)","Linear Orbit Parameters for the Exact Equations of Motion","14 pages, gzipped postscript paper (120k)",,,"BNL-60090","acc-phys physics.acc-ph",,"  This paper defines the beta function and other linear orbit parameters using
the exact equations of motion. The orbit functions are redefined using the
exact equations. Expressions are found for the transfer matrix and the
emittances. Differential equations are found for the beta function and the eta
function. New relationships between the linear orbit parameters are found.
","[{""version"":""v1"",""created"":""Thu, 31 Aug 1995 14:38:10 GMT""}]","2008-02-03"
"astro-ph/9508145","Observing Apo","T. Kundic, W.N. Colley, J.R. Gott, III, S. Malhotra, U. Pen, J.E.
  Rhoads, K.Z. Stanek, E.L. Turner, J.Wambsganss","A Sharp Event in the Image a Light Curve of the Double Quasar 0957+561
  and Prediction of the 1996 Image B Light Curve","submitted to ApJ Letters, 15 pages, uuencoded PostScript with figures
  included; also available through WWW at
  http://www.astro.princeton.edu/~library/prep.html",,"10.1086/309819","POPe-636","astro-ph",,"  CCD photometry of the gravitational lens system 0957+561A,B in the g and r
bands was obtained on alternate nights, weather permitting, from December 1994
through May 1995 using the Double Imaging Spectrograph (DIS) on the Apache
Point Observatory (APO) 3.5-meter telescope. The remote observing and fast
instrument change capabilities of this facility allowed accumulation of light
curves sampled frequently and consistently. The Honeycutt ensemble photometry
algorithm was applied to the data set and yielded typical relative photometric
errors of approximately 0.01 magnitudes. Image A exhibited a sharp drop of
about 0.1 magnitudes in late December 1994; no other strong features were
recorded in either image. This event displays none of the expected generic
features of a microlensing-induced flux variation and is likely to be intrinsic
to the quasar; if so, it should also be seen in the B image with the lensing
differential time delay. We give the expected 1996 image B light curves based
on two values of the time delay and brightness ratio which have been proposed
and debated in the literature. Continued monitoring of the system in the first
half of 1996 should easily detect the image B event and thus resolve the
time-delay controversy.
","[{""version"":""v1"",""created"":""Wed, 30 Aug 1995 19:27:10 GMT""}]","2012-08-27"
"astro-ph/9508146","HongSheng Zhao","HongSheng Zhao","A Self-Consistent Dynamical Model for the {\sl COBE} Observed Galactic
  Bar and Its Application to Microlensing","6 pages, 2 figures, compressed and uuencoded. Contributed talk at IAU
  symposium 157, ""Barred Galaxies""",,,,"astro-ph",,"  A self-consistent stellar dynamical model for the Galactic bar is constructed
from about 500 numerically computed orbits with an extension of the
Schwarzschild technique. The model fits the {\sl COBE} found asymmetric boxy
light distribution and the observed stellar kinematics of the bulge. The model
potential is also consistent with the non-circular motions of the HI and CO
velocity maps of the inner Galaxy. We also use the stellar bar model to
construct a N-body model to study stability and a microlensing map towards the
bulge, which can account for the observed optical depth and the event duration
by the MACHO and OGLE collaborations. The technique used here can be applied to
interpret light and velocity data of external bulges/bars and galactic nuclei.
","[{""version"":""v1"",""created"":""Wed, 30 Aug 1995 19:35:14 GMT""}]","2007-05-23"
"astro-ph/9508147","Moshe Elitzur","Moshe Elitzur (University of Kentucky), V. Bujarrabal (Yebes
  Observatory, Spain)","Shell Masers","8 pages Latex file. Paper is unchanged. The name of the style file
  was corrected from L-AA to l-aa to enable generation of the PS file. A
  postscript file of the paper printed in journal format including figure can
  be obtained by anonymous ftp to asta.pa.uky.edu (cd moshe), accessible also
  from WWW via http://www.pa.uky.edu/ . To be published in Astronomy and
  Astrophysics","Astron.Astrophys.308:330,1996",,,"astro-ph",,"  We present the analytical solution of a maser shaped like a spherical shell.
We determine the general condition on the size of the central cavity at which a
sphere becomes a shell maser, and derive the intensity, beaming angle and
observed size of both unsaturated and saturated shells.
","[{""version"":""v1"",""created"":""Wed, 30 Aug 1995 22:00:04 GMT""},{""version"":""v2"",""created"":""Thu, 31 Aug 1995 18:30:40 GMT""}]","2011-05-23"
"astro-ph/9508148","Scott Burles","Scott Burles & David Tytler (CASS, University of California at San
  Diego)","The Cosmological Density and Ionization of Hot Gas: Oxygen VI Absorption
  in Quasar Spectra","28 pages, 5 figures, style file: aaspp4.sty included. Latex file,
  style file, and five figures are tarred, compressed and uuencoded using
  uufiles","Astrophys.J. 460 (1996) 584; Erratum-ibid. 573 (2002) 471","10.1086/176994",,"astro-ph",,"  We have conducted the first survey for Oxygen VI $\lambda\lambda 1032,1038$
absorption lines in QSO spectra. We used medium resolution ($R \approx 1300$)
high signal-to-noise ($\approx 20$) Faint Object Spectrograph spectra of 11
QSOs ($0.53\leq$\zem$\leq2.08$) from the Hubble Space Telescope Archive. We use
simulated spectra to determine the significance of the line identifications,
which lie exclusively in the \Lya forest. We found 12 O~VI doublets of which 9
are expected to be real and 6 constitute a uniform sample with both lines
exceeding a rest equivalent width of $W_r =0.21$ \AA. The number of O~VI
doublets per unit redshift at a mean absorption redshift of $z_{ave} = 0.9$ is
$\langle N(z)\rangle = 1.0 \pm0.6$, which is similar to the density of C~IV and
Mg~II absorbers.
","[{""version"":""v1"",""created"":""Thu, 31 Aug 1995 05:52:51 GMT""}]","2009-10-28"
"astro-ph/9508149","Andrea Biviano","A. Biviano, P. Katgert, A. Mazure, M. Moles, R. den Hartog, P. Focardi","The Kinematics of Emission-Line Galaxies in Clusters from ENACS","PostScript, 6 pages with figures, to appear in the proceedings of the
  workshop ""Observational Cosmology: from Galaxies to Galaxy Systems"",
  Sesto-Italy, 4-7 July 1995, in a devoted issue of Astrophysical Letters and
  Communications",,,,"astro-ph",,"  By using the ENACS data, we have studied the properties of emission-line
galaxies (ELG) in clusters. The fraction of ELG in clusters is 16~%; this
fraction is slightly dependent on the cluster velocity dispersion, being larger
for ``colder'' systems. ELG tend to occur more frequently than other cluster
galaxies in substructures. However, only a minor cluster fraction has an ELG
population with a mean velocity significantly different from that of the
overall cluster population. The velocity distribution of cluster ELG is broader
than that of the other cluster galaxies, which translates in a larger observed
velocity dispersion. The velocity distribution for ELG in the inner cluster
regions suggests that ELG are on mostly radial orbits.
","[{""version"":""v1"",""created"":""Thu, 31 Aug 1995 09:48:56 GMT""}]","2007-05-23"
"astro-ph/9508150",,"Armando Pisani","A non-parametric and scale-independent method for cluster analysis II:
  the multivariate case","To appear in Monthly Notices of R.A.S., 50 pages of text, latex file,
  aasms style, figures are available on request from the Author",,"10.1093/mnras/278.3.697",,"astro-ph",,"  A general method is described for detecting and analysing galaxy systems. The
multivariate geometrical structure of the sample is studied by using an
extension of the method which we introduced in a previous paper. The method is
based on an estimate of the probability density underlying a data sample. The
density is estimated by using an iterative and adaptive kernel estimator. The
used kernels have spherical symmetry, however we describe a method in order to
estimate the locally optimal shape of the kernels. We use the results of the
geometrical structure analysis in order to study the effects that is has on the
cluster parameter estimate. This suggests a possible way to distinguish between
structure and substructure within a sample. The method is tested by using
simulated numerical models and applied to two galaxy samples taken from the
literature. The results obtained for the Coma cluster suggest a core-halo
structure formed by a large number of geometrically independent systems. A
different conclusion is suggested by the results for the Cancer cluster
indicating the presence of at least two independent structures both containing
substructure. The dynamical consequences of the results obtained from the
geometrical analysis will be described in a later paper. Further applications
of the method are suggested and are currently in progress.
","[{""version"":""v1"",""created"":""Thu, 31 Aug 1995 08:26:23 GMT""}]","2015-06-24"
"astro-ph/9508151","Clayton Heller","C.H. Heller and I. Shlosman","Stellar Orbits in Barred Galaxies with Nuclear Rings","3 pages, 3 figures, latex using paspconf.sty (enclosed) and epsf.sty,
  uuencoded compressed tar file. To appear in ""Barred Galaxies"", IAU Colloquium
  157",,,,"astro-ph",,"  We investigate the dynamical response of stellar orbits in a rotating barred
galaxy potential to the perturbation by a nuclear gaseous ring. The change in
3D periodic orbit families is examined as the gas accumulates near the inner
Lindblad resonance. It is found that the x2/x3 loop extends to higher Jacobi
energy and a vertical instability strip forms in each family. These strips are
connected by a symmetric/anti-symmetric pair of 2:2:1 3D orbital families. A
significant distortion of the x1 orbits is observed in the vicinity of the
ring, which leads to the intersection between orbits over a large range of the
Jacobi integral. We also find that a moderately elliptical ring oblique to the
stellar bar produces significant phase shifts in the x1 orbital response.
","[{""version"":""v1"",""created"":""Thu, 31 Aug 1995 11:07:53 GMT""}]","2007-05-23"
"astro-ph/9508152",,"Fabio Governato, Paolo Tozzi and Alfonso Cavaliere (Univ. Tor Vergata)","Small Groups of Galaxies: a Clue to a Critical Universe","15 pages + 7 figures, accepted by the Astrophysical Journal. AASTEX
  format, tarred, compressed and uuencoded Postscript",,"10.1086/176789",,"astro-ph",,"  We study the formation and the evolution of galaxy groups in a critical
universe, showing the importance of secondary infall for their dynamical
evolution. Merging is only slightly accelerated if galaxies have massive halos,
because the mass initially associated to the individual galaxies is soon
tidally stripped. Stripping is particularly effective for infalling galaxies,
which thus avoid merging. We find that, as a rule, merging is effectively
terminated when infall becomes dominant. We look for compact groups in our
ensemble of simulations, and compare their statistical properties with
Hickson's compact groups. We then discuss in terms of the Press & Schechter
formalism the statistics of such groups and their evolution in different
cosmological scenarios. We show that compact group formation is an ongoing and
frequent process in a critical universe. Our model reconciles the contradiction
between the observed absence of young merger remnants and the high rate of
galaxy interactions expected in compact groups. In open universes, instead,
earlier formation of groups and suppression of secondary infall makes it more
unlikely that compact groups survive as such until the present. We conclude
that the existence of dense and dynamically young groups of galaxies like HCGs
points towards a high-density universe.
","[{""version"":""v1"",""created"":""Thu, 31 Aug 1995 13:08:09 GMT""}]","2009-10-28"
"astro-ph/9508153","Andrea Biviano","F. Durret, A. Biviano, D. Gerbal, O. Le Fevre, C. Lobo, A. Mazure, E.
  Slezak","New Results on the Coma cluster: Revealing the Primary Component","PostScript, 8 pages with figures, to appear in the proceedings of the
  workshop ""Observational Cosmology: from Galaxies to Galaxy Systems"",
  Sesto-Italy, 4-7 July 1995, in a devoted issue of Astrophysical Letters and
  Communications",,,,"astro-ph",,"  Recent observations of the Coma cluster of galaxies in its central region
have provided approximately 250 new redshifts - allowing a good membership
criterion to be established for brighter galaxies - and magnitudes for 8000
objects in the same region derived from photometric data complete up to
V$_{26.5}$=22.5. A thorough structural study of the galaxy distribution of the
cluster galaxies, jointly with an X-ray wavelet analysis, and with a
kinematical analysis of the velocity distribution allows us to uncover a
primary body of the cluster, with evidence for a velocity gradient.
","[{""version"":""v1"",""created"":""Thu, 31 Aug 1995 13:53:15 GMT""}]","2007-05-23"
"chao-dyn/9508008","Pfenniger Daniel","Merc\`e Oll\'e & Daniel Pfenniger","Bifurcation at Complex Instability","5 pages, self-unpacking uuencoded compressed Postscript, Contribution
  at the NATO ASI Conference on ""Hamiltonian Systems with Three or More Degrees
  of Freedom, Barcelona, Spain, June 19-30, 1995",,,"OBSGE-NL-1","chao-dyn nlin.CD",,"  The properties of motion close to the transition of a stable family of
periodic orbits to complex instability is investigated with two symplectic 4D
mappings, natural extensions of the standard mapping. As for the other types of
instabilities new families of periodic orbits may bifurcate at the transition;
but, more generally, families of {\sl isolated invariant curves} bifurcate,
similar to but distinct from a Hopf bifurcation. The evolution of the stable
invariant curves and their bifurcations are described.
","[{""version"":""v1"",""created"":""Thu, 31 Aug 1995 09:50:55 GMT""}]","2008-02-03"
