"alg-geom/9509009","V. Batyrev","Victor V. Batyrev and Lev A. Borisov","Mirror duality and string-theoretic Hodge numbers","20 pages, Latex",,"10.1007/s002220050093",,"alg-geom hep-th math.AG",,"  We prove in full generality the mirror duality conjecture for
string-theoretic Hodge numbers of Calabi-Yau complete intersections in
Gorenstein toric Fano varieties. The proof is based on properties of
intersection cohomology
","[{""version"":""v1"",""created"":""Sun, 1 Oct 1995 21:34:09 GMT""}]","2009-10-28"
"alg-geom/9510001","Kieran O'Grady","Kieran G. O'Grady","The weight-two Hodge structure of moduli spaces of sheaves on a K3
  surface","plain teX",,,,"alg-geom math.AG",,"  We prove that the weight-two Hodge structure of moduli spaces of torsion-free
sheaves on a K3 surface is as described by Mukai (the rank is arbitrary but we
assume the first Chern class is primitive). We prove the moduli space is an
irreducible symplectic variety (by Mukai's work it was known to be symplectic).
By work of Beauville, this implies that its $H^2$ has a canonical integral
non-degenrate quadratic form; Mukai's recepee for $H^2$ includes a description
of Beauville's quadratic form. As an application we compute higher-rank
Donaldson polynomials of $K3$ surfaces.
","[{""version"":""v1"",""created"":""Mon, 2 Oct 1995 09:59:55 GMT""}]","2008-02-03"
"astro-ph/9509158","Preprint account","D. Lynden-Bell and J. Katz","Classical Mechanics without Absolute Space","uuencoded compressed postscript. The preprint is also available at
  http://www.ast.cam.ac.uk/preprint/PrePrint.html","Phys.Rev. D52 (1995) 7322-7324","10.1103/PhysRevD.52.7322","CAP-9510002","astro-ph",,"  A relative mechanics with no absolute space is shown to be equivalent to
Newtonian mechanics applied in a universe of zero net angular momentum. Closed
spaces in General Relativity have no angular momentum and shrivel to one point
as the mass-energy contained tends to zero, so obeying Mach's principle on the
origin of inertia.
","[{""version"":""v1"",""created"":""Sun, 1 Oct 1995 16:51:17 GMT""}]","2009-10-28"
"astro-ph/9509159","Preprint account","C.S. Reynolds, A.C. Fabian","ROSAT PSPC observations of Cygnus-A : X-ray spectra of the cooling flow
  and hot spots","uuencoded compressed postscript. The preprint is also available at
  http://www.ast.cam.ac.uk/preprint/PrePrint.html",,"10.1093/mnras/278.2.479","CAP-9510003","astro-ph",,"  We present a {\it ROSAT} Position Sensitive Proportional Counter (PSPC)
observation of the powerful radio galaxy Cygnus-A. The X-ray emission in the
{\it ROSAT} band is dominated by thermal emission from the hot intracluster
medium of the associated cluster. Image deprojection confirms the existence of
a significant cluster cooling flow with total mass deposition rate of $\sim
250\,{\rm M}_\odot\,{\rm yr}^{-1}$ and a (Hubble time) cooling radius of $\sim
180$\,kpc. Spectral data show the gradient in the emission-weighted mean
temperature with the temperature decreasing towards the centre of the cluster.
We also find signatures of the radio source: in particular, we detect the X-ray
emission from the western radio hot spot previously found by the {\it ROSAT}
High Resolution Imager (HRI). We find the emission from the hot spot to be hard
and discuss the physical implications of this result.
","[{""version"":""v1"",""created"":""Sun, 1 Oct 1995 17:24:46 GMT""}]","2015-06-24"
"astro-ph/9509160","Preprint account","N.R. Tanvir, T. Shanks, H.C. Ferguson, D.R.T. Robinson","Determination of the Hubble constant from observations of Cepheid
  variables in the galaxy M96","uuencoded compressed postscript. The preprint is also available at
  http://www.ast.cam.ac.uk/preprint/PrePrint.html",,"10.1038/377027a0","CAP-9503002","astro-ph",,"  New Hubble Space Telescope observations of Cepheid variable stars in the
nearby galaxy M96 give a distance to the host galaxy group, Leo-I, of
11.6+/-0.8 Mpc. This value, used in conjunction with several reliable secondary
indicators of relative distance, constrains the distances to more remote galaxy
clusters, and yields a value of the Hubble constant (Ho=69+/-8 km/s/Mpc) that
is independent of the velocity of the Leo-I group itself.
","[{""version"":""v1"",""created"":""Sun, 1 Oct 1995 17:44:45 GMT""}]","2009-10-28"
"astro-ph/9510001","Anthony Holloway","A.J. Holloway (Manchester), W. Steffen (Manchester), A. Pedlar (NRAL),
  D.J. Axon (NRAL,STSCI), J.E. Dyson (Manchester), J. Meaburn (Manchester) and
  C.N. Tadhunter (Sheffield)","Kinematics of ionized gas associated with the radio nucleus and lobes in
  the active galaxy IRAS 04210+0400","Latex format, 12 pages, 6 figures included, to appear in MNRAS. Also
  available as Postscript with figures at
  http://axp2.ast.man.ac.uk:8000/Preprints.html",,"10.1093/mnras/279.1.171",,"astro-ph",,"  We have used high resolution longslit spectroscopy to investigate the ionized
gas in the active galaxy IRAS 04210+0400 and its association with the radio
structure.
  We suggest that two of the ionized components are associated with the central
double radio source and observe that the relative positions of these components
vary for different emission lines. Both results are consistent with the radio
components representing the working surfaces of a pair of jets emerging from
the centre of the galaxy. In this scenario, the optical emission in the centre
arises behind the bowshocks produced by the jets in the interstellar medium.
  The emission lines are detected and show a dramatic (~ 900 km/s) spread in
velocity at the position of the radio lobe hotspots. We suggest a model which
explains this phenomenon as the result of a jet head emerging through the
boundary between the interstellar and intergalactic medium. A similar scenario
has previously been suggested as a model to explain wide angle tail radio
sources (WAT's). Based on this model, we simulate the longslit spectra of these
regions and compare the results with the observations.
","[{""version"":""v1"",""created"":""Mon, 2 Oct 1995 10:50:49 GMT""}]","2015-06-24"
"astro-ph/9510002","Takao Nakagawa","Takao Nakagawa, Yasuo Doi, Yukari Yamashita Yui, Haruyuki Okuda, Kenji
  Mochizuki, and Hiroshi Shibai (The Institute of Space and Astronautical
  Science), Tetsuo Nishimura and Frank J. Low (Steward Observatory, University
  of Arizona)","Deficit of Far-Infrared [CII] Line Emission toward the Galactic Center","Compressed uuencoded postcript, 15 pages with 2 figures, to appear in
  the Astrophysical Journal (Letters)",,"10.1086/309810",,"astro-ph",,"  We have observed the [CII] 158 micron line emission from the Galactic plane
(-10 deg < l < 25 deg, |b| <= 3 deg) with the Balloon-borne Infrared Carbon
Explorer (BICE). The observed longitudinal distribution of the [CII] line
emission is clearly different from that of the far-infrared continuum emission;
the Galactic center is not the dominant peak in the [CII] emission. Indeed, the
ratio of the [CII] line emission to far-infrared continuum (I_[CII] / I_FIR) is
systematically low within the central several hundred parsecs of the Galaxy.
The observational results indicate that the abundance of the C+ ions themselves
is low in the Galactic center. We attribute this low abundance mainly to soft
UV radiation with fewer C-ionizing photons. This soft radiation field, together
with the pervasively high molecular gas density, makes the molecular
self-shielding more effective in the Galactic center. The self-shielding
further reduces the abundance of C+ ions, and raises the temperature of
molecular gas at the C+/C/CO transition zone.
","[{""version"":""v1"",""created"":""Mon, 2 Oct 1995 11:29:27 GMT""}]","2009-10-28"
"chao-dyn/9509022","Jean Bricmont","J. Bricmont (UCL, Physique Theorique, Louvain-la-Neuve, Belgium), A.
  Kupiainen (Department of Mathematics, Helsinki University, Finland)","Infinite dimensional SRB measures","19 pages",,,,"chao-dyn nlin.CD",,"  We review the basic steps leading to the construction of a Sinai-Ruelle-Bowen
(SRB) measure for an infinite lattice of weakly coupled expanding circle maps,
and we show that this measure has exponential decay of space-time correlations.
First, using the Perron-Frobenius operator, one connects the dynamical system
of coupled maps on a $d$-dimensional lattice to an equilibrium statistical
mechanical model on a lattice of dimension $d+1$. This lattice model is, for
weakly coupled maps, in a high-temperature phase, and we use a general, but
very elementary, method to prove exponential decay of correlations at high
temperatures.
","[{""version"":""v1"",""created"":""Mon, 2 Oct 1995 15:52:30 GMT""}]","2008-02-03"
"cmp-lg/9510001","Llu\ms Padr\s","Lluis Padro (Dept LSI, Universitat Politecnica de Catalunya)","POS Tagging Using Relaxation Labelling","compressed & uuencoded postscript file. Paper length: 39 pages",,,,"cmp-lg cs.CL",,"  Relaxation labelling is an optimization technique used in many fields to
solve constraint satisfaction problems. The algorithm finds a combination of
values for a set of variables such that satisfies -to the maximum possible
degree- a set of given constraints. This paper describes some experiments
performed applying it to POS tagging, and the results obtained. It also ponders
the possibility of applying it to word sense disambiguation.
","[{""version"":""v1"",""created"":""Mon, 2 Oct 1995 09:49:30 GMT""}]","2008-02-03"
"cond-mat/9509183","Shi-shyr Roan","Shao-shiung Lin and Shi-shyr Roan","Bethe Ansatz for Heisenberg XXX Model","21 pages, latex, 2 figures in a seperate file",,,"MISA 95-6","cond-mat",,"  We investigate Bethe Ansatz equations for the one-dimensional
spin-$\frac{1}{2}$ Heisenberg XXX chain with a special interest in a finite
system. Solutions for the two-particle sector are obtained. The ground state in
antiferromagnetic case has been analytically studied through the logarithmic
form of Bethe Ansatz equations.
","[{""version"":""v1"",""created"":""Mon, 2 Oct 1995 08:09:07 GMT""}]","2007-05-23"
"cond-mat/9510001","Evgene Kanzieper","V. Freilikher, E. Kanzieper, and I. Yurkevich","Unitary Random-Matrix Ensemble with Governable Level Confinement","14 pages (revtex), 4 figures available upon request","Physical Review E 53, 2200 (1996)","10.1103/PhysRevE.53.2200",,"cond-mat",,"  A family of unitary $\alpha$-Ensembles of random matrices with governable
confinement potential $V(x) ~ |x|^\alpha$ is studied employing exact results of
the theory of non-classical orthogonal polynomials. The density of levels,
two-point kernel, locally rescaled two-level cluster function and smoothed
connected correlations between the density of eigenvalues are calculated for
strong ($\alpha > 1$) and border ($\alpha = 1$) level confinement. It is shown
that the density of states is a smooth function for $\alpha > 1$, and has a
well-pronounced peak at the band center for $\alpha <= 1$. The case of border
level confinement associated with transition point $\alpha = 1$ is reduced to
the exactly solvable Pollaczek random-matrix ensemble. Unlike the density of
states, all the two-point correlators remain (after proper rescaling) to be
universal down to and including $\alpha = 1$.
","[{""version"":""v1"",""created"":""Mon, 2 Oct 1995 07:28:24 GMT""}]","2009-10-28"
