"alg-geom/9510005","Richard Wentworth","Georgios Daskalopoulos, and Richard Wentworth","On the Brill-Noether Problem for Vector Bundles","LaTeX 2e (amsart)",,,,"alg-geom math.AG",,"  On an arbitrary compact Riemann surface, necessary and sufficient conditions
are found for the existence of semistable vector bundles with slope between
zero and one and a prescribed number of linearly independent holomorphic
sections. Existence is achieved by minimizing the Yang-Mills-Higgs functional.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 01:15:47 GMT""}]","2008-02-03"
"ao-sci/9510001","Jon. D. Pelletier","Jon D. Pelletier (Geological Sciences, Cornell U.)","A Stochastic Diffusion Model of Climate Change","latex file, 8 pages, 5 figures",,,,"ao-sci cond-mat physics.ao-ph",,"  We present a model for variations in atmospheric temperature from time scales
of one day to one million years based on a stochastic diffusion (random walk)
model of the turbulent transport of heat energy vertically in a coupled
atmosphere-ocean model. The predictions of the model are supported by station
records and paleoclimatic proxy data of temperature variations.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 03:47:46 GMT""}]","2008-02-03"
"astro-ph/9510016","Dr N. Evans","N.W.Evans","The Nature of the Galactic Dark Matter","4. pages, uuencoded, gzipped, postscript file, without figures.
  Reports with figures available on email request, nwe@thphys.ox.ac.uk","Mon.Not.Roy.Astron.Soc. 278 (1996) L5","10.1093/mnras/278.1.L5",,"astro-ph",,"  Disk-halo models of the Galaxy and LMC are constructed and used to analyse
the microlensing data-set. Deflectors in the LMC bar, disk and halo provide an
optical depth to microlensing of $\sim 2 \times 10^{-7}$. Deflectors in the
Galactic disk and halo contribute $\sim 5 \times 10^{-7}$. The extent,
flattening and velocity anisotropy of the dark objects in the Galactic halo are
unknown. So, it is crucial to analyse the microlensing data-set with families
of models that span the viable ranges of these structural parameters. Also
uncertain is the contribution of the Galactic disk to the local circular speed,
which affects the normalisation and size of the Galactic halo. Despite all the
unknowns, a robust conclusion is that the Galactic and LMC haloes cannot be
primarily built from objects in the mass range $10^{-7} \, \msun$ - $0.1 \,
\msun$. By contrast, calculations of the baryon mass fraction of the Galactic
and LMC haloes are very sensitive to details of the adopted models. This
parameter is not constrained by the existing data-set. In particular, it is
still possible for the halo to be entirely baryonic and composed of high mass
compact objects, like $10^6\, \msun$ clusters or black holes.
","[{""version"":""v1"",""created"":""Wed, 4 Oct 1995 17:19:14 GMT""}]","2016-06-08"
"astro-ph/9510017","Rauzy","S. Rauzy, M. Lachi\`eze-Rey and R.N. Henriksen","Wavelet Analysis of Inhomogeneous Data with Application to the Cosmic
  Velocity Field","19 pages, Latex file, figures are avaible under requests, published
  in Inverse Problems, 11 (1995) 765",,"10.1088/0266-5611/11/4/010",,"astro-ph",,"  In this article we give an account of a method of smoothing spatial
inhomogeneous data sets by using wavelet reconstruction on a regular grid in an
auxilliary space onto which the original data is mapped. In a previous paper by
the present authors, we devised a method for inferring the velocity potential
from the radial component of the cosmic velocity field assuming an ideal
sampling. Unfortunately the sparseness of the real data as well as errors of
measurement require us to first smooth the velocity field as observed on a
3-dimensional support (i.e. the galaxy positions) inhomogeneously distributed
throughout the sampled volume. The wavelet formalism permits us to introduce a
minimal smoothing procedure that is characterized by the variation in size of
the smothing window function. Moreover the output smoothed radial velocity
field can be shown to correspond to a well defined theoretical quantity as long
as the spatial sampling support satisfies certain criteria. We argue also that
one should be very cautious when comparing the velocity potential derived from
such a smoothed radial component of the velocity field with related quantities
derived from other studies (e.g : of the density field).
","[{""version"":""v1"",""created"":""Wed, 4 Oct 1995 17:54:55 GMT""}]","2009-10-28"
"astro-ph/9510018","Rauzy","R. Triay, S. Rauzy and M. Lachi\`eze-Rey","The determination of $H_O$ by using the TF relation : About particular
  selection effects","8 pages, Postscript compressed file, to be published in A\&A",,,,"astro-ph",,"  This paper completes the statistical modeling of the Hubble flow when a
Tully-Fisher type relation is used for estimating the absolute magnitude
$M\approx a\,p+b$ from a line width distance indicator $p$. Our investigation
is performed with the aim of providing us with a full understanding of
statistical biases due to selection effects in observation, regardless of
peculiar velocities of galaxies. We show that unbiased $H_{\circ}$-statistics
can be obtained by means of the maximum likelihood method as long as the
statistical model can be defined. We focus on the statistical models related to
the Direct, resp. Inverse, Tully-Fisher relation, when selection effects on
distance, resp. on $p$, are present. It turns out that the use of the Inverse
relation should be preferred, according to robustness criteria. The formal
results are ensured by simulations with samples which are randomly generated
according to usual characteristics.
","[{""version"":""v1"",""created"":""Wed, 4 Oct 1995 18:17:04 GMT""}]","2007-05-23"
"astro-ph/9510019","Robin Tuluie","Robin Tuluie, Pablo Laguna (Penn State) and Peter Anninos (NCSA)","Cosmic Microwave Background Anisotropies from the Rees-Sciama Effect in
  $\Omega_{0} \le 1$ Universes","20 pages + 7 figures + 4 plates, self-expanding uuencoded compressed
  tar archive of postscript files","Astrophys.J.463:15,1996","10.1086/177220","CGPG preprint 95-96/10-1","astro-ph",,"  We investigate the imprint of nonlinear matter condensations on the Cosmic
Microwave Background (CMB) in $\Omega_{0}<1$ cold dark matter (CDM) model
universes. We consider simulation domains ranging from $120h^{-1}$ Mpc to
$360h^{-1}$ Mpc in size. We concentrate on the secondary temperature
anisotropies induced by time varying gravitational potentials occurring after
decoupling. Specifically, we investigate the importance of the Rees-Sciama
effect due to: (1) intrinsic changes in the gravitational potential of forming,
nonlinear structures, (2) proper motion of nonlinear structures, and (3) late
time decay of gravitational potential perturbations in open universes. CMB
temperature anisotropies are obtained by numerically evolving matter
inhomogeneities and CMB photons from an early, linear epoch ($z=100$) to the
present, nonlinear epoch $(z=0)$. We test the dependence and relative
importance of these secondary temperature anisotropies as a function of the
scale of the underlying matter (voids, superclusters) and as a function of
$\Omega_{0}$. The results of the $\Omega_{0}<1$ models are compared to a
similarly executed $\Omega_{0}=1.0$ simulation. We find that in low density
models all three sources of anisotropy could be relevant and reach levels of
$\Delta T/T \sim 10^{-6}$. In particular, we find that for $\Omega_{0}<1$ at
large scales, secondary temperature anisotropies are dominated by the decaying
potential.
","[{""version"":""v1"",""created"":""Wed, 4 Oct 1995 18:34:31 GMT""}]","2008-11-26"
"astro-ph/9510020","Rauzy","S. Rauzy and R. Triay","The Tully-Fisher relation : Correspondence between the Inverse and
  Direct approaches","10 pages, uuencoded en compressed Postscript file, figures avaible
  under requests. To be published in A\&A",,,,"astro-ph",,"  In a previous paper, we have demonstrated the importance to define a
statistical model describing the observed linear correlation between the
absolute magnitude $M$ and the log line width distance indicator $p$ of
galaxies (the Tully-Fisher relation). As long as the same statistical model is
used during the calibration step of the relation and the step of the
determination of the distances of galaxies, standard statistical methods such
as the maximum likelihood technic permits us to derive bias free estimators of
the distances of galaxies. However in practice, it is convenient to use a
different statistical model for calibrating the Tully-Fisher relation (because
of its robustness, the Inverse Tully-Fisher relation is prefered during this
step) and for determining the distances of galaxies (the Direct Tully-Fisher
relation is more accurate and robust in this case). Herein, we establish a
correspondence between the Inverse and the Direct Tully-Fisher approaches.
Assuming a gaussian luminosity function, we prove that the ITF and DTF models
are in fact mathematically equivalent (i.e. they describe the same physical
data distribution in the TF diagram). It thus turns out that as long as the
calibration parameters are obtained for a given model, we can deduce the
corresponding parameters of the other model. We present these formulae of
correspondence and discuss their validitity for non-gaussian luminosity
functions.
","[{""version"":""v1"",""created"":""Wed, 4 Oct 1995 18:31:48 GMT""}]","2007-05-23"
"astro-ph/9510021","Maximilian Ruffert","M. Ruffert (Max-Planck-Institut fuer Astrophysik)","Three-Dimensional Hydrodynamic Bondi-Hoyle Accretion. V. Specific Heat
  Ratio 1.01, Nearly Isothermal Flow","16 pages including all figures; is available from
  ftp://ftp.mpa-garching.mpg.de/pub/mor/boho5.ps.gz (360KB)",,,"MPA report no 892. Submitted to A&A","astro-ph",,"  We investigate the hydrodynamics of three-dimensional classical Bondi-Hoyle
accretion. A totally absorbing sphere of different sizes (1, 0.1 and 0.02
accretion radii) moves at different Mach numbers (0.6, 1.4, 3.0 and 10)
relative to a homogeneous and slightly perturbed medium, which is taken to be
an ideal, nearly isothermal, gas ($\gamma=1.01$). The hydrodynamics is modeled
by the ``Piecewise Parabolic Method'' (PPM). The resolution in the vicinity of
the accretor is increased by multiply nesting several $32^3$-zone grids around
the sphere, each finer grid being a factor of two smaller in zone size than the
next coarser grid. grids. For small Mach numbers (0.6 and~1.4) the flow
patterns tend towards a steady state, while in the case of supersonic flow
(Mach~3 and~10) and small enough accretors (radius of~0.1 and~0.02 accretion
radii), an unstable Mach cone develops, destroying axisymmetry. The shock cones
in the supersonic models never clear the surface of the accretors (they are
tail shocks, not bow shocks) and the opening angle is smaller (compared to
models with larger $\gamma$) especially for the highly supersonic models. The
densities in the shock cone is larger for models with smaller $\gamma$. The
fluctuations of the accretion rates and flow structures are weaker than in the
corresponding models with larger $\gamma$. The hydrodynamic drag of all models
with accretor sizes of 0.1~$R_{\rm A}$ or smaller acts in an accelerating
direction, while the gravitational drag is always decelerating and larger than
the hydrodynamic drag (thus the net force is decelerating).
","[{""version"":""v1"",""created"":""Wed, 4 Oct 1995 19:24:16 GMT""}]","2007-05-23"
"astro-ph/9510022","Preprint account","R.R. Ross, A.C. Fabian, W.N. Brandt","X-ray reflection in Galactic Black Hole Candidates: smeared edge
  profiles and resonant Auger destruction","uuencoded compressed postscript. The preprint is also available at
  http://www.ast.cam.ac.uk/preprint/PrePrint.html","Mon.Not.Roy.Astron.Soc.278:1082,1996","10.1093/mnras/278.4.1082","CAP-9510004","astro-ph",,"  We consider the spectra of Thomson-thick, geometrically-thin accretion discs
around Galactic black hole candidates in the reflection model and compute their
iron K edges and iron K$\alpha$ lines. We compare the smeared iron K edge
profiles that we compute with observation and find them to be a satisfactory
description of the data. We find that a combination of Doppler broadening and
resonant Auger destruction of line photons can make iron K$\alpha$ lines very
difficult to detect in highly ionized inclined discs. We detail the physics of
resonant Auger destruction at the level it is currently understood and point
out its implications.
","[{""version"":""v1"",""created"":""Wed, 4 Oct 1995 20:26:02 GMT""}]","2015-06-24"
"astro-ph/9510023","Gil Holder","Gilbert P. Holder, Lawrence M. Widrow","Microlensing By a Prolate All-Macho Halo","7 pages (24K), LaTeX; 2 Postscript figures","Astrophys.J. 473 (1996) 828","10.1086/178195",,"astro-ph",,"  It is widely believed that dark matter halos are flattened, that is closer to
oblate than prolate. The evidence cited is based largely on observations of
galaxies which do not look anything like our own and on numerical simulations
which use ad hoc initial conditions. Given what we believe to be a ``reasonable
doubt'' concerning the shape of dark Galactic halo we calculate the optical
depth and event rate for microlensing of stars in the LMC assuming a wide range
of models that include both prolate and oblate halos. We find, in agreement
with previous analysis, that the optical depth for a spherical (E0) halo and
for an oblate (E6) halo are roughly the same, essentially because two competing
effects cancel approximately. However the optical depth for an E6 prolate halo
is reduced by ~35%. This means that an all-Macho prolate halo with reasonable
parameters for the Galaxy is consistent with the published microlensing event
rate.
","[{""version"":""v1"",""created"":""Wed, 4 Oct 1995 21:21:18 GMT""}]","2009-10-28"
"astro-ph/9510024",,"J. W. Moffat","Stellar Equilibrium and Gravitational Collapse in the Nonsymmetric
  Gravitational Theory","39 pages, RevTex file, Revised version. Conclusions remain the same",,,"UTPT-95-18","astro-ph gr-qc",,"  We establish the formalism in the nonsymmetric gravitational theory (NGT) for
stellar equilibrium and gravitational collapse. We study the collapse of a
pressureless, spherically symmetric dust cloud. By assuming that the interior
solution is smoothly matched at the surface of the star to the quasi-static,
spherically symmetric vacuum solution, we find that the star does not collapse
to a black hole. It is anticipated that the final collapsed object will reach a
state of equilibrium, and will emit thermal, gravitational and other forms of
radiation, although the radiation may be emitted only in small amounts if the
red shift from the surface of the compact object is large. No Hawking radiation
is emitted and the information loss problem can be resolved at the classical
level.
","[{""version"":""v1"",""created"":""Wed, 4 Oct 1995 22:01:15 GMT""},{""version"":""v2"",""created"":""Thu, 2 Nov 1995 22:23:58 GMT""}]","2008-02-03"
