"alg-geom/9510013","Dr. Steven Duplij Physik","Steven Duplij","Second N=1 Superanalog of Complex Structure","9 pages, Standard LaTeX","J. Math. Phys. v.38 (1997) 1035-1040","10.1063/1.531882","KL-TH-95/23","alg-geom hep-th math.AG",,"  We found another N=1 odd superanalog of complex structure (the even one is
widely used in the theory of super Riemann surfaces). New N=1
superconformal-like transformations are similar to anti-holomorphic ones of
nonsupersymmetric complex function theory. They are dual to the ordinary
superconformal transformations subject to the Berezinian addition formula
presented, noninvertible, highly degenerated and twist parity of the tangent
space in the standard basis. They also lead to the ''mixed cocycle condition''
which can be used in building noninvertible objects analogous to super Riemann
surfaces. A new parametrization for the superconformal group is presented which
allows us to extend it to a semigroup and to unify the description of old and
new transformations.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 11:05:00 GMT""}]","2009-10-28"
"astro-ph/9510090","Olivier Le Fevre","O. Le Fevre, D. Hudon, S.J. Lilly, D. Crampton, F. Hammer, L. Tresse","The Canada France Redshift Survey VIII: Evolution of the clustering of
  galaxies from z~1","17 pages, 10 figures","Astrophys.J. 461 (1996) 534","10.1086/177080",,"astro-ph",,"  We have used the projected two-point correlation function, $w(r_p)$, to
investigate the spatial distribution of the 591 galaxies with secure redshifts
between $0 \leq z \leq 1.3$ in the five CFRS fields.
  The slope of the two-point correlation function for the sample as a whole is
$\gamma=1.64\pm0.05$, very similar to the local slope, and $\gamma$ is
therefore not strongly evolving with redshift. However, the amplitude of the
correlation function decreases strongly with increasing redshift, so that at
$z\approx0.6$ it is a factor of 10 lower (for $q_0=0.5$) than for a
similarly-selected local galaxy population, on scales $0.1<r<2h^{-1}$ Mpc
($q_0=0.5$). As a whole, the CFRS data is adequately represented by
$r_0(z=0.53)=1.33 \pm 0.09 h^{-1}$Mpc for $q_0=0.5$, and $r_0(z=0.53)=1.57 \pm
0.09 h^{-1}$Mpc for $q_0=0$.
  Unless the galaxy population at high redshift is quite different from any
population seen locally, an unlikely possibility, then this implies growth of
clustering as described by the evolutionary parameter $\epsilon$ to be between
$0 < \epsilon < +2$.
  No difference in the clustering of red and blue galaxies is seen at $z \geq
0.5$, although at lower redshifts, $0.2 \leq z \leq 0.5$, blue galaxies are
somewhat less strongly correlated than the redder galaxies, as seen in local
samples. This effect could be the equivalent for field galaxies to the
Butcher-Oemler effect seen in clusters of galaxies. The cross-correlation
functions between red and blue samples have comparable amplitudes to the
auto-correlation functions of each.
  The distribution and power spectrum of pair separations does not indicate
","[{""version"":""v1"",""created"":""Wed, 18 Oct 1995 16:35:48 GMT""},{""version"":""v2"",""created"":""Thu, 19 Oct 1995 19:57:16 GMT""}]","2016-08-30"
"astro-ph/9510091","David Merritt","David Merritt and Karl Gebhardt (Rutgers University)","Cluster Dynamics and Cluster Masses","uuencoded gziped PostScript, 12 pages including figures",,,"To appear in Proceedings of the XXIXth Rencontre de Moriond,
  ""Clusters of Galaxies,"" eds. F. Durret et al., 1995","astro-ph",,"  In spite of the promise of new techniques for constraining the mass
distribution in galaxy clusters, much remains to be learned from galaxy orbital
velocities. This article reviews the theory of potential estimation in hot
dynamical systems like galaxy clusters. An analysis is presented of the Coma
cluster, based on a sample of about 1500 galaxies with probable membership, of
which 450 have measured velocities. We find no significant evidence for a core
in either the galaxy number densities or the mass distribution.
","[{""version"":""v1"",""created"":""Wed, 18 Oct 1995 19:24:18 GMT""}]","2007-05-23"
"astro-ph/9510092","Eyal Maoz","Eyal Maoz","Spiral Structure In The Circum-nuclear Disk At The Center Of The Galaxy
  NGC 4258","To Appear in ApJ (Letters), 10 pages, 1 figure, uuencoded +
  compressed postscript","Astrophys.J. 455 (1995) L131","10.1086/309824",,"astro-ph",,"  Observations of line emission from water masers near the center of the galaxy
NGC 4258 have recently provided compelling evidence for rotating disk of gas,
viewed nearly edge-on, surrounding a massive black hole (Miyoshi etal. 1995).
  We show that the disk is only marginally stable to radial perturbations - a
stability regime where weak non-axisymmetric disturbances tend to grow via the
swing amplification effect, forming a ragged, multi-armed spiral pattern
similar to that observed in Sc galaxies.
  This suggests a natural explanation for the apparent clustering of the
high-velocity emission sources into several distinct clumps, and for the
observed regularity in the distance intervals between them. The clumps of
sources appear at the intersections of the spiral arms and the radial line of
longest coherent gain path, and are thus spaced apart at the characteristic
crest-to-crest radial distance between the arms. This interpretation implies an
H_2 density and disk thickness of about 1.8x10^{10} (Q/1.6)^{-1} cm^{-3}, and
0.003(Q/1.6) pc at a radius of 0.2 pc, respectively, where the local value of
the stability parameter is 1.2 < Q < 2.
","[{""version"":""v1"",""created"":""Wed, 18 Oct 1995 21:07:20 GMT""}]","2009-10-28"
"astro-ph/9510093","Peter Eisenhardt","Peter R. Eisenhardt (JPL/Caltech), Lee Armus, David W. Hogg, B. T.
  Soifer, G. Neugebauer (Caltech), Michael W. Werner (JPL/Caltech)","HST Observations of the Luminous IRAS Source FSC10214+4724: A
  Gravitationally Lensed Infrared Quasar","27 pages, 7 PS fig, uses aastex macros, to appear ApJ 10 April 1996",,"10.1086/177038",,"astro-ph",,"  We present an image of the redshift 2.3 IRAS source FSC10214+4724 at 0.8
microns obtained with the HST WFPC2 Planetary Camera. The source appears as an
unresolved (< 0.06"") arc 0.7"" long, with significant substructure along its
length. The arc is centered near an elliptical galaxy 1.18"" to the north. An
unresolved component 100 times fainter than the arc is clearly detected on the
opposite side of this galaxy. The most straightforward interpretation is that
FSC 10214+4724 is gravitationally lensed by the foreground elliptical galaxy,
with the faint component a counterimage of the IRAS source. The brightness of
the arc in the HST image is then magnified by ~100 and the intrinsic source
diameter is ~0.01"" (80 pc) at 0.25 microns rest wavelength. The bolometric
luminosity is probably amplified by a smaller factor (~30), yielding an
intrinsic luminosity ~2E13 solar luminosities. A detailed lensing model is
presented which reproduces the observed morphology and relative flux of the arc
and counterimage, and correctly predicts the position angle of the lensing
galaxy. The model also predicts reasonable values for the velocity dispersion,
mass, and mass-to-light ratio of the lensing galaxy. A redshift for the lensing
galaxy of ~0.9 is consistent with the measured surface brightness profile from
the image, as well as with the galaxy's SED.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 00:34:55 GMT""}]","2009-10-28"
"astro-ph/9510094","Mohan Rajagopal","Mohan Rajagopal and Roger Romani","Model Atmospheres for Low Field Neutron Stars","13 pages, text errors in several formulae corrected for publication,
  5 eps figures unchanged; to appear in ApJ, April 10, 1996","Astrophys.J. 461 (1996) 327","10.1086/177059",,"astro-ph",,"  We compute model atmospheres and emergent spectra for low field (B<10^10 G)
neutron stars, using new opacity and equation of state data from the OPAL
project. These computations, incorporating improved treatments of flux
transport and convective stability, provide spectra for hydrogen, solar
abundance and iron atmospheres. We compare our results to high field magnetic
atmospheres, available only for hydrogen. An application to apparently thermal
flux from the low field millisecond pulsar PSR J0437--4715 shows that H
atmospheres fit substantially better than Fe models. We comment on extension to
high fields and the implication of these results for neutron star luminosities
and radii.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 06:50:56 GMT""},{""version"":""v2"",""created"":""Tue, 26 Mar 1996 00:56:14 GMT""}]","2009-10-28"
"astro-ph/9510095","Emmanuel Davoust","S. Andreon, E. Davoust, R. Michard, J.-L. Nieto, P. Poulain","Morphological classification and structural parameters for early-type
  galaxies in the Coma cluster","22 pages, including 4 figures and 4 tables, uuencoded, gzipped
  postscript",,,"To appear in Astronomy & Astrophysics, Supplement Series","astro-ph",,"  We present the results of an isophotal shape analysis of three samples of
galaxies in the Coma cluster. Quantitative morphology, together with structural
and photometric parameters, is given for each galaxy. Special emphasis has been
placed on the detailed classification of early-type galaxies.
  The three samples are: i) a sample of 97 early-type galaxies brighter than
m$_B$ = 17.00 falling within one degree from the center of the Coma cluster;
these galaxies were observed with CCD cameras, mostly in good to excellent
resolution conditions; ii) a magnitude complete sample of 107 galaxies of all
morphological types down to m$_B$ = 17.00 falling in a circular region of 50
arcmin diameter, slightly offcentered to the North-West of the cluster center;
the images for this and the next sample come from digitized photographic
plates; iii) a complete comparison sample of 26 galaxies of all morphological
types down to m$_R$ = 16.05 (or m$_B$ $\simeq$ 17.5), also in a region of 50
arcmin diameter, but centered 2.6 degrees West of the cluster center.
  The reliability of our morphological classifications and structural
parameters of galaxies, down to the adopted magnitude limits, is assessed by
comparing the results on those galaxies for which we had images taken with
different instrumentation and/or seeing conditions, and by comparing our
results with similar data from other observers.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 13:35:05 GMT""}]","2007-05-23"
"astro-ph/9510096",,"M. Bellazzini, E. Vesperini, F. Fusi Pecci and F.R. Ferraro","Dynamical Families in the Galacti Globular Cluster System","16 pages, 2 tables, plain TEX, 6 figures available via
  ftp://boas3.bo.astro.it bap/files/ , get bap95-41-fig*.ps or
  HTTP://www.bo.astro.it/ or upon request at bellazzini@astbo3.bo.astro.it
  accepted by MNRAS",,"10.1093/mnras/279.2.337","BAP10-1995-041-OAB","astro-ph",,"  The Halo Galactic Globular Clusters (GCs) lying inside the solar circle
(\inn, \r $< 8 Kpc$, \feh$<-0.8$) are shown to keep no record of the strong
correlation between GC absolute integrated magnitudes and core parameters
(concentration and central density) clearly detected for the Halo GCs lying
outside this circle (\out) as well as (at lower statistical significance) for
those belonging to the \dis population ($\feh >-0.8$). We present here both
observational evidences and theoretical simulations supporting the hypothesis
of a {\it primordial} origin for such correlations and of an {\it
environment-induced} destruction of them if absent. In particular, this
hypothesis lead us to argue that \inn Halo GCs have undergone a chaotic,
environment-driven, dynamical evolution not shared by the \dis GCs though the
radial zone of the Galaxy occupied by the two groups is nearly the same.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 12:18:32 GMT""}]","2015-06-24"
"astro-ph/9510097","Eric Bakker","Eric J. Bakker, Henny J.G.L.M. Lamers, L.B.F.M. Waters, Ton
  Schoenmaker","Circumstellar molecular line absorption and emission in the optical
  spectra of post-AGB stars","plain latex 8 pages, 4 postscript figures, uses psfig.sty",,"10.1007/BF00667868","1995, Astrophysics and Space Science volume 224, page 335-338","astro-ph",,"  We present a list of post-AGB stars showing molecular line absorption and
emission in the optical spectrum. Two objects show CH+, one in emission and one
in absorption, and ten stars show C2 and CN in absorption. The Doppler
velocities of the C2 lines and the rotational temperatures indicate that the
line forming region is the AGB remnant. An analysis of the post-AGB stars of
which CO millimeter data is available suggests that the C2} expansion velocity
is of the same order as the CO expansion velocity. HD56126 has been studied in
detail and we find a mass-loss rate of Mdot=2.8e-4 Msol/yr, fC2=2.4e-8 and
fCN=1.3e-8. The mass loss derived from C2 is significantly larger than
Mdot=1.2e-5 Msol/yr derived from CO. We find that all objects with the 21mu
feature in emission show C2 and CN absorption, but not all objects with C2 and
CN detections show a 21mu feature.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 13:54:44 GMT""}]","2009-10-28"
"astro-ph/9510098","David Merritt","Benoit Tremblay, David Merritt and T. B. Williams (Rutgers)","Planetary Nebulae as Probes of Dark Matter in NGC 3384","uuencoded gziped PostScript, 8 pages including figures","Astrophys.J. 443 (1995) L5","10.1086/187822","To appear in The Astrophysical Journal Letters, Vol. 443, 1995","astro-ph",,"  We have obtained radial velocities of 68 planetary nebulae surrounding the
SB0 galaxy NGC 3384 in the Leo I group, using the CTIO 4 m telescope and the
Rutgers Fabry-Perot interferometer. The PN system exhibits a well-ordered
rotation field aligned with the photometric axes of the galaxy. The rotation
curve is flat from about 2 kpc until at least 7 kpc. Our results imply that at
least a third of the dynamical mass of the NGC 3379/3384 system may be
accounted for in the two bright galaxies.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 15:01:43 GMT""}]","2009-10-28"
"atom-ph/9510004","Craig Savage","Craig Savage (Dept. of Physics, Faculty of Science, ANU, ACT)","Introduction to light forces, atom cooling, and atom trapping","12 pages, Latex, 7 Postscript figures",,"10.1071/PH960745",,"atom-ph physics.atom-ph",,"  This paper introduces and reviews light forces, atom cooling and atom
trapping. The emphasis is on the physics of the basic processes. In discussing
conservative forces the semi-classical dressed states are used rather than the
usual quantized field dressed states.
","[{""version"":""v1"",""created"":""Wed, 18 Oct 1995 22:32:28 GMT""}]","2015-06-24"
