"acc-phys/9510005","Annette Holtkamp","K. Heinemann, G. Ripken, F. Schmidt","Construction of Nonlinear Symplectic Six-Dimensional Thin-Lens Maps by
  Exponentiation","57 pages, latex",,,"DESY 95-189","acc-phys physics.acc-ph",,"  The aim of this paper is to construct six-dimensional symplectic thin-lens
transport maps for the tracking program SIXTRACK, continuing an earlier report
by using another method which consistes in applying Lie series and
exponentiation as described by W. Groebner and for canonical systems by A.J.
Dragt. We firstly use an approximate Hamiltonian obtained by a series expansion
of the square root. Furthermore, nonlinear crossing terms due to the curvature
in bending magnets are neglected. An improved Hamiltonian, excluding solenoids,
is introduced in Appendix A by using the unexpanded square root mentioned
above, but neglecting again nonlinear crossing terms...
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 15:36:13 GMT""}]","2008-02-03"
"alg-geom/9510016","S. Kumar","Shrawan Kumar","Infinite Grassmannians and Moduli Spaces of G-bundles","CIME lecture notes, 47 pages, AMSTEX",,,,"alg-geom math.AG",,"  This lecture note is devoted to prove that the space of vacua is isomorphic
with the space of generalized theta functions (joint work with M.S. Narasimhan,
and A. Ramanathan)
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 13:02:07 GMT""},{""version"":""v2"",""created"":""Fri, 15 Dec 1995 17:10:18 GMT""}]","2008-02-03"
"astro-ph/9510147","Shaun Cole","Shaun Cole (Durham) and Cedric Lacey (Copenhagen)","The Structure of Dark Matter Haloes in Hierarchical Clustering Models","Revised version with one extra figure accepted for publication in
  MNRAS. Large figures available by anonymous ftp at
  ftp://star-ftp.dur.ac.uk/pub/preprints/cl3_figs.ps.tar.gz and complete paper
  available as gzipped postscript file at
  ftp://star-ftp.dur.ac.uk/pub/preprints/cl3.ps.gz","Mon.Not.Roy.Astron.Soc. 281 (1996) 716","10.1093/mnras/281.2.716",,"astro-ph",,"  We use a set of large cosmological N-body simulations to study the internal
structure of dark matter haloes which form in scale-free models. We find that
the radius r_178 corresponding to a mean interior overdensity of 178 accurately
delineates the quasi-static halo interior from the surrounding infalling
material, in agreement with the simple spherical collapse model. The interior
velocity dispersion correlates with mass, again in good agreement with the
spherical collapse model. Interior to the virial radius r_178, the spherical
averaged density, circular velocity and velocity dispersion profiles are well
fit by a simple 2-parameter analytic model proposed by Navarro etal (1995).
This model has density going as 1/r at small radii, steepening to 1/r^3 at
large radii, and fits our haloes to the resolution limit of the simulations.
The two model parameters, scalelength and mass, are tightly correlated. Lower
mass haloes are more centrally concentrated, and so have scalelengths which are
a smaller fraction of their virial radius than those of their higher mass
counterparts. This reflects the earlier formation times of low mass haloes. The
haloes are moderately aspherical, with typical axial ratios 1:0.8:0.65 at their
virial radii. These shapes are maintained by an anisotropic velocity dispersion
tensor. The median value of the spin parameter is lambda=0.04, with a weak
trend for lower lambda at higher halo mass. We also investigate how the halo
properties depend on the algorithm used to identify them, using both
friends-of-friends and spherical overdensity methods. We find that for groups
selected at mean overdensities 100-400 by either method the properties are
insensitive to how the haloes are selected, if the halo centre is taken as the
position of the most bound particle
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 12:11:56 GMT""},{""version"":""v2"",""created"":""Fri, 8 Mar 1996 09:57:42 GMT""}]","2015-06-24"
"astro-ph/9510148",,"Mario Vietri (Osservatorio Astronomico di Roma)","Coronal Gamma Ray Bursts as the sources of Ultra High Energy Cosmic
  Rays?","In press in The Short Communications of the MNRAS, LATEX--mn.sty, no
  figures",,"10.1093/mnras/278.1.L1",,"astro-ph",,"  I consider the possibility that Ultra High Energy Cosmic Rays are accelerated
in Gamma Ray Bursts located in the Galactic corona, thus circumventing the
problem raised by Greisen--Zatsepin--Kuz'min cutoff. The acceleration of UHECRs
could occur in the pulsars which, in the coronal GRB model, produce them: the
same parameters that permit fitting GRBs' observations in the model of
Podsiadlowski, Rees and Ruderman (1995) lead to an estimate of the highest
achievable energies corresponding to that of the Bird et al (1994) event, and
to very low luminosities in cosmic rays. I show that, if the observations of
Milgrom and Usov (1995a) are confirmed, the extragalactic GRBs' model for the
acceleration of UHECRs is untenable, but the same constraint does not apply to
the coronal model. Also, I show that the efficiency of particle acceleration
needs be much smaller (and less demanding) than in cosmological models of GRBs.
Uncertainties remain about the ensuing cosmic ray spectral distribution. I also
briefly discuss observational strategies to distinguish between the two
possibilities.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 10:36:52 GMT""}]","2016-06-08"
"cond-mat/9510162",,"S. R. Shannon, T. C. Choy, and R. J. Fleming (Department of Physics,
  Monash University, Clayton, Victoria. Australia)","Corrections to scaling in 2--dimensional polymer statistics","10 pages of RevTex, 5 Postscript figures. Accepted for publication in
  Phys. Rev. B. Brief Reports. Also submitted to J. Phys. A",,"10.1103/PhysRevB.53.2175",,"cond-mat chem-ph",,"  Writing $<R^2_N > = AN^{2\nu}(1+BN^{-\Delta_1}+CN^{-1}+ ...)$ for the mean
square end--to--end length $<R^2_N>$ of a self--avoiding polymer chain of $N$
links, we have calculated $\Delta_1$ for the two--dimensional {\em continuum}
case from a new {\em finite} perturbation method based on the ground state of
Edwards self consistent solution which predicts the (exact) $\nu=3/4$ exponent.
This calculation yields $\Delta_1=1/2$. A finite size scaling analysis of data
generated for the continuum using a biased sampling Monte Carlo algorithm
supports this value, as does a re--analysis of exact data for two--dimensional
lattices.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 11:05:04 GMT""}]","2009-10-28"
"cond-mat/9510163","Alexei Tsvelik","A. G. Green, I. I. Kogan and A. M. Tsvelik","Skyrmion Liquid in SU(2)-invariant Quantum Hall Systems","LaTex, 5 pages, no figures",,"10.1103/PhysRevB.53.6981",,"cond-mat",,"  We report on a theory of the Skyrmion states which occur in quantum Hall
regime near certain filling factors. It is shown that in the limit of zero
Zeeman splitting in a realistic temperature range the Skyrmion plasma is a
liquid described by the effective model of massive two-dimensional Dirac
fermions.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 12:08:35 GMT""}]","2009-10-28"
"cond-mat/9510164","Axel Dohmen","J.T. Chalker (Theoretical Physics, Univ. of Oxford), A. Dohmen (Inst.
  f. Theor. Phys., Univ. zu Koln)","Three-dimensional disordered conductors in a strong magnetic field:
  surface states and quantum Hall plateaus","4 pages (PostScript) replaced due to compression error, slightly
  shortened version to appear in PRL","Phys. Rev. Lett. 75, 4496 (1995)","10.1103/PhysRevLett.75.4496",,"cond-mat",,"  We study localization in layered, three-dimensional conductors in strong
magnetic fields. We demonstrate the existence of three phases - insulator,
metal and quantized Hall conductor - in the two-dimensional parameter space
obtained by varying the Fermi energy and the interlayer coupling strength.
Transport in the quantized Hall conductor occurs via extended surface states.
These surface states constitute a subsystem at a novel critical point, which we
describe using a new, directed network model.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 13:58:10 GMT""},{""version"":""v2"",""created"":""Thu, 2 Nov 1995 13:19:01 GMT""}]","2011-08-05"
"cond-mat/9510166","Cecilia Von Reinchenvach","C.M.Na\'on, M.C.von Reichenbach and M.L.Trobo","Fermi edge restoration in the Tomonaga-Luttinger model with impurities","11 pages, RevTex, 1 figure available upon request on e-mail
  naon@venus.fisica.unlp.edu.ar",,,"La Plata-TH 95-28","cond-mat",,"  We study the Tomonaga-Luttinger model in the presence of magnetic
(Kondo-like) impurities. By using a recently proposed field-theoretical
approach to non-local bosonization we obtain the effective action describing
the low-energy charge and spin density fluctuations. From this action the
dispersion relations of the collective modes are readily found. We also compute
the momentum distribution and show that the electron-impurity scattering allows
to have restoration of the Fermi liquid behavior.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 13:20:09 GMT""}]","2007-05-23"
"hep-lat/9510051","Julius Kuti","Wolfgang Bock and Julius Kuti (University of California at San Diego)","The Shape of the Renormalized Trajectory in the Two-dimensional O(N)
  Non-linear Sigma Model","9 pages, compressed and uuencoded postscript file (compressed file is
  434 Kbytes.) A reference is added with a minor modification of the text and
  fig.3b","Phys.Lett.B367:242-248,1996","10.1016/0370-2693(95)01419-5","UCSD/PTH 95-20","hep-lat",,"  The renormalized trajectory in the multi-dimensional coupling parameter space
of the two-dimensional O(3) non-linear sigma model is determined numerically
under \linebreak $\delta$-function block spin transformations using two
different Monte Carlo renormalization group techniques. The renormalized
trajectory is compared with the straight line of the fixed point trajectory
(fixed point action) which leaves the asymptotically free ultraviolet fixed
point of the critical surface in the orthogonal direction. Our results show
that the renormalized trajectory breaks away from the fixed point trajectory in
a range of the correlation length around $\xi \approx 3$-$7$, flowing into the
high temperature fixed point at $\xi=0$. The analytic large $N$ calculation of
the renormalized trajectory is also presented in the coupling parameter space
of the most general bilinear Hamiltonians. The renormalized trajectory in the
large $N$ approximation exhibits a similar shape as in the $N=3$ case, with the
sharp break occurring at a smaller correlation length of $\xi \approx 2$-$3$.
","[{""version"":""v1"",""created"":""Sun, 29 Oct 1995 18:07:59 GMT""},{""version"":""v2"",""created"":""Tue, 31 Oct 1995 04:45:10 GMT""},{""version"":""v3"",""created"":""Fri, 17 Nov 1995 05:54:14 GMT""}]","2014-11-17"
"hep-lat/9510052","Christine Davies","C.T.H.Davies, A.J.Lidsey, K.Hornbostel, G.P.Lepage, J.Shigemitsu,
  J.Sloan","$B_c$ and $\Upsilon$ Spectra from Lattice NRQCD - Results at $\beta$ =
  5.7","4 pages of uuencoded latex. Uses espcrc2.sty. Contribution to LAT95","Nucl.Phys.Proc.Suppl. 47 (1996) 421-424","10.1016/0920-5632(96)00096-5",,"hep-lat",,"  We update our results for the heavy-heavy spectrum at $\beta$ = 5.7, using
NRQCD. This includes a scaling comparison with the $\Upsilon$ spectrum at
$\beta$ = 6.0 and first lattice predictions for the $B_c$ spectrum.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 15:50:32 GMT""}]","2019-08-17"
"hep-ph/9510440","Leonid Glozman","L. Ya. Glozman","Chiral Symmetry and the Constituent Quark Model","10 pages, LaTeX, plenary talk given at the Baryons '95 (7th Int.
  Conf. on the Structure of Baryons, Santa Fe, October 3-7, 1995)",,,"UNIGRAZ-UTP 28-10-95","hep-ph",,"  New results on baryon structure and spectrum developed in collaboration with
Dan Riska [1-4] are reported. The main idea is that beyond the chiral symmetry
spontaneous breaking scale light and strange baryons should be considered as
systems of three constituent quarks with an effective confining interaction and
a chiral interaction that is mediated by the octet of Goldstone bosons
(pseudoscalar mesons) between the constituent quarks.
","[{""version"":""v1"",""created"":""Sun, 29 Oct 1995 17:38:53 GMT""},{""version"":""v2"",""created"":""Mon, 30 Oct 1995 14:49:57 GMT""},{""version"":""v3"",""created"":""Tue, 31 Oct 1995 15:45:06 GMT""}]","2008-02-03"
