"alg-geom/9511002","Dr. Mueller-Stach","Stefan M\""uller-Stach","Constructing Indecomposable Motivic Cohomology Classes on Algebraic
  Surfaces","Latex 2e, 34 pages",,,,"alg-geom math.AG",,"  We describe a method to construct indecomposable classes in Bloch's higher
Chow group $CH^2(X,1)$ on algebraic surfaces over the complex numbers via
transcendental methods and apply it to obtain examples on K3-surfaces and some
surfaces of general type.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 13:15:32 GMT""}]","2014-10-24"
"astro-ph/9511004","Isaac Shlosman","Isaac Shlosman, Peter Vitello, Christopher W. Mauche","Rotating Winds from Accretion Disks in Cataclysmic Variables: Eclipse
  Modeling of V347 Puppis","x pages, postscrip, compressed uuencoded. 11 figures available by
  anonymous ftp from ftp://asta.pa.uky.edu/shlosman/puppis/ (get *.PS.Z). To
  appear in ApJ",,"10.1086/177066",,"astro-ph",,"  We study the eclipsing nova-like variable V347 Pup by matching its UV
emission line profiles in and out of eclipse to synthetic lines using a 3D
kinematic and radiation transfer model. Our results support the accretion disk
origin of winds in non-magnetic CVs as opposite to the WD origin. Our main
point concerns the importance of rotation for the UV emission line shapes in
such systems. In particular, we show that the narrowing of the UV emission
lines in V347 Pup during eclipse can be easily explained by the eclipse of the
innermost part of the wind by the secondary and the resulting reduction in the
contribution of rotational broadening to the width of the lines. During the
eclipse, the residual line flux is very sensitive to the maximal temperature of
disk radiation. Good fits for reasonable mass-loss rates have been obtained for
maximum disk temperatures of 50,000 degrees. This constraint was imposed either
by leveling off the inner disk temperature profiles, in agreement with recent
observations of some nova-like objects, or by assuming that the accretion disk
does not extend to the surface of the white dwarf, in which case V347 up would
be an intermediate polar. In anticipation of high-speed spectrophotometry of
CVs by the HST, we provide numerical model of a time-resolved eclipse of V347
Pup or similar such system to be verified by future observations.
","[{""version"":""v1"",""created"":""Wed, 1 Nov 1995 16:43:22 GMT""}]","2009-10-28"
"astro-ph/9511005","Basilio Santiago","Basilio X. Santiago, Michael A. Strauss, Ofer Lahav, Marc Davis, Alan
  Dressler and John Huchra","The Optical Redshift Survey II: Derivation of the Luminosity and
  Diameter Functions and of the Density Field","25 pages plus 11 figures. Accepted for publication","Astrophys.J. 461 (1996) 38","10.1086/177036",,"astro-ph",,"  We quantify the effects of Galactic extinction on the derived luminosity and
diameter functions and on the density field of a redshift sample. Galaxy
magnitudes are more affected by extinction than are diameters, although the
effect on the latter is more variable from galaxy to galaxy, making it more
difficult to quantify. We develop a maximum-likelihood approach to correct the
luminosity function, the diameter function and the density field for extinction
effects. The effects of random and systematic photometric errors are also
investigated. The derived density field is robust to both random and systematic
magnitude errors as long as these are uncorrelated with position on the sky,
since biases in the derived selection function and number counts tend to cancel
one another. Extinction-corrected luminosity and diameter functions are derived
for several subsamples of the {\it Optical Redshift Survey} (ORS). Extinction
corrections for the diameter-limited subsamples are found to be unreliable,
possibly due to the superposition of random and systematic errors. The ORS
subsamples are combined using overall density scaling factors from a full-sky
redshift survey of \iras\ galaxies, allowing the reconstruction of the optical
galaxy density field over most of the sky to 8000 \kms.
","[{""version"":""v1"",""created"":""Wed, 1 Nov 1995 16:44:50 GMT""},{""version"":""v2"",""created"":""Thu, 2 Nov 1995 18:35:50 GMT""}]","2009-10-28"
"astro-ph/9511006","Jim Chiang","J. Chiang and N. Murray (CITA)","Reverberation Mapping and the Disk Wind Model of the Broad Line Region","17 pages text, 8 postscript figures",,"10.1086/177543",,"astro-ph",,"  Using the disk wind model of Murray et al. (1995), we calculate line profiles
and frequency-resolved response functions for broad line emission from the
surface of an accretion disk in an AGN in the presence of a radiatively driven
wind. We find that the combined effects of the shears in the wind and in the
disk itself produce anisotropic line emission which solves several well-known
problems connected with disk models of the broad line region. In particular,
the broadening of resonance lines such as \Civ, \Lya, and \Nv\/ can be
attributed to orbital motion of the disk gas at radii as close as $\sim
10^{16}$~cm in Seyferts without requiring unrealistically large emission
regions in order to produce single-peaked profiles. Furthermore, the anisotropy
of the line emission results in frequency-dependent response functions which
are no longer red-blue symmetric so that the time delays inferred for the
various red and blue components of the line agree qualitatively with recent
reverberation mapping observations of NGC~5548.
","[{""version"":""v1"",""created"":""Wed, 1 Nov 1995 20:02:05 GMT""}]","2009-10-28"
"astro-ph/9511008","Dave Bennett","David P. Bennett and Sun Hong Rhie","A Test of Gamma Ray Burst Recurrence in the BATSE 3B Data Set","10 pages, 6 figures (all postscript) in a uuencoded compressed tar
  file",,,,"astro-ph",,"  We analyse the BATSE 3B catalog using the pair-matching statistic. This
statistic counts only the burst pairs which may have originated from the same
source, so it is less likely to yield false detections of ``repeating bursts""
than the nearest neighbor and correlation function statistics. Even in the
ideal case when repeating is the only possible source of burst correlations,
the pair matching statistic is more sensitive to repeating bursts than these
other statistics particularly for models which predict faint or multiple burst
repetitions. We find that the BATSE 3B data set contains no excess of matched
burst pairs over the expectation from a sample with random positions. We also
apply the pair-matching statistic to the bursts that previously appeared in the
BATSE 1B catalog which now have improved positions and position errors in the
BATSE 3B data set. Previously, these bursts had exhibited some peculiar
position correlations that were interpreted by some as evidence for burst
repetition, but we find that these correlations have disappeared with the
improved BATSE 3B positions.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 08:14:42 GMT""}]","2007-05-23"
"astro-ph/9511009",,"Andrzej M. Soltan, Guenther Hasinger, Roland Egger, Steve Snowden and
  Joachim Truemper (MPE-Garching, Copernicus Center-Warsaw,
  NASA/GSFC-Greenbelt)","The large scale structure of the soft X-ray background. I: Clusters of
  galaxies","18 pages, uuencoded gzipped postscript (due to technical reason one
  figure is not included into ps file), accepted for publication in the A&Ap",,,,"astro-ph",,"  Large-scale fluctuations of the X-ray background are investigated using the
ROSAT All-Sky Survey. The autocorrelation function of the extragalactic
background at 1 keV is determined at separations 0.1 - 40 deg. We detect a
significant signal for separations < 6 deg, which is larger than previous upper
limits. We analyse the cross-correlation between the angular positions of Abell
clusters of galaxies and the intensity of the X-ray background. The
cross-correlation extends to several degrees for clusters of distance class
.leq. 4. We conclude that Abell clusters are associated with extended, low
surface brightness X-ray haloes. The mean luminosity of the diffuse sources in
the 0.5-2.0 keV band is equal to approx 2.5 * 10^{43} h^{-2} erg s^{-1} and
their characteristic radius a = 10 h^{-1} Mpc (H_0 = 100 h km s^{-1} Mpc^{-1}).
It is shown that the higher density of normal galaxies and AGNs around clusters
cannot be responsible for the increased X-ray emission. This is because it
would produce a signal in the autocorrelation function measurable by the Ginga
LAC experiment. Apparent extended emission could be produced either by a number
of discrete sources associated with groups of galaxies concentrated around rich
clusters or by a hot diffuse gas. It is shown that sources associated with
Abell clusters account for approx. 30 % of the X-ray background fluctuations on
scales above 1 deg.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 11:11:53 GMT""}]","2007-05-23"
"astro-ph/9511010","Stacy McGaugh","Stacy McGaugh","The number, luminosity, and mass density of spiral galaxies as a
  function of surface brightness","Accepted for publication in MNRAS. Uuencoded compressed tarred
  postscript. Also available at http://www.ast.cam.ac.uk/preprint/PrePrint.html","Mon.Not.Roy.Astron.Soc. 280 (1996) 337","10.1093/mnras/280.2.337","CAP-9503009","astro-ph",,"  I give analytic expressions for the relative number, luminosity, and mass
density of disc galaxies as a function of surface brightness. These surface
brightness distributions are asymmetric, with long tails to lower surface
brightnesses. This asymmetry induces systematic errors in most determinations
of the galaxy luminosity function. Galaxies of low surface brightness exist in
large numbers, but the additional contribution to the integrated luminosity
density is modest, probably 10 -- 30%.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 15:32:39 GMT""}]","2015-06-24"
"astro-ph/9511012","Alberto Manrique","Alberto Manrique and Eduard Salvador-Sole (University of Barcelona)","The Confluent System Formalism: II. The Growth History of Objects","Latex file (aasptwo.sty and epsf.sty macros included), 26 pages and 6
  ps figures (one new). Revised version accepted for publication in The
  Astrophysical Journal (to appear in August 20 1996, Vol. 467)",,"10.1086/177627",,"astro-ph",,"  With the present paper we conclude the presentation of a semianalytical model
of hierarchical clustering of bound virialized objects formed by gravitational
instability from a random Gaussian field of density fluctuations. In paper I,
we introduced the basic tool, the so-called ``confluent system'' formalism,
able to follow the evolution of bound virialized objects in the peak model.
This was applied to derive the mass function of objects. In the present paper,
we calculate other important quantities characterizing the growth history of
objects. This model is compared with a similar one obtained by Lacey \& Cole
(1993) following the Press \& Schechter (1974) approach. The interest of the
new modeling presented here is twofold: 1) it is formally better justified as
far as peaks are more reasonable seeds of objects than the indetermined regions
in the Press \& Schechter prescription, and 2) it distinguishes between merger
and accretion enabling us to unambiguously define the formation and destruction
of objects and to estimate growth rates and characteristic times not available
in the previous approach.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 09:25:03 GMT""},{""version"":""v2"",""created"":""Sat, 9 Mar 1996 18:18:53 GMT""}]","2009-10-28"
"chao-dyn/9510020","Per Dahlqvist","Per Dahlqvist (Royal Institute of Technology, Stockholm)","Decay of correlations, Lyapunov exponents and anomalous diffusion in the
  Sinai billiard","8 pages LaTeX, one figure",,,,"chao-dyn nlin.CD",,"  We compute the decay of the velocity autocorrelation function, the Lyapunov
exponent and the diffusion constant for the Sinai billiard within the framework
of dynamical zeta functions. The asymptotic decay of the velocity
autocorrelation function is found to be $C(t) \sim c(R)/t$. The Lyapunov
exponent for the corresponding map agrees with the conjectured limit
$\lambda_{map} \to -2\log(R)+C$ as $R \to 0$ where $C=1-4\log
2+27/(2\pi^2)\cdot \zeta(3)$. The diffusion constant of the associated Lorentz
gas is found to be divergent $D(t) \sim \log t$.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 13:01:58 GMT""}]","2008-02-03"
"cond-mat/9511003","A. Khare","Somendra M. Bhattacharjee, and Avinash Khare","Fifty Years of the Exact Solution of the Two-Dimensional Ising Model by
  Onsager","14 pages, no figure, revtex file, To be Published in ""Current Science
  (India)"", minor corrections made in sec.4","Curr.Sci. 69 (1995) 816-820; Erratum-ibid. 71 (1996) 493",,"IP-BBSR/95-55, July (1995)","cond-mat hep-th",,"  The exact solution of the two-dimensional Ising model by Onsager in 1944
represents one of the landmarks in theoretical physics. On the occassion of the
fifty years of the exact solution, we give a historical review of this model.
After briefly discussing the exact solution by Onsager, we point out some of
the recent developments in this field. The exact solution by Onsager has
inspired several developments in various other fields. Some of these are also
briefly mentioned.
","[{""version"":""v1"",""created"":""Wed, 1 Nov 1995 22:41:49 GMT""},{""version"":""v2"",""created"":""Fri, 10 Nov 1995 10:56:56 GMT""}]","2008-02-03"
"cond-mat/9511004","Rosario Fazio","Rosario Fazio and Dario Zappala`","$\epsilon$-Expansion of the Conductivity at the Superconductor-Mott
  Insulator Transition","8 pages REVTEX",,"10.1103/PhysRevB.53.R8883",,"cond-mat",,"  We study the critical behavior of the conductivity $\sigma(\omega)$ at the
zero temperature superconductor-Mott insulator transition in $d$ space-time
dimensions for a model of bosons with short-range interaction and no disorder.
We obtain $\sigma(\omega_n ) = (4e^2/\hbar) \sigma_{\epsilon}
\omega_n^{1-\epsilon}$, as predicted by the scaling theory, and the prefactor
$\sigma_{\epsilon}$ is calculated in the $\epsilon$-expansion, to order
$\epsilon ^2$ ($\epsilon = 4-d$). In two spatial dimensions, ($d=3$), we find a
value of the universal conductance $\sigma^\star =0.315 (4e^2/h)$, in good
agreement with the known Monte Carlo results.
","[{""version"":""v1"",""created"":""Wed, 1 Nov 1995 17:28:26 GMT""}]","2009-10-28"
