"alg-geom/9510003","Nakajima Hiraku","Hiraku Nakajima","Instantons and affine Lie algebras","12 pages, AMSLaTeX v 1.1","Nucl.Phys.Proc.Suppl.46:154-161,1996","10.1016/0920-5632(96)00017-5",,"alg-geom hep-th math.AG math.QA q-alg",,"  Various constructions of the affine Lie algebra action on the homology group
of moduli spaces of instantons on 4-manifolds are discussed. The analogy
between the local-global principle and the role of mass is also explained. The
detailed proofs are given in separated papers \cite{Na-algebra,Na-Hilbert}.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 18:36:05 GMT""}]","2011-07-19"
"astro-ph/9511011","Marc Postman","M. Postman (STScI), L. M. Lubin (OCIW), J. E. Gunn (Princeton), J. B.
  Oke (DAO), J. G. Hoessel (U. Wisconsin), D. P. Schneider (PSU), J. A.
  Christensen (STScI)","The Palomar Distant Cluster Survey: I. The Cluster Catalog","50 pages of text in uuencoded/compressed format. Figures sent
  separately. Finding charts not included due to excessive size of the
  postscript files. Contact postman@stsci.edu for additional information","Astron.J.111:615,1996","10.1086/117811",,"astro-ph",,"  We present an optical/near IR selected catalog of 79 clusters distributed
over an area of 5.1~square~degrees. The catalog was constructed from images
obtained with the 4-Shooter CCD mosaic camera on the Hale 5m telescope
operating in ``scan"" mode. The survey, hereafter known as the Palomar Distant
Cluster Survey (PDCS), was conducted in two broad band filters that closely
resemble~$V$ and~$I$. The $4\sigma$ limiting magnitudes for our 300 s exposures
are~$\sim$~23.8~($V$) and~22.5~($I$). A matched filter algorithm was developed
and employed to identify the cluster candidates by using positional and
photometric data simultaneously. The clusters cover the range $0.2 \simless z
\simless 1.2$, based on the redshift estimates derived in the cluster detection
procedure. An accurate selection function is generated from extensive
simulations. We find that the cumulative surface density of clusters with
richness class R $\ge$ 1 is about a factor of 5 higher than the extrapolated
density of R $\ge$ 1 Abell clusters. The PDCS results are consistent with a
constant comoving density of clusters to $z \simless 0.6$, albeit at the above
high density level. Constraints on cluster abundances at $z > 0.6$ will be
possible with the acquisition of spectroscopic redshifts for a large subset of
these cluster candidates. We also present a supplemental catalog of 28 clusters
that do not satisfy all our selection criteria but which include some of the
most distant systems detected in the survey. Finding charts for all 107 cluster
candidates are provided.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 16:08:55 GMT""}]","2008-11-26"
"astro-ph/9511013","Jordi Miralda-Escude","Jordi Miralda-Escude, Renyue Cen, Jeremiah P. Ostriker, Michael Rauch","The Lyman Alpha Forest from Gravitational Collapse in the CDM+Lambda
  Model","61 pages, tex, 47 figures, submitted to ApJ. Figures also available
  at http://astro.princeton.edu/~cen/LYA/entry.html . Simulated absorption line
  spectra are available in the same address","Astrophys.J. 471 (1996) 582","10.1086/177992","IASSNS-AST 95/44","astro-ph",,"  We model the $\lya$ forest in a spatially flat, CDM model with $\Omega=0.4$,
with an Eulerian hydrodynamic simulation, and find that the intergalactic,
photoionized gas collapses into sheet-like and filamentary structures which
produce absorption lines like those observed in the $\lya$ forest. A typical
filament is $\sim 1 h^{-1} \mpc$ long with thickness $\sim 50-100 h^{-1} \kpc$
(in proper units), and baryonic mass $\sim 10^{10} h^{-1} \msun$. The gas
temperature increases with time as structures with larger velocities collapse
gravitationally.
  The predicted distributions of column densities and b-parameters of the
absorption lines agree with the observed ones, and their evolution is
consistent with our model if the ionizing background has an approximately
constant intensity between $z=2$ and $z=4$. We also predict the distribution of
transmitted flux and its correlation along a spectrum and on parallel spectra,
and the \heii flux decrement as a function of redshift. We predict a
correlation length of $\sim 80 h^{-1}\kpc$ perpendicular to the line of sight
for features in the Lyman alpha forest.
  In order to reproduce the observed number of lines and average flux
transmission, the baryon content of the clouds may need to be significantly
higher than in previous models because of the low densities we predict. If the
background intensity $\jhi$ is at least that predicted from the observed
quasars, $\Omega_b$ needs to be $\sim 0.025 h^{-2}$, higher than expected by
light element nucleosynthesis; the model also predicts that most of the baryons
at $z>2$ are in $\lya$ clouds, and that the rate at which the baryons move to
more overdense regions is slow.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 22:04:51 GMT""}]","2009-10-28"
"astro-ph/9511014","Duncan Alan Forbes","Duncan A. Forbes, Andrew C. Phillips, David C. Koo and Garth D.
  Illingworth (Lick Observatory)","Keck Spectroscopy and HST Imaging of Field Galaxies at Moderate Redshift","replaced short version of paper. 31 pages, figures and tables
  available at http://www.ucolick.org/~forbes/home.html",,"10.1086/177130","Lick preprint 68","astro-ph",,"  We present 18 spectra, obtained with the Keck 10m telescope, of faint field
galaxies (19 $<$ I $<$ 22, 0.2 $<$ z $<$ 0.84) previously imaged by {\it HST's}
WFPC2. Though small, our sample appears to be representative of field spirals
with a magnitude--limit of I $\le$ 22. Combining the results from the spectral
and imaging data, we have derived various quantitative parameters for the
galaxies, including colors, inclinations, emission line equivalent widths,
redshifts, luminosities, internal velocity information and physical scale
lengths. In particular, disk scale lengths (with sizes ranging from $\sim$1--5
kpc) have been measured from fits to the surface brightness profiles. We have
also measured internal velocities with a rest frame resolution of $\sigma$ = 55
to 80 km s$^{-1}$ by fitting to the emission lines. The luminosity--disk size
and luminosity--internal velocity (Tully--Fisher) relations for our moderate
redshift galaxies are similar to the scaling relations seen for local galaxies,
albeit with a modest brightening of $\sim$1 magnitude. The one bulge--dominated
galaxy in our sample (at z = 0.324) has a relatively blue color, reveals weak
emission lines and is $\sim$0.5 magnitude brighter in the rest frame than
expected for a passive local elliptical. Our data suggest that galaxies at
about half the age of the Universe have undergone mild luminosity evolution to
the present epoch, but are otherwise quantitatively similar to galaxies seen
locally.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 19:02:31 GMT""},{""version"":""v2"",""created"":""Mon, 6 Nov 1995 17:43:32 GMT""}]","2009-10-28"
"astro-ph/9511015","Jean-Paul Kneib","J.-P. Kneib, R.S. Ellis, I. Smail, W.J. Couch & R.M. Sharples","Hubble Space Telescope Observations of the Lensing Cluster Abell 2218","45 pages, gzipped postscript with figures, submitted to ApJ","Astrophys.J. 471 (1996) 643","10.1086/177995",,"astro-ph",,"  We present a striking new Hubble Space Telescope (HST) observation of the
rich cluster Abell 2218 taken with the Wide-Field and Planetary Camera (WFPC2).
HST's restored image quality reveals a sizeable number of
gravitationally-lensed features in this cluster, significantly more than had
been identified using ground-based telescopes. The brightest arcs are resolved
by HST and show internal features enabling us to identify multiply-imaged
examples, confirming and improving the mass models of the cluster determined
from ground-based observations. Although weak lensing has been detected
statistically in this and other clusters from ground-based data, the
superlative resolution of HST enables us to individually identify weakly
distorted images more reliably than hitherto, with important consequences for
their redshift determination. Using an improved mass model for the cluster
calibrated with available spectroscopy for the brightest arcs, we demonstrate
how inversion of the lensing model can be used to yield the redshift
distribution of $\sim$80 faint arclets to $R\simeq25$. We present a new
formalism for estimating the uncertainties in this inversion method and review
prospects for interpreting our results and verifying the predicted redshifts.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 20:44:00 GMT""}]","2009-10-28"
"astro-ph/9511016","Julio Navarro","Julio F. Navarro (Steward Observatory, University of Arizona)","The Structure of CDM Halos","compressed and uuencoded PS file. 4 pages including 4 figures. 144449
  bytes. To be published in the Proceedings of the IAU Symposium 171, 'New
  Light on Elliptical Galaxies', eds. R. Davies and R. Bender",,,"UofA TAP # to be assigned","astro-ph",,"  High resolution N-body simulations show that the density profiles of dark
matter halos formed in the standard CDM cosmogony can be fit accurately by
scaling a simple ``universal'' profile. Regardless of their mass, halos are
nearly isothermal over a large range in radius, but significantly shallower
than $r^{-2}$ near the center and steeper than $r^{-2}$ in the outer regions.
The characteristic overdensity of a halo correlates strongly with halo mass in
a manner consistent with the mass dependence of the epoch of halo formation.
Matching the shape of the rotation curves of disk galaxies with this halo
structure requires (i) disk mass-to-light ratios to increase systematically
with luminosity, (ii) halo circular velocities to be systematically lower than
the disk rotation speed, and (iii) that the masses of halos surrounding bright
galaxies depend only weakly on galaxy luminosity. This offers an attractive
explanation for the puzzling lack of correlation between luminosity and
dynamics in observed samples of binary galaxies and of satellite companions of
bright spiral galaxies, suggesting that the structure of dark matter halos
surrounding bright spirals is similar to that of cold dark matter halos.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 21:33:21 GMT""}]","2007-05-23"
"astro-ph/9511017","Ben Dorman","Noella Lambert d'Cruz (U. Va), Ben Dorman (U. Va/NASA-GSFC), Robert T.
  Rood, and Robert W. O'Connell","The Origin of Extreme Horizontal Branch Stars","AASLaTeX v.4, 29pp., postscript available at
  http://shemesh.gsfc.nasa.gov/~dorman/Ben.html",,"10.1086/177515",,"astro-ph",,"  Strong mass loss on the red giant branch (RGB) can result in the formation of
extreme horizontal branch (EHB) stars. The EHB stars spend most of their He
core and shell burning phase at high temperatures and produce copious
ultraviolet flux. They have very small hydrogen envelopes and occupy a small
range in mass. We have computed evolutionary RGB models with mass loss for
stars with a range of metallicities at initial masses < 1.1 Msun corresponding
to populations ages between 12.5 and 14.5 Gyr. We used the Reimers formula to
characterize mass loss, but investigated a larger range of the mass loss
efficiency parameter, eta, than is common. To understand how the number of EHB
stars varies with metallicity in a stellar population we considered how the
zero-age horizontal branch (ZAHB) is populated. The range in eta producing EHB
stars is comparable to that producing `mid-HB' stars. Somewhat surprisingly,
neither the range nor magnitude of eta producing EHB stars varies much
metallicity. In contrast, the range of eta producing mid-HB stars decreases
with increasing metallicity. Hence the HB of populations with solar metallicity
and higher, such as expected in elliptical galaxies and spiral bulges, will be
bimodal if the distribution covers a sufficiently large range in eta.
","[{""version"":""v1"",""created"":""Fri, 3 Nov 1995 01:38:37 GMT""}]","2016-02-17"
"astro-ph/9511018","Peter Thomas","Domingos D. C. Rodrigues and Peter A. Thomas","Merger trees and the multiplicity function of halos","plain tex, 10 pages; figures (all Postscript) in a uuencoded
  compressed tar file; submitted to M.N.R.A.S",,"10.1093/mnras/282.2.631","SUSSEX-AST 95/11-2","astro-ph",,"  We present a new method for calculating the merger history of matter halos in
hierarchical clustering cosmologies. The linear density field is smoothed on a
range of scales, these are then ordered in decreasing density and a merger tree
constructed. The method is similar in many respects to the block model of Cole
\& Kaiser but has a number of advantages: (i) it retains information about the
spatial correlations between halos, (ii) it uses a series of overlapping grids
and is thereby much better at finding rare, high-mass halos, (iii) it is not
limited to halos whose mass ratios are powers of two, and (iv) it is based on
an actual realization of the density field and so can be tested against N-body
simulations. The major disadvantages are (i) the minimum halo mass is eight
times the unit cell with a corresponding loss of dynamic range, and (ii)
occasionally the relative location of halos in the tree does not reflect the
correct ordering of their collapse times, as computed from the mean halo
density. We show that our model exhibits the required scaling behaviour when
tested on power-law spectra of density perturbations, but that it predicts far
more massive halos than does the Press-Schechter formalism for flat spectra. We
suggest reasons why this should be so.
","[{""version"":""v1"",""created"":""Fri, 3 Nov 1995 14:28:00 GMT""},{""version"":""v2"",""created"":""Mon, 6 Nov 1995 09:34:00 GMT""},{""version"":""v3"",""created"":""Tue, 14 Nov 1995 11:42:00 GMT""}]","2015-06-24"
"cmp-lg/9511001","Francis Bond","Francis Bond (NTT), Kentaro Ogura (NTT), Satoru Ikehara (NTT)","Countability and Number in Japanese-to-English Machine Translation","7 pages, LaTeX, uses twocolumn.sty, 11pt, lsalike.sty, gb4e.sty","Proceedings of the 15th International Conference on Computational
  Linguistics (COLING'94), pp 32--38.",,,"cmp-lg cs.CL",,"  This paper presents a heuristic method that uses information in the Japanese
text along with knowledge of English countability and number stored in transfer
dictionaries to determine the countability and number of English noun phrases.
Incorporating this method into the machine translation system ALT-J/E, helped
to raise the percentage of noun phrases generated with correct use of articles
and number from 65% to 73%.
","[{""version"":""v1"",""created"":""Fri, 3 Nov 1995 05:00:09 GMT""}]","2008-02-03"
"comp-gas/9511001","Dr Enzo Orlandini","Enzo Orlandini, Michael R. Swift and J.M. Yeomans","A Lattice Boltzmann Model of Binary Fluid Mixture","12 pages + 4 eps figures",,"10.1209/0295-5075/32/6/001","OUTP-95-53S","comp-gas nlin.CG",,"  We introduce a lattice Boltzmann for simulating an immiscible binary fluid
mixture. Our collision rules are derived from a macroscopic thermodynamic
description of the fluid in a way motivated by the Cahn-Hilliard approach to
non-equilibrium dynamics. This ensures that a thermodynamically consistent
state is reached in equilibrium. The non-equilibrium dynamics is investigated
numerically and found to agree with simple analytic predictions in both the
one-phase and the two-phase region of the phase diagram.
","[{""version"":""v1"",""created"":""Fri, 3 Nov 1995 14:45:12 GMT""}]","2009-10-28"
"cond-mat/9511013","Kyungsun Moon","K. Moon (UC-Davis) and S.M. Girvin (Indiana University)","The effect of inter-edge Coulomb interactions on the transport between
  quantum Hall edge states","4 pages, RevTex, 2 postscript figures, tex file and figures have been
  uuencoded",,"10.1103/PhysRevB.54.4448",,"cond-mat",,"  In a recent experiment, Milliken {\em et al.} demonstrated possible evidence
for a Luttinger liquid through measurements of the tunneling conductance
between edge states in the $\nu=1/3$ quantum Hall plateau. However, at low
temperatures, a discrepancy exists between the theoretical predictions based on
Luttinger liquid theory and experiment. We consider the possibility that this
is due to long-range Coulomb interactions which become dominant at low
temperatures. Using renormalization group methods, we calculate the cross-over
behaviour from Luttinger liquid to the Coulomb interaction dominated regime.
The cross-over behaviour thus obtained seems to resolve one of the
discrepancies, yielding good agreement with experiment.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 19:38:43 GMT""}]","2009-10-28"
