"alg-geom/9511006","Geng Xu","Geng Xu","On the intersections of rational curves with cubic plane curves","14 pages plain TeX",,,,"alg-geom math.AG",,"  Let C be a smooth cubic curve in the complex projective plane. We show that
for every positive integer k, there are only finite number of rational curves
of degree k each intersects the cubic C at exactly one point. The number of
such rational curves is known when k is 1, as a smooth cubic has 9 flexes
points. This number seems to be closely related to the number of plane rational
curves of degree k passing through 3k-1 general points, which has been
computed.
","[{""version"":""v1"",""created"":""Wed, 8 Nov 1995 22:59:22 GMT""},{""version"":""v2"",""created"":""Fri, 10 Nov 1995 21:14:19 GMT""},{""version"":""v3"",""created"":""Fri, 12 Jul 1996 16:59:00 GMT""}]","2008-02-03"
"astro-ph/9511032","Ralf Klessen","Ralf Klessen and Andreas Burkert","Constraints on massive black holes as dark matter candidates using
  Galactic globular clusters","14 pages accepted at M.N.R.A.S; LaTeX file (part 1) + figures and
  style files (part 2); a ready to print PostScript version is available via
  http://www.mpia-hd.mpg.de/MPIA/Projects/THEORY/klessen/Preprints/p1.ps","Mon.Not.Roy.Astron.Soc. 280 (1996) 735","10.1093/mnras/280.3.735",,"astro-ph",,"  This work considers the idea of massive black holes being the constituents of
the Galactic dark matter halo. It constrains the maximum black hole mass to
$\mbh \sil 5 \times 10^4 \msun$ by examining their influence on the population
of globular clusters in our Milky Way. In the adopted halo model, globular
clusters are exposed to constant bombardment of halo objects on their orbits
through the Galaxy and thus will steadily gain internal energy. Depending on
the mass of these halo objects and the structural parameters of the globular
clusters, they can be disrupted on time scales of a few billion years and
below. These disruption time scales are calculated using a modification of the
well known (classical) impulsive approximation and compared with direct N-body
simulations of such encounter events to ensure the method works correctly. For
a set of ten prototypical globular cluster models and black hole masses ranging
from $10^3$ to $10^7\:\msun$, Monte-Carlo-simulations of $10\,000$ encounter
histories over the period of 10 billion years were calculated each, at three
different galactocentric distances \mbox{$R = 5$}, $10$ and $15\, \kpc$. These
data were compared with the real globular cluster population in our Galaxy and
used to obtain the above constraint of $\mbh \sil 5 \times 10^4 \msun$.
","[{""version"":""v1"",""created"":""Wed, 8 Nov 1995 17:52:58 GMT""}]","2015-06-24"
"astro-ph/9511033","Chris Aikman","J.B. Hutchings","Star-Formation Knots in IRAS Galaxies","11 pages plain TeX, 5 figures not included but available by request
  to hutchngs@dao.nrc.ca To appear in the Astronomical Journal. Also available
  at http://www.dao.nrc.ca/DAO/SCIENCE/science.html",,"10.1086/117817","DAO-95-33","astro-ph",,"  Images of IRAS galaxies with a range of IR properties are examined for bright
knots, both within and outside the galaxy. These are found almost exclusively
in galaxies with steep IR spectra, but over a wide range of IR luminosity, and
usually without strong nuclear activity. In most cases, the knots are likely to
be star-formation induced by tidal interactions, and are seen in the early
stages of such interactions. Detailed photometry is presented of knots in six
representative galaxies. The knots appear to have a wide range of colour and
luminosity, but it is argued that many are heavily reddened. Knots formed
outside the parent galaxy may be a new generation of what later become globular
clusters, but they appear to have a wide range of luminosities.
","[{""version"":""v1"",""created"":""Wed, 8 Nov 1995 23:37:36 GMT""}]","2009-10-28"
"astro-ph/9511034","Marc Kamionkowski","Ari Buchalter, Marc Kamionkowski, and R. Michael Rich","Rates for Color Shifted Microlensing Events","36 pages, uuencoded postscript file","Astrophys.J. 469 (1996) 676-690","10.1086/177814","CU-TP-715, CAL-583","astro-ph",,"  If the objects responsible for gravitational microlensing (ML) of
Galactic-bulge stars are faint dwarfs, then blended light from the lens will
distort the shape of the ML light curve and shift the color of the observed
star during the event. The resolution in current surveys is not accurate enough
to observe this effect, but it should be detected with frequent and precise
followup observations. We calculate the expected rates for ML events where the
shape distortions will be observable by such followup observations, assuming
that the lenses are ordinary main-sequence stars in a bar and in the disk. We
study the dependence of the rates for color-shifted (CS) events on the
frequency of followup observations and on the precision of the photometry for a
variety of waveband pairings. We find that for hourly observations in $B$ and
$K$ with typical photometric errors of 0.01 mag, 28\% of the events where a
main-sequence bulge star is lensed, and 7\% of the events where the source is a
bulge giant, will give rise to a measurable CS at the 95\% confidence level.
For observations in $V$ and $I$, the fractions become 18\% and 5\%,
respectively, but may be increased to 40\% and 13\% by improved photometric
accuracy and increased sampling frequency. We outline how the mass, distance,
and transverse speed of the lens can be obtained, giving examples of typical
errors. We discuss how CS events can be distinguished from events where the
source is blended with a binary companion.
","[{""version"":""v1"",""created"":""Wed, 8 Nov 1995 20:59:25 GMT""}]","2009-10-28"
"astro-ph/9511035","Donna S. Womble","D.S. Womble, W.L.W. Sargent, R.S. Lyons (California Institute of
  Technology)","Heavy Elements in the Lyman-$\alpha$\ Forest: Abundances and Clustering
  at z=3","5 pages, 2 figures, full-sized figures and paper also available at
  ftp://astro.caltech.edu/users/dsw/ as xxx_fig1.ps, xxx_fig2.ps, and
  xxx_paper.ps",,"10.1007/978-94-009-1726-2_27","to appear in ""Cold Gas at High Redshift"", eds. M. Bremer, H.
  Rottgering, P. van def Werf, C. Carilli (Kluwer 1996)","astro-ph",,"  For the purpose of studying the properties of heavy-elements associated with
the Lyman-$\alpha$\ forest, we observed the gravitational lens Q1422+2309. We
used the HIRES instrument on the W.M. Keck telescope to obtain a
high-resolution, very high signal-to-noise spectrum of this z=3.63 quasar; the
spectrum covers wavelengths from below Lyman-$\beta$\ up to the C IV emission
line. Consistent with previous estimates, we find that a moderate fraction of
the Ly-$\alpha$\ forest clouds have been enriched with heavy elements at a
level significantly below solar abundance. However, unlike the fairly uniform
distribution of Ly-$\alpha$\ forest lines, we show that the C IV absorption
lines are clustered on large velocity scales.
","[{""version"":""v1"",""created"":""Thu, 9 Nov 1995 02:32:45 GMT""}]","2016-01-27"
"astro-ph/9511036","Ortwin Gerhard","Ortwin Gerhard (Astron.Inst, Univ.Basel, CH) and Joseph Silk
  (Dpt.Astron.&Phys., Univ.Calif., Berkeley, USA)","Baryonic Dark Halos: A Model with MACHOS and Cold Gas Globules","To be published in the Proceedings of IAU Symposium 171, `New Light
  on Galaxy Evolution', Eds.: R. Bender and R. Davies. 4 pages, gzip-compressed
  and uuencoded PS file. Also available at
  http://www.astro.unibas.ch/~gerhard/papers/iau171_bdm.ps.gz.uu","IAU Symp.171:167,1996",,,"astro-ph",,"  The dark matter in the halos of galaxies may well be baryonic, and much of
the mass within them could be in the form of clusters of substellar objects
within which are embedded cold gas globules. Such halos might play an active
role in galaxy formation and evolution.
","[{""version"":""v1"",""created"":""Thu, 9 Nov 1995 09:49:55 GMT""}]","2011-04-15"
"astro-ph/9511037","Chang Won Lee","Chang Won Lee","Dense Molecular Clouds In The Galactic Center Region : I. HCN (J=1$-$0)
  DATA","ApJS submitted, 14 pages with 22 figures, uuencoded, gzipped, tarred
  postscript files, or available upon request to cwl@sarang.chungnam.ac.kr",,"10.1086/192309","CNU-AST-95","astro-ph",,"  The Galactic Center regions $-6^\circ \le l \le 6^\circ$ and $-0.8^\circ \le
b \le 0.87^\circ$ are surveyed with HCN J=1$-$0 line (88.6 GHz) on a 4$'$ grid
with the 14 m telescope at the Taeduk Radio Astronomy Observatory. The data
complement the previous $^{13}$CO, CS, and H$_2$CO measurements (Bally \etal
1988, Zylka \etal 1992) but cover a wider area with a better or comparable
resolution. The asymmetry in emission found in the $^{13}$CO observations by
Bally \etal (1988) is well confirmed in this study. Interestingly, the
asymmetry in HCN emission is more pronounced here: more than $80 \%$ of the
overall emission is found in the first quadrant ($l>0$) and $V_{LSR}>0$. Also
confirmed is the existence of several emission components in the regions
forbidden by the Galactic circular rotation. The HCN maps show clear absence of
both more outer galactic emissions and the 3 kpc arm component, which are both
visible in the $^{13}$CO map. This implies that the HCN emission lines are not
contaminated by foreground or background gas components. Therefore HCN data are
particularly useful in investigating the structures of molecular clouds in the
Galactic Center. The $\Delta V$s (FWHMs) of the most of the detected lines are
found to be very large, \ie, about $15\sim $55 km s$^{-1}$ with the mode at
$\Delta V \approx25$ km s$^{-1}$. The typical value of $\Delta V\approx 25$ km
s$^{-1}$ may imply that clouds with mass of an order of $10^6 \msun$ are common
in the GC region. Another trend found is that the maximum ${\Delta}V$ decreases
with $l$, which may be partly due to the overlapping effects of clouds.
","[{""version"":""v1"",""created"":""Thu, 9 Nov 1995 02:36:00 GMT""},{""version"":""v2"",""created"":""Fri, 10 Nov 1995 00:21:00 GMT""},{""version"":""v3"",""created"":""Tue, 14 Nov 1995 03:12:00 GMT""}]","2009-10-28"
"astro-ph/9511038","Janusz Kaluzny","Janusz Kaluzny (Warsaw University), Wojciech Krzeminski (Las Campanas
  Observatory), Beata Mazur (Copernicus Astronomical Center)","Variable stars in the field of the old open cluster NGC 2243","18 pages, uuencoded postscript, includes 9 figures. Submitted to A&A",,,,"astro-ph",,"  We report results of photometric monitoring of the NGC 2243 field in V and
$I$ filters. Two W~UMa-type systems and three detached eclipsing binaries were
discovered. Both contact systems are likely members of the cluster. One of
detached binaries - variable V1 - has a period P=1.188 day. This variable is
located at the cluster's turnoff in the color-magnitude diagram. Determination
of parameters for components of V1 can provide direct information about
properties of turnoff stars in NGC 2243 as well as to allow direct
determination of cluster's distance. A background RR Lyr variable was found in
the monitored field. The reddening of NGC 2243 is estimated at E(V-I)=0.10\pm
0.04 based on the V-I color exhibited by this star at minimum light. The
observed distribution of colors for the background halo stars shows a cutoff at
(V-I)\approx 0.60 what implies $E(V-I)\leq 0.12$ for the cluster.
","[{""version"":""v1"",""created"":""Thu, 9 Nov 1995 14:31:47 GMT""}]","2007-05-23"
"cond-mat/9511044","R. Bursill","R. J. Bursill and G. A. Gehring (Department of Physics, University of
  Sheffield), D. J. J. Farnell, J.B. Parkinson and Chen Zeng (Department of
  Mathematics, UMIST), T. Xiang (IRC, University of Cambridge)","Numerical and approximate analytical results for the frustrated spin-1/2
  quantum spin chain","17 pages, Standard Latex File + 7 PostScript figures in separate
  file. Figures also can also be requested from ph1rb@sheffield.ac.uk","J.Phys. C7 (1995) 8605","10.1088/0953-8984/7/45/016","SHEF-PHYS-1097422","cond-mat hep-th",,"  We study the $T=0$ frustrated phase of the $1D$ quantum spin-$\frac 12$
system with nearest-neighbour and next-nearest-neighbour isotropic exchange
known as the Majumdar-Ghosh Hamiltonian. We first apply the coupled-cluster
method of quantum many-body theory based on a spiral model state to obtain the
ground state energy and the pitch angle. These results are compared with
accurate numerical results using the density matrix renormalisation group
method, which also gives the correlation functions. We also investigate the
periodicity of the phase using the Marshall sign criterion. We discuss
particularly the behaviour close to the phase transitions at each end of the
frustrated phase.
","[{""version"":""v1"",""created"":""Thu, 9 Nov 1995 10:41:09 GMT""}]","2009-10-28"
"cond-mat/9511045","R. Bursill","R. J. Bursill and F. Gode (Department of Physics, University of
  Sheffield)","The density matrix renormalisation group and critical phenomena","19 pages, Standard Latex File + 3 PostScript figures in separate
  file. Figures also can also be requested from ph1rb@sheffield.ac.uk",,,"SHEF-PHYS-1097423","cond-mat hep-th",,"  We adapt White's density matrix renormalisation group (DMRG) to the direct
study of critical phenomena. We use the DMRG to generate transformations in the
space of coupling constants. We postulate that a study of density matrix
eigenvalues leads to a natural identification of renormalised blocks, operators
and Hamiltonians. We apply the scheme to the phase transition in the
anisotropic spin-1/2 Heisenberg chain. In the simplest case where the two most
probable states in odd sized blocks are used to construct approximate
renormalisation group transformations, we find qualitative improvement upon the
standard real space renormalisation group method for the thermal exponent
$\nu$.
","[{""version"":""v1"",""created"":""Thu, 9 Nov 1995 10:44:35 GMT""}]","2007-05-23"
"gr-qc/9511028","Robert Mann","C. Alvarez and R.B. Mann","The Equivalence Principle and Anomalous Magnetic Moment Experiments","26 pages, latex, epsf, 1 figure, final version which appears in
  Physical Review D","Phys.Rev.D54:7097-7107,1996","10.1103/PhysRevD.54.7097",,"gr-qc",,"  We investigate the possibility of testing of the Einstein Equivalence
Principle (EEP) using measurements of anomalous magnetic moments of elementary
particles. We compute the one loop correction for the $g-2$ anomaly within the
class of non metric theories of gravity described by the \tmu formalism. We
find several novel mechanisms for breaking the EEP whose origin is due purely
to radiative corrections. We discuss the possibilities of setting new empirical
constraints on these effects.
","[{""version"":""v1"",""created"":""Wed, 8 Nov 1995 17:48:09 GMT""},{""version"":""v2"",""created"":""Thu, 9 Nov 1995 20:26:52 GMT""},{""version"":""v3"",""created"":""Thu, 12 Dec 1996 18:35:20 GMT""}]","2010-01-06"
