"alg-geom/9511007","Victor Ginzburg","Victor Ginzburg","Perverse sheaves on a Loop group and Langlands' duality","89 pages, several LaTeX errors fixed",,,,"alg-geom hep-th math.AG math.QA q-alg",,"  An intrinsic construction of the tensor category of finite dimensional
representations of the Langlands dual group of G in terms of a tensor category
of perverse sheaves on the loop group, LG, is given. The construction is
applied to the study of the topology of the affine Grassmannian of G and to
establishing a Langlands type correspondence for ""automorphic"" sheaves on the
moduli space of G-bundles.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 1995 23:09:20 GMT""},{""version"":""v2"",""created"":""Mon, 27 Nov 1995 17:33:58 GMT""},{""version"":""v3"",""created"":""Fri, 5 Apr 1996 13:20:31 GMT""},{""version"":""v4"",""created"":""Mon, 20 Nov 2000 00:19:31 GMT""}]","2008-02-03"
"astro-ph/9511054","Fred Rasio","Frederic A. Rasio (MIT), Mario Livio (STScI)","On the Formation and Evolution of Common Envelope Systems","uses AAS latex macros v4, 36 pages with figures, submitted to ApJ,
  complete postscript also available at http://ensor.mit.edu/~rasio/papers",,"10.1086/177975",,"astro-ph",,"  We discuss the formation of a common envelope system following dynamically
unstable mass transfer in a close binary, and the subsequent dynamical
evolution and final fate of the envelope. We base our discussion on new
three-dimensional SPH calculations that we have performed for a close binary
system containing a $4\,M_\odot$ red giant with a $0.7\,M_\odot$ main-sequence
star companion. The initial parameters are chosen to model the formation of a
system resembling V~471~Tau, a typical progenitor of a cataclysmic variable
binary. In our highest-resolution calculation, we find evidence for a
corotating region of gas around the central binary. This is in agreement with
the theoretical model proposed by Meyer \& Meyer-Hofmeister (1979) for the
evolution of common envelope systems, in which this central corotating region
is coupled to the envelope through viscous angular momentum transport only. We
also find evidence that the envelope is convectively unstable, in which case
the viscous dissipation time could be as short as $\sim100$ dynamical times,
leading to rapid ejection of the envelope. For V~471~Tau, our results, and the
observed parameters of the system, are entirely consistent with rapid envelope
ejection on a timescale $\sim1\,$yr and an efficiency parameter
$\alpha_{CE}\simeq1$.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 1995 16:43:03 GMT""}]","2009-10-28"
"astro-ph/9511055","Juan I. Collar","J. I. Collar (Univ. of South Carolina)","Comments on ""Limits on Dark Matter Using Ancient Mica""","Compressed PostScript (filename.ps.Z), 3 pages, no figures","Phys.Rev.Lett.76:331,1996","10.1103/PhysRevLett.76.331","JICUSC-95-7","astro-ph hep-ph",,"  To appear in Phys. Rev. Lett. together with the author's Reply.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 1995 19:20:04 GMT""}]","2008-11-26"
"astro-ph/9511056","Rennan Bar-Kana","Rennan Bar-Kana (Physics Dept., MIT, Cambridge, MA)","Effect of Large-Scale Structure on Multiply Imaged Sources","Latex, 20 pages, 3 PostScript figures, to appear in ApJ Sept. 10,
  1996, substantially revised","Astrophys.J. 468 (1996) 17","10.1086/177666",,"astro-ph",,"  We study the effects of large-scale density fluctuations on strong
gravitational lensing. Previous studies have focused mostly on weak lensing,
since large-scale structure alone cannot produce multiple images. When a galaxy
or cluster acts as a primary lens, however, we find that large-scale structure
can produce asymmetric shear of the same order as the lens itself. Indeed, this
may explain the origin of the large shear found in lens models in conflict with
the small ellipticity of the observed galaxy light distributions. We show that
large-scale structure changes the lens equation to the form of a generalized
quadrupole lens, which affects lens reconstruction. Large-scale structure also
changes the angular diameter distance at a given redshift. The precise value
depends on the lens and source redshifts and on the large-scale structure power
spectrum, but the induced $1\sigma$ uncertainty in determinations of the Hubble
constant from measurements of time delays is of order $5-10 \%$. If
observations of lensing can constrain the magnitude of the shear which is due
to large-scale structure, it would provide a direct probe of the overall
amplitude of mass fluctuations.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 1995 21:23:26 GMT""},{""version"":""v2"",""created"":""Mon, 1 Apr 1996 04:40:08 GMT""}]","2009-10-28"
"astro-ph/9511058",,"Richard G Bower (Univ. Durham, UK)","The Influence of Environmental Effects on Galaxy Formation","14 pages + 2 figures (uuencoded, gzipped postscript) To appear in the
  Dahlem Conference Proceedings 'The Evolution of the Universe'",,,,"astro-ph",,"  These notes collect together current work on the effect of the environment on
galaxy formation and evolution. They are broken into four distinct parts. The
first deals with the observational debate surrounding the question of whether
galaxies are initially created the same and have only recently been modified by
their environment, or whether galaxy formation itself is strongly perturbed by
the local neighbourhood. The second section deals with observations of distant
galaxy clusters. These provide direct evidence that some galaxies, at least,
have changed substantially over the last 5~Gyr. The third and fourth parts look
at theoretical work on this theme. They study models for the origin of the
density--morphology relation, and the impact of environmentally modulated
galaxy formation on the large-scale structure of the universe.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 10:06:58 GMT""}]","2007-05-23"
"astro-ph/9511059","Chris Reynolds","R.R. Ross and A.C. Fabian","The spectra of accretion discs in low-mass X-ray binaries","6 pages (including figures) uuencoded compressed postscript file.
  Submitted for publication in Monthly Notices of the Royal Astronomical
  Society",,"10.1093/mnras/281.2.637",,"astro-ph",,"  We present self-consistent models for the radiative transfer in
Shakura-Sunyaev accretion discs in bright low-mass X-ray binaries (LMXB). Our
calculations include the full effects of incoherent Compton scattering and the
vertical temperature structure within the disc, as well as the effects of
Doppler blurring and gravitational redshift. We find that the observed X-ray
spectra are well fit by exponentially cutoff power-law models. The difference
between the observed total spectrum and our calculated disc spectrum should
reveal the spectrum of the disc/neutron star boundary layer and other emitting
regions considered to be present in LMXB.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 12:42:58 GMT""}]","2015-06-24"
"astro-ph/9511060","Chris Reynolds","A.C. Fabian and R. Terlevich","X-ray detection of SN1988Z with the ROSAT HRI","4 pages (including figures) uuencoded compressed postscript file.
  Submitted for publication in Monthly Notices of the Royal Astronomical
  Society",,,,"astro-ph",,"  We report the detection of SN1988Z in X-rays with the ROSAT High Resolution
Imager. The inferred X-ray luminosity of about $10^{41}\ergps$ can be well
explained by assuming that the supernova occurred in a dense circumstellar
medium, consistent with optical observations. SN1988Z is the most distant
supernova yet detected in X-rays.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 12:57:30 GMT""}]","2007-05-23"
"atom-ph/9511001",,"R. Barbier and M. Kibler","On the Use of Quantum Algebras in Rotation-Vibration Spectroscopy","10 pages, Latex File, published in Modern Group Theoretical Methods
  in Physics, J. Bertrand et al. (eds.), Kluwer Academic Publishers (1995),
  27-36",,,"LYCEN 9521","atom-ph chem-ph math.QA nucl-th physics.atom-ph q-alg",,"  A two-parameter deformation of the Lie algebra u$_2$ is used, in conjunction
with the rotor system and the oscillator system, to generate a model for
rotation-vibration spectroscopy of molecules and nuclei.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 1995 16:44:13 GMT""}]","2008-02-03"
"cond-mat/9511059","Karol Kalna","K. Kalna, M. Mosko, and F. M. Peeters","Electron capture in GaAs quantum wells via electron-electron and optic
  phonon scattering","5 pages, standard LaTeX file + 5 PostScript figures (tarred,
  compressed and uuencoded) or by request from elekarol@savba.savba.sk,
  accepted to Appl. Phys. Lett",,"10.1063/1.116207",,"cond-mat",,"  Electron capture times in a separate confinement quantum well (QW) structure
with finite electron density are calculated for electron-electron (e-e) and
electron-polar optic phonon (e-pop) scattering. We find that the capture time
oscillates as function of the QW width for both processes with the same period,
but with very different amplitudes. For an electron density of 10^11 cm^-2 the
e-e capture time is 10-1000 times larger than the e-pop capture time except for
QW widths near the resonance minima, where it is only 2-3 times larger. With
increasing electron density the e-e capture time decreases and near the
resonance becomes smaller than the e-pop capture time. Our e-e capture time
values are two-to-three orders of magnitude larger than previous results of
Blom et al. [Appl. Phys. Lett. 62, 1490 (1993)]. The role of the e-e capture in
QW lasers is therefore readdressed.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 1995 16:16:51 GMT""},{""version"":""v2"",""created"":""Wed, 15 Nov 1995 08:24:39 GMT""}]","2009-10-28"
"cond-mat/9511060","Marcus Kollar","Marcus Kollar, Rainer Strack and Dieter~Vollhardt","Ferromagnetism in Correlated Electron Systems: Generalization of
  Nagaoka's Theorem","13 pages, uuencoded postscript, includes 1 table and 2 figures",,"10.1103/PhysRevB.53.9225","RWTH/ITP-C 3/95","cond-mat",,"  Nagaoka's theorem on ferromagnetism in the Hubbard model with one electron
less than half filling is generalized to the case where all possible
nearest-neighbor Coulomb interactions (the density-density interaction $V$,
bond-charge interaction $X$, exchange interaction $F$, and hopping of double
occupancies $F'$) are included. It is shown that for ferromagnetic exchange
coupling ($F>0$) ground states with maximum spin are stable already at finite
Hubbard interaction $U>U_c$. For non-bipartite lattices this requires a hopping
amplitude $t\leq0$. For vanishing $F$ one obtains $U_c\to\infty$ as in
Nagaoka's theorem. This shows that the exchange interaction $F$ is important
for stabilizing ferromagnetism at finite $U$. Only in the special case $X=t$
the ferromagnetic state is stable even for $F=0$, provided the lattice allows
the hole to move around loops.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 1995 17:16:40 GMT""}]","2009-10-28"
"cond-mat/9511061","Ian McDonald","I. A. McDonald and F. D. M. Haldane","Topological Phase Transition in the $\nu=2/3$ Quantum Hall Effect","11 pages, REVTEX v3.0, 7 figures",,"10.1103/PhysRevB.53.15845",,"cond-mat",,"  The double layer $\nu=2/3$ fractional quantum Hall system is studied using
the edge state formalism and finite-size diagonalization subject to periodic
boundary conditions. Transitions between three different ground states are
observed as the separation as well as the tunneling between the two layers is
varied. Experimental consequences are discussed.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 03:13:56 GMT""}]","2009-10-28"
