"alg-geom/9511008","David Eisenbud","David Eisenbud and Barry Mazur","Evolutions, Symbolic Squares, and Fitting Ideals","plain tex",,,,"alg-geom math.AC math.AG",,"  Given a reduced local algebra $T$ over a suitable ring or field $k$ we study
the question of whether there are nontrivial algebra surjections $R\to T$ which
induce isomorphisms $\Omega_{R/k}\otimes T \to \Omega_{T/k}$. Such maps, called
evolutions, arise naturally in the study of Hecke algebras, as they implicitly
do in the recent work of Wiles, Taylor-Wiles, and Flach. We show that the
existence of non-trivial evolutions of an algebra $T$ can be characterized in
terms of the symbolic square of an ideal defining $T$. We give a
characterization of the symbolic square in terms of Fitting ideals. Using this
and other techniques we show that certain classes of reduced algebras --
codimension 2 Cohen-Macaulay, Codimension 3 Gorenstein, licci algebras in
general, and some others -- admit no nontrivial evolutions. On the other hand
we give examples showing that non-trivial evolutions of reduced Cohen-Macaulay
algebras of codimension 3 do exist in every positive characteristic.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 15:19:31 GMT""}]","2008-02-03"
"astro-ph/9511061","Michael Pahre","M. A. Pahre, S. G. Djorgovski, and R. R. de Carvalho (Palomar
  Observatory, Caltech)","A Tolman Surface Brightness Test for Universal Expansion, and the
  Evolution of Elliptical Galaxies in Distant Clusters","to appear in The Astrophysical Journal (Letters); 13 pages, including
  3 Postscript figures and 1 table; uuencoded, compressed format; the paper is
  also available in various formats from
  http://astro.caltech.edu/~map/map.bibliography.refereed.html",,"10.1086/309872",,"astro-ph",,"  We use the intercept of the elliptical galaxy radius--surface brightness (SB)
relation at a fixed metric radius as the standard condition for the Tolman SB
test of the universal expansion. We use surface photometry in the optical and
near-IR of elliptical galaxies in Abell~2390 ($z=0.23$) and Abell~851
($z=0.41$), and compare them to the Coma cluster at $z\approx 0$. The
photometric data for each cluster are well-described by the Kormendy relation
$r_e \propto \Sigma_e^{A}$, where $A=-0.9$ in the optical and $A=-1.0$ in the
near-IR. The scatter about this near-IR relation is only $0.076$ in $\log r_e$
at the highest redshift, which is much smaller than at low redshifts,
suggesting a remarkable homogeneity of the cluster elliptical population at
$z=0.41$. We use the intercept of these fixed-slope correlations at $R_e =
1$~kpc (assuming $H_0=75$~km~s$^{-1}$~Mpc$^{-1}$, $\Omega_0=0.2$, and
$\Lambda_0=0$, where the results are only weakly dependent on the cosmology) to
construct the Tolman SB test for these three clusters. The data are fully
consistent with universal expansion if we assume simple models of passive
evolution for elliptical galaxies, but are inconsistent with a non-expanding
geometry (the tired light cosmology) at the $5 \, \sigma$ confidence level at
$z=0.41$. These results suggest luminosity evolution in the restframe $K$-band
of $0.36 \pm 0.14$~mag from $z = 0.41$ to the present, and are consistent with
the ellipticals having formed at high redshift. The SB intercept in elliptical
galaxy correlations is thus a powerful tool for investigating models of their
evolution for significant lookback times.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 21:38:48 GMT""}]","2009-10-28"
"astro-ph/9511062","Carlo Graziani","Carlo Graziani and Donald Q. Lamb","Likelihood Methods and Classical Burster Repetition","5 pages, Revtex (aipbook.sty included), 2 PostScript figures included
  using psfig. To appear in the Proceedings of the 1995 La Jolla Workshop ""High
  Velocity Neutron Stars and Gamma-Ray Bursts,"" eds. R. Rothschild and R.
  Lingenfelter, AIP, New York",,"10.1063/1.50246",,"astro-ph",,"  We develop a likelihood methodology which can be used to search for evidence
of burst repetition in the BATSE catalog, and to study the properties of the
repetition signal. We use a simplified model of burst repetition in which a
number $N_{\rm r}$ of sources which repeat a fixed number of times $N_{\rm
rep}$ are superposed upon a number $N_{\rm nr}$ of non-repeating sources. The
instrument exposure is explicitly taken into account. By computing the
likelihood for the data, we construct a probability distribution in parameter
space that may be used to infer the probability that a repetition signal is
present, and to estimate the values of the repetition parameters. The
likelihood function contains contributions from all the bursts, irrespective of
the size of their positional errors --- the more uncertain a burst's position
is, the less constraining is its contribution. Thus this approach makes maximal
use of the data, and avoids the ambiguities of sample selection associated with
data cuts on error circle size. We present the results of tests of the
technique using synthetic data sets.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 22:23:01 GMT""}]","2009-10-28"
"astro-ph/9511063","Chris Reynolds","C. Otani, T. Kii, C.S. Reynolds, A.C. Fabian, K. Iwasawa, K.
  Hayashida, H. Inoue, H. Kunieda, F. Makino, M. Matsuoka, Y. Tanaka","The variable OVIII Warm Absorber in MCG-6-30-15","8 pages (including figures) uuencoded gziped PS file. Submitted to
  Publications of the Astronomical Society of Japan",,"10.1093/pasj/48.2.211",,"astro-ph",,"  We present the results of a 4 day ASCA observation of the Seyfert galaxy
MCG-6-30-15, focussing on the nature of the X-ray absorption by the warm
absorber, characterizd by the K-edges of the intermediately ionized oxygen,
OVII and OVIII. We confirm that the column density of OVIII changes on a
timescale of $\sim 10^4$~s when the X-ray continuum flux decreases. The
significant anti-correlation of column density with continuum flux gives direct
evidence that the warm absorber is photoionized by the X-ray continuum. From
the timescale of the variation of the OVIII column density, we estimate that it
originates from gas within a radius of about $10^{17}\cm$ of the central
engine. In contrast, the depth of the OVII edge shows no response to the
continuum flux, which indicates that it originates in gas at larger radii. Our
results strongly suggest that there are two warm absorbing regions; one located
near or within the Broad Line Region, the other associated with the outer
molecular torus, scattering medium or Narrow Line Region.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 09:54:17 GMT""}]","2015-06-24"
"astro-ph/9511064","Stefan ]minneborg","Stefan {\AA}minneborg and Lars Bergstr\""om (Stockholm University)","On Self-Similar Global Textures in an expanding Universe","12 pages (LaTeX) + 1 postscript figure. To appear in Phys. Lett B","Phys.Lett. B362 (1995) 39-45","10.1016/0370-2693(95)01156-K","USITP-95-7","astro-ph",,"  We discuss self-similar solutions to $O(4)$ textures in Minkowski space and
in flat Friedmann-Robertson-Walker backgrounds. We show that in the Minkowski
case there exist no solutions with winding number greater than unity. However,
we find besides the known solution with unit winding number also previously
unknown solutions corresponding to winding number less than one. The validity
of the non-linear sigma model approximation is discussed. We point out that no
spherically symmetric exactly self-similar solutions exist for radiation or
matter dominated FRW cosmologies, but we find a way to relax the assumptions of
self-similarity that give us approximative solutions valid on intermediate
scales.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 10:57:23 GMT""}]","2009-10-28"
"astro-ph/9511065","Paolo Padovani","Paolo Padovani and Paolo Giommi","A Sample-oriented Catalogue of BL Lacertae Objects","To appear in MNRAS, 7 pages, uses mn.tex. Two figures, table in TeX
  and ASCII format, and macro available at
  http://itovf2.roma2.infn.it/padovani/catalogue.html","Mon.Not.Roy.Astron.Soc. 277 (1995) 1477","10.1093/mnras/277.4.1477","ROM2F/95/24","astro-ph",,"  We present a catalogue of 233 BL Lacertae objects compiled through an
extensive bibliographic search updated to mid-1995. A large fraction of the
sources listed in the catalogue belongs to well-defined samples and can be used
for statistical purposes. A smaller fraction consists of miscellaneous (but
confirmed) BL Lacs and of objects classified as BL Lac candidates. We discuss
the selection criteria of the different samples, report the discovery of two
previously unnoticed BL Lacs in the Palomar-Green survey, and comment on the
possible association of some of the still unidentified high galactic latitude
gamma-ray (EGRET) sources with BL Lacs. Some statistical properties of the
catalogue are also briefly discussed.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 13:43:32 GMT""}]","2015-06-24"
"astro-ph/9511066","Stefano Borgani","Lauro Moscardini, Enzo Branchini, Paolo Tini Brunozzi, Stefano
  Borgani, Manolis Plionis, Peter Coles","The Cluster Distribution as a Test of Dark Matter Models. III. the
  Cluster Velocity Field","18 pages in Latex using MN.sty + 7 figures in an additional file,
  submitted to MNRAS","Mon.Not.Roy.Astron.Soc. 282 (1996) 384","10.1093/mnras/282.2.384","COSMO-PD/95-19","astro-ph",,"  We study the large-scale velocity fields traced by galaxy clusters in
numerical simulations of a box of side 960 $h^{-1}$ Mpc, and compare them with
available data on real clusters. In order to test the reliability of the
simulations, which are based on an optimized version of the Zel'dovich
approximation, we compare their cluster velocities with those of ""exact"" N-body
simulations, and find a remarkable agreement between the two according to a
variety of statistical tests. We analyse Cold Dark Matter models with density
parameter in the range $0.2\le \Omega_0\le 1$, both with and without the
cosmological constant term to provide a flat geometry. We also simulate a
Cold+Hot Dark Matter model, with 30% provided by the hot component. Comparison
with real data is performed by applying tests based on the cumulative velocity
frequency distribution (CVFD) and bulk flow statistics. For the CVFD, we use
observational velocity data from different authors. By merging all available
data in a combined sample, the CVFD test is able to exclude only open models
with $\Omega_0\le 0.4$ and flat models with $\Omega_0=0.2$. However, the
analysis of individual observational samples gives contradictory results; in
particular the recent Giovanelli data, which imply much lower velocities (with
significantly smaller uncertainties) than the other data, are actually only
consistent with the open $\Omega_0=0.4$ and the flat $\Omega_0=0.2$ models,
i.e. the models which are excluded by the other data. Furthermore, CVFD and
bulk flow analyses of the Branchini et al. reconstructed velocity data
disfavour precisely those models accepted on the grounds of Giovanelli's
sample. Finally, we confirm that the Lauer & Postman bulk flow determination is
an extremely rare event in the cosmological models we have analysed.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 12:42:28 GMT""}]","2015-06-24"
"astro-ph/9511067","Erwin de Blok","L.B. van den Hoek and W.J.G. de Blok","Modelling the spectro-photometric and chemical evolution of Low Surface
  Brightness spiral galaxies","latex, 2 pages + 1 postscript figure. To appear in 'The Interplay
  between Massive Star Formation, the ISM and Galaxy Evolution', 11th IAP Ap.
  Meeting, Paris, Kunth D., Guiderdoni B., Heydari-Malayeri M., Thuan T.X., and
  V\^{a}n J.T.T. (Eds.), Edition Fronti\`{e}res",,,,"astro-ph",,"  We investigate the star formation history and chemical evolution of Low
Surface Brightness (LSB) spiral galaxies by means of their observed
spectro-photometric and chemical properties. We present preliminary results for
Johnson-Cousins UBVRI magnitudes and stellar [O/H] abundance ratios using a
galactic chemical evolution model incorporating a detailed metallicity
dependent set of stellar input data covering all relevant stages of stellar
evolution. Comparison of our model results with observations confirms the idea
that LSB galaxies are relatively unevolved systems. However, we argue that
recent and ongoing massive star formation plays an important role in
determining the colours of many LSB spirals. We briefly discuss these results
in the context of the spectral evolution of spiral galaxies in general.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 15:55:52 GMT""}]","2007-05-23"
"astro-ph/9511071","Sergio Torres Arzayus","Rafael Bautista (Univ. de los Andes,Bogota), Sergio Torres
  (Observatorio Astronomico, Bogota)","A Method to Estimate the Primordial Power Spectrum from CMB Data","6 pages, Latex(with aaas macros) + 3 (uuencoded) Postscript figures
  revised and accepted (ApJ) version with some corrections and inclusion of
  COBE 4yr data. New Fig 2 and 3 , PS files attached","Astrophys.J.469:7-10,1996","10.1086/177752","UNIANDES-01-11-95","astro-ph",,"  A precise determination of the primordial spectrum of matter density
fluctuations at super-horizon scales is essential in understanding large scale
structure in the universe. Attempts to constrain or obtain the primordial
spectrum using data on cosmic microwave background (CMB) anisotropies has
relied on statistical and correlation analyses that assume a power-law
spectrum. We propose a method to derive $P(k)$ directly from the CMB angular
power spectrum which does not presuppose the need to know anything about its
functional form. The method consists of a direct inversion of the Sachs-Wolfe
formula. Using this new analysis technique and COBE data we obtain an empirical
$P(k)$ which 1) supports a power-law parameterization and 2) has an amplitude
and spectral index consistent with previous analyses of the same data. We
obtained for the spectral index, $n=1.52 \pm 0.4$ when the 2nd year COBE data
is used and $n=1.22 \pm 0.3$ using the 4 year data set.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 12:16:21 GMT""},{""version"":""v2"",""created"":""Sun, 21 Apr 1996 03:14:38 GMT""}]","2008-11-26"
"cond-mat/9511066","Ignacio Pagonabarraga","J. Bonet Avalos and I. Pagonabarraga","Phenomenological approach to non-linear Langevin equations","LaTex file, 2 figures available upon request, to appear in Phys.Rev.E",,,,"cond-mat",,"  In this paper we address the problem of consistently construct Langevin
equations to describe fluctuations in non-linear systems. Detailed balance
severely restricts the choice of the random force, but we prove that this
property together with the macroscopic knowledge of the system is not enough to
determine all the properties of the random force. If the cause of the
fluctuations is weakly coupled to the fluctuating variable, then the
statistical properties of the random force can be completely specified. For
variables odd under time-reversal, microscopic reversibility and weak coupling
impose symmetry relations on the variable-dependent Onsager coefficients. We
then analyze the fluctuations in two cases: Brownian motion in position space
and an asymmetric diode, for which the analysis based in the master equation
approach is known. We find that, to the order of validity of the Langevin
equation proposed here, the phenomenological theory is in agreement with the
results predicted by more microscopic models.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 17:18:20 GMT""}]","2007-05-23"
"cond-mat/9511067","Mucio Amado Continentino","M.A.Continentino (Universidade Federal Fluminense and National High
  Magnetic Field Laboratory), G.M.Japiassu (Universidade Federal do Rio de
  Janeiro), A.Troper (Centro Brasileiro de Pesquisas Fisicas)","Excitonic Phase Transition in Electronic Systems","14 pages, Latex, no figures, accepted for publication in
  J.Phys.:Condensed Matter",,"10.1088/0953-8984/7/50/001",,"cond-mat",,"  Although predicted theoretically excitonic phase transitions have never been
observed. Recently it has been claimed that they can occur in some strongly
correlated materials. We study the possibility of an excitonic transition in a
two-band model and show that a true phase transition never occurs in the
presence of hybridization. We suggest an alternative interpretation for these
experiments based on the opening or closing of a hybridization gap at a
critical pressure.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 19:23:20 GMT""}]","2009-10-28"
