"alg-geom/9511009","Misha Verbitsky","Misha Verbitsky","Cohomology of compact hyperkaehler manifolds and its applications","12 pages, LaTeX 2.09","GAFA vol. 6 no. 4 pp. 601--612 (1996)",,,"alg-geom math.AG",,"  This article contains a compression of results from alg-geom/9501001, with
most proofs omitted. We prove that every two points of the connected moduli
space of holomorphically symplectic manifolds can be connected with so-called
``twistor lines'' -- projective lines holomorphically embedded to the moduli
space and corresponding to the hyperk\""ahler structures. This has interesting
implications for the geometry of compact hyperk\""ahler manifolds and of
holomorphic vector bundles over such manifolds.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 01:15:11 GMT""}]","2008-02-03"
"astro-ph/9511068","Ravi Sheth","Ravi K. Sheth, U.C. Berkeley","The distribution of pairwise peculiar velocities in the nonlinear regime","(MNRAS, in press) 16 pages, uuencoded","Mon.Not.Roy.Astron.Soc. 279 (1996) 1310","10.1093/mnras/279.4.1310",,"astro-ph",,"  The distribution of pairwise, relative peculiar velocities, $f(u;r)$, on
small nonlinear scales, $r$, is derived from the Press--Schechter approach.
This derivation assumes that Press--Schechter clumps are virialized and
isothermal. The virialized assumption requires that the circular velocity, $V_c
\propto M^{1/3}$, where $M$ denotes the mass of the clump. The isothermal
assumption means that the circular velocity is independent of radius. Further,
it is assumed that the velocity distribution within a clump is Maxwellian, that
the pairwise relative velocity distribution is isotropic, and that on nonlinear
scales clump-clump motions are unimportant when calculating the distribution of
velocity differences. Comparison with $N$-body simulations shows that, on small
nonlinear scales, all these assumptions are accurate. For most power spectra of
interest, the resulting line of sight, pairwise, relative velocity
distribution, $f(u_{\rm r})$, is well approximated by an exponential, rather
than a Gaussian distribution. This simple Press--Schechter model is also able
to provide a natural explanation for the observed, non-Maxwellian shape of
$f(v)$, the distribution of peculiar velocities.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 20:48:13 GMT""}]","2015-06-24"
"astro-ph/9511069","Michael Strauss","Thomas Crawford, Jon Marr, Bruce Partridge, and Michael Strauss","VLA Observations of Ultraluminous IRAS Galaxies: Active Nuclei or
  Starbursts?","In press, Astrophysical Journal. 34 pages, uuencoded gzip'ed
  postscript of text, tables and figures. 3 figures not included; contact
  Margaret Best at best@ias.edu for hardcopies of these","Astrophys.J.460:225,1996","10.1086/176964",,"astro-ph",,"  We employed the Very Large Array (VLA) of the National Radio Astronomy
Observatory in C configuration to map 39 ultraluminous IRAS galaxies at 6~cm
and 20~cm, at resolutions of ~ 4"" and 15"", respectively, and 24 sources at 6~cm
with in the A configuration with a resolution of ~0.5"". Most of the sources
have radio spectral indices indicative of synchrotron emission (alpha ~ -0.65).
There is one source, however, that shows an inverted spectrum with alpha =
+2.1; observations at higher frequencies show that the spectrum peaks between 5
and 8 GHz, as high as any of the ``gigahertz peaked spectrum'' sources studied
by O'Dea etal. We discuss the implications of this source for observations of
fluctuations in the CMB.
  Two of the sources show multiple unresolved components, another four are
doubles with at least one resolved component, 14 show extended emission which
could arise from a disk, and two show arc-second long jets. Our data fit the
tight correlation found by Helou etal (1985) between far-infrared and microwave
luminosity; this correlation extends to the highest infrared luminosities. The
correlation is weaker if only the extended or the nuclear components of the
radio luminosity are used. Therefore the far-infrared emission in the majority
of these higher luminosity galaxies is due to the same mechanism as the lower
luminosity FIR sources, which is believed to be star formation, rather than
non-thermal activity in the nucleus. Moreover, the star formation is not
confined to the extended disk in these sources, but is important in the nucleus
as well.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 16:24:12 GMT""}]","2008-11-26"
"astro-ph/9511070","Chris Aikman","Sidney van den Bergh","The Galaxy-Halo Connection: Present Status and Future Prospects","14 pages compressed uuencoded Postscript. Also available at
  http://www.dao.nrc.ca/DAO/SCIENCE/science.html",,,"DAO-95-34","astro-ph",,"  Review paper presented at the meeting ""Formation of the Galactic Halo: Inside
and Out"", Tucson, October 1995.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 19:42:18 GMT""}]","2007-05-23"
"astro-ph/9511072",,"A. Tomita, F. E. Nakamura, T. Takata, K. Nakanishi, T. Takeuchi, K.
  Ohta and T. Yamada","Distribution of Blue Galaxies in a Merging Cluster of Galaxies Abell 168","uuencoded-gziped file made from 2 AAS LaTeX files. 35 pages including
  tables without figures. The paper has 10 figures. Access
  ftp://ftp.kusastro.kyoto-u.ac.jp/pub/atomita/preprint/pA168 To be appeared in
  AJ, Jan 1995 issue",,"10.1086/117758","KYOTO-AT-PA168","astro-ph",,"  The fraction of star-forming galaxies in rich clusters of galaxies increases
rapidly with the redshift. This is interpreted as the result of a rapid
evolution of cluster galaxies, though its mechanism is not yet clear. One
hypothesis is that if galaxies run into the dense intracluster medium (ICM)
regions, starbursts can be induced due to compression of molecular clouds in
the galaxies by a raised ""external"" ICM pressure. In a merging cluster, there
would be dense ICM regions and some galaxies may experience a rapid increase of
external pressure. Thus, if the mechanism works, starbursts would occur in such
galaxies. Such a situation is considered to be realized in Coma cluster, and
galaxies showing a recent starburst have a characteristic spatial distribution;
they populate an elongated region between two sub-clusters. We examined the
above hypothesis by measuring the spatial distribution of blue galaxies,
regarded as star-forming galaxies in Abell~168 to check whether a case like
Coma is realized in this recently merging cluster. However, we could not find
an enhanced blue-galaxy distribution between two sub-clusters. We discuss the
causes of our result, including possibilities of surviving the hypothesis.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 07:40:15 GMT""}]","2009-10-28"
"astro-ph/9511073",,"R. Ansari, et al. (EROS collaboration)","Experimental limits on the contribution of sub-stellar and stellar
  objects to the galactic halo","LaTex File (using A&A macros) without figure. The Complete paper is
  available via WWW at http://www.lal.in2p3.fr/EROS/eros.html and via anon FTP
  at ftp://ftp.lal.in2p3.fr/pub/Eros/Papiers (see index files)",,,,"astro-ph",,"  EROS (Exp\'erience de Recherche d'Objets Sombres) has been monitoring the
luminosity of 4 million stars in the Large Magellanic Cloud in order to search
for gravitational microlensing by unseen objects in the galactic halo. We
present here the results from 3 years of EROS Schmidt plates data. Two stars
exhibit light curves that are consistent with a sizeable microlensing effect.
CCD data obtained later on revealed that one of these stars is an eclipsing
binary system. Combining Schmidt plates data and the published results from our
16 CCD camera, we set upper limits on the number of unseen objects in the halo
in the mass range $[10^{-7},1]\Msol$. (Submitted for publication in Astronomy
and Astrophysics)
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 09:50:24 GMT""},{""version"":""v2"",""created"":""Thu, 23 Nov 1995 13:38:08 GMT""}]","2008-02-03"
"astro-ph/9511074","Fred Rasio","J. C. Lombardi, F. A. Rasio, S. L. Shapiro","Collisions of Main-Sequence Stars and the Formation of Blue Stragglers
  in Globular Clusters","uses AAS latex macros v3, 66 pages with tables and figures, submitted
  to ApJ, complete postscript also available at
  http://ensor.mit.edu/~rasio/papers",,"10.1086/177736",,"astro-ph",,"  We report the results of new SPH calculations of parabolic collisions between
two main-sequence stars in a globular cluster. Such collisions are directly
relevant to the formation of blue stragglers. In particular, we consider parent
stars of mass $M/M_{TO}=0.2,0.5,0.75$, and $1$, where $M_{TO}$ is the cluster
turnoff mass (typically about $0.8\,M_\odot$). Low-mass stars (with $M=0.2
M_{TO}$ or $0.5 M_{TO}$) are assumed to be fully convective and are therefore
modeled as $n=1.5$ polytropes. Stars at the turnoff (with $M= M_{TO}$) are
assumed to be mostly radiative and are modeled as $n=3$ polytropes.
Intermediate-mass stars (with $M=0.75 M_{TO}$) are modeled as composite
polytropes consisting of a radiative core with polytropic index $n=3$ and a
convective envelope with $n=1.5$. We focus our study on the question of
hydrodynamic mixing of helium and hydrogen, which plays a crucial role in
determining the observable characteristics of blue stragglers. In all cases we
find that there is negligible hydrodynamic mixing of helium into the outer
envelope of the merger remnant. The amount of hydrogen mixed into the core of
the merger depends strongly on the entropy profiles of the two colliding stars.
In contrast to what has been done in previous studies, blue stragglers formed
by direct stellar collisions should not necessarily be assumed to have
initially homogeneous composition profiles.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 13:43:21 GMT""}]","2009-10-28"
"astro-ph/9511078","Juan Bellido","Juan Garcia-Bellido","Open Inflation","RevTex, 3 pages, Contribution to TAUP '95 Conference Proceedings,
  Toledo, Sept 1995. also available on WWW at
  http://star.maps.susx.ac.uk/index.html","Nucl.Phys.Proc.Suppl. 48 (1996) 128-130","10.1016/0920-5632(96)00226-5","SUSSEX-AST-95/11-5, IEM-FT-120/95","astro-ph",,"  Open Inflation has recently been suggested as a possible way out of the age
crisis caused by observations of a large rate of expansion of the universe, in
conflict with the existence of very old globular clusters. It proposes that our
local patch of the universe originated in a quantum tunneling event, with the
formation of a single bubble within which our universe inflated to almost
flatness. I review the different models proposed together with their
predictions for the amplitude of temperature anisotropies in the cosmic
microwave background.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 15:38:09 GMT""}]","2009-10-28"
"chao-dyn/9511003","Ga'bor Vattay","Gabor Vattay (Division de Physique Th\'eorique, Institut de Physique
  Nucl\'eaire, Orsay Cedex, France)","Bohr-Sommerfeld Quantization of Periodic Orbits","revtex","Phys. Rev. Lett. 76, 1059 (1996)","10.1103/PhysRevLett.76.1059","XXX1","chao-dyn cond-mat nlin.CD",,"  We show, that the canonical invariant part of $\hbar$ corrections to the
Gutzwiller trace formula and the Gutzwiller-Voros spectral determinant can be
computed by the Bohr-Sommerfeld quantization rules, which usually apply for
integrable systems. We argue that the information content of the classical
action and stability can be used more effectively than in the usual treatment.
We demonstrate the improvement of precision on the example of the three disk
scattering system.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 15:19:29 GMT""},{""version"":""v2"",""created"":""Fri, 17 Nov 1995 12:00:11 GMT""}]","2009-10-28"
"cmp-lg/9511003","Marilyn Walker","Marilyn A. Walker","The Effect of Resource Limits and Task Complexity on Collaborative
  Planning in Dialogue","64 pages, uses psfig, lingmacros, named","Artificial Intelligence Journal 85(1-2), pp. 181-243, 1996",,,"cmp-lg cs.CL",,"  This paper shows how agents' choice in communicative action can be designed
to mitigate the effect of their resource limits in the context of particular
features of a collaborative planning task. I first motivate a number of
hypotheses about effective language behavior based on a statistical analysis of
a corpus of natural collaborative planning dialogues. These hypotheses are then
tested in a dialogue testbed whose design is motivated by the corpus analysis.
Experiments in the testbed examine the interaction between (1) agents' resource
limits in attentional capacity and inferential capacity; (2) agents' choice in
communication; and (3) features of communicative tasks that affect task
difficulty such as inferential complexity, degree of belief coordination
required, and tolerance for errors. The results show that good algorithms for
communication must be defined relative to the agents' resource limits and the
features of the task. Algorithms that are inefficient for inferentially simple,
low coordination or fault-tolerant tasks are effective when tasks require
coordination or complex inferences, or are fault-intolerant. The results
provide an explanation for the occurrence of utterances in human dialogues
that, prima facie, appear inefficient, and provide the basis for the design of
effective algorithms for communicative choice for resource limited agents.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 17:13:39 GMT""}]","2008-02-03"
"cond-mat/9511076","Gabriel Tellez A.","B. Jancovici and G. Tellez","The Ideal Conductor Limit","19 pages, plain TeX. Submited to J. Phys. A: Math. Gen","J. Phys. A: Math.Gen. 29 (1996) 1155","10.1088/0305-4470/29/6/004","LPTHE Orsay 95-71","cond-mat",,"  This paper compares two methods of statistical mechanics used to study a
classical Coulomb system S near an ideal conductor C. The first method consists
in neglecting the thermal fluctuations in the conductor C and constrains the
electric potential to be constant on it. In the second method the conductor C
is considered as a conducting Coulomb system the charge correlation length of
which goes to zero. It has been noticed in the past, in particular cases, that
the two methods yield the same results for the particle densities and
correlations in S. It is shown that this is true in general for the quantities
which depend only on the degrees of freedom of S, but that some other
quantities, especially the electric potential correlations and the stress
tensor, are different in the two approaches. In spite of this the two methods
give the same electric forces exerted on S.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 16:40:34 GMT""}]","2009-10-28"
