"adap-org/9511002","Denis V. Juriev","Denis V. Juriev","Octonionic binocular mobilevision. An overview","references are renewed, English grammar is corrected (6pp,amstex)",,,"RCMPI-95/05","adap-org nlin.AO",,"  This paper is a compact overview of the heuristic approach to the recently
elaborated octonionic binocular mobilevision.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 18:13:51 GMT""},{""version"":""v2"",""created"":""Fri, 5 Jul 1996 15:02:17 GMT""}]","2008-02-03"
"astro-ph/9511075","Avi Loeb","Abraham Loeb (Harvard Univ.)","Contribution of Bremsstrahlung Emission from Lyman-alpha Clouds to the
  Microwave Background Fluctuations","9 pages, uuencoded compressed Postscript, no figures","Astrophys.J. 459 (1996) L5","10.1086/309937",,"astro-ph",,"  I calculate the contribution of Bremsstrahlung emission from Lyman-alpha
absorption clouds to the brightness of the microwave sky. The calculation is
based only on the assumption that the clouds below the Lyman-limit are in
photoionization equilibrium with a UV background radiation, and avoids any
uncertainty about the clumpiness of the gas. I predict a minimum fluctuation
amplitude in the Rayleigh-Jeans regime of DeltaT/T =
10^{-5.5+-0.4}*J_21*(L/5cm)^2, which varies over characteristic angular scales
of 1-100'', where L is the observed wavelength and J_21 is a weighted redshift
average of the UV background intensity at the Lyman-limit in units of 10^{-21}
erg cm^{-2} s^{-1} Hz^{-1} sr^{-1}. Detection of this signal can be used to map
the intergalactic hydrogen distribution and to calibrate the UV background at
high redshifts. Existing VLA observations constrain J_21<10^{1.3+-0.4}, unless
some of the extended flat-spectrum sources which were detected are Lyman-alpha
absorption systems.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 16:38:56 GMT""}]","2009-10-28"
"astro-ph/9511076","Siqin Huang","Siqin Huang and R. G. Carlberg","Sinking Satellites and Tilting Disk Galaxies","23 pages of text, gzipped postscript, 18 figures and 4 mpeg movies
  are available at http://www.astro.utoronto.ca/~shuang/paper2.html, submitted
  for publication in ApJ",,,,"astro-ph",,"  The infall of a satellite galaxy onto a galactic disk generally brings in
angular momentum that is not aligned with the axis of the disk. The main
dynamical issues addressed are what fraction of the orbital angular momentum of
the satellite and the associated energy is added to the disk, as opposed to
being left in the halo, and whether the absorbed fraction is added coherently
or thermalized in the disk. By employing fully self-consistent
disk+halo+satellite N-body simulations, we study the particular case of the
satellite and main halo having similar density profiles, with internal
velocities having the ``cosmological'' scaling $\sigma\propto M^{1/3}$. We find
that most of the orbital angular momentum of the infalling satellite is left in
the tidally stripped satellite remnants, with only $2\%$, $6\%$ and $9\%$ of
the orbital angular momentum being transferred to disks and halos for $10\%$,
$20\%$ and $30\%$ disk-mass satellites respectively. Because the disks are
tilted by the infall of $10\%$, $20\%$ and $30\%$ disk-mass satellites by
angles of $(2.9\pm0.3)^\circ$, $(6.3\pm0.1)^\circ$ and $(9.7\pm0.2)^\circ$
respectively, the kinetic energy associated with the vertical motion in the
initial coordinate frame of the three disks is respectively increased by
$(6\pm3)\%$, $(26\pm3)\%$ and $(51\pm5)\%$ whereas the corresponding disk
thermal energy associated with the vertical random motion in the tilted
coordinate frame is only increased by $(4\pm3)\%$, $(6\pm2)\%$ and
$(10\pm2)\%$, respectively. Under our initial conditions, a satellite having up
to 20\% of the disk mass would produce little observable thickening whereas a
30\% disk-mass satellite produces little observable thickening inside the
half-mass radius of the disk but great damage beyond the half-mass radius.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 17:37:55 GMT""}]","2007-05-23"
"astro-ph/9511077","Jonathan Katz","J. I. Katz and L. M. Canel","Long and Short GRB","5 pp., latex, no figures, revised to work around bug in latex
  compiler",,"10.1063/1.51653","WU-JIK-95-1","astro-ph",,"  We report evidence from the 3B Catalogue that short (T_90 < 10 s) and long
(T_90 > 10 s) GRB represent different populations and processes: Their spectral
behavior is qualitatively different, with short bursts harder in the BATSE
range, but chiefly long bursts detected at higher photon energies; \langle
V/V_max \rangle = 0.385 \pm 0.019 for short GRB but \langle V/V_max \rangle =
0.282 \pm 0.014 for long GRB, differing by 0.103 \pm 0.024. Long GRB may be the
consequence of accretion-induced collapse, but this mechanism fails for short
GRB, for which we suggest colliding neutron stars.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 21:54:36 GMT""},{""version"":""v2"",""created"":""Wed, 22 Nov 1995 19:07:44 GMT""}]","2016-08-30"
"astro-ph/9511079","Max Tegmark","Max Tegmark, Dieter Hartmann, Michael Briggs, Jon Hakkila & Charles
  Meegan","Improved limits on gamma ray burst repetition","18 pages, with 2 figures included. Postscript. Submitted to ApJL.
  Latest version at http://astro.berkeley.edu/~max/repeaters.html (faster from
  the US), from http://www.mpa-garching.mpg.de/~max/repeaters.html (faster from
  Europe) or from max@mppmu.mpg.de","Astrophys.J.466:757-763,1996","10.1086/177549","MPI-PhT/95-116, NSF-ITP-95-145","astro-ph",,"  We tighten previous upper limits on gamma ray burst repetition by analyzing
the angular power spectrum of the BATSE 3B catalog of 1122 bursts. At 95%
confidence, we find that no more than 2% of all observed bursts can be labeled
as repeaters, even if no sources are observed to repeat more than once. If a
fraction f of all observed bursts can be labeled as repeaters that are observed
to burst v times each, then all models with (v-1)f>0.05 are ruled out at 99%
confidence, as compared to the best previous 99% limit (v-1)f>0.27. At 95%
confidence, our new limit is (v-1)f>0.02. Thus even a cluster of 6 events from
a single source would have caused excess power above that present in the 3B
catalog. We conclude that the current BATSE data are consistent with no
repetition of classical gamma ray bursts, and that any repeater model is
severely constrained by the near perfect isotropy of their angular
distribution.
","[{""version"":""v1"",""created"":""Fri, 17 Nov 1995 01:01:36 GMT""}]","2009-10-07"
"astro-ph/9511080","Corinne Charbonel","Corinne Charbonnel","A consistent explanation for $^{12}$C/$^{13}$C, $^7$Li, and $^3$He
  anomalies in red giant stars","3 pages plus 2 figures, uses aaspp.sty; offprint requests to :
  corinne@obs-mip.fr","ApJ Letter L41 (1995) 453","10.1086/309744",,"astro-ph",,"  The observations of carbon isotopic ratios in evolved stars suggest that non
standard mixing is acting in low mass stars as they are ascending the red giant
branch. We propose a simple consistent mechanism, based on the most recent
developments in the description of rotation-induced mixing by Zahn (1992),
which simultaneously accounts for the low $^{12}$C/$^{13}$C ratios in globular
cluster and field Pop II giants and for the lithium abundances in metal-poor
giant stars. It also leads to the destruction of $^3$He produced on the main
sequence in low mass stars. This should both naturally account for the recent
measurements of $^3$He/H in galactic HII regions and allow for high values of
$^3$He observed in some planetary nebulae.
","[{""version"":""v1"",""created"":""Fri, 17 Nov 1995 08:39:42 GMT""}]","2009-10-28"
"astro-ph/9511081","Edward A. Baron","E. Baron, P. H. Hauschildt, and A. Mezzacappa","NLTE Modeling of SNe Ia Near Maximum Light","20 pages, latex, 8 figures, uses styles: crckapb.sty, natbibkap.sty,
  (or for LaTex209: natbibkap209.sty), psfig.sty, natbib-apj.bst. Postscript
  file available at http://www.nhn.uoknor.edu/~baron To appear in
  ""Thermonuclear Supernovae"" R. Canal, P. Ruiz-Lapuente, and J. Isern, eds.
  (Dordrecht: Kluwer)",,,,"astro-ph",,"  Modeling the atmospheres of SNe~Ia requires the solution of the NLTE
radiative transfer equation. We discuss the formulation of the radiative
transfer equation in the co-moving frame. For characteristic velocities larger
than about 2000 km/s, the effects of advection on the synthetic spectra are
non-negligible, and hence should be included in model calculations. We show
that the time-independent or quasi-static approximation is adequate for SNe~Ia
near maximum light, as well as for most other astrophysical problems; e.g., hot
stars, novae, and other types of supernovae. We examine the use of the Sobolev
approximation in modeling moving atmospheres and find that the number of
overlapping lines in the co-moving frame make the approximation suspect in
models that predict both lines and continua. We briefly discuss the form of the
Rosseland mean opacity in the co-moving frame, and present a formula that is
easy to implement in radiation hydrodynamics calculations.
","[{""version"":""v1"",""created"":""Fri, 17 Nov 1995 15:32:08 GMT""}]","2007-05-23"
"chao-dyn/9511004","Arnd Baecker","A. B\""acker and H.R. Dullin","Symbolic Dynamics and Periodic Orbits for the Cardioid Billiard","39 pages, Postscript (gzipped and uuencoded) The figures are included
  in low resolution only. A high resolution version can be obtained on request:
  arnd.baecker@physik.uni-ulm.de","J Phys. A 30, 1991-2020 (1997)","10.1088/0305-4470/30/6/023","DESY 95--198","chao-dyn nlin.CD",,"  The periodic orbits of the strongly chaotic cardioid billiard are studied by
introducing a binary symbolic dynamics. The corresponding partition is mapped
to a topological well-ordered symbol plane. In the symbol plane the pruning
front is obtained from orbits running either into or through the cusp. We show
that all periodic orbits correspond to maxima of the Lagrangian and give a
complete list up to code length 15. The symmetry reduction is done on the level
of the symbol sequences and the periodic orbits are classified using symmetry
lines. We show that there exists an infinite number of families of periodic
orbits accumulating in length and that all other families of geometrically
short periodic orbits eventually get pruned. All these orbits are related to
finite orbits starting and ending in the cusp. We obtain an analytical estimate
of the Kolmogorov-Sinai entropy and find good agreement with the numerically
calculated value and the one obtained by averaging periodic orbits. Furthermore
the statistical properties of periodic orbits are investigated.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 18:05:48 GMT""}]","2013-06-25"
"cond-mat/9511083",,"Miguel A. Martin-Delgado and German Sierra","Analytic Formulations of the Density Matrix Renormalization Group","LATEX file, 25 pages, 8 figures available upon request","Int.J.Mod.Phys. A11 (1996) 3145-3174","10.1142/S0217751X96001516","UCM-CSIC-10-95","cond-mat hep-th",,"  We present two new analytic formulations of the Density Matrix
Renormalization Group Method. In these formulations we combine the block
renormalization group (BRG) procedure with Variational and Fokker-Planck
methods. The BRG method is used to reduce the lattice size while the latter are
used to construct approximate target states to compute the block density
matrix. We apply our DMRG methods to the Ising Model in a transverse field (ITF
model) and compute several of its critical properties which are then compared
with the old BRG results.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 19:10:52 GMT""}]","2015-06-25"
"cond-mat/9511084","Iwan Jensen","Iwan Jensen and Anthony J. Guttmann","Series expansions of the percolation probability on the directed
  triangular lattice","26 pages, LaTeX. To appear in J. Phys. A",,"10.1088/0305-4470/29/3/006",,"cond-mat",,"  We have derived long series expansions of the percolation probability for
site, bond and site-bond percolation on the directed triangular lattice. For
the bond problem we have extended the series from order 12 to 51 and for the
site problem from order 12 to 35. For the site-bond problem, which has not been
studied before, we have derived the series to order 32. Our estimates of the
critical exponent $\beta$ are in full agreement with results for similar
problems on the square lattice, confirming expectations of universality. For
the critical probability and exponent we find in the site case: $q_c =
0.4043528 \pm 0.0000010$ and $\beta = 0.27645 \pm 0.00010$; in the bond case:
$q_c = 0.52198\pm 0.00001$ and $\beta = 0.2769\pm 0.0010$; and in the site-bond
case: $q_c = 0.264173 \pm 0.000003$ and $\beta = 0.2766 \pm 0.0003$. In
addition we have obtained accurate estimates for the critical amplitudes. In
all cases we find that the leading correction to scaling term is analytic,
i.e., the confluent exponent $\Delta = 1$.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 23:46:15 GMT""}]","2009-10-28"
"cond-mat/9511085","Sudip Chakravarty","L. Yin and S. Chakravarty","Spectral Anomaly and High Temperature Superconductors","RevTex, 53 pages (including figures)",,"10.1142/S0217979296000349",,"cond-mat",,"  Spectral anomaly for interacting Fermions is characterized by the spectral
function $A([k-k_F],\omega)$ satisfying the scaling relation $A(\Lambda^{y_1}
[k-k_F],\Lambda^{y_2}\omega)= \Lambda^{y_A}A([k-k_F],\omega)$, where $y_1$,
$y_2$, and $y_A$ are the exponents defining the universality class. For a Fermi
liquid $y_1=1$, $y_2=1$, $y_A=-1$; all other values of the exponents are termed
anomalous. In this paper, an example for which $y_1=1$, $y_2=1$, but
$y_A=\alpha-1$ is considered in detail. Attractive interaction added to such a
critical system leads to a novel superconducting state, which is explored and
its relevance to high temperature cuprate superconductors is discussed.
","[{""version"":""v1"",""created"":""Fri, 17 Nov 1995 00:01:00 GMT""}]","2015-06-25"
