"alg-geom/9511011","Pavel Katsylo","Pavel Katsylo","The 2-dimensional jacobian conjecture via Klein's program","AMSTeX",,,,"alg-geom math.AG",,"  We investigate the 2-dimensional jacobian conjecture via Klein's program.
","[{""version"":""v1"",""created"":""Tue, 21 Nov 1995 09:42:41 GMT""}]","2008-02-03"
"astro-ph/9511093",,"Sabino Matarrese, David Terranova","Post-Newtonian Cosmological Dynamics in Lagrangian coordinates","Revised version accepted for publication in MNRAS. 1 figure added.
  Latex file, 38 pages","Mon.Not.Roy.Astron.Soc. 283 (1996) 400-418","10.1093/mnras/283.2.400",,"astro-ph gr-qc",,"  The non-linear dynamics of irrotational dust in General Relativity is studied
in synchronous and comoving coordinates. All the equations are written in terms
of the metric tensor of spatial sections orthogonal to the flow, which allows
an unambiguous expansion in powers of $1/c^2$. To lowest order, the Newtonian
approximation in Lagrangian form is derived. At this level the evolution is
governed by the Raychaudhuri equation for the Lagrangian-to-Eulerian Jacobian
matrix. The Lagrangian spatial metric reduces to that of Euclidean 3-space in
time-dependent curvilinear coordinates. A Lagrangian version of the Bernoulli
equation for the evolution of the `velocity potential' is also given. At the
post-Newtonian (PN) level, an exact and general formula is derived for
gravitational-wave emission from non-linear perturbations. It is shown that, in
the anisotropic collapse of homogeneous ellipsoids, the ratio of the PN tensor
modes to the Newtonian metric tends to diverge like the mass density. It is
finally argued that a stochastic gravitational-wave background is produced,
with present-day closure density $\Omega_{gw} \sim 10^{-5}$ -- $10^{-6}$ on $1$
- $10$ Mpc scales.
","[{""version"":""v1"",""created"":""Mon, 20 Nov 1995 17:28:27 GMT""},{""version"":""v2"",""created"":""Mon, 1 Jul 1996 15:46:42 GMT""}]","2015-06-24"
"astro-ph/9511094",,"Kevin Krisciunas, Theodore Simon, Richard A. Crowe, Mavourneen Roberts","New Photometry of the Hyades $\delta$ Scuti star V777 Tau (71 Tau)","2 pages, Latex; uses IBVS.STY; 3 figures, available via Fax or ftp at
  ftp://ftp.jach.hawaii.edu/usr/local/ukirt/ftp/kevin ; to appear as
  Information Bulletin on Variable Stars, No. 4264",,,,"astro-ph",,"  71 Tau was discovered to be a $\delta$ Scuti star by Horan (1979, AJ 84,
1770). To our knowledge no other photometry of this star has been published. 71
Tau is the second brightest X-ray source in the Hyades and has been shown to be
variable by as much as 30 \% at ultraviolet wavelengths near 1700 to 2000 \AA.
We find that the best two-frequency fit to the new photometry is obtained with
$f_{1}$ = 5.485 and $f_{2}$ = 7.637 d$^{-1}$, with amplitudes $A_{1}$ = 6.0 and
$A_{2}$ = 3.4 mmag, respectively. However, one-day aliases of these frequencies
{\em could} be the true values. (For $\delta$ Scuti stars pulsating radially
the ratio of first overtone period to fundamental period is 0.773.) It would be
useful to obtain more extensive data runs on this and other $\delta$ Scuti
stars in the Hyades.
","[{""version"":""v1"",""created"":""Tue, 21 Nov 1995 06:50:42 GMT""}]","2007-05-23"
"astro-ph/9511095","Jasmin Jijina","Jasmin Jijina, Fred C. Adams","Infall Collapse Solutions in the Inner Limit: Radiation Pressure and its
  Effects on Star Formation","28 pages, 7 uuencoded figs; accepted by ApJ","Astrophys.J.462:874,1996","10.1086/177201","UM AC 95-09","astro-ph",,"  In this paper, we study infall collapse solutions for star formation in the
small radius limit where the particle orbits become nearly pressure-free. We
generalize previous solutions to simultaneously include the effects of both
radiation pressure and angular momentum. The effects of radiation pressure can
be modeled using a modified potential; for representative cases of such
potentials, we obtain analytical solutions for the density and velocity fields.
In general, radiation pressure limits the maximum mass of a forming star by
reversing the infall when the star becomes sufficiently large. Our results
imply that this maximum mass scale is given by the condition that the
turnaround radius $R_R$ (the radius at which the radiation pressure force
exceeds the gravitational force) exceeds the centrifugal radius $R_C$ (the
angular momentum barrier). The maximum mass scale for a star forming within a
rotating collapse flow with radiation pressure depends on the initial
conditions, but is generally much larger than for the case of spherical infall
considered previously. In particular, stars with masses $M_\ast$ $\sim 100$
$M_\odot$ can form for a fairly wide range of initial conditions.
","[{""version"":""v1"",""created"":""Mon, 20 Nov 1995 17:54:57 GMT""}]","2008-11-26"
"astro-ph/9511096","Ravi Sheth","Ravi K. Sheth (U.C. Berkeley)","Constrained realizations and minimum variance reconstruction of
  non-Gaussian random fields","12 pages, gzipped postscript, MNRAS, in press","Mon.Not.Roy.Astron.Soc. 277 (1995) 933","10.1093/mnras/277.3.933",,"astro-ph",,"  With appropriate modifications, the Hoffman--Ribak algorithm that constructs
constrained realizations of Gaussian random fields having the correct ensemble
properties can also be used to construct constrained realizations of those
non-Gaussian random fields that are obtained by transformations of an
underlying Gaussian field. For example, constrained realizations of lognormal,
generalized Rayleigh, and chi-squared fields having $n$ degrees of freedom
constructed this way will have the correct ensemble properties. The lognormal
field is considered in detail. For reconstructing Gaussian random fields,
constrained realization techniques are similar to reconstructions obtained
using minimum variance techniques. A comparison of this constrained realization
approach with minimum variance, Wiener filter reconstruction techniques, in the
context of lognormal random fields, is also included. The resulting
prescriptions for constructing constrained realizations as well as minimum
variance reconstructions of lognormal random fields are useful for
reconstructing masked regions in galaxy catalogues on smaller scales than
previously possible, for assessing the statistical significance of small-scale
features in the microwave background radiation, and for generating certain
non-Gaussian initial conditions for $N$-body simulations.
","[{""version"":""v1"",""created"":""Tue, 21 Nov 1995 03:11:22 GMT""}]","2015-06-24"
"astro-ph/9511097","R. Srianand","R. Srianand","Dynamical History of Ly \alpha clouds","30 pages, Latex file (nofigure). Complete uuencoded Z-compressed
  postscript files of text as well as figures are available via anonymous ftp
  at ftp://iucaa.ernet.in/pub/anand/ (or 144.16.31.1); Accepted for publication
  in Astrophysical Journal. arXiv admin note: only first 15 pages available as
  paper was corrupted during original email submission.",,"10.1086/177128",,"astro-ph",,"  The clustering properties of Ly ${\alpha}$ lines are analysed using an
intermediate resolution ($\sim 1\AA$) spectra of 67 QSOs compiled from the
literature. The pair velocity correlation function indicates a weak excess in
the velocity intervals up to ${\rm \Delta v\;=\;600\; km\;s^{-1}}$. The
z-integrated probability distribution of interline spacings also confirms the
excess in the low velocity intervals. The dependence of pair velocity
correlation on redshift and equivalent width are investigated. The
cross-correlation properties of Ly $\alpha$ clouds with metal line redshifts
are analysed. We do not find any tendency of Ly $\alpha$ lines to cluster
around metal line systems. Depedence of the cross-correlation on redshift and
equivalent widths of Ly $\alpha$ clouds are investigated. Various implications
of the results are discussed.
","[{""version"":""v1"",""created"":""Tue, 21 Nov 1995 09:39:07 GMT""}]","2009-10-28"
"astro-ph/9511098","Eduardo Telles","Eduardo Telles and Roberto Terlevich","The Colours of HII Galaxies","3 uuencoded compressed postscript pages including figures (162Kb). To
  appear in 'The Interplay between Massive Star Formation, the ISM and Galaxy
  Evolution', 11th IAP Ap. Meeting, Paris, Kunth D., Guiderdoni B.,
  Heydari-Malayeri M., Thuan T.X., and V\^{a}n J.T.T. (Eds.), Edition
  Fronti\`{e}res",,,,"astro-ph",,"  We present high spatial resolution CCD surface photometry study in the
optical V, R and I filters of 15 HII galaxies from the Nordic Optical Telescope
and the Jacobus Kapteyn Telescope at Canary Islands. The colours of the
starburst continuum and of the underlying galaxy are measured. The distribution
of colours of the underlying galaxy in HII galaxies is similar to the colours
of other late type low surface brightness galaxies which suggests a close
kinship of these with the quiescent phases of HII galaxies. However, comparison
with recent evolutionary population synthesis models show that the
observational errors and the uncertainties in the models are still too large to
put strict constraints on their past star formation history.
","[{""version"":""v1"",""created"":""Tue, 21 Nov 1995 13:54:10 GMT""}]","2007-05-23"
"astro-ph/9511099","Gary Mamon","Gary Mamon (IAP), Vincent Banchet (IAP), Catherine Boisson (DAEC, Obs.
  de Paris), Veronique Cayatte (DAEC, Obs. de Paris), and Frederic Engelmann
  (IAP)","A first look at galaxies with the DENIS survey","Invited talk at Euroconference on ""Near-Infrared Sky Surveys"", ed. P.
  Persi (Mem. Soc. Astr. It.), in press (meeting held in January 1995 in San
  Miniato, Italy)","Mem. Soc. Astr. It. 66, 693",,"IAP-510","astro-ph",,"  We review the various steps for the extraction of extended sources,
principally galaxies, from the DENIS images. The capabilities of DENIS are
studied with simulated images. A few real DENIS J and K_s-band images are
presented for very bright galaxies and one nearby rich galaxy cluster.
","[{""version"":""v1"",""created"":""Tue, 21 Nov 1995 14:44:12 GMT""}]","2007-05-23"
"astro-ph/9511100","Keiko Miyahata","Keiko Miyahata and Satoru Ikeuchi(Osaka University)","An Upper Mass Bound of a Two-Component Protogalaxy","Accepted for publication in PASJL (Dec 25th 1995 issue). 12 pages
  with uuencoded compressed tar postscript three figures. E-mail address :
  miyahata@vega.ess.sci.osaka-u.ac.jp",,,"OU-TAP-19","astro-ph",,"  We investigate the physical properties of a two-component virialized
protogalaxy comprising a hot gas and cold clouds which are in pressure
equilibrium under the assumptions that the protogalaxy is both spherical and
homogeneous. Two conditions which we adopt are that the protogalaxy is in
virial equilibrium and that the cooling time is less than the dynamical time.
It is found that there exists an upper mass bound for such a two-component
  protogalaxy when the cloud mass is comparable to or greater than that of hot
gas. We also consider the stability of the cold cloud against the Jeans
instability and Kelvin-Helmholtz instability.
","[{""version"":""v1"",""created"":""Tue, 21 Nov 1995 14:54:07 GMT""}]","2016-08-30"
"astro-ph/9511101","Gary Mamon","Gary A. Mamon (Institut d'Astrophysique de Paris)","The Dynamics of Groups and Clusters of Galaxies and Links to Cosmology","Invited review at 3rd Chalonge ""Colloque Cosmologie"", ed. H. de Vega
  & N. Sanchez (Singapore: World Scientific) added astro-ph cross-references","3rd Paris Cosmology Colloq., p. 95",,"IAP-508","astro-ph",,"  The links between the internal structure of galaxy groups and clusters and
cosmological parameters are reviewed here. The mass density profiles of
clusters, inferred from both optical analyses of the galaxy surface number
density profile coupled with internal kinematics, and from weak gravitational
lensing, appear cuspy with inner density profiles at least as steep as
$r^{-1}$, as is expected from high-resolution cosmological $N$-body simulations
starting with scale-free or CDM initial conditions. The high level of
substructure both in the galaxy distribution and in the diffuse hot gas seen in
X-rays is consistent with dynamically young clusters and a cosmological density
parameter $\Omega_0 \gta 0.5$. Despite the importance of cluster-cluster
merging witnessed by these substructures, the spherical top-hat cosmology
appears to give good indications of the underlying physics of clusters and
groups, including a fundamental evolutionary track in a space of observational
parameters for groups. Dynamical processes operating in groups and clusters are
reviewed. Previrialization of groups and clusters before their full collapse is
not expected on theoretical grounds, and the ensemble of positions of compact
groups, relative to the fundamental track is a potentially useful constraint on
previrialization.
","[{""version"":""v1"",""created"":""Tue, 21 Nov 1995 15:16:34 GMT""},{""version"":""v2"",""created"":""Tue, 30 Jan 1996 11:26:30 GMT""}]","2008-02-03"
"cond-mat/9511096","Elihu Abrahams","P. Lederer, Elihu Abrahams","On the Spin Gap Phase of Strongly-Correlated Electrons","7 pages, uuencoded Postscript, including 1 figure",,"10.1103/PhysRevB.53.10680",,"cond-mat",,"  We discuss the possible existence of a spin-gap phase in the low-doping
regime of strongly-correlated two-dimensional electrons within the gauge field
description of the t-J model. The spin-gap phase was recently shown by Ubbens
and Lee to be destroyed by gauge field quantum fluctuations for a single-layer
2D system in the absence of disorder and for a full gap. We show that the same
conclusion applies both in the dirty limit and for the case of a gapless spinon
condensate.
","[{""version"":""v1"",""created"":""Mon, 20 Nov 1995 16:39:21 GMT""}]","2009-10-28"
