"alg-geom/9511017",,"Boris V.Karpov","On the structure of semistable rigid sheaves on algebraic surfaces","LaTeX v 2.09. 8 pages",,,,"alg-geom math.AG",,"  Let S be a smooth projective surface, K be the canonical class of S and H be
an ample divisor such that H.K<0 . In this paper we prove that for any rigid
(Ext^1(F,F)=0) semistable sheaf F in the sense of Mumford--Takemoto stability
w.r.t. H there exists an exceptional collection (E_1,...,E_n) of sheaves on S
such that F can be constructed from {E_i} by a finite number of extensions.
","[{""version"":""v1"",""created"":""Mon, 27 Nov 1995 17:10:42 GMT""}]","2008-02-03"
"astro-ph/9511129","Enrico Cappellaro","Enrico Cappellaro and Massimo Turatto","The rate of supernovae: biases and uncertainties","10 pages, uuencoded gzipped PostScript file including three figures.
  To appear in ""Thermonuclear Supernovae"", Kluwer Academic Publishers, eds. R.
  Canal, P. Ruiz-Lapuente, and J. Isern",,,,"astro-ph",,"  Using an updated SN list and galaxy parameters from the RC3 catalog, we have
revisited two well know biases affecting SN searches. We show that the bias in
the central region of galaxies is negligible for galaxies closer than 40 Mpc
(H=75), but causes the loss of almost 50% of SNe in the distance range 80-160
Mpc. This bias has a weak dependence on the galaxy and SN types. Instead the
bias due to the inclination of spiral galaxies is more severe especially for
SNII in late spirals with only 1 SNe out of 5 being detected in edge--on
galaxies. The two effects seem interconnected with a more severe loss of SNe in
the central part of inclined spirals. Our best estimates of the SN rates are
reported along with a quantitative estimates of the different source of errors.
","[{""version"":""v1"",""created"":""Mon, 27 Nov 1995 17:23:41 GMT""}]","2007-05-23"
"astro-ph/9511130","Wayne Hu","Wayne Hu (IAS)","Concepts in CMB Anisotropy Formation","34 pgs, TeX + 11 uuencoded figures, also available at
  ftp://ftp.sns.ias.edu/pub/hu/concepts, to appear in ``The Universe at High-z,
  Large Scale Structure and the Cosmic Microwave Background'', eds. E.
  Martinez-Gonzalez & J.L Sanz (Springer Verlag)","Lect.Notes Phys. 470 (1996) 207","10.1007/BFb0102588","IASSNS-AST 95/52","astro-ph",,"  These lecture notes form a primer on the theory of cosmic microwave
background (CMB) anisotropy formation. With emphasis on conceptual aspects
rather than technical issues, we examine the physical foundations of anisotropy
evolution in relativistic kinetic and perturbation theory as well as the
manifestation of these principles in primary and secondary anisotropies. We
discuss gauge choice and gauge invariance and their use in understanding the
CMB. Acoustic, gravitational redshift and ionization effects have robust
signatures in the CMB spectrum and may allow determination of classical
cosmological parameters as well as reveal general distinctions between models
for structure formation. We develop the tight and weak coupling approximations
as analytic tools to help understand these effects and the robustness of their
signatures.
","[{""version"":""v1"",""created"":""Mon, 27 Nov 1995 22:09:11 GMT""}]","2015-06-24"
"astro-ph/9511131","Alberto Fernandez Soto","A. Fernandez-Soto (1 and 2), X. Barcons (1), R. Carballo (1 and 2),
  J.K. Webb (3) ((1) IFCA (CSIC-UC)-Santander-SPAIN, (2) Dpt. Fisica Moderna
  (UC)-Santander-SPAIN, (3) UNSW-Sydney-AUSTRALIA)","The proximity effect on the Lyman alpha forest due to a a foreground QSO","10 pages + tar file with 6 figures and 4 pages of tables, uses MNRAS
  style files","Mon.Not.Roy.Astron.Soc. 277 (1995) 235-249","10.1093/mnras/277.1.235","IFCA-95-4","astro-ph",,"  The influence of a foreground QSO on the lyman a forest of another QSO with
higher redshift has been investigated by analyzing the spectra of three such
objects at redshifts $z=2 - 2.7$. This influence is not contaminated by any
projection effects, as opposed to the inverse effect along the line of sight,
where incomplete coverage of the QSO continuum emitting region by the lyman a
clouds could contribute to the relative lack of lines. Our results are
consistent with the existence of a proximity effect due to the foreground QSO,
but due to its weakness we can only reject the absence of such effect at 1
sigma level. By modelling this proximity effect assuming that lyman a clouds
are low-density highly ionized objects we find that the best value for the UV
photoinizing intensity at those redshifts is 10^{-20.5}(...) at the Lyman limit
which is consistent with previous estimates of the background based on the
inverse effect. We also find an absolute lower limit (at 95% confidence) to the
UV intensity at the level of 10^{-21.8}(...) which means the rejection of a
number of models for the UV background.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 01:05:15 GMT""}]","2015-06-24"
"astro-ph/9511132","Simon Driver","Simon P. Driver (ASU), Rogier A. Windhorst (ASU), Eric J. Ostrander
  (ASU), William C. Keel (UoAl), Richard E. Griffiths (JHU), Kavan U.
  Ratnatunga (JHU)","The morphological mix of field galaxies to I=24.25 magnitudes (b=26
  magnitudes) from a deep Hubble Space Telescope WFPC2 image","9 pages, 3 figures (2 colour). The figures are available at
  http://www.phys.unsw.edu.au/~spd/bib.html","The Astrophysical Journal 449 (1995) L23-L27","10.1086/309637",,"astro-ph",,"  We determine the morphological mix of field galaxies down to $m_{I}\simeq
24.25$ mag ($m_{B}\sim 26.0$ mag) from a single ultradeep HST WFPC2 image in
both the $V_{606}$ and $I_{814}$ filters. In total, we find 227 objects with
$m_{I}\le 24.5$ mag and classify these into three types: ellipticals (16%),
early-type spirals (37%) and late-type spirals/Irregulars (47%). The
differential number counts for each type are compared to simple models in a
standard flat cosmology. We find that both the elliptical and early-type spiral
number counts are well described by {\it little or no}-evolution models, but
only when normalized at $b_{J} = 18.0$ mag. Given the uncertainties in the
luminosity function (LF) normalization, both populations are consistent with a
mild evolutionary scenario based on a normal/low rate of star-formation. This
constrains the end of the last {\it major} star-formation epoch in the giant
galaxy populations to $z\geq 0.8$.
  Conversely, the density of the observed late-type/Irregular population is
found to be a factor of 10 in excess of the conventional no-evolution model.
This large population might be explained by either a modified {\it local}
dwarf-rich LF, and/or strong evolution acting on the {\it local} LF. For the
dwarf-rich case, a {\it steep} faint-end Schechter-slope ($\alpha\simeq -1.8$)
is required plus a five-fold increase in the dwarf normalization. For a purely
evolving model based on a {\it flat} Loveday {\it et al.} (1992) LF
($\alpha\simeq -1.0$), a ubiquitous starburst of $\Delta I\sim$2.0 mag is
needed at z$\simeq 0.5$ for the {\it entire} late-type population. We argue for
a combination of these possibilities, and show that for a steep Marzke {\it et
al.} (1994) LF ($\alpha\simeq -1.5$), a starburst of $\sim$ 1.3 mag is required
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 03:23:53 GMT""}]","2016-08-30"
"astro-ph/9511133","Simon Driver","Steven Phillipps (Univ. Bristol), Simon P. Driver (Arizona State Univ)","Are disappearing dwarfs just lying low ?","12 pages, 7 figures. Figures available from
  http://www.phys.unsw.edu.au/~spd/bib.html","Monthly Notices of the Royal Astronomical Soc. 274 (1995) 832-844","10.1093/mnras/274.3.832",,"astro-ph",,"  Recent redshift surveys have shown that the excess galaxies seen in faint
galaxy number counts (above those expected given the local galaxy luminosity
function) are not evolved giants at high redshifts, but low to moderate
luminosity objects at more modest redshifts. This has led to the suggestion
that there was once an additional population of dwarf galaxies which has since
disappeared, ie. there is non-conservation of galaxy number. Here we
investigate the possibility that these disappearing dwarfs have actually
evolved to become the population of very low surface brightness galaxies which
is now being detected in nearby clusters.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 03:39:10 GMT""}]","2015-06-24"
"astro-ph/9511134","Simon Driver","Simon P. Driver (ASU), Rogier A. Windhorst (ASU), Richard E. Griffiths
  (JHU)","Morphological number-counts from the ultradeep HST images","To appear in Proceedings of the XXXth Moriond Astrophysics Conference
  on ""Clustering in the Universe"". 9 pages of uuencoded and gzip compressed
  postscript, also available at http://www.phys.unsw.edu.au/~spd/bib.html",,,,"astro-ph",,"  We discuss the observations leading to the Faint Blue Galaxy problem and the
uncertainties upon which faint galaxy models are based. Using deep Hubble Space
Telescope (HST) imaging with the Wide Field Planetary Camera (WFPC2), we show
how morphological information has been used to shed new light on the problem.
Initial results indicate that the giant galaxies (ellipticals and early-type
spirals), are well fit by {\it no-evolution} standard models down to $m_{I}
\sim 24.5$ ($z \sim 0.8$). The data also show that the faint blue galaxies have
late-type/irregular morphologies and cannot be adequately modelled until better
constraints are placed on the local space density for this class of galaxies.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 07:37:59 GMT""}]","2007-05-23"
"astro-ph/9511135","Simon Driver","Simon P. Driver (ASU), Rogier A. Windhorst (ASU), Richard E. Griffiths
  (JHU)","Caught in the act: The identification of the galaxies responsible for
  the faint blue excess","To be published in Proceedings of IAU symposium 171, ""New light on
  Galaxy Evolution"", Eds.: R.Bender and R. Davies, 4 pages of gzip compressed
  and uuencoded postscript. Also available at
  http://www.phys.unsw.edu.au/~spd/bib.html",,,,"astro-ph",,"  We summarise recent Hubble Space Telescope results on the morphology of faint
field galaxies. Our two principle results are: (1) the galaxies responsible for
the faint blue excess have late-type/irregular morphology and (2) the number
counts of normal galaxies, ellipticals and early-type spirals, are well fit by
standard no-evolution models implying that the giant population was in place
and mature by a redshift of $\ge 0.7$.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 03:57:34 GMT""}]","2007-05-23"
"astro-ph/9511136","Leszek Zdunik","J.L. Zdunik","Damping of GRR instability by direct URCA reactions","7 pages","Astron.Astrophys.308:828,1996",,"306","astro-ph",,"  The role of direct URCA reactions in damping of the gravitational radiation
driven instability is discussed. The temperature at which bulk viscosity
suppresses completely this instability is calculated.
  The results are obtained analytically using recent calculations performed in
the case of bulk viscosity due to the modified URCA processes (Lindblom 1995;
Yoshida & Eriguchi 1995).
  The bulk viscosity caused by direct URCA reactions is found to reduce
significantly the region of temperatures and rotation frequencies where a
neutron star is subject to GRR instability.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 12:03:44 GMT""}]","2011-05-23"
"astro-ph/9511137","Chris Kochanek","S. Wallington, C.S. Kochanek & R. Narayan (Harvard-Smithsonian Center
  For Astrophysics)","LensMEM: A Gravitational Lens Inversion Algorithm Using the Maximum
  Entropy Method","27 pages, uuencoded, gzip compressed postscript",,"10.1086/177401",,"astro-ph",,"  We present a new algorithm for inverting poorly resolved gravitational lens
systems using the maximum entropy method (MEM). We test the method with
simulations and then apply it to an 8 GHz VLA map of the radio ring lens
MG1654+134. We model the lens as a singular isothermal sphere embedded in an
external shear field and find the critical radius of the lens is
$b=0\parcs9820$, the dimensionless shear is $\gamma=0.0771$, and the position
angle of the shear is $\theta=100\pdeg8$. These results are consistent with the
results obtained by Kochanek (1995) using a complementary inversion algorithm
based on Clean.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 14:03:05 GMT""}]","2009-10-28"
"chao-dyn/9511008",,"Vishal Mehra and Ramakrishna Ramaswamy (School of Physical Sciences,
  Jawaharlal Nehru University, New Delhi, INDIA)","Maximal Lyapunov exponent at Crises","22kb plus 3 figures available on request; to appear in Phys. Rev. E","Phys.Rev. E53 (1996) 3420-3424","10.1103/PhysRevE.53.3420",,"chao-dyn nlin.CD",,"  We study the variation of Lyapunov exponents of simple dynamical systems near
attractor-widening and attractor-merging crises. The largest Lyapunov exponent
has universal behaviour, showing abrupt variation as a function of the control
parameter as the system passes through the crisis point, either in the value
itself, in the case of the attractor-widening crisis, or in the slope, for
attractor merging crises. The distribution of local Lyapunov exponents is very
different for the two cases: the fluctuations remain constant through a merging
crisis, but there is a dramatic increase in the fluctuations at a widening
crisis.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 12:17:42 GMT""}]","2009-10-28"
