"alg-geom/9511018","Alexander Polishchuk","Alexander Polishchuk","Symplectic biextensions and a generalization of the Fourier-Mukai
  transform","AMSLaTeX. Missing package ""comm"" is inserted",,,,"alg-geom math.AG",,"  A generalization of the Fourier-Mukai transform is proposed. The construction
is based on analogy with the classical picture of representations of the
Heisenberg group.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 18:32:30 GMT""},{""version"":""v2"",""created"":""Fri, 1 Dec 1995 19:50:53 GMT""}]","2008-02-03"
"astro-ph/9511138",,"R. Canal, P. Ruiz-Lapuente and A. Burkert","The Single-Degenerate Scenario for Type Ia SNe in Cosmic Perspective","uuencoded gz-compressed .tar PostScript file containing 16 pages and
  2 figures, to appear in ApJ (Letters), Jan. 10, 1996",,"10.1086/309869",,"astro-ph",,"  The occurrence and properties of Type Ia supernovae (SNe Ia) in
single-degenerate binary systems (white dwarf [WD] + nondegenerate companion)
is examined for galaxies of different types, and as a function of redshift. The
rates and characteristics (peak luminosities, expansion velocities of the
ejecta) expected from the explosion of mass-accreting WDs in symbiotic systems
and ""helium star cataclysmics"" are found to be different from those arising in
another class of candidate systems: cataclysmic-like (contact) systems (CLS),
where a CO WD accretes hydrogen on a thermal time scale from a Roche-lobe
filling main-sequence or subgiant companion. We derive the evolution of the SNe
Ia rate and properties resulting from the thermonuclear explosion of
sub-Chandrasekhar mass WDs in such systems when they detonate a helium layer
accumulated from steady burning of hydrogen at the surface. A fraction of CLS
are believed to form a subset of the observed luminous supersoft X-ray sources
(SSS). Sub-Chandrasekhar explosions from CLS are disfavored in all types of
galaxies at redshifts z > 1. On the other hand, CLS where the WD succeeds to
grow to the Chandrasekhar mass are more likely found in spiral galaxies, and
absent from early-type galaxies. SNe Ia statistics could (if the uncertainties
still involved are reduced) help to discriminate among proposed SNe Ia
scenarios. The range of variation of the characteristics of SNe Ia in the CLS
scenario should be narrower than in symbiotics. The predicted correlation
between peak luminosity and expansion velociy of the ejecta in SNe Ia coming
from these systems is weak. For CLS, the distinction between the
characteristics of SNe Ia respectively arising from sub-Chandrasekhar and from
Chandrasekhar-mass explosions should be sharp, since all sub-Chandrasekhar
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 22:03:27 GMT""}]","2009-10-28"
"astro-ph/9511139","Inger Joergensen","Inger Jorgensen (McDonald Observatory), Marijn Franx, Per Kjaergaard","The Fundamental Plane for cluster E and S0 galaxies","20 pages, gzipped PostScript, 14 figures included. Accepted for
  publication in MNRAS",,"10.1093/mnras/280.1.167",,"astro-ph",,"  We have analyzed the Fundamental Plane (FP) for a sample of 226 E and S0
galaxies in ten clusters of galaxies. For photometry in Gunn r the best fitting
plane is log r_e=1.24 log sigma - 0.82 log <I>_e + cst. The scatter is 0.084 in
log r_e. The slope of the FP is not significantly different from cluster to
cluster. The residuals of the FP correlate weakly with the velocity dispersion
and the surface brightness. Thus, to avoid biases of derived distances the
galaxies need to be selected in a homogeneous way. The FP has significant
intrinsic scatter. No other structural parameters like ellipticity or isophotal
shape can reduce the scatter significantly. The Mg_2-sigma relation differs
slightly from cluster to cluster. Galaxies in clusters with lower velocity
dispersions have systematically lower Mg_2. With the current stellar population
models, it is in best agreement with our results regarding the FP if the
offsets are mainly caused by differences in metallicity. Most of the distances
that we derive from the FP imply small peculiar motions, <1000km/s. The zero
point of the FP must therefore be quite stable. The residuals from the
Mg_2-sigma relation may be used to flag galaxies with deviant populations, and
possibly to correct the distance determinations for the deviations.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 21:10:01 GMT""}]","2015-06-24"
"astro-ph/9511140","Stephen Landy","Stephen D. Landy (Carnegie Observatories), Alexander S. Szalay (Johns
  Hopkins Univ.), David C. Koo (Univ. of CA - Santa Cruz)","Strong Angular Clustering of Very Blue Galaxies: Evidence of a Low
  Redshift Population","12 pages, 3 postscript figures, tex file",,"10.1086/176954",,"astro-ph",,"  We have studied galaxy two-point angular correlations as a function of color
using 4-m plate photometry in two independent fields. Each field consists of
over 2900 galaxies with magnitudes 20<B_J <23.5 in an area of approximately 750
arcmin^2 . We find that the autocorrelation amplitude of the bluest 15% of
galaxies is surprisingly strong, with a relative increase in clustering
amplitude of a factor of 6 over that of the complete data set, while exhibiting
a power law slope consistent with the canonical value of -0.8. These very blue
galaxies are also found to be weakly correlated with galaxies of median color
and marginally anti-correlated with the reddest subset. These correlation
properties are incompatible with existing simple models of the galaxy
distribution; they suggest that a significant fraction, more than 50%, of these
very blue galaxies are a faint population which lie at nearby redshifts z<0.3.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 23:56:25 GMT""}]","2009-10-28"
"astro-ph/9511141","Simon Driver","Simon P. Driver (ASU), Rogier A. Windhorst (ASU), Steven Phillipps
  (Univ. Bristol), Paul D. Bristow (Univ. Bristol)","Hubble Space Telescope Counts of Elliptical Galaxies: Constraints on
  Cosmological Models ?","Accepted for publication in the Astrophysical Journal (April, 1996).
  34 pages (including 4 figures) of gzip compressed and uuencoded PS. Also
  available at http://www.phys.unsw.edu.au/~spd/bib.html","Astrophys.J. 461 (1996) 525","10.1086/177079",,"astro-ph",,"  The interpretation of galaxy number counts in terms of cosmological models is
fraught with difficulty due to uncertainties in the overall galaxy population
(mix of morphological types, luminosity functions etc.) and in the observations
(loss of low surface brightness images, image blending etc.). Many of these can
be overcome if we use deep high resolution imaging of a single class of high
surface brightness galaxies, whose evolution is thought to be fairly well
understood. This is now possible by selecting elliptical and S0 galaxies using
Hubble Space Telescope images from the Medium Deep Survey and other ultradeep
WFPC2 images. In the present paper, we examine whether such data can be used to
discriminate between open and closed universes, or between conventional
cosmological models and those dominated by a cosmological constant. We find,
based on the currently available data, that unless elliptical galaxies undergo
very strong merging since $z \sim 1$ (and/or very large errors exist in the
morphological classifications), then flat models dominated by a cosmological
constant are ruled out. However, both an Einstein-de Sitter ($\Omega_{0}=1$)
model with standard passive stellar evolution and an open ($\Omega_{0}=0.05$)
model with no net evolution ({\it i.e.} cancelling stellar and dynamical
evolution) predict virtually identical elliptical and S0 galaxy counts.
  Based on these findings and the recent reportings of $H_{o} \simeq 80$ km/s
Mpc/s, we find that the maximum acceptable age of the universe is 13.3 Gyrs and
a value of $\leq 9$ Gyrs favored. A flat---$\Lambda \neq 0$---universe is
therefore {\it not} a viable solution to the $H_{o}$/globular cluster age
problem.
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 02:21:53 GMT""}]","2016-08-30"
"astro-ph/9511142","Oxide Owner","F.X. Timmes, S.E. Woosley, D.H. Hartmann & R.D. Hoffman","The Production of Ti44 and Co60 in Supernova","27 pages including 7 figures. uuencoded, compressed, postscript. in
  press ApJ",,"10.1086/177323",,"astro-ph",,"  The production of the radioactive isotopes $^{44}$Ti and $^{60}$Co in all
types of supernovae is examined and compared to observational constraints
including Galactic $\gamma$--ray surveys, measurements of the diffuse 511 keV
radiation, $\gamma$--ray observations of Cas A, the late time light curve of SN
1987A, and isotopic anomalies found in silicon carbide grains in meteorites.
The (revised) line flux from $^{44}$Ti decay in the Cas A supernova remnant
reported by COMPTEL on the Compton Gamma-Ray Observatory is near the upper
bound expected from our models. The necessary concurrent ejection of $^{56}$Ni
would also imply that Cas A was a brighter supernova than previously thought
unless extinction in the intervening matter was very large. Thus, if confirmed,
the reported amount of $^{44}$Ti in Cas A provides very interesting constraints
on both the supernova environment and its mechanism. The abundances of
$^{44}$Ti and $^{60}$Co ejected by Type II supernovae are such that
gamma-radiation from $^{44}$Ti decay SN 1987A could be detected by a future
generation of gamma-ray telescopes and that the decay of $^{60}$Co might
provide an interesting contribution to the late time light curve of SN 1987A
and other Type II supernovae. To produce the solar $^{44}$Ca abundance and
satisfy all the observational constraints, nature may prefer at least the
occasional explosion of sub-Chandrasekhar mass white dwarfs as Type Ia
supernovae. Depending on the escape fraction of positrons due to $^{56}$Co made
in all kinds of Type Ia supernovae, a significant fraction of the steady state
diffuse 511 keV emission may arise from the annihilation of positrons produced
during the decay of $^{44}$Ti to $^{44}$Ca. The Ca and Ti isotopic anomalies in
pre-solar grains confirm the production of $^{44}$Ti in supernovae and that
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 03:21:37 GMT""}]","2009-10-28"
"astro-ph/9511143","Richard Easther","Richard Easther (Waseda University)","An Inflationary Model with an Exact Perturbation Spectrum","7 pages, plus 2 figures","Class.Quant.Grav. 13 (1996) 1775-1782","10.1088/0264-9381/13/7/011","WU-AP/53/95","astro-ph gr-qc",,"  We present a new, exact scalar field cosmology for which the spectrum of
scalar (density) perturbations can be calculated exactly. We use this exact
result to the probe the accuracy of approximate calculations of the
perturbation spectrum.
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 11:12:22 GMT""}]","2009-10-28"
"astro-ph/9511144","Castellani Marco","Marco Castellani (1), Gianni Marconi (1), Roberto Buonanno (1) ((1)
  Osservatorio Astronomico di Roma, Monte Porzio)","The Tucana dwarf galaxy","4 pages, 3 Postscript figures. To appear in The Proceedings for the
  ""Formation of the Galactic Halo...Inside and Out""",,,,"astro-ph",,"  Deep CCD photometry (NTT, HST data) for the dwarf galaxy in Tucana is
presented, down to V=27.5. Distance modulus and metallicity are derived,
together with an estimate of the age of the galaxy.
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 13:57:43 GMT""}]","2007-05-23"
"astro-ph/9511145","Maurice Van Putten","Maurice H.P.M. van Putten","Knots in Magnetized Relativistic Jets and Their Simulations","Fig3A (uuenc cps) incl'd, other figs available upon request",,,"CRSR 1107","astro-ph",,"  Bright features (`knots') in extragalactic jets are commonly associated with
reheating of charged particles in regions with shocks or strong compression. We
find a natural appearance of nozzles in simulations of toroidally magnetized
jets, and propose this as a generic mechanism of knotted structures such as in
the jet of 0800+608. Nozzles provide correlated enhancement of emission in
radio and optical, such as discovered in HST observations of 3C273. The
simulations reveal a rich structure of knots, including a nose cone with a
propagating knotted structure and a hot-spot as the most extended brightness
feature. Unexpected is the observed separation of the hot-spot from a composite
Mach disk closer to the source.
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 14:29:31 GMT""}]","2007-05-23"
"atom-ph/9511002",,"M. Daoud and M. Kibler","Two-Photon Spectroscopy Between States of Opposite Parities","7 pages, Revtex File, to be published in Physical Review B",,"10.1103/PhysRevB.52.12677","LYCEN 9507","atom-ph chem-ph cond-mat physics.atom-ph",,"  Magnetic- and electric-dipole two-photon absorption (MED-TPA), recently
introduced as a new spectroscopic technique for studying transitions between
states of opposite parities, is investigated from a theoretical point of view.
A new approximation, referred to as {\it weak quasi-closure approximation}, is
used together with symmetry adaptation techniques to calculate the transition
amplitude between states having well-defined symmetry properties. Selection
rules for MED-TPA are derived and compared to selection rules for
parity-forbidden electric-dipole two-photon absorption (ED-TPA).
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 15:59:09 GMT""}]","2009-10-28"
"chao-dyn/9511009","Giovanni Gallavotti","F. Bonetto, G. Gallavotti, G. Gentile, V. Mastropietro","Lindstedt series, ultraviolet divergences and Moser's theorem","38 pages, postscript, compressed","Annali della Scuola Normale Superiore di Pisa, 26, 545--593, 1998",,"MF95-8","chao-dyn nlin.CD",,"  Moser's invariant tori for a class of nonanalytic quasi integrable even
hamiltonian systems are shown to be analytic in the perturbation parameter. We
do so by exhibiting a summation rule for the divergent series (``Lindstedt
series"") that formally define them. We find additional cancellations taking
place in the formal series, besides the ones already known and necessary in the
analytic case (i.e. to prove convergence of Lindtsedt algorithm for
Kolmogorov's invariant tori). The method is interpreted in terms of a non
renormalizable quantum field theory, considerably more singular than the one we
pointed out in the analytic case.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 17:06:31 GMT""}]","2008-10-09"
