"acc-phys/9512001","George Parzen","G. Parzen (Brookhaven National Laboratory)","Particle Motion in the Stable Region Near an Edge of a Linear
  Half-Integer Stopband","16 pages, gzipped texsis paper",,,"BNL-62036","acc-phys physics.acc-ph",,"  This paper studies the motion of a particle whose tune is inside and near a
linear half-integer stopband. Results are found for the tune and beta functions
in the stable region close to an edge of the stopband. It is shown that the
eigenvalues and the eigenfunctions of the transfer matrix are real inside the
stopband. All the results found are also valid for small accelerators where the
large accelerator approximation is not used.
","[{""version"":""v1"",""created"":""Thu, 7 Dec 1995 15:44:01 GMT""},{""version"":""v2"",""created"":""Fri, 8 Dec 1995 15:18:45 GMT""}]","2008-02-03"
"alg-geom/9512005","Purnaprajna","Francisco Gallego and B.P.Purnaprajna","Higher Syzygies of Elliptic Ruled Surfaces","3 EPSF figures, 32 pages. AMSTeX 2.1 with Amsppt and epsf.tex",,,,"alg-geom math.AG",,"  Let L be a normally generated line bundle on X; we say L satisfies property
N_p (notation after Mark Green) if the matrices in the free resolution of R
(the homogeneous coordinate ring of X) over S (the homogeneous coordinate ring
of the projective space corresponding to the complete linear series |L|) have
linear entries until the p-th stage. In this article we prove the following
result: Let X be an elliptic ruled surface and let L be a product of p+1 base
point free and ample line bundles on X. Then L satisfies property N_p. In
particular we prove that numerical classes of all divisors which satisfies
property N_p form a convex set. (Recall that Num(X) is generated by the class
of a minimal section C_0 and by the class of a fiber f and that C_0 is ample.)
As a corollary of the above result we show that the adjoint bundle K_X+(2p+3)A
satisfies property N_p, if A is an ample line bundle.
","[{""version"":""v1"",""created"":""Wed, 6 Dec 1995 23:48:39 GMT""},{""version"":""v2"",""created"":""Thu, 7 Dec 1995 16:48:57 GMT""},{""version"":""v3"",""created"":""Fri, 8 Dec 1995 20:30:02 GMT""}]","2008-02-03"
"astro-ph/9512029","Srdjan Samurovic","Srdjan Samurovic (People's Observatory), Vladan Celebonovic (Institute
  of Physics)","A note on the neutrino decay line and the possibilities of its detection","5 pages, plain TeX, also available on the Web as gzipped PostScript
  file at http://www.interware.it/users/rastko/decneutr.html published in
  ""Proceedings of the First Yugoslav Conference on Spectral Line Shapes"" (Publ.
  Obs. Astron. Belgrade No. 50 (1995), 121-125)",,,"NO-ADRB/95/1","astro-ph",,"  Using simple physical reasoning we have estimated the wavelengths and
line-widths of spectral lines arising from the decays of massive neutrinos. We
have, also, to some extent, discussed the possible consequences of these decays
in observable astrophysical settings. We have compared our conclusions with the
predictions of the decaying dark matter (DDM) model and cold + hot dark matter
(${\rm C\nu ^2DM}$) model.
","[{""version"":""v1"",""created"":""Wed, 6 Dec 1995 16:28:43 GMT""}]","2007-05-23"
"astro-ph/9512030","Xiangdong Shi","Xiangdong Shi (Queen's University)","The Proximity Effect of QSO Metal Line Absorption Systems on Lyman
  $\alpha$ Forests","uuencoded compressed postscript file, 6 pages. Also available at
  ftp://astro.queensu.ca/pub/shi/lyman.ps. Submitted to MNRAS",,,,"astro-ph",,"  The proximity effect of metal line absorption systems in spectra of high
redshift quasars and quasar pairs is investigated through the distribution of
\Lyalpha forests. No strong proximity effect is found down to 500 km/sec away
from a metal line absorption system for lyman $\alpha$ clouds with
$13.3\le\log\NHI <13.8$ at a redshift of $\sim 3$. Its implication on
properties of high redshift galaxies and \Lyalpha clouds is discussed. More
high resolution spectra of high redshift quasars and pairs of quasars (whose
lines of sight are separated by $\sim 0.3h^{-1}$ to 1$h^{-1}$ Mpc) are needed
so that the proximity effect can be reliably determined for \Lyalpha clouds
with various $\NHI$ and down to a closer distance.
","[{""version"":""v1"",""created"":""Wed, 6 Dec 1995 20:41:40 GMT""}]","2007-05-23"
"astro-ph/9512031","David S. Salopek","D. S. Salopek","Cosmological Inflation and the Nature of Time","19 pages, self-unpacking, uuencoded, gz-compressed postscript file,
  in Proceedings of the International School of Astrophysics, ``D. Chalonge'',
  Erice, Italy, September 8-19, 1995, Three additional figures",,,"ALBERTA THY/22-95","astro-ph gr-qc hep-ph",,"  Recent advances in observational cosmology are changing the way we view the
nature of time. In general relativity, the freedom in choosing a time
hypersurface has hampered the implementation of the theory. Fortunately,
Hamilton-Jacobi theory enables one to describe all time hypersurfaces on an
equal footing. Using an expansion in powers of the spatial curvature, one may
solve for the wavefunctional in a semiclassical approximation. In this way, one
may readily compare predictions of various inflation models with observations
of microwave background anisotropies and galaxy clustering.
","[{""version"":""v1"",""created"":""Wed, 6 Dec 1995 22:13:11 GMT""}]","2007-05-23"
"astro-ph/9512032","Paul Green","Paul J. Green and Smita Mathur (CfA)","Broad Absorption Line QSOs Observed by the ROSAT PSPC","10 pages, no figures, AAS latex (aaspptwo.sty), to be published in
  ApJ Vol. 462, May 20 1996",,"10.1086/177178",,"astro-ph",,"  Recent results from the ROSAT All-Sky Survey (RASS) have shown that broad
absorption line (BAL) QSOs are either highly absorbed or underluminous in the
soft X-ray bandpass. Here, we extend this work by analyzing all known bona fide
BALQSOs observed within the inner 20' of the ROSAT PSPC. This sample includes
both targeted and serendipitous exposures ranging from 8 to 75 ksec. Despite
these deep exposures, most of the BALQSOs are undetected, and have unusually
weak X-ray emission, as evidenced by large optical-to-X-ray slopes (AOX). Large
values of AOX ($\gapprox$1.8) may prove to be a defining characteristic of
BALQSOs. We predict that samples of QSO candidates with large AOX will yield a
higher percentage of BALQSOs, particularly at low redshift. As a corollary,
X-ray-selected QSO samples should yield The optical/UV emission line spectra of
BAL and non-BAL QSOs are quite similar, suggesting that their intrinsic
spectral energy distributions are similar as well. Absorption thus seems the
likely reason for the X-ray quiet nature of BALQSOs. To constrain the total
absorbing column of the BAL clouds, we compare our measured soft X-ray fluxes
or upper limits to those expected from normal radio quiet QSOs of comparable
optical continuum magnitude and redshift. From sensitive X-ray observations, we
derive column densities of greater than about 2 times 10^22 cm-2, for intrinsic
cold absorbers of solar metallicity. These new results suggest columns {\em at
least} an order of magnitude larger than the columns previously estimated from
optical/UV spectra alone.
","[{""version"":""v1"",""created"":""Wed, 6 Dec 1995 23:37:59 GMT""}]","2009-10-28"
"astro-ph/9512033","Simon Driver","Sebastian M. Pascarelle (ASU), Rogier A. Windhorst (ASU), Simon P.
  Driver (ASU), Eric J. Ostrander (ASU), William C. Keel (UoAl)","The Serendipitous Discovery of a Group or Cluster of young Galaxies at
  z=2.40 in Deep Hubble Space Telescope WFPC2 Images","Accepted for publication in The Astrophysical Journal (Letters). 13
  pages of gzip compressed and uuencoded PS. Figures are available at
  http://www.phys.unsw.edu.au/~spd/bib.html",,"10.1086/309852",,"astro-ph",,"  We report the serendipitous discovery of a group or cluster of young galaxies
at $z\simeq$2.40 in a 24-orbit HST/WFPC2 exposure of the field around the weak
radio galaxy 53W002. Potential cluster members were identified on ground-based
narrow-band redshifted Ly$\alpha$ images and confirmed via spectroscopy.
  In addition to the known weak radio galaxy 53W002 at z=2.390, two other
objects were found to have excess narrow-band Ly$\alpha$ emission at
$z\simeq$2.40. Both have been spectroscopically confirmed, and one clearly
contains a weak AGN. They are located within one arcminute of 53W002, or
$\sim0.23h_{100}^{-1}$Mpc ($q_o$=0.5) at $z\simeq$2.40, which is the physical
scale of a group or small cluster of galaxies. Profile fitting of the WFPC2
images shows that the objects are very compact, with scale lengths
$\simeq$0\farcs 1 ($\simeq0.39h_{100}^{-1}$kpc), and are rather faint
(luminosities < L*), implying that they may be sub-galactic sized objects. We
discuss these results in the context of galaxy and cluster evolution and the
role that weak AGN may play in the formation of young galaxies.
","[{""version"":""v1"",""created"":""Thu, 7 Dec 1995 01:28:41 GMT""}]","2016-08-30"
"astro-ph/9512034","Brian Fields","Elisabeth Vangioni-Flam, Michel Cass\'e, Brian D. Fields, and Keith A.
  Olive","LiBeB Production by Nuclei and Neutrinos","19 pages, 5 postscript figures, uses plain LaTeX, also available at
  http://www.nd.edu/~bfields/vcfo.html","Astrophys.J.468:199,1996","10.1086/177682","UMN-TH-1415/95","astro-ph",,"  The production of LiBeB isotopes by nuclear and neutrino spallation are
compared in the framework of galactic evolutionary models. As motivated by
$\gamma$-ray observations of Orion, different possible sources of low-energy C
and O nuclei are considered, such as supernovae of various masses and WC stars.
We confirm that the low energy nuclei (LEN), injected in molecular clouds by
stellar winds and type II supernovae originating from the most massive
progenitors, can very naturally reproduce the observed Be and B evolution in
the early galaxy (halo phase). Assuming the global importance of the LEN
component, we compute upper and lower bounds to the neutrino process
contribution corresponding to limiting cases of LEN particle spectra. A
consistent solution is found with a spectrum of the kind proposed by Ramaty
\etal (1995a,b), e.g. flat up to $E_c=30$ MeV/n and decreasing abruptly above.
This solution fulfills the challenge of explaining at the same time the general
Be and B evolution, and their solar system abundances without overproducing
\li7 at very low metallicities, and the meteoritic \b11/\b10 ratio. In this
case, neutrino spallation is constrained to play a limited role in the genesis
of the solar system \b11. Galactic cosmic rays (GCR) become operative late in
the evolution of the disk ([Fe/H]$>$-1), but their contribution to the solar
abundances of \be9, \b10 and \b11 is not dominant (35\%, 30\% and 20\%
respectively). Thus, with this LEN spectrum, GCR are {\it not}\ the main source
of \be9 and B in the Galaxy. The most favorable case for neutrinos, (adopting
the same kind of spectrum) has $E_c=20$ MeV/n. Even in this case, the neutrino
yields of Woosley and Weaver (1995) must to be reduced by a factor of 5 to
avoid \b11 overproduction. Furthermore, this solution leads to a high B/Be
","[{""version"":""v1"",""created"":""Thu, 7 Dec 1995 03:40:07 GMT""}]","2009-09-15"
"astro-ph/9512035","John Hibbard","J.E. Hibbard (IfA), J.H. van Gorkom (Columbia Univ)","H I, H II, and R-Band Observations of a Galactic Merger Sequence","71 pages, 18 Figs. Available electronically via the URL
  http://www.ifa.hawaii.edu/~hibbard/MergeSeq/mergeseq.html To appear in the
  February 1996 issue of The Astronomical Journal","Astron.J. 111 (1996) 655","10.1086/117815",,"astro-ph",,"  We present high-quality aperture synthesis observations of the neutral
hydrogen distribution in a sample of five galactic systems believed to be
involved in progressive stages of merging: Arp295, NGC4676, NGC520, NGC3921,
and NGC7252. These data are supplemented by wide-field images taken through a
narrow band Halpha filter, and by deep R-band surface photometry. In the early
stages, large amounts of HI exist within the galactic disks and star formation
is widespread. The ionized gas emission often takes on the appearance of plumes
and arcs emanating from the nuclear regions, which are presumably the sites of
interaction induced starbursts. In the final stages there is little if any HI
within the remnant bodies, and tidal material is seen moving inward. This
suggests that these remnants will evolve into elliptical galaxies in their
atomic gas contents as well as their photometric properties. However the
observations of NGC520 reveal an extensive rotating gaseous disk, suggesting
that perhaps some mergers will not destroy the atomic gas disks of the
progenitors. Overall, large quantities of both gas and starlight are seen at
large radii. Since this material evolves on very long time scales, it may leave
observable signatures for many Gyr.
","[{""version"":""v1"",""created"":""Thu, 7 Dec 1995 09:57:09 GMT""}]","2009-10-28"
"astro-ph/9512036","Rosemary Mardling","Rosemary A. Mardling (Monash Univ.)","Chaos and Tidal Capture","19 pages, uuencoded, compressed postscript, includes 12 figures,
  Review presented at the NATO ASI on Evolutionary Processes in Binary Stars,
  IOA Cambridge July 1995",,,,"astro-ph",,"  We review the tidal capture mechanism for binary formation, an important
process in globular cluster cores and perhaps open cluster cores. Tidal capture
binaries may be the precursors for some of the low-mass X-ray binaries observed
in abundance in globular clusters. They may also play an important role in
globular cluster dynamics. We summarize the chaos model for tidal interaction
(Mardling 1995, ApJ, 450, 722, 732), and discuss how this affects our
understanding of the circularization process which follows capture.
","[{""version"":""v1"",""created"":""Thu, 7 Dec 1995 11:59:07 GMT""}]","2007-05-23"
"astro-ph/9512037","Eduard Salvador","E. Salvador-Sole (University of Barcelona)","Modeling the Clustering of Objects","12 pages, uuencoded compressed latex file + 1 eps figure, to appear
  in the ASP conference series",,,,"astro-ph",,"  I review the main steps made so far towards the construction of a (semi)
analytical model for describing the growth history of bound virialized objects
or haloes in the gravitational instability scenario. I mainly focus on those
models relying on the spherical collapse approximation which have led to the
most complete description. I insist on the different assumptions of each model
and outline their main advantages and shortcomings. The work is divided in two
parts: a first one dealing with the theoretical mass function of objects, and a
second one dealing with the typical growth times and rates. Particular
attention is paid to a new model making the practical distinction between
accretion and merger events.
","[{""version"":""v1"",""created"":""Thu, 7 Dec 1995 12:46:03 GMT""}]","2007-05-23"
