"alg-geom/9512008",,"Peter Schenzel","Applications of Koszul homology to numbers of generators and syzygies","To appear in J. Pure Appl. Algebra, LaTeX2e",,,,"alg-geom math.AC math.AG",,"  Several spectral sequence techniques are used in order to derive information
about the structure of finite free resolutions of graded modules. These results
cover estimates of the minimal number of generators of defining ideals of
projective varieties. There are also investigations about the shifts and the
dimension of Betti numbers.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 10:56:44 GMT""}]","2008-02-03"
"astro-ph/9512056","Massimo Cappi","A. Comastri (Oss. Astr. di Bologna, RIKEN), M. Cappi (RIKEN) and M.
  Matsuoka (RIKEN)","The X-ray spectrum of the Gamma Bright Quasar S5 0836+710","2 pages, including 1 Postscript figure. Includes required style
  files. Prepared with uufiles. To appear in Proceedings of the Wuerzburg X-ray
  Conference, September 25th to 29th, 1995 (MPE Report)",,,,"astro-ph",,"  We present the results of an ASCA observation of the high redshift flat
spectrum radio quasar S5 0836+710. The $\sim 0.4-10$ keV X-ray spectrum is
remarkably flat with $\Gamma \sim 1.4$ and substantial intrinsic absorption at
low energy. The spectral slope was found to be in good agreement with the
non--simultaneous ROSAT PSPC observations while no evidence of intrinsic
absorption has been found in the PSPC spectrum. Our results suggest time
variability of the absorbing material on timescales less than five months in
the source rest--frame.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 04:39:59 GMT""}]","2007-05-23"
"astro-ph/9512057","Matthew Colless","Richard S. Ellis, Matthew Colless, Tom Broadhurst, Jeremy Heyl & Karl
  Glazebrook","Autofib Redshift Survey - I. Evolution of the Galaxy Luminosity Function","To appear in MNRAS, 16 pages, Postscript only","Mon.Not.Roy.Astron.Soc. 280 (1996) 235","10.1093/mnras/280.1.235","MMC-95-3","astro-ph",,"  We present a detailed determination of the restframe B-band galaxy luminosity
function (LF) as a function of redshift and star formation activity from z=0 to
z=0.75. The dataset used for this purpose is a combined sample of over 1700
redshifts spanning a wide range in apparent magnitude, 11.5<B<24.0, which we
term the Autofib Redshift Survey. The sample includes various earlier
magnitude-limited surveys constructed by our team as well as a new survey of
1026 redshifts measured for galaxies at intermediate magnitudes. The large
range in apparent magnitude sampled allows us to investigate both the nature of
the LF at low redshift (z<0.1) and possible evolution in its shape to z=0.75.
We find that earlier bright surveys have underestimated the absolute
normalisation of the LF. Because the shape of the local LF does not change with
the survey apparent magnitude limit, it seems unlikely that the local
deficiency arises from an underestimated population of low luminosity galaxies.
Furthermore, surface brightness losses cannot be significant unless they
conspire to retain the LF shape over a variety of detection thresholds. Our
data directly demonstrates that the B-band LF evolves with redshift. This
evolution is best represented as a steepening of the faint-end slope of the LF,
from alpha=-1.1 at low redshift to alpha=-1.5 at z=0.5. Using [OII] emission as
an indicator of star formation activity, we show that the LF of quiescent
galaxies has remained largely unchanged since z=0.5, whereas the luminosity
density of star-forming galaxies has declined by nearly a factor of 2. The
steepening of the overall LF with lookback time is a direct consequence of the
increasing space density of blue star-forming galaxies at moderate redshifts.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 05:09:51 GMT""},{""version"":""v2"",""created"":""Tue, 12 Dec 1995 22:19:35 GMT""},{""version"":""v3"",""created"":""Fri, 15 Dec 1995 08:47:33 GMT""}]","2015-06-24"
"astro-ph/9512058","Ann Zabludoff","A.I. Zabludoff (OCIW), D. Zaritsky (UCSC/Lick), H. Lin (UToronto), D.
  Tucker (Potsdam), Y. Hashimoto (Yale), S.A. Shectman (OCIW), A. Oemler
  (Yale), and R.P. Kirshner (CfA)","The Environment of ``E+A'' Galaxies","39 uuencoded, compressed pages (except Fig 1), complete preprint at
  ftp://ociw.edu/pub/aiz/eplusa.ps, ApJ, submitted","Astrophys.J.466:104-113,1996","10.1086/177495",,"astro-ph",,"  The violent star formation history of ``E+A'' galaxies and their detection
almost exclusively in distant clusters is frequently used to link them to the
``Butcher-Oemler effect'' and to argue that cluster environment influences
galaxy evolution. From 11113 spectra in the Las Campanas Redshift Survey, we
have obtained a unique sample of 21 nearby ``E+A"" galaxies. Surprisingly, a
large fraction (about 75%) of these ``E+A''s lie in the field. Therefore,
interactions with the cluster environment, in the form of the ICM or cluster
potential, are not essential for ``E+A'' formation. If one mechanism is
responsible for ``E+A''s, their existence in the field and the tidal features
in at least 5 of the 21 argue that galaxy-galaxy interactions and mergers are
that mechanism. The most likely environments for such interactions are poor
groups, which have lower velocity dispersions than clusters and higher galaxy
densities than the field. In hierarchical models, groups fall into clusters in
greater numbers at intermediate redshifts than they do today. Thus, the
Butcher-Oemler effect may reflect the typical evolution of galaxies in groups
and in the field rather than the influence of clusters on star formation in
galaxies. This abstract is abridged.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 03:06:28 GMT""}]","2009-05-29"
"astro-ph/9512059","Karen Leighly","K. M. Leighly (RIKEN), M. Dietrich (Landessternwarte Heidelberg), E.
  Waltman (NRL), R. Edelson (University of Iowa), I. George (USRA/NASA/GSFC),
  M. Malkan (University of California), M. Matsuoka (RIKEN), R. Mushotzky
  (NASA/GSFC), B. M. Peterson (Ohio State University)","Results from Monitoring the Broad-Line Radio Galaxy 3C 390.3","2 pages, postscript, to appear in Proc. of ""Roentgenstrahlung from
  the Universe"", 25-29 Sep 1995, Wuerzburg, Germany (MPE Report)",,,,"astro-ph",,"  During 1995, the broad-line radio galaxy 3C 390.3 is the subject of a
multi-wavelength monitoring campaign comprised of ROSAT HRI, IUE, and ground
based optical, infrared and radio observations. We report preliminary results
from the monitoring campaign focusing on the X-ray observations. Snapshot ROSAT
observations being made every three days show large amplitude variability. The
light curve is dominated by a flare near JD 2449800 characterized by a doubling
time scale of 9 days and a general increase in flux after the flare. The
optical R and I band light curves show a general increase in flux. The ASCA
spectra obtained before and after the flare can be described by an absorbed
power law. Spectral variability between the two observations is characterized
by an increase in power law index by $\Delta\Gamma \sim 0.08$ at higher flux.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 10:46:41 GMT""}]","2007-05-23"
"astro-ph/9512060","Robert Braun","Robert Braun (NFRA)","The Square Kilometer Array Interferometer","13 page LaTeX requires crckapb.sty and psfig.sty, 7 compressed and
  tarred postscript figures (560kB) available at
  ftp://ftp.nfra.nl/pub/outgoing/rbraun/skai/figs.tar.Z Complete compressed
  postscript paper (615kB) available at
  ftp://ftp.nfra.nl/pub/outgoing/rbraun/skai/paper.ps.Z To appear in ""The
  Westerbork Synthesis Telescope, It's 25th Anniversary and Beyond"" Eds.
  E.Raimond and R.Genee (Kluwer, Dordrecht)",,"10.1007/978-94-009-1734-7_9","NFRA 95-401","astro-ph",,"  The scientific motivation is reviewed for a next generation radio observatory
operating at frequencies between about 200 MHz and 2 GHz with about 2 orders of
magnitude greater sensitivity than that which is currently available, together
with sub-arcsecond angular resolution. Instrumental concepts for the telescope
are discussed, highlighting the role of mass produced receiver elements and
digital electronics in increasing cost-effectiveness while actively reducing
the instrument's sensitivity to radio frequency interference.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 10:48:38 GMT""}]","2016-11-03"
"astro-ph/9512061","Liu Fu Kun","F.K. Liu (International School for Advanced Studies, Trieste, Italy)","Polytropic gas spheres: An approximate analytic solution of the
  Lane-Emden equation","16 pages, plain tex file, five figures","Mon.Not.Roy.Astron.Soc. 281 (1996) 1197","10.1093/mnras/281.4.1197","Ref. SISSA 159/95/A","astro-ph",,"  Polytropic models play a very important role in galactic dynamics and in the
theory of stellar structure and evolution. However, in general, the solution of
the Lane-Emden equation can not be given analytically but only numerically. In
the Lane-Emden equation can not be given analytically but only numerically. In
this paper we give a very good and simple analytic approximate solution of the
Lane-Emden equation. This approximation is very good for any finite polytropic
index $n$ and for the isothermal case (n equals infinity) at a level $<1\%$. We
also give analytic expressions of the mass, pressure, temperature, and
potential energy as a function of radius.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 13:14:54 GMT""}]","2015-06-24"
"chem-ph/9512004",,"Anders Irb\""ack, Carsten Peterson and Frank Potthast","Evidence for Non-Random Hydrophobicity Structures in Protein Chains","16 pages, 8 Postscript figures. Minor changes, references added","Proc. Natl. Acad. Sci. USA 93 (1996) 9533-9538","10.1073/pnas.93.18.9533","LU TP 95-31","chem-ph cond-mat hep-lat physics.chem-ph",,"  The question of whether proteins originate from random sequences of amino
acids is addressed. A statistical analysis is performed in terms of blocked and
random walk values formed by binary hydrophobic assignments of the amino acids
along the protein chains. Theoretical expectations of these variables from
random distributions of hydrophobicities are compared with those obtained from
functional proteins. The results, which are based upon proteins in the
SWISS-PROT data base, convincingly show that the amino acid sequences in
proteins differ from what is expected from random sequences in a statistical
significant way. By performing Fourier transforms on the random walks one
obtains additional evidence for non-randomness of the distributions.
  We have also analyzed results from a synthetic model containing only two
amino-acid types, hydrophobic and hydrophilic. With reasonable criteria on good
folding properties in terms of thermodynamical and kinetic behavior, sequences
that fold well are isolated. Performing the same statistical analysis on the
sequences that fold well indicates similar deviations from randomness as for
the functional proteins. The deviations from randomness can be interpreted as
originating from anticorrelations in terms of an Ising spin model for the
hydrophobicities.
  Our results, which differ from previous investigations using other methods,
might have impact on how permissive with respect to sequence specificity the
protein folding process is -- only sequences with non-random hydrophobicity
distributions fold well. Other distributions give rise to energy landscapes
with poor folding properties and hence did not survive the evolution.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 14:10:41 GMT""},{""version"":""v2"",""created"":""Tue, 15 Oct 1996 07:04:37 GMT""}]","2009-10-28"
"cond-mat/9512068","S. M. Bhattacharjee","Somendra M. Bhattacharjee and Sutapa Mukherji","Polymers with Randomness: Phases and Phase Transitions","Invited talk at StatPhys, Calcutta 1995, to appear in Physica A;
  REVTEX, 2 figures on request (email: sb@iopb.ernet.in)",,"10.1016/0378-4371(95)00324-X",,"cond-mat",,"  We discuss various aspects of the randomly interacting directed polymers with
emphasis on the phases and phase transition. We also discuss the behaviour of
overlaps of directed paths in a random medium.
","[{""version"":""v1"",""created"":""Sun, 10 Dec 1995 22:25:42 GMT""}]","2015-06-25"
"cond-mat/9512069","Hinrichsen Haye","Uri Alon, Martin Evans, Haye Hinrichsen and David Mukamel","Roughening Transition in a One-Dimensional Growth Process","4 pages, 3 Postscript figures, 1 Postscript formula, uses RevTeX","Phys. Rev. Lett. 76 (1996) 2746","10.1103/PhysRevLett.76.2746",,"cond-mat",,"  A class of nonequilibrium models with short-range interactions and sequential
updates is presented. The models describe one dimensional growth processes
which display a roughening transition between a smooth and a rough phase. This
transition is accompanied by spontaneous symmetry breaking, which is described
by an order parameter whose dynamics is non-conserving. Some aspects of models
in this class are related to directed percolation in 1+1 dimensions, although
unlike directed percolation the models have no absorbing states. Scaling
relations are derived and compared with Monte Carlo simulations.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 05:44:21 GMT""}]","2009-10-28"
"cond-mat/9512070","Jian-Sheng Wang","Chee Kwan Gan and Jian-Sheng Wang (National University of Singapore)","An algorithm for series expansions based on hierarchical rate equations","LaTeX, 9 pages including 1 figure",,"10.1088/0305-4470/29/8/001","JSW-951211","cond-mat",,"  We propose a computational method to obtain series expansions in powers of
time for general dynamical systems described by a set of hierarchical rate
equations. The method is generally applicable to problems in both equilibrium
and nonequilibrium statistical mechanics such as random sequential adsorption,
diffusion-reaction dynamics, and Ising dynamics. New result of random
sequential adsorption of dimers on a square lattice is presented.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 06:12:04 GMT""}]","2009-10-28"
