"alg-geom/9512009",,"Takesi Kawasaki","On Macaulayfication of certain quasi-projective schemes","AMSLaTeX v 1.1 with amsart.sty, amscd.sty, 25 pages",,,,"alg-geom math.AC math.AG",,"  The notion of Macaulayfication, which is analogous of the desingularization,
was introduced by Faltings in 1978 and he construct a Macaulayfication of
quasi-projective scheme whose non-Cohen-Macaulay locus is of dimension 0 or 1
by a characteristic free method. In this paper, we gave a Macaulayfication of a
quasi-projective scheme whose non-Cohen-Macaulay locus is of dimension 2. Of
course out method is independent of the characteristic.
","[{""version"":""v1"",""created"":""Thu, 14 Dec 1995 04:45:18 GMT""}]","2015-06-30"
"alg-geom/9512010","Subhashis Nag","Subhashis Nag (Institute of Mathematical Sciences)","Mathematics in and out of String Theory","37 pages, LATEX",,,"imsc/95/32","alg-geom hep-th math.AG",,"  We first give an exposition of how the Polyakov path integral for the bosonic
string produces a natural mapping class group invariant measure, $d(Poly)$, on
the Teichm\""uller space of Riemann surfaces of each fixed genus. The
description of $d(Poly)$ via the Mumford isomorphisms for determinant bundles
over Teichm\""uller space is also explained. We then report on our recent
results with I.Biswas and D.Sullivan, where we succeed in coherently fitting
together this Polyakov-Mumford construction over the universal direct limit,
$T_\infty$, of all the finite genus Teichm\""uller spaces. The virtual
automorphism group of the fundamental group of a compact surface (of arbitrary
genus $g > 1$) acts by automorphisms on $T_\infty$ as the ``commensurability
mapping class group''. Our entire construction is equivariant with respect to
this new modular group.
","[{""version"":""v1"",""created"":""Thu, 14 Dec 1995 10:18:01 GMT""},{""version"":""v2"",""created"":""Fri, 15 Dec 1995 10:40:18 GMT""}]","2008-02-03"
"astro-ph/9512087","Ray Carlberg","R.G. Carlberg, H.K.C. Yee and E.Ellingson","The Average Mass-to-Light Profile of Galaxy Clusters","revised version accepted for publication in the ApJ, April 1, 1997
  Also available at http://manaslu.astro.utoronto.ca/~carlberg/cnoc/profile","Astrophys.J. 478 (1997) 462","10.1086/303805",,"astro-ph",,"  The systematic errors in the virial mass-to-light ratio, M_v/L, of galaxy
clusters as an estimator of the field M/L value are assessed. We overlay 14
clusters in redshift space to create an ensemble cluster which averages over
substructure and asymmetries. The combined sample, including background,
contains about 1150 galaxies, extending to a projected radius of about twice
r_200. The radius r_200, defined as where the mean interior density is 200
times the critical density, is expected to contain the bulk of the virialized
cluster mass. The dynamically derived M(r_200)/L(r_200) of the ensemble is
0.82+/-0.14 <M_v/L>. The M_v/L overestimate is attributed to not taking into
account the surface pressure term in the virial equation. Under the assumption
that the velocity anisotropy parameter is in the range 0<=\beta<=2/3, the
galaxy distribution accurately traces the mass profile beyond about the central
0.3r_200. There are no color or luminosity gradients in the galaxy population
beyond 2r_200, but there is 0.11+/-0.05 mag fading in the r band luminosities
between the field and cluster galaxies. We correct the cluster virial
mass-to-light ratio, M_v/L=289+/-50 h\msun/\lsun (calculated assuming q_0=0.1),
for the biases in M_v and mean luminosity to estimate the field M/L=213+/-59
h\msun/\lsun. With our self-consistently derived field luminosity density,
j/\rho_c=1136+/-138 h\msun/\lsun (at z~1/3), the corrected M/L indicates
\Omega_0=0.19+/-0.06+/-0.04 (formal 1\sigma random error and estimated
potential systematic errors).
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 16:15:45 GMT""},{""version"":""v2"",""created"":""Wed, 4 Dec 1996 00:26:46 GMT""}]","2009-10-28"
"astro-ph/9512088","Carlton M. Baugh","C.S. Frenk, C.M. Baugh, S. Cole (Durham Univ., U.K.)","Galaxy formation and evolution: what to expect from hierarchical
  clustering models","11 pages, 6 postscript figures included; Figure 1 omitted. To appear
  in proceedings ``Mapping, Measuring and Modelling the Universe'', Valenica
  1995","IAU Symp.171:247,1996",,,"astro-ph",,"  We give a brief review of current theoretical work in galaxy formation.
Recent results from N-body and N-body/hydrodynamic simulations, and from
semianalytic modelling are discussed. We present updated versions of some
figures from Cole et al (1994). In particular, we show the effect of using the
revised stellar population synthesis model of Bruzual and Charlot, which
results in a much better match to the observed colour distribution of galaxies
than before. We also compare the model output with recently available data on
the galaxy luminosity function and the redshift distribution of galaxies in the
B and K bands. The form of the Tully-Fisher relation at high redshift predicted
by our semi-analytic scheme for galaxy formation is given.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 16:13:45 GMT""}]","2011-04-15"
"astro-ph/9512089","Fred Rasio","Frederic A. Rasio (MIT)","Hydrodynamic Instabilities in Close Binary Systems","uuencoded compressed postscript, 20 pages including figures. To
  appear in Evolutionary Processes in Binary Stars (NATO ASI), eds. R. Wijers
  et al. (Dordrecht: Kluwer). Also available from http://ensor.mit.edu/~rasio",,,,"astro-ph",,"  Equilibrium fluid configurations for close binary systems can become {\em
globally unstable\/}. Instabilities arise from the strong tidal interaction
between the two components, which tends to make the effective two-body
potential governing the orbital motion steeper than $1/r$. As a result, a
circular orbit can become unstable to small radial perturbations. The
instability can be either secular or dynamical. In both cases it leads to the
coalescence and merging of the two components on a timescale generally much
shorter than the lifetime of a stable system. Binary coalescence is relevant to
a wide variety of astrophysical problems including the formation of blue
stragglers, Type~Ia supernovae, the evolution of massive X-ray binaries, and
the detection of gravitational waves.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 18:21:31 GMT""}]","2007-05-23"
"astro-ph/9512090","Mark Dickinson","Mark Dickinson (STScI), Arjun Dey (UC Berkeley/IGPP), and Hyron
  Spinrad (UC Berkeley)","What is 3C 324?","9 pages, uuencoded gzipped postscript. To appear in ``Galaxies in the
  Young Universe,'' ed. H. Hippelein, Springer Verlag. Revised version
  (hopefully) corrects postscript error which garbled the last page",,"10.1007/BFb0102374",,"astro-ph",,"  We report ground based and HST observations of the z=1.206 radio galaxy 3C
324, a prototypical example of the radio-optical ``alignment effect.'' While
infrared images shows a simple, round object reminiscent of a giant elliptical
galaxy, the HST images reveal a spectacular, linear chain of UV-bright
subcomponents closely aligned with the radio axis. In light of the available
data, we consider various scenarios to explain the properties of 3C 324, as
well as evidence for the presence of dust which may obscure the central active
nucleus and scatter its light to produce the polarized, aligned continuum seen
in the rest-frame UV.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 20:46:30 GMT""},{""version"":""v2"",""created"":""Tue, 19 Dec 1995 19:54:21 GMT""}]","2015-06-24"
"astro-ph/9512091","Eliot J. Quataert","Pawan Kumar, Eliot Quataert (MIT), and John N. Bahcall (IAS)","Observational Searches for Solar g-modes: Some Theoretical
  Considerations","uuencoded postscript file with 1 uuencoded postscript figure to
  appear in ApJ Letters","Astrophys.J. 458 (1996) L83-L85","10.1086/309926","CSR-95-20","astro-ph",,"  We argue that the solar g-modes are unlikely to have caused the discrete
peaks in the power spectrum of the solar wind flux observed by Thomson et al.
(1995). The lower limit to the energy of individual g-modes, using the
amplitudes given by Thomson et al., is estimated to be at least 10$^{36}$ erg
for low order g-modes; the resulting surface velocity amplitude is at least 50
cm s$^{-1}$, larger than the observational upper limit (5 cm s$^{-1}$).
  We suggest that the most likely source for the excitation of solar g-modes is
turbulent stresses in the convection zone. The surface velocity amplitude of
low degree and low order g-modes resulting from this process is estimated to be
of order 10$^{-2}$ cm s$^{-1}$. This amplitude is interestingly close to the
detection threshold of the SOHO satellite. The long lifetime of g-modes ($\sim
10^6$ years for low order modes) should be helpful in detecting these small
amplitude pulsations.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 21:03:07 GMT""}]","2016-08-30"
"astro-ph/9512092",,"Heino Falcke, Peter L. Biermann","The missing x-rays in Sgr A*: evidence for - not against - a
  supermassive black hole","to appear in ``Jets from Stars and Galactic Nuclei'', Springer
  Lecture Notes, plain TeX, 4 pages, also at
  http://www.astro.umd.edu/~hfalcke/publications.html",,,"12/1995a","astro-ph",,"  We present a simple argument that the missing x-ray flux from the Galactic
Center source Sgr~A* ist not evidence {\it against} -- as claimed by Goldwurm
et al. 1994 -- but rather indirect evidence {\it for} the presence of a
supermassive black hole. The radio spectrum provides a strict {\it lower} limit
for the size of Sgr~A* ($R>3\cdot 10^{11}$cm). A more compact source would be
completely synchrotron self-absorbed. This size is $10^6$ times larger than a
stellar-mass black hole, yet the bolometric radio luminosity is comparable to
or even larger than the x-ray luminosity where matter accreting onto a {\it
stellar-mass} black hole would inevitably radiate the {\it bulk} of its
luminosity. Hence, either the bulk of the accretion power is radiated in the UV
(where the limits are higher), or the accretion has to stop at the radio-scale
to avoid producing x-rays brighter than the radio emission. Both would be a
natural consequence of a supermasive black hole with $\sim10^6M_{\sun}$.
","[{""version"":""v1"",""created"":""Thu, 14 Dec 1995 00:27:13 GMT""}]","2007-05-23"
"astro-ph/9512093",,"Heino Falcke","Black Hole, Jet, and Disk: The Universal Engine","to appear in ``Jets from Stars and Galactic Nuclei'', Springer
  Lecture Notes, plain TeX, 16 pages, also at
  http://www.astro.umd.edu/~hfalcke/publications.html",,"10.1007/BFb0102593","12/1995b","astro-ph",,"  In this paper I review the results of our ongoing project to investigate the
coupling between accretion disk and radio jet in galactic nuclei and stellar
mass black holes. We find a good correlation between the UV bump luminosity and
the radio luminosities of AGN, which improves upon the usual [OIII]/radio
correlations. Taking mass and energy conservation in the jet/disk system into
account we can successfully model the correlation for radio-loud and radio-weak
quasars. We find that jets are comparable in power to the accretion disk
luminosity, and the difference between radio-loud and radio-weak may correspond
to two natural stages of the relativistic electron distribution -- assuming
that radio weak quasars have jets as well. The distribution of flat- and
steep-spectrum sources is explained by bulk Lorentz factors gamma_j ~ 5-10. The
absence of radio-loud quasars below a critical optical luminosity coincides
with the FR I/FR II break and could be explained by a powerdependent,
``closing'' torus. This points towards a different type of obscuring torus in
radio-loud host galaxies which might be a consequence of past mergers (e.g. by
the temporary formation of a binary black-hole). Interaction of the jet with
the closing torus might in principle also help to make a jet radio-loud.
Turning to stellar-mass black holes we find that galactic jet sources can be
described with the same coupled jet/disk model as AGN which is suggestive of
some kind of universal coupling between jet and accretion disk around compact
objects.
","[{""version"":""v1"",""created"":""Thu, 14 Dec 1995 00:37:21 GMT""}]","2015-06-24"
"astro-ph/9512094","Gordon Squires","Gordon Squires and Nick Kaiser","Unbiased Cluster Lens Reconstruction","37 pages, latex, figures included","Astrophys.J. 473 (1996) 65","10.1086/178127","CfPA 95-th-35","astro-ph",,"  Weak lensing observations measure the shear field and hence the gradient of
the dimensionless surface density $\kappa$. We present several new algorithms
to recover $\kappa$ {}from shear estimates on a finite region and compare how
they perform with realistically noisy data. The reconstruction methods studied
here are divided into 2 classes: direct reconstruction and regularized
inversion. Direct reconstruction techniques express $\kappa$ as a 2D integral
of the shear field. This yields an estimator for $\kappa$ as a discrete sum
over background galaxy ellipticities which is straightforward to implement, and
allows a simple estimate of the noise. We study 3 types of direct
reconstruction methods: 1) $\kappa$-estimators that measure the surface density
at any given target point relative to the mean value in a reference region 2) a
method that explicitly attempts to minimize the rotational part of $\nabla
\kappa$ that is due to noise and 3) a novel, exact Fourier-space inverse
gradient operator. We also develop two `regularized maximum likelihood'
methods, one of which employs the conventional discrete Laplacian operator as a
regularizer and the other uses regularization of all components in Fourier
space. We compare the performance of all the estimators by means of simulations
and noise power analysis. A general feature of these unbiased methods is an
enhancement of the low frequency power which, for some of the methods, can be
quite severe. We find the best performance is provided by the maximum
likelihood method with Fourier space regularization although some of the other
methods perform almost as well.
","[{""version"":""v1"",""created"":""Thu, 14 Dec 1995 01:34:01 GMT""}]","2009-10-28"
"astro-ph/9512095",,"Xue-Bing Wu, Qi-Bin Li (Beijing Astronomical Observatory, Chinese
  Academy of Sciences)","The Local Stability of Accretion Disks with Advection","19 pages, LaTeX file. 12 figures are available upon a request to
  wuxb@yac.bao.ac.cn. Submitted to ApJ",,"10.1086/177825",,"astro-ph",,"  The local stability of accretion disks with advection is studied together
with the considerations of radial viscous force and thermal diffusion. For a
geometrically thin, radiative cooling dominated disk, the thermal diffusion has
nearly no effects on the thermal and viscous modes. The including of thermal
diffusion, however, tends to stabilize the acoustic modes which, if without
advection, are unstable if the disk is optically thick, radiation pressure
dominated or optically thin, and are stable if the disk is optically thick, gas
pressure dominated. The including of very little advection has significant
effects on two acoustic modes. Independent on the optical depth, the
instability of the outward propagating mode (O-mode) is enhanced and that of
the inward propagating mode (I-mode) is damped if the disk is gas pressure
dominated, while the instability of O-mode is damped and that of I-mode is
enhanced if the disk is radiation pressure dominated. For a geometrically slim,
advection-dominated disk, both the thermal and viscous modes, as well as
I-mode, are always stable if the disk is optically thin. The including of
thermal diffusion tends to make these modes more stable. However, the O-mode
can become unstable when $q/m$ is very large ($q$ is the ratio of advective to
viscous dissipated energy and $m$ the Mach number), even if the thermal
diffusion is considered. On the other hand, if the advection-dominated disk is
optically thick, we found there is no self-consistent acoustic modes in our
local analyses. The thermal diffusion has no effect on the stable viscous mode
but has a significant contribution to enhance the thermal instability.
","[{""version"":""v1"",""created"":""Thu, 14 Dec 1995 11:22:22 GMT""}]","2009-10-28"
