"alg-geom/9512012","Fernando Torres","Fernando Torres","Remarks on numerical semigroups","Latex2e, ICTP preprint",,,,"alg-geom math.AG",,"  We extend results on Weierstrass semigroups at ramified points of double
covering of curves to any numerical semigroup whose genus is large enough. As
an application we strengthen the properties concerning Weierstrass weights in
\cited{To}.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 06:21:54 GMT""}]","2008-02-03"
"astro-ph/9512117","Wayne Landsman","Wayne Landsman (Hughes STX), Theodore Simon (U. of Hawaii), Pierre
  Bergeron (U. de Montreal)","The White Dwarf Companions of 56 Per and HR 3643","12 pages, 5 Postscript figures, uses aaspp4.sty","To be published in PASP (March 1996)","10.1086/133718",,"astro-ph",,"  We have obtained low-dispersion IUE spectra of the stars 56 Persei (F4 V) and
HR 3643 (F7 II), as part of a survey of late-type stars with a 1565 A flux
excess in the TD-1 ultraviolet sky survey. The IUE spectrum of each star
reveals the presence of a hot white dwarf companion. We fit the Ly alpha
profile and ultraviolet continuum using pure hydrogen models, but the distance
of the primary star is also needed to uniquely constrain the white dwarf
parameters. We derive Teff = 16,420 +- 420 K, logg = 8.46 +- 0.2 for the white
dwarf companion to 56 Per, using the photometric distance of 30.1 +- 2.8 pc.
The implied white dwarf mass is 0.90 +- 0.12 Msun, considerably above the
median mass (~0.6 Msun) of single white dwarfs. The parameters of the white
dwarf in HR 3643 are not well constrained, mainly due to a large uncertainty in
the distance. By assuming a reasonable range of gravity for the white dwarf
(7.3 < log g < 9.0), we derive -1.4 < Mv < 0.6 for the F7 II star, and 28,970 <
Teff < 35,990 K for the white dwarf. Prompted by our detection of a white dwarf
companion of a luminous F star, we have examined the IUE archives to assess the
upper limits on possible white dwarf companions to Cepheids. The detection of a
Cepheid -- white dwarf binary would provide important insights concerning the
most massive progenitors of white dwarfs. Only for the cases of Alp UMi and
Beta Dor are existing IUE spectra of Cepheids sufficiently deep to rule out the
presence of a white dwarf companion.
","[{""version"":""v1"",""created"":""Mon, 18 Dec 1995 20:16:28 GMT""}]","2009-10-28"
"astro-ph/9512118","Matthias Steinmetz","Martin Haehnelt (MPA), Matthias Steinmetz (MPA) and Michael Rauch
  (Caltech)","CIV Absorption From Galaxies in the Process of Formation","13 pages, uuencoded postscript file, 4 figures included submitted to
  ApJ (Letters); complete version also available at
  http://www.mpa-garching.mpg.de/Galaxien/prep.html",,"10.1086/310156","MPA 910","astro-ph",,"  We investigate the heavy element QSO absorption systems caused by gas
condensations at high redshift which evolve into galaxies with circular
velocity of 100 to 200 km/s at the present epoch. Artificial QSO spectra were
generated for a variety of lines-of-sight through regions of the universe
simulated with a hydrodynamics code. The CIV and HI absorption features in
these spectra closely resemble observed CIV and HI absorption systems over a
wide range in column density. CIV absorption complexes with multiple-component
structure and velocity spreads up to about 600 km/s are found. The broadest
systems are caused by lines-of-sight passing through groups of protogalactic
clumps with individual velocity dispersions of less than 150 km/s aligned along
filamentary structures. The temperature of most of the gas does not take the
photoionization equilibrium value. This invalidates density and size estimates
derived from thermal equilibrium models. Consequences for metal abundance
determinations are briefly discussed. We predict occasional exceptionally large
ratios of CIV to HI column density (up to a third) for lines-of-sight passing
through compact halos of hot gas with temperature close to 3 10^5 K. Our model
may be able to explain both high-ionization multi-component heavy-element
absorbers and damped Lyman alpha systems as groups of small protogalactic
clumps.
","[{""version"":""v1"",""created"":""Mon, 18 Dec 1995 21:11:10 GMT""}]","2009-10-28"
"astro-ph/9512119","Jean M. Quashnock","Jean M. Quashnock (Department of Astronomy and Astrophysics,
  University of Chicago)","A Constraint on the Distance Scale to Cosmological Gamma--Ray Bursts","5 LaTeX pages with 1 Postscript figure included using psfig.sty, uses
  revtex.sty, aps.sty and aipbook.sty available at ftp://aps.org/ or
  http://aps.org/ , to appear in Proc. 3rd Huntsville Gamma--Ray Burst
  Symposium, eds. C. Kouveliotou, M.S. Briggs and G.J. Fishman, (New York:AIP)",,,,"astro-ph",,"  If gamma-ray bursts have a cosmological origin, the sources are expected to
trace the large-scale structure of luminous matter in the universe. I use a new
likelihood method that compares the counts-in-cells distribution of gamma-ray
bursts in the BATSE 3B catalog with that expected from the known large-scale
structure of the universe, in order to place a constraint on the distance scale
to cosmological bursts. I find, at the 95% confidence level, that the comoving
distance to the ``edge'' of the burst distribution is greater than 630 $h^{-1}$
Mpc (z > 0.25), and that the nearest burst is farther than 40 $h^{-1}$ Mpc. The
median distance to the nearest burst is 170 $h^{-1}$ Mpc, implying that the
total energy released in gamma-rays during a burst event is of order $3 \times
10^{51}~h^{-2}$ erg. None of the bursts that have been observed by BATSE are in
nearby galaxies, nor is a signature from the Coma cluster or the ``Great Wall''
likely to be seen in the data at present.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 00:05:24 GMT""}]","2007-05-23"
"astro-ph/9512120","Achim Weiss","Achim Weiss (Max-Planck-Institut f. Astrophysik, Garching, Germany)
  Josef Wagenhuber (Max-Planck-Institut f. Astrophysik, Garching, Germany),
  Pavel A. Denissenkov (Max-Planck-Institut f. Astrophysik, Garching, Germany
  and St. Petersburg University, Russia)","3He in stars of low and intermediate mass","15 pages; submitted to Astronomy & Astrophysics","Astron.Astrophys.313:581-590,1996",,"MPA 905","astro-ph",,"  We follow the evolution of 3He in stars of mass 0.8 -- 10 M (solar units) for
Pop. I and II compositions from the main sequence until advanced stages on the
AGB. Under standard assumptions we confirm earlier results of more restricted
investigations that low-mass stars up to 5 M are net producers of 3He. We show
that the inclusion of additional mixing due to diffusion beneath the convective
envelope simultaneously leads to observed carbon isotope anomalies observed in
globular cluster Red Giants and to a strong reduction of 3He, such that stars
exhibiting such anomalies will have destroyed 3He contrary to the standard
picture.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 08:01:31 GMT""}]","2011-05-23"
"astro-ph/9512121","Dr A. Boothroyd","Arnold I. Boothroyd (Monash/Caltech), I.-Juliana Sackmann (Caltech)","The CNO Isotopes: Deep Circulation in Red Giants and First and Second
  Dredge-up","ApJ, submitted; 36 pages, including 13 postscript figures (LaTeX,
  uses AASTeX macros in aaspp4.sty and epsf.sty). Major revisions, new results
  and figures. See also astro-ph/9512122, http://www.krl.caltech.edu/~aib/",,,,"astro-ph",,"  It is demonstrated that deep circulation mixing below the base of the
standard convective envelope, and the consequent ""cool bottom processing"" (CBP)
of the CNO isotopes, can reproduce the trend with stellar mass of the C-12/C-13
observations in low mass red giants. (This trend is opposite to what is
expected from standard first dredge-up.) Our models assume that extra mixing
always reaches to the same distance in temperature from the H-burning shell,
and that CBP begins when the H-burning shell erases the molecular weight
discontinuity (""mu-barrier"") established by first dredge-up. For Pop I stars,
none of the other CNO isotopes except N-15 are expected to be altered by CBP.
(If O-18 depletion occurs on the AGB, as some observations suggest, it would
require that extra mixing reach closer to the H-burning shell on the AGB than
on the RGB --- and should also result in a much lower C-12/C-13 ratio than is
observed.) CBP increases as one reduces the stellar mass or metallicity ---
roughly as 1/M^2 on the RGB, due to the longer RGB of low mass stars, and as
1/Z, due to higher H-shell burning temperatures at low metallicity. In low mass
Pop II stars, all the CNO isotopes are expected to be altered by CBP. Field Pop
II stars exhibit RGB abundances consistent with the predictions of our CBP
models that have been normalized to reproduce the Pop I RGB abundances, but
globular cluster stars are observed to encounter much more extensive
processing; also, CBP is observed to start near the base of the globular
cluster RGB (overcoming any ""mu-barrier"").
  Standard first and second dredge-up are also presented, and enrichment of the
interstellar medium, relative to SN. For light elements, see astro-ph/9512122.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 10:34:21 GMT""},{""version"":""v2"",""created"":""Tue, 16 Jun 1998 22:01:00 GMT""}]","2008-02-03"
"astro-ph/9512122","Dr A. Boothroyd","I.-Juliana Sackmann (Caltech), Arnold I. Boothroyd (Monash/Caltech)","Creation of Li-7 and Destruction of He-3, Be-9, B-10, and B-11 in Low
  Mass Red Giants, Due to Deep Circulation","ApJ, in press; 30 pages including 16 postscript figures (LaTeX, uses
  AASTeX macros in aaspp4.sty and epsf.sty). Extensive revisions, some added
  figures. See also astro-ph/9512121, http://www.krl.caltech.edu/~aib/",,,,"astro-ph",,"  It has been demonstrated that Li-7 can be created in low mass red giant
stars, via the Cameron-Fowler mechanism, due to extra deep mixing and the
associated ""cool bottom processing"" (CBP). Under certain conditions, this Li-7
creation can take the place of the Li-7 destruction normally expected. Note
that such extra mixing on the red giant branch (RGB) has previously been
invoked to explain the observed C-13 enhancements. This new Li-7 production can
account for the recent discovery of surprisingly high lithium abundances in
some low mass red giants (a few of which are super-rich lithium stars, with
abundances higher than that in the interstellar medium). The amount of Li-7
produced can exceed log epsilon(Li-7) = 4, but depends critically on the
details of the extra mixing mechanism (mixing speeds, geometry, episodicity).
If the deep circulation is a relatively long-lived, continuous process,
lithium-rich RGB stars should be completely devoid of beryllium and boron. CBP
also leads to He-3 destruction in low mass stars; in contrast to Li-7 creation,
the extent of He-3 depletion is largely independent of the details of the extra
mixing mechanism. The overall contribution from solar-metallicity stars (1 - 40
Msun) is expected to be net destruction of He-3, with overall He-3 survival
fraction g_3 = 0.9 +/- 0.2 (weighted average) --- in contrast to standard
dredge-up, which would predict stars are net producers of He-3 (g_3:dr = 2.4
+/- 0.5). Pop II stars experience even more severe He-3 depletion, with 0.3 <
g_3 < 0.7. Destruction of He-3 in low mass stars is consistent with the
requirements of galactic chemical evolution models; it would also result in
some relaxation of the upper bound on the primordial (D + He-3)/H abundance.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 10:45:49 GMT""},{""version"":""v2"",""created"":""Tue, 16 Jun 1998 21:53:35 GMT""}]","2008-02-03"
"astro-ph/9512123","Guinevere Kauffmann","Guinevere Kauffmann (MPA,Garching)","Disk galaxies at Z=0 and at High Redshift: an explanation of the
  observed evolution of damped Ly-alpha systems","14 pages with 8 figs included, uuencoded postscript file, to appear
  in the Proceedings of the Workshop on Coldgas at High Redshift, Kluwer",,"10.1093/mnras/281.2.475",,"astro-ph",,"  The analysis of disk formation is based on the White & Rees (1978) picture,
in which disk galaxies form by continuous cooling and accretion of gas within a
merging hierarchy of dark matter halos. A simple Kennicutt law of star
formation for disks, based on a single- fluid gravitational instability model
is introduced. Since the gas supply in the disk is regulated by infall from the
surrounding halo, the gas is always maintained at a critical threshold surface
density. Chemical enrichment of the disks occurs when the surrounding hot halo
gas is enriched with heavy elements ejected during surpernova explosions. This
gas then cools onto the disk producing a new generation of metal-rich stars.
  I first show that models of this type can reproduce many of the observed
properties of a typical spiral galaxy like the Milky Way, including its gas and
stellar surface density profiles and the observed relationship between the ages
and metallicities of solar neighbourhood stars. I then use the models to make
inferences about the properties of disk galaxies at high redshift. The total
neutral hydrogen density Omega(HI) increases at higher z. The predicted
increase is mild, but is roughly consistent with the latest derivation of
Omega(HI) as a function of z by Storrie-Lombardi & MacMahon (1995). The models
are also able to account for some of the other trends other trends seen in the
high-redshift data, including the increase in the number of high column-density
systems at high redshift, as well as the metallicity distribution of damped
Lyman-alpha systems at redshifts 2-3.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 12:04:51 GMT""}]","2015-06-24"
"cmp-lg/9512003","Marilyn Walker","Marilyn A. Walker","Limited Attention and Discourse Structure","9 pages, uses twoside,cl,lingmacros",,,,"cmp-lg cs.CL",,"  This squib examines the role of limited attention in a theory of discourse
structure and proposes a model of attentional state that relates current
hierarchical theories of discourse structure to empirical evidence about human
discourse processing capabilities. First, I present examples that are not
predicted by Grosz and Sidner's stack model of attentional state. Then I
consider an alternative model of attentional state, the cache model, which
accounts for the examples, and which makes particular processing predictions.
Finally I suggest a number of ways that future research could distinguish the
predictions of the cache model and the stack model.
","[{""version"":""v1"",""created"":""Mon, 18 Dec 1995 20:16:59 GMT""},{""version"":""v2"",""created"":""Wed, 14 Aug 1996 21:26:07 GMT""}]","2008-02-03"
"cond-mat/9512130",,"Miguel A. Martin-Delgado, Javier Rodriguez-Laguna and German Sierra","The Correlated Block Renormalization Group","LATEX file, 18 pages, 7 figures available upon request","Nucl.Phys. B473 (1996) 685-706","10.1016/0550-3213(96)00197-6","UCM-CSIC-12-95","cond-mat hep-th",,"  We formulate the standard real-space renormalization group method in a way
which takes into account the correlation between blocks. This is achieved in a
dynamical way by means of operators which reflect the influence on a given
block of its neighbours. We illustrate our method in the example of the
tight-binding model in 1D and 2D for various types of boundary conditions.
","[{""version"":""v1"",""created"":""Mon, 18 Dec 1995 20:03:00 GMT""}]","2009-10-28"
"cond-mat/9512131",,"Dirk K. Morr, Andrey V. Chubukov, Arno P. Kampf and G. Blumberg","Raman scattering in a two-layer antiferromagnet","34 pages, Revtex file, 8 figures in a uuencoded, gziped tar file. The
  figures are also available upon request",,"10.1103/PhysRevB.54.3468",,"cond-mat",,"  Two--magnon Raman scattering is a useful tool to verify recent suggestions
concerning the value of the interplanar exchange constant in antiferromagnetic
two--layer systems, such as $YBa_2Cu_3O_{6+x}$. We present a theory for Raman
scattering in a two--layer antiferromagnet. We study the spectra for the
electronic and magnetic excitations across the charge transfer gap within the
one--band Hubbard model and derive the matrix elements for the Raman scattering
cross section in a diagrammatic formalism. We analyze the effect of the
interlayer exchange coupling $J_2$ for the Raman spectra in $A_{1g}$ and
$B_{1g}$ scattering geometries both in the non--resonant regime (when the
Loudon--Fleury model is valid), and at resonance. We show that within the
Loudon--Fleury approximation, a nonzero $J_2$ gives rise to a finite signal in
$A_{1g}$ scattering geometry. Both, in this approximation and at resonance, the
intensity in the $A_{1g}$ channel has a peak at {\it small} transferred
frequency equal to twice the gap in the spin--wave spectrum. We compare our
results with experiments in $YBa_2Cu_3O_{6.1}$ and $Sr_2CuO_2Cl_2$ compounds
and argue that the large value of $J_2$ suggested in a number of recent studies
is incompatible with Raman experiments in $A_{1g}$ geometry.
","[{""version"":""v1"",""created"":""Mon, 18 Dec 1995 21:22:02 GMT""}]","2009-10-28"
