"adap-org/9512002","Tsuyoshi Hondo","Tsuyoshi Hondou (Grad. Sch. Info. Sci., Tohoku University, Japan) and
  Yasuji Sawada (Res. Inst. Elec. Comm., Tohoku University, Japan)","Comment on ""White-Noise-Induced Transport in Periodic Structures""","2 pages (Latex); submitted to Europhys.Lett",,"10.1209/epl/i1996-00572-5",,"adap-org nlin.AO",,"  In the paper by J.\L uczka {\em et al.} ({\em Europhys. Lett.}, {\bf 31}
(1995) 431), the authors reported by rigorous calculation that an additive
Poissonian white shot noise can induce a macroscopic current of a dissipative
particle in a periodic potential -- even {\em in the absence} of spatial
asymmetry of the potential. We argue that their main result is an obvious one
caused by the spatially broken symmetry of a probability distribution of the
additive noise, unlike the similar result caused by chaotic noise which has a
symmetric probability distribution ({\em J.Phys.Soc.Jpn.}, {\bf 63} (1994)
2014).
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 11:30:05 GMT""},{""version"":""v2"",""created"":""Wed, 27 Dec 1995 07:44:30 GMT""}]","2009-10-28"
"astro-ph/9512145","Vladimir Pariev","Ya.N.Istomin, V.I.Pariev (Lebedev Physical Institute, Moscow)","Stability of a relativistic rotating electron-positron jet:
  nonaxisymmetric perturbations","22 LaTeX pages, standard LaTeX article style, accepted by Mon. Not.
  Roy. Astron. Soc","Mon.Not.Roy.Astron.Soc. 281 (1996) 1-26","10.1093/mnras/281.1.1",,"astro-ph",,"  We investigate the linear stability of a hydrodynamic relativistic flow of
magnetized plasma in the force--free approximation. We considered the case of
light cylindrical jet in cold and dense environment, so the jet boundary
remains at rest. Continuous and discrete spectra of frequencies are
investigated analytically. An infinite sequence of eigenfrequencies is found
near the edge of Alfv\'en continuum. Numerical calculations showed that modes
are stable and have attenuation increment $\gamma$ small. The dispersion curves
$\omega =\omega (k_\parallel )$ have a minimum for $k_{{\parallel}_0}\simeq
1/R$ ($R$ is the jet radius ). This results in accumulation of perturbations
inside the jet with wavelength of the order of the jet radius. The wave crests
of the perturbation pattern formed in such a way move along the jet with the
velocity exceeding light speed. If one has relativistic electrons emitting
synchrotron radiation inside the jet, than this pattern will be visible. This
provide us with the new type of superluminal source. If the jet is oriented
close to the line of sight, than the observer will see knots moving backward to
the core.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 1995 17:38:46 GMT""}]","2015-06-24"
"astro-ph/9512146","Dave Bennett","C. Alcock, R.A. Allsman, T.S. Axelrod, D.P. Bennett, K.H. Cook, K.C.
  Freeman, K. Griest, J. Guern, M.J. Lehner, S.L. Marshall, H.-S. Park, S.
  Perlmutter, B.A. Peterson, M.R. Pratt, P.J. Quinn, A.W. Rodgers, C.W. Stubbs,
  and W. Sutherland (The MACHO Collaboration)","The MACHO Project: 45 Candidate Microlensing Events from the First Year
  Galactic Bulge Data","31 pages, 11 figures, 2 tables; Tex file plus figures and tables in
  uuencoded, compressed, tared postscript files (Event lightcurves are
  included, but bitmapped at 100 dpi). Entire paper is available via anonymous
  ftp at ftp://igpp.llnl.gov/pub/macho/Bulge2/bulge2_all.uu, submitted to
  Astrophys. J",,"10.1086/303851",,"astro-ph",,"  We report the detection of 45 candidate microlensing events in fields toward
the Galactic bulge. These come from the analysis of 24 fields containing 12.6
million stars observed for 190 days in 1993. Many of these events are of
extremely high signal to noise and are remarkable examples of gravitational
microlensing. The distribution of peak magnifications is shown to be consistent
with the microlensing interpretation of these events. Using a sub-sample of 1.3
million ``Clump Giant"" stars whose distance and detection efficiency are well
known, we find 13 events and estimate the microlensing optical depth toward the
Galactic Bulge as $\tau_{\rm bulge} = 3.9 {+ 1.8 \atop - 1.2} \times 10^{-6}$
averaged over an area of $\sim 12$ square degrees centered at Galactic
coordinates $\ell = 2.55^\circ$ and $b = -3.64^\circ$. This is similar to the
value reported by the OGLE collaboration, and is marginally higher than current
theoretical models for $\tau_{\rm bulge}$. The optical depth is also seen to
increase significantly for decreasing $\vert b\vert$. These results demonstrate
that obtaining large numbers of microlensing events toward the Galactic bulge
is feasible, and that the study of such events will have important consequences
for the structure of the Galaxy and its dark halo.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 1995 23:32:02 GMT""}]","2009-10-28"
"astro-ph/9512147","Corinne Charbonel","C. Charbonnel (Laboratoire d'Astrophysique de Toulouse)","Destruction of 3He in Low Mass Stars and Implications for Chemical
  Evolution","Proceedings of the meeting ""From Stars to Galaxies"" Crete, 9-13
  oct.1995, C.Leitherer, U.Fritze-von Alvensleben, L.Hucra eds, PASP in press,
  5 pages, uuencoded, compressed Postscript file including all figures",,,,"astro-ph",,"  Recent observations of 3He/H in different environments tend to prove that 3He
is not produced in low mass stars, contrary to the standard predictions of
stellar evolution theory. We show how a simple consistent mechanism, namely
rotation-induced mixing, can lead to the destruction of 3He in low mass stars
and simultaneously account for the low 12C/13C ratios and low lithium
abundances observed in giant stars of different populations. This process
should both naturally account for the recent measurements of 3He/H in galactic
HII regions and allow for high values of 3He observed in some planetary
nebulae.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 10:10:54 GMT""}]","2007-05-23"
"astro-ph/9512148","Sugiyama Naoshi","Bharat Ratra, Anthony J. Banday, Krzysztof M. Gorski and Naoshi
  Sugiyama","CMB Anisotropy in COBE-DMR-Normalized Open CDM Cosmogony","9 pages including 2 figures, one table: two uuencoded postscript
  files","Astrophys.J. 481 (1997) 22-34","10.1086/304051","PUPT-1558, RESCEU-13, UTAP-215","astro-ph",,"  We compute the CMB anisotropy in an open inflation CDM model which is
normalized to the two-year DMR sky map. Presently available CMB data is
consistent with $\Omega_0 \sim 0.3 - 0.4$, but does not strongly disfavour
either $\Omega_0 \sim 0.1$ or $\Omega_0 \sim 1$. Accumulating CMB data should
strengthen the observational discriminative power, however, a better
understanding of systematic effects will be needed before it will be possible
to draw robust conclusions about model viability.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 12:14:49 GMT""}]","2009-10-28"
"astro-ph/9512149","Karl Mannheim","Karl Mannheim","Gamma Rays from Compact Objects","31 pages compressed and uuencoded postscript; Rev. Mod. Astr., Vol.9","Rev.Mod.Astron. 9 (1996) 17",,,"astro-ph",,"  A review on some recent developments in gamma ray astrophysics with
particular emphasis on the role of relativistic bulk motion in nonthermal gamma
ray sources, radiation processes in AGN jets, high-energy neutrino astronomy
and the use of gamma rays in the energy range 10 GeV - 50 TeV as a probe of the
diffuse IR-UV radiation field at cosmic distances.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 11:34:49 GMT""}]","2007-05-23"
"chao-dyn/9512005","Matthew B. Kennel","Matthew B. Kennel (Oak Ridge National Laboratory and the University of
  Tennessee, Knoxville)","Statistical Test for Dynamical Nonstationarity in Observed Time-Series
  Data","REVTEX, 4 encapsulated postscript figures, in uuencoded, gzipped tar
  archive; email: kennel@msr.epm.ornl.gov",,,,"chao-dyn nlin.CD",,"  Information in the time distribution of points in a state space reconstructed
from observed data yields a test for ``nonstationarity''. Framed in terms of a
statistical hypothesis test, this numerical algorithm can discern whether some
underlying slow changes in parameters have taken place. The method examines a
fundamental object in nonlinear dynamics, the geometry of orbits in state
space, with corrections to overcome difficulties in real dynamical data which
cause naive statistics to fail.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 1995 20:00:04 GMT""}]","2008-02-03"
"cmp-lg/9512004","Karen Sparck-Jones","Karen Sparck Jones (Computer Laboratory, University of Cambridge)","Natural language processing: she needs something old and something new
  (maybe something borrowed and something blue, too)","Presidential Address, 1994, Association for Computational Linguistics",,,,"cmp-lg cs.CL",,"  Given the present state of work in natural language processing, this address
argues first, that advance in both science and applications requires a revival
of concern about what language is about, broadly speaking the world; and
second, that an attack on the summarising task, which is made ever more
important by the growth of electronic text resources and requires an
understanding of the role of large-scale discourse structure in marking
important text content, is a good way forward.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 1995 16:38:12 GMT""}]","2008-02-03"
"cmp-lg/9512005","Dale Gerdemann","Dale Gerdemann","Term Encoding of Typed Feature Structures","12 pages Latex2e, ecltree, epic, eepic, tree-dvips","Proceedings of the Fourth International Workshop on Parsing
  Technologies, pp. 89-98, 1995",,,"cmp-lg cs.CL",,"  This paper presents an approach to Prolog-style term encoding of typed
feature structures. The type feature structures to be encoded are constrained
by appropriateness conditions as in Carpenter's ALE system. But unlike ALE, we
impose a further independently motivated closed-world assumption. This
assumption allows us to apply term encoding in cases that were problematic for
previous approaches. In particular, previous approaches have ruled out multiple
inheritance and further specification of feature-value declarations on
subtypes. In the present approach, these spececial cases can be handled as
well, though with some increase in complexity. For grammars without multiple
inheritance and specification of feature values, the encoding presented here
reduces to that of previous approaches.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 13:08:34 GMT""}]","2008-02-03"
"cond-mat/9512149","Robert Shrock","Victor Matveev and Robert Shrock","Some New Results on Yang-Lee Zeros of the Ising Model Partition Function","10 pages, latex, with separate compressed, uuencoded figures. one
  typo corrected in abstract","Phys.Lett. A215 (1996) 271-279","10.1016/0375-9601(96)00250-2","ITP-SB-95-51","cond-mat hep-lat",,"  We prove that for the Ising model on a lattice of dimensionality $d \ge 2$,
the zeros of the partition function $Z$ in the complex $\mu$ plane (where
$\mu=e^{-2\beta H}$) lie on the unit circle $|\mu|=1$ for a wider range of
$K_{n n'}=\beta J_{nn'}$ than the range $K_{n n'} \ge 0$ assumed in the premise
of the Yang-Lee circle theorem. This range includes complex temperatures, and
we show that it is lattice-dependent. Our results thus complement the Yang-Lee
theorem, which applies for any $d$ and any lattice if $J_{nn'} \ge 0$. For the
case of uniform couplings $K_{nn'}=K$, we show that these zeros lie on the unit
circle $|\mu|=1$ not just for the Yang-Lee range $0 \le u \le 1$, but also for
(i) $-u_{c,sq} \le u \le 0$ on the square lattice, and (ii) $-u_{c,t} \le u \le
0$ on the triangular lattice, where $u=z^2=e^{-4K}$, $u_{c,sq}=3-2^{3/2}$, and
$u_{c,t}=1/3$. For the honeycomb, $3 \cdot 12^2$, and $4 \cdot 8^2$ lattices we
prove an exact symmetry of the reduced partition functions,
$Z_r(z,-\mu)=Z_r(-z,\mu)$. This proves that the zeros of $Z$ for these lattices
lie on $|\mu|=1$ for $-1 \le z \le 0$ as well as the Yang-Lee range $0 \le z
\le 1$. Finally, we report some new results on the patterns of zeros for values
of $u$ or $z$ outside these ranges.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 02:55:34 GMT""},{""version"":""v2"",""created"":""Fri, 22 Dec 1995 15:55:31 GMT""}]","2009-10-28"
"cond-mat/9512150","Eugeny V. Tsiper","E. V. Tsiper (1), F. G. Pikus (2), A. L. Efros (1) ((1) University of
  Utah, (2) University of California at Santa Barbara)","Quantum melting on a lattice and a delocalization transition","10 tex preprint pages + 4 ps figures, uuencoded",,,,"cond-mat",,"  We consider 2d gas of spinless fermions with the Coulomb interaction on a
lattice at T=0 and at different values of the hopping amplitude J. At small J
electrons form a periodic structure. At filling factor \nu=1/6 this structure
melts at J as low as 0.02--0.03 in units of the nearest-neighbor Coulomb
energy. We argue that this transition is connected to the dielectric-metal and
dielectric-superconductor transitions. To demonstrate this point we perform
computer modeling of the systems 6x6 with 6 and 7 electrons and 6x12 with 12
electrons. By sweeping J we compute simultaneously persistent current and
structural characteristics of the electron distribution.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 02:57:05 GMT""},{""version"":""v2"",""created"":""Thu, 7 Mar 1996 03:36:58 GMT""}]","2008-02-03"
